Orthogroup	Aethionema_saxatile	Arabidopsis_lyrata_Rawat
OG0017331	As010G220570	AL5G31400
OG0017332	As010G220660	AL5G31230
OG0017333	As010G220760	AL5G30980
OG0017334	As010G220880	AL5G30780
OG0017335	As010G221220	AL5G30360
OG0017336	As010G221300	AL5G30150
OG0017337	As010G221680	AL6G31050
OG0017338	As010G222310	AL5G28430
OG0017339	As010G222380	AL5G28360
OG0017340	As010G222650	AL5G27930
OG0017341	As010G222870	AL5G27660
OG0017342	As010G222970	AL5G27540
OG0017343	As010G223300	AL5G27200
OG0017344	As010G223390	AL5G27070
OG0017345	As010G223590	AL5G26730
OG0017346	As010G224100	AL5G26180
OG0017347	As010G224250	AL5G25810
OG0017348	As010G224520	AL5G25400
OG0017349	As010G224840	AL7G42210
OG0017350	As010G225360	AL5G23790
OG0017351	As010G226160	AL5G22570
OG0017353	As010G226300	AL5G22420
OG0017354	As010G226990	AL5G21330
OG0017355	As010G227400	AL6G31690
OG0017356	As010G227670	AL2G26490
OG0017357	As010G227870	AL2G26420
OG0017358	As010G229080	AL6G24390
OG0017359	As010G229700	AL2G26680
OG0017360	As010G230590	AL2G26590
OG0017361	As010G231350	AL2G27800
OG0017362	As010G232110	AL2G28270
OG0017363	As010G232210	AL2G28300
OG0017364	As010G232530	AL8G23560
OG0017365	As010G232580	AL2G28590
OG0017366	As010G232600	AL2G28620
OG0017367	As010G232780	AL2G28880
OG0017368	As010G233550	AL2G30040
OG0017369	As010G233560	AL2G30050
OG0017370	As010G233670	AL2G30190
OG0017371	As010G233870	AL2G30480
OG0017372	As010G233990	AL2G30640
OG0017373	As010G234010	AL2G30660
OG0017374	As010G234330	AL6G46970, AL2G31150
OG0017375	As010G235480	AL2G38240
OG0017376	As010G235520	AL2G38190
OG0017377	As010G235990	AL2G37690
OG0017378	As010G236020	AL2G37660
OG0017379	As010G236110	AL2G37560
OG0017380	As010G236440	AL2G37180
OG0017381	As010G236720	AL2G36880
OG0017382	As010G236820	AL2G36770
OG0017383	As010G236840	AL2G36750
OG0017384	As010G237310	AL2G36280
OG0017385	As010G237630	AL2G35870
OG0017386	As010G237700	AL2G35780
OG0017387	As010G238070	AL1G32460
OG0017388	As010G238560	AL2G34880
OG0017389	As010G238860	AL2G34560
OG0017390	As010G239180	AL2G34200
OG0017391	As010G239320	AL6G30900
OG0017392	As010G239420	AL2G33970
OG0017393	As010G239520	AL7G44000
OG0017394	As010G239810	AL2G33550
OG0017395	As010G239930	AL2G33460
OG0017396	As010G240210	AL2G33190
OG0017397	As010G240300	AL2G33090
OG0017398	As010G240530	AL2G32940
OG0017399	As010G240810	AL2G32750
OG0017400	As010G241210	AL2G32250
OG0017401	As010G241910	AL2G38950
OG0017402	As010G242120	AL2G39200
OG0017403	As010G242500	AL2G39590
OG0017404	As010G242890	AL2G40100
OG0017405	As010G242950	AL2G40180
OG0017406	As010G243120	AL2G40400
OG0017407	As010G243240	AL2G40500
OG0017408	As010G243360	AL2G40580
OG0017409	As010G244090	AL2G41380
OG0017410	As010G244270	AL2G41540
OG0017411	As010G244440	AL2G41700
OG0017413	As010G244580	AL2G41730
OG0017414	As011G244800	nbis-gene-699
OG0017415	As011G245010	AL3G24910
OG0017416	As011G245220	AL3G25150
OG0017417	As011G245530	AL3G25470
OG0017418	As011G245660	AL3G25740
OG0017419	As011G245740	AL3G25860
OG0017420	As011G246720	AL3G26900
OG0017421	As011G246730	AL3G26910
OG0017422	As011G247160	AL3G27390
OG0017423	As011G247250	AL3G27530
OG0017424	As011G247270	AL3G27550
OG0017426	As011G247820	AL3G28270
OG0017427	As011G248460	AL3G29030
OG0017428	As011G248670	AL3G29290
OG0017429	As011G248990	AL3G29710
OG0017430	As011G249950	AL3G31060
OG0017431	As011G250500	AL3G31730
OG0017432	As011G250530	nbis-gene-729
OG0017433	As011G251100	AL3G32360
OG0017435	As011G251690	AL3G33060
OG0017436	As011G251730	AL3G33100
OG0017437	As011G251800	AL3G33160
OG0017438	As011G251830	AL3G33190
OG0017439	As011G251850	AL3G33200
OG0017440	As011G253410	AL3G35640
OG0017441	As011G253620	AL3G35360
OG0017442	As011G253630	AL3G35350
OG0017443	As011G253740	AL3G35740
OG0017444	As011G253750	AL3G35750
OG0017445	As011G254470	AL3G36760
OG0017446	As011G254660	AL130U10020
OG0017447	As011G254670	AL3G37050
OG0017448	As011G255200	AL3G37870
OG0017449	As011G255660	AL3G38580
OG0017451	As011G256600	AL3G39980
OG0017452	As011G256900	AL3G40440
OG0017453	As011G257510	AL3G40620
OG0017454	As011G258860	AL4G17260
OG0017455	As011G259390	AL3G42770
OG0017456	As011G259850	AL3G44100
OG0017457	As011G260710	AL3G45230
OG0017458	As011G260920	AL3G45460
OG0017459	As011G261410	AL3G43560
OG0017460	As011G262020	AL3G45550
OG0017461	As011G262190	AL3G45910
OG0017463	As011G263370	AL3G52570
OG0017464	As011G264230	AL3G50070
OG0017465	As011G264420	AL3G50300
OG0017466	As011G264660	AL3G50680, AL3G27500
OG0017467	As011G264750	AL3G50820
OG0017468	As011G265270	AL3G51740
OG0017469	As011G265620	AL3G53100
OG0017471	As011G266720	AL3G47990
OG0017472	As011G267000	AL3G53280
OG0017473	As011G267080	AL3G53360
OG0017474	As011G267310	AL7G24200
OG0017475	As011G267470	AL3G53920
OG0017476	As011G267490	AL3G53900
OG0017477	As011G267540	AL3G53850
OG0017478	As011G267600	AL3G54130
OG0017479	As011G267610	AL3G54160
OG0017480	As012G267760	AL1G64510
OG0017481	As012G267990	AL1G64000
OG0017482	As012G268170	AL1G63800
OG0017483	As012G268300	AL1G63630
OG0017484	As012G268760	AL1G63310
OG0017485	As012G268860	AL1G63210
OG0017486	As012G268880	AL1G63150
OG0017487	As012G268890	AL1G63140
OG0017488	As012G269090	AL1G62930
OG0017489	As012G269340	AL1G62630
OG0017490	As012G269510	AL1G62350
OG0017491	As012G270000	AL1G61470
OG0017492	As012G270020	AL1G61450
OG0017493	As012G270550	AL1G60900
OG0017494	As012G270610	AL1G60810
OG0017495	As012G272020	AL1G58290
OG0017496	As012G272070	AL1G58240
OG0017497	As012G272300	nbis-gene-272
OG0017498	As012G272490	AL1G57530
OG0017499	As012G273340	AL1G55800
OG0017500	As012G273400	AL1G55680
OG0017501	As012G273420	AL1G55660
OG0017502	As012G273520	AL1G55320
OG0017503	As012G273580	AL6G50210
OG0017504	As012G273840	AL1G54950
OG0017505	As012G274210	AL7G38750
OG0017506	As012G274240	AL7G38800
OG0017507	As012G274740	AL7G39510
OG0017508	As012G274840	AL7G39670
OG0017509	As012G274850	AL7G39680
OG0017510	As012G275060	AL1G44410
OG0017511	As012G275330	AL4G30480
OG0017512	As012G275390	AL4G30410
OG0017513	As012G275720	AL5G32730
OG0017514	As012G275730	AL5G32750
OG0017516	As012G276290	AL5G33570
OG0017517	As012G276550	AL5G33780
OG0017518	As012G276570	AL5G33810
OG0017519	As012G277530	AL5G34670
OG0017520	As012G277590	AL5G34740
OG0017521	As012G277600	AL5G34750
OG0017522	As012G277660	AL5G34820
OG0017523	As012G278100	AL5G35030
OG0017524	As012G279520	AL5G35490
OG0017525	As012G279810	AL5G35280
OG0017526	As012G280000	AL5G35320
OG0017527	As012G281010	AL5G36050
OG0017528	As012G281300	AL5G36160
OG0017529	As012G281340	AL5G36200
OG0017530	As012G281740	AL5G36490
OG0017531	As012G281930	AL5G36610
OG0017532	As012G281950	AL5G36630
OG0017533	As012G282090	AL5G36840
OG0017534	As012G282370	AL5G37200
OG0017535	As012G282420	AL5G37110
OG0017536	As012G282570	AL5G37380
OG0017537	As012G282840	AL5G37680
OG0017538	As012G283060	AL5G37980
OG0017539	As012G283850	AL5G38860
OG0017540	As012G284040	AL5G39100
OG0017541	As012G284930	AL5G40410
OG0017542	As012G285060	AL5G40590
OG0017543	As012G285160	AL5G40910
OG0017544	As012G285820	AL5G41940
OG0017545	As012G285830	AL5G41970
OG0017546	As012G286320	AL5G42660
OG0017547	As012G286730	nbis-gene-1354
OG0017548	As012G286890	AL5G43080
OG0017549	As012G286940	AL5G43130
OG0017550	As012G287820	AL5G44370
OG0017551	As012G288120	AL5G44940
OG0017552	As012G288460	AL5G45390
OG0017553	As012G288680	AL5G45480
OG0017554	As012G289260	AL5G46200
OG0017555	As012G289360	AL5G46300
OG0017556	As012G289400	AL5G43230
OG0017751	As001G000580	nbis-gene-1766
OG0017752	As001G000610	AL7G23820
OG0017753	As001G001420	AL7G22660
OG0017754	As001G003390	AL7G20920
OG0017755	As001G004160	AL7G20130
OG0017756	As001G004690	AL7G19610
OG0017757	As209G297110	nbis-gene-2229, nbis-gene-229
OG0017757	As001G011150	nbis-gene-1885
OG0017758	As001G013660	AL1G58720
OG0017759	As001G014550	AL7G16370
OG0017760	As001G015100	AL7G16080
OG0017761	As001G016170	AL7G18650
OG0017762	As001G016780	AL1G46430
OG0017763	As001G016950	AL1G46610
OG0017764	As001G017030	AL1G46760
OG0017765	As001G017220	AL7G37590
OG0017766	As001G018460	AL1G64970
OG0017767	As001G019040	AL1G66130
OG0017768	As001G020500	AL2G16690
OG0017769	As001G020560	AL2G16620
OG0017770	As001G020980	AL2G15990
OG0017771	As001G022000	AL2G14180
OG0017772	As001G022330	AL5G10150
OG0017773	As001G022390	AL5G10220
OG0017774	As001G022440	AL5G10290
OG0017775	As001G022510	AL5G10390
OG0017776	As001G022640	AL5G10510
OG0017777	As001G022880	AL5G10840
OG0017778	As001G023820	AL5G12600
OG0017779	As001G023890	AL5G12760
OG0017781	As001G024030	AL5G13090, AL5G13130
OG0017783	As001G025670	AL5G15650
OG0017784	As001G026190	AL5G16520
OG0017785	As001G026220	AL5G16550
OG0017786	As001G026760	AL5G17350
OG0017787	As001G027160	AL5G18260
OG0017788	As001G027740	AL5G19140
OG0017789	As001G028890	AL2G24080
OG0017790	As001G028930	AL5G11050
OG0017791	As001G029180	AL2G23290
OG0017792	As001G029340	AL2G22560
OG0017793	As001G029350	AL2G22550
OG0017794	As001G030080	nbis-gene-2139
OG0017795	As001G030620	AL2G10510
OG0017796	As001G031410	nbis-gene-371
OG0017797	As002G034690	AL3G20960
OG0017798	As002G035490	AL7G24890
OG0017799	As002G037590	AL3G23330
OG0017800	As002G039270	AL6G41770
OG0017801	As002G041910	AL8G24300
OG0017802	As002G042770	AL8G25170
OG0017803	As002G043470	AL8G25860
OG0017804	As002G044490	AL8G27240
OG0017805	As002G044580	AL8G27310
OG0017806	As003G057210, As002G045270	AL7G35500
OG0017807	As002G045440	AL8G29380
OG0017808	As002G045720	AL8G28950
OG0017809	As002G048870	AL8G33090
OG0017810	As002G049360	AL8G33720
OG0017811	As002G050380	AL6G23890
OG0017812	As002G050620	AL6G23630
OG0017814	As002G053060	AL6G20750
OG0017815	As002G053360, As002G053380	AL6G20420
OG0017816	As002G053910	nbis-gene-1494
OG0017817	As002G054300	nbis-gene-1490
OG0017818	As002G054350	AL6G18930
OG0017820	As002G054830	AL6G18380
OG0017821	As002G055250	AL6G17800
OG0017823	As003G056020	AL7G36930
OG0017824	As003G056300	AL7G36610
OG0017825	As003G056940	AL3G37990
OG0017826	As003G057310	AL7G35380
OG0017827	As003G057790	AL7G34670
OG0017828	As003G059180	AL7G32800
OG0017829	As003G060560	AL7G31010
OG0017830	As003G061150	AL731U10010, AL4G30690
OG0017831	As003G061670	AL7G29760
OG0017832	As003G062790	AL1G47830
OG0017833	As003G063560	AL1G49860
OG0017834	As003G063980	AL1G49940
OG0017835	As003G064210	AL1G51060
OG0017836	As003G064280	AL1G51200
OG0017837	As003G064570	AL1G52300
OG0017838	As003G064660	AL1G52080
OG0017839	As003G064880	AL1G51770
OG0017840	As003G069280	AL1G42310
OG0017841	As003G070390	AL1G43850
OG0017842	As003G070610	AL1G43910
OG0017843	As003G071100	AL1G44550
OG0017844	As003G071150	AL1G44610
OG0017845	As003G071800	AL7G15650
OG0017846	As003G071980	AL7G15450
OG0017847	As003G073350	AL7G13750
OG0017848	As003G073450	AL7G13650
OG0017849	As003G073610	nbis-gene-1704
OG0017850	As003G073750	AL7G13310
OG0017851	As003G074080	AL7G12900
OG0017852	As003G074370	AL7G12630
OG0017853	As003G074740	AL7G12220, nbis-gene-1697
OG0017854	As003G075140	AL7G11570
OG0017855	As004G077270	AL7G46310
OG0017856	As004G077320	AL7G46490
OG0017857	As004G077760	AL7G52130
OG0017858	As004G078410	AL7G50720
OG0017859	As004G078680	AL4G30970
OG0017860	As004G079810	AL4G31210
OG0017861	As004G080340	AL6G42810
OG0017862	As004G080510	AL6G42650
OG0017863	As004G081010	AL4G30350
OG0017864	As004G081610	AL4G29350
OG0017865	As004G082460	AL8G18550
OG0017866	As004G082620	AL8G18910
OG0017867	As004G082640	AL8G19060
OG0017868	As004G083290	AL6G43720
OG0017869	As004G083560	AL6G44080
OG0017870	As004G083580	AL6G44090
OG0017871	As004G083910	AL6G44730
OG0017872	As004G084070	AL6G45000
OG0017873	As004G084110	AL6G45040
OG0017874	As004G084470	AL6G45750
OG0017875	As004G084840	AL6G46720
OG0017876	As004G085320	AL6G47500
OG0017877	As004G087610	AL8G14090
OG0017878	As004G088030	AL8G13130
OG0017879	As004G088280	AL8G12770
OG0017880	As004G088820	AL8G12080
OG0017881	As004G089080	AL8G11730
OG0017882	As004G089160	AL8G11630
OG0017883	As004G089540	AL8G11350
OG0017884	As004G090170	AL7G44400
OG0017885	As004G090570	AL8G11100
OG0017886	As007G161930, As004G093870, As004G093880, As004G091090, As007G161910, As007G161890	AL1G40510
OG0017887	As004G092010	AL7G44030
OG0017888	As004G092540	AL7G44720
OG0017889	As004G092760	AL9U12140
OG0017891	As004G093400	AL9U11380
OG0017892	As004G093470	AL9U11220
OG0017893	As004G093760	AL9U10680
OG0017894	As004G094490	AL7G42990
OG0017895	As004G094830	nbis-gene-1874
OG0017896	As004G095090	AL7G42380
OG0017897	As004G095100	AL7G42350
OG0017898	As004G095250	AL7G42040
OG0017899	As004G095310	AL7G41960
OG0017900	As004G095630	AL7G41620
OG0017901	As004G096650	nbis-gene-1851
OG0017902	As004G096840	AL5G40040
OG0017903	As004G097370	AL7G49320
OG0017904	As004G097740	AL7G48480
OG0017905	As005G099870	AL4G46660
OG0017906	As005G100150	AL4G46350
OG0017907	As005G100470	AL4G45970
OG0017908	As005G101690	AL4G44620
OG0017909	As005G101780	AL4G44490
OG0017911	As005G102970	AL4G43190
OG0017912	As005G104210	AL4G41750
OG0017913	As005G104340	AL4G41620
OG0017914	As005G104420	AL4G41560
OG0017915	As005G104570	AL4G41410
OG0017916	As005G105090	AL4G40420
OG0017917	As005G105220	AL4G40600
OG0017918	As005G106330	AL6G10360
OG0017919	As005G106350	AL6G10380
OG0017920	As005G106360	AL6G10390
OG0017921	As005G106510	AL6G10530
OG0017922	As005G106910	AL6G11000
OG0017923	As005G108240	AL5G42650
OG0017925	As005G110150	AL6G31180
OG0017926	As005G112220	AL6G32270
OG0017927	As005G114540	AL8G36680
OG0017928	As005G115480	AL8G36100
OG0017930	As005G117490	AL8G41850
OG0017931	As005G117740	AL8G42160
OG0017932	As005G120290	AL8G45030
OG0017933	As005G120430	AL8G45170
OG0017934	As005G120600	AL8G45300
OG0017935	As005G120760, As010G220320	AL8G45490
OG0017936	As006G121040	AL6G53480
OG0017937	As006G121050	AL6G53470
OG0017938	As006G121160	AL6G53300
OG0017940	As006G121930	AL6G52180
OG0017941	As006G121960	AL6G52230
OG0017942	As006G122340	AL6G52000
OG0017943	As006G123210	AL6G50710
OG0017944	As006G125580	nbis-gene-1074
OG0017945	As006G126920	AL4G27090
OG0017946	As006G128580	AL4G24710
OG0017947	As006G128660	AL4G24470
OG0017948	As006G129660	AL1G18140
OG0017949	As006G130630	AL4G20840
OG0017950	As006G131380	AL1G60550
OG0017951	As006G131640	AL4G19110
OG0017952	As006G132110	AL4G17470
OG0017953	As006G132850	AL3G10680
OG0017954	As006G133060	AL3G10600
OG0017955	As006G133140, As006G139910	AL3G17280
OG0017956	As006G133160	AL3G10420
OG0017957	As006G133450	AL3G10100
OG0017958	As006G133510	AL3G10060
OG0017959	As006G133620	AL6G10030
OG0017960	As006G133770	AL3G19530
OG0017961	As006G133800	AL6G10090
OG0017962	As006G133940	AL6G10180
OG0017963	As006G134390	AL7G25890
OG0017964	As006G134440	nbis-gene-1773
OG0017965	As006G134540	AL7G26060
OG0017966	As006G135860	AL3G12280
OG0017967	As006G136360	AL3G12940
OG0017968	As006G136520	AL3G13150
OG0017969	As006G136570	AL3G13220
OG0017970	As006G136640	AL3G13340
OG0017971	As006G136650	nbis-gene-1602, AL3G13360
OG0017972	As006G137710	AL3G14550
OG0017973	As006G137800	AL3G14630
OG0017974	As006G137970	AL3G14880
OG0017975	As006G138490	AL8G21050
OG0017976	As006G138570	AL3G15840
OG0017977	As006G138580	nbis-gene-664
OG0017978	As006G138980	AL3G16260
OG0017979	As006G139130	AL3G16480
OG0017980	As006G139930	AL3G17300
OG0017981	As006G141210	AL3G18850
OG0017982	As006G141370	AL3G18980
OG0017983	As006G141650	AL3G19270
OG0017984	As006G142070	nbis-gene-678
OG0017985	As006G142090	nbis-gene-680
OG0017986	As006G143810	AL4G36710
OG0017987	As006G144840	AL4G32400
OG0017988	As006G144910, As006G144920	nbis-gene-1084
OG0017989	As006G144960	AL4G32500
OG0017990	As006G145960	AL4G33690
OG0017991	As006G147540	AL4G35100
OG0017992	As264G297660, As006G149600	AL3G54350, AL3G54430, AL3G54240, AL3G54300, AL3G54410
OG0017992	As039G293900	AL3G54260, AL3G54280, AL3G54320
OG0017994	As007G152140	AL1G27630
OG0017995	As007G152170	AL1G27670
OG0017996	As007G153340	AL1G29090
OG0017997	As007G154090	AL1G29980
OG0017998	As007G154470	AL1G30710
OG0017999	As007G154980	AL1G31000
OG0018000	As007G155450	AL1G31600
OG0018001	As007G156340	AL1G33000
OG0018002	As007G156420	AL1G33070
OG0018003	As007G156430	AL1G33080
OG0018004	As007G156470	AL1G33130
OG0018006	As007G158510	AL1G35990
OG0018007	As007G158780	AL8G20620
OG0018008	As007G158940	AL1G36370
OG0018009	As007G159340	AL1G36870
OG0018010	As007G159680	AL1G37460
OG0018011	As007G160230	AL1G38450
OG0018012	As007G160750	AL1G39240
OG0018013	As007G161410	AL1G39970
OG0018014	As007G162210	AL1G40630
OG0018015	As007G162950	AL7G28760
OG0018016	As007G164020	AL7G28210
OG0018017	As007G164800	AL7G27740
OG0018018	As007G176790	AL4G16190
OG0018019	As007G176910	AL4G16100
OG0018020	As007G177340	AL4G15780
OG0018021	As007G178230	AL4G14680
OG0018022	As007G178520	AL4G14260
OG0018023	As007G179040	AL4G13990
OG0018024	As007G179270	AL4G13610
OG0018025	As007G179410	AL4G13520
OG0018026	As007G179640	AL4G13190
OG0018027	As007G180020	AL4G12220
OG0018028	As007G180350	AL4G11870
OG0018029	As007G181000, As007G181010	AL4G10590
OG0018030	As008G183940	AL1G24950
OG0018031	As008G186130	AL1G22370
OG0018032	As008G186990	AL1G21450
OG0018033	As008G188140	AL1G20170
OG0018034	As008G189190	AL1G19370
OG0018035	As008G192070	AL1G17960
OG0018037	As008G194020	AL1G16080
OG0018038	As008G194150	AL1G16000
OG0018039	As008G194710	AL1G15490
OG0018040	As008G194840	AL1G15300
OG0018041	As008G195610	AL1G14640
OG0018042	As008G195700	AL1G14560
OG0018043	As008G196480	AL1G13730
OG0018044	As008G196500	AL1G13710
OG0018045	As008G196780	AL1G13050
OG0018046	As008G197700	AL1G12170
OG0018047	As008G198540	AL1G11260
OG0018048	As008G198840	AL1G10980
OG0018049	As008G199330	AL1G10370
OG0018050	As008G199350	AL1G10360
OG0018051	As008G199390	AL1G10310
OG0018052	As009G200080	AL6G25030
OG0018053	As009G200250	AL6G24830
OG0018054	As009G200390	AL6G25420
OG0018055	As009G200710	AL6G25770
OG0018056	As009G201270	AL6G26170
OG0018057	As009G203700, As009G203690	AL6G28810
OG0018058	As009G203980	AL6G29300
OG0018059	As009G204180	AL6G29520
OG0018060	As009G204760	AL6G30300
OG0018061	As009G205810	AL6G38740
OG0018062	As009G206300	AL294U10010, AL3G15340, AL3G15130
OG0018064	As009G207090	AL6G40660
OG0018065	As009G207770	AL8G22370
OG0018066	As009G210250	AL6G24270
OG0018067	As009G212080	AL8G20390
OG0018068	As009G212550	AL6G16190
OG0018069	As009G212930	AL6G15760
OG0018070	As009G213970	AL6G14920
OG0018071	As009G214310	AL6G14440
OG0018072	As009G216120	AL6G35860
OG0018073	As009G216330	AL6G35800
OG0018074	As009G217960	AL8G38020
OG0018075	As009G218000	AL8G38070
OG0018077	As009G218160	AL8G38240
OG0018078	As009G218390	AL8G38590
OG0018079	As009G219730	AL8G34890
OG0018080	As010G221500	AL5G29700
OG0018081	As010G222210	AL5G28570
OG0018082	As010G222290	AL5G28450
OG0018083	As010G224160	AL5G25920
OG0018084	As010G226600	AL5G21770
OG0018085	As010G226980	AL5G21340
OG0018086	As010G227230	AL1G36640
OG0018087	As010G227260	AL5G21140
OG0018088	As010G227610	AL5G20800
OG0018089	As010G228620	AL2G26570
OG0018090	As010G231490	AL2G27740
OG0018091	As010G231730	AL2G27910
OG0018092	As010G232060	AL2G28150
OG0018093	As010G232300	AL2G28370
OG0018094	As010G234130	AL2G30830
OG0018095	As010G234520	AL2G31310
OG0018096	As010G236140	AL2G37520
OG0018097	As010G236260	AL2G37380
OG0018098	As010G236310	AL2G37300
OG0018099	As010G237120	AL2G36480
OG0018100	As010G237670	AL2G35810
OG0018101	As010G238280	nbis-gene-604
OG0018102	As010G238410	AL2G35080
OG0018103	As010G238450	AL2G35040
OG0018104	As010G238810	AL2G34610
OG0018105	As010G238830	AL2G34590
OG0018106	As010G238930	AL2G34490
OG0018107	As010G239440	AL2G33950
OG0018108	As010G240700	AL2G32790
OG0018109	As010G240760	AL4G47710
OG0018110	As010G241180	AL2G32290
OG0018111	As010G242560	nbis-gene-620
OG0018112	As010G242690	nbis-gene-622
OG0018113	As010G242790	nbis-gene-623
OG0018114	As010G244420	AL2G41680
OG0018115	As011G244670	AL3G24450
OG0018117	As011G245030	AL3G24930
OG0018118	As011G245110	AL3G25050
OG0018119	As011G245120	AL3G25070
OG0018120	As011G245130	AL5G22940
OG0018121	As011G245710	AL3G25810
OG0018122	As011G247240	AL3G27480
OG0018123	As011G247500	AL3G27810
OG0018124	As011G250080	AL3G31190
OG0018125	As011G250520	AL3G31740
OG0018126	As011G254150	AL3G36340
OG0018127	As011G254250	AL3G36510
OG0018128	As011G254920	AL3G37390
OG0018129	As011G255840	AL3G38850
OG0018130	As011G255930	AL3G38940
OG0018131	As011G255970	AL7G44200
OG0018132	As011G258240	AL3G41930
OG0018133	As011G259010	AL3G42490
OG0018134	As011G259190	AL3G45270
OG0018135	As011G260510	AL3G44840
OG0018136	As011G261360	AL3G43590
OG0018137	As011G261390	AL3G43580
OG0018139	As011G261980	AL3G45540
OG0018140	As011G262530	AL3G46770
OG0018141	As011G262840	AL3G47400
OG0018143	As011G263490	AL3G49200
OG0018144	As011G264490	AL3G50480
OG0018145	As011G265210	AL3G51870
OG0018146	As011G266010	AL3G49000
OG0018147	As011G267300	AL3G53720
OG0018148	As011G267390	AL3G53800
OG0018149	As012G269630	AL1G62190
OG0018151	As012G270870	AL1G60340
OG0018152	As012G271030	AL1G60010
OG0018153	As012G273330	AL8G35280
OG0018154	As012G273460	AL1G56050
OG0018155	As012G273710	AL1G55130
OG0018156	As012G273720	AL1G64600
OG0018157	As012G275200	AL1G14320
OG0018158	As012G276280	AL5G33560
OG0018159	As012G276620	AL5G33980
OG0018160	As012G276830	AL5G34140
OG0018161	As012G281120	AL5G36070
OG0018162	As012G282860	AL5G37700
OG0018163	As012G282880	AL5G37720
OG0018164	As012G282940	AL5G37790
OG0018165	As012G282980	AL5G37930
OG0018166	As012G283960	AL5G39010
OG0018167	As012G284180	AL4G17380
OG0018168	As012G284800	AL5G40290
OG0018169	As012G285210	AL5G40970
OG0018170	As012G286280	AL5G42610
OG0018171	As012G287480	AL5G43870
OG0018172	As012G288410	AL5G45340
OG0018337	As001G017620	nbis-gene-1837
OG0018338	As001G018130	AL3G39380
OG0018339	As001G018720	AL1G65350
OG0018340	As001G018730	AL1G65400
OG0018341	As001G019210	AL1G66690
OG0018342	As001G020230	AL2G17190
OG0018343	As001G023050	AL5G11020
OG0018344	As001G024240	AL5G13410
OG0018345	As001G024670	AL5G14190
OG0018346	As001G027920	AL5G19690
OG0018347	As001G028690	AL2G24890
OG0018348	As001G028980	AL2G23920
OG0018349	As001G029330	AL2G22630
OG0018350	As001G029690	AL2G19680
OG0018351	As001G031790	nbis-gene-382
OG0018352	As002G033900, As005G106840	AL6G10920
OG0018353	As002G034590, As002G034520, As002G034780, As005G108090, As005G108080	AL6G12470
OG0018354	As002G036440	AL1G64490
OG0018355	As002G036970	AL6G15470
OG0018356	As002G040870	AL8G23980
OG0018357	As002G041380	AL8G24120
OG0018358	As002G041600	AL8G24130
OG0018359	As002G042080	AL8G24410
OG0018360	As002G042330	AL8G24820
OG0018361	As002G042810	AL8G25250
OG0018362	As002G043240	AL8G25490
OG0018363	As002G043670	AL8G26060
OG0018364	As002G043820	AL8G26220
OG0018365	As002G044390	AL8G27100
OG0018366	As002G047620	nbis-gene-2144
OG0018367	As002G048570	AL8G32750
OG0018368	As002G050180	AL8G19890
OG0018369	As002G050420	AL6G23840
OG0018370	As002G054530	AL6G18790
OG0018371	As002G055380	AL6G17660
OG0018372	As003G056460	AL7G36370
OG0018374	As003G057660	AL7G34880
OG0018376	As003G058990	AL7G33070
OG0018377	As003G061650	AL2G21230, AL7G29790
OG0018378	As003G062740	AL1G47730
OG0018379	As003G065080	AL1G51550
OG0018380	As003G069890	AL1G43060
OG0018381	As003G073100	AL7G14040
OG0018382	As003G074010	AL7G12960
OG0018383	As003G075850	AL7G10940
OG0018384	As004G076690	AL7G32040
OG0018385	As004G077700	AL7G52480
OG0018386	As004G078170	nbis-gene-1950
OG0018387	As004G081270	AL4G29900
OG0018388	As004G081280	AL4G29890
OG0018389	As004G082320	AL8G18290
OG0018390	As004G083040	AL5G13160
OG0018391	As004G083510	AL1G47810
OG0018392	As004G084040	AL6G44960
OG0018393	As004G084200	AL6G45210
OG0018394	As004G085940	AL6G48410
OG0018397	As004G087420	AL8G14190, AL8G14390
OG0018398	As004G087930	AL185U10030
OG0018399	As004G090840	AL8G10440
OG0018400	As004G091510	AL3G42050
OG0018401	As004G092510	AL7G44680
OG0018402	As004G094190	AL9U10120
OG0018403	As004G094610	AL7G42770
OG0018404	As004G096040	AL7G40910
OG0018405	As004G096850	AL7G49980
OG0018407	As004G097480	AL7G49180
OG0018408	As004G097570	AL7G49010
OG0018409	As004G097630	AL7G48930
OG0018410	As004G097910	AL7G48130
OG0018411	As004G098080	AL7G47810
OG0018413	As005G098890, As005G098900	AL6G18230
OG0018414	As005G099070	AL4G47320
OG0018415	As005G100200	AL4G46300
OG0018416	As005G102340	AL4G43890
OG0018418	As005G104540	AL7G42900
OG0018419	As005G105480	AL4G40160
OG0018420	As005G106760	AL6G10860
OG0018421	As005G107730	AL6G11960
OG0018422	As005G112200	nbis-gene-995, AL3G44730
OG0018424	As005G114210	AL8G37110
OG0018425	As005G116490	AL8G40640
OG0018426	As005G120570	AL8G45270
OG0018427	As005G120680	AL8G45440
OG0018428	As006G121140	AL6G53340
OG0018429	As006G123460	AL6G50400
OG0018430	As006G124770	AL8G16300
OG0018432	As006G129040	AL4G23690
OG0018433	As006G129110	AL4G23630
OG0018434	As006G130180	AL4G22170
OG0018435	As006G131060	AL4G20050
OG0018436	As006G131090	AL4G20000
OG0018437	As006G133030	AL3G10570
OG0018438	As006G133390	AL3G10160
OG0018439	As006G133470	AL3G46550
OG0018440	As006G133600	AL3G10020
