Raphanus_sativus	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_018479675.1	190					
XP_018479676.1	274	AT1G19990.1	AT1G19990.1	orthologue	GO:0005634;GO:0003674;GO:0008150	Nucleolin
XP_018479677.1	179				GO:0008270	
XP_018479678.1	172	AT5G15690.1, AT4G04775.1	AT5G15690.1	orthologue	GO:0008270;GO:0005575;GO:0008150	Uncharacterized protein At4g04775;Zinc ion binding protein
XP_018479679.1	274	AT3G56520.1, AT5G41090.1	AT3G56520.1	orthologue	GO:0003677;GO:0006355;GO:0005515;GO:0009555;GO:0005634;GO:0003700	At5g41090 (Emb|CAB88055.1) (NAC domain containing protein 95);NAC (No Apical Meristem) domain transcriptional regulator superfamily protein (No apical meristem family protein)
XP_018479680.1	242	AT5G16285.1	AT5G16285.1	orthologue	GO:0031146;GO:0004842;GO:0005739;;GO:0005515	Putative F-box protein At5g16285
XP_018479681.1	283	AT2G41670.1	AT2G41670.1	other	GO:0048481;GO:0032543;GO:0005739;GO:0003924;GO:0005525;GO:0009507;GO:0000911;GO:0016787;GO:0006412	P-loop containing nucleoside triphosphate hydrolases superfamily protein;Short integuments 2, mitochondrial (DAR GTPase 1)
XP_018479682.1	293	AT2G11035.1	AT2G11035.1	other	GO:0003674;GO:0005634;GO:0003964;GO:0005737;GO:0015035	Reverse transcriptase zinc-binding protein
XP_018479683.1	389					
XP_018479684.1	203					
XP_018479685.1	527	AT1G26410.1, AT1G26380.1, AT1G26400.1, AT1G26420.1	AT1G26420.1	orthologue	GO:0005737;GO:0071949;GO:0009505;GO:0071456;GO:0005783;GO:0008150;GO:0005576;GO:0005886;GO:0016491;GO:0050660	Berberine bridge enzyme-like 3 (AtBBE-like 3) (EC 1.1.1.-) (FAD-linked oxidoreductase) (EC 1.-.-.-) (Flavin-dependent oxidoreductase FOX1);Berberine bridge enzyme-like 5 (AtBBE-like 5) (EC 1.1.1.-) (Flavin-dependent oxidoreductase FOX3) (EC 1.-.-.-);Berberine bridge enzyme-like 6 (AtBBE-like 6) (EC 1.1.1.-) (Flavin-dependent oxidoreductase FOX4) (EC 1.-.-.-);Berberine bridge enzyme-like 7 (AtBBE-like 7) (EC 1.1.1.-) (Flavin-dependent oxidoreductase FOX5) (EC 1.-.-.-)
XP_018479686.1	518	AT5G41100.1	AT5G41100.1	orthologue	GO:0005737;GO:0003674	At5g41100 (Hydroxyproline-rich glycoprotein family protein);Hydroxyproline-rich glycoprotein family protein
XP_018479687.1	422				GO:0003676;GO:0008270	
XP_018479688.1	164	AT5G41390.1	AT5G41390.1	other	GO:0005886;GO:0003674;GO:0016020	PLAC8 family protein
XP_018479689.1	234				GO:0003676;GO:0004523	
XP_018479690.1	145	ATMG00310.1	ATMG00310.1	other	GO:0003674;GO:0008150;GO:0005739	Uncharacterized mitochondrial protein AtMg00310 (ORF154)
XP_018479691.1	448				GO:0005515	
XP_018479692.1	842	AT1G71390.2, AT1G71400.1, AT3G23010.1, AT3G23110.1, AT3G23120.1, AT3G05370.1, AT3G05360.1	AT1G71400.1	other	GO:0005575;GO:0010073;GO:0003674;GO:0007165;GO:0005576;GO:0005886;GO:0016301;GO:0010555;GO:0009651;GO:0002238;GO:0032491;GO:0002240;GO:0009620;GO:0050832;GO:0002237;GO:0009791;GO:0005515	Receptor like protein 11;Receptor like protein 36;Receptor-like protein 11 (AtRLP11);Receptor-like protein 12 (AtRLP12);Receptor-like protein 30 (AtRLP30);Receptor-like protein 31 (AtRLP31);Receptor-like protein 36 (AtRLP36);Receptor-like protein 37 (AtRLP37) (Protein EMBRYO DEFECTIVE 2800);Receptor-like protein 38 (AtRLP38)
XP_018479693.1	692	AT1G64260.1, AT1G49920.1	AT1G64260.1	other	GO:0008150;GO:0008270;GO:0005575	MuDR family transposase
XP_018479694.1	161	AT2G22170.1	AT2G22170.1	other	GO:0099503;GO:0005576;GO:0009579;GO:0005773;GO:0003674;GO:0005783;GO:0005515	PLAT domain-containing protein 2 (AtPLAT2) (PLAT domain protein 2)
XP_018479695.1	241	AT1G10470.1	AT1G10470.1	orthologue	GO:0005737;GO:0009736;GO:0009735;GO:0042752;GO:0006355;GO:0000156;GO:0010017;GO:0005515;GO:0000160;GO:0004674;GO:0005634;GO:0007623;GO:0046777;GO:0009793;GO:0010114	Response regulator 4;Two-component response regulator ARR4 (Response regulator 1)
XP_018479696.1	292	AT1G64260.1, AT1G49920.1	AT1G64260.1	other	GO:0008150;GO:0008270;GO:0005575	MuDR family transposase
XP_018479697.1	448	AT5G40910.1, AT5G41540.1, AT5G41550.1, AT5G41740.2, AT5G41750.1	AT5G41550.1	other	GO:0005575;GO:0043531;GO:0007165;GO:0016887;GO:0005634;GO:0009507;GO:0006952;GO:0005829;GO:0005737;GO:0016787;GO:0016020	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6);Disease resistance protein (TIR-NBS-LRR class) family;Disease resistance protein (TIR-NBS-LRR class) family (Disease resistance protein-like)
XP_018479698.1	179				GO:0005509	
XP_018479699.1	460					
XP_018479700.1	141	AT2G11035.1	AT2G11035.1	other	GO:0003674;GO:0005634;GO:0003964	Reverse transcriptase zinc-binding protein
XP_018479701.1	635	AT5G15685.1	AT5G15685.1	orthologue	GO:0005634;GO:0003674;GO:0008150;;GO:0008270	Mutator transposase MUDRA protein
XP_018479702.1	307					
XP_018479703.1	194	AT2G06105.1	AT2G06105.1	other	GO:0008150;GO:0005739;GO:0003674;GO:0006508;GO:0008233	Aspartyl protease gag-polyprotein
XP_018479704.1	324					
XP_018479705.1	143	AT2G34320.1, AT4G29090.1, AT5G38920.1, AT5G42965.1	AT2G34320.1	other	GO:0004523;GO:0003676;GO:0005739;GO:0008150;GO:0009507;GO:0005575;GO:0003964;GO:0016740	Polynucleotidyl transferase, ribonuclease H-like superfamily protein;Polynucleotidyl transferase, ribonuclease H-like superfamily protein (Putative non-LTR retroelement reverse transcriptase);Putative reverse transcriptase/RNA-dependent DNA polymerase (Ribonuclease H-like superfamily protein)
XP_018479706.1	302	AT1G64290.1, AT1G64295.1, AT2G05360.1, AT5G41720.1	AT5G41720.1	other	GO:0003674;GO:0005575;GO:0008150	F-box associated ubiquitination effector family protein;F-box protein At5g41720;F-box protein-like protein
XP_018479707.1	922					
XP_018479708.1	255	AT1G15215.4	AT1G15215.4	orthologue	GO:0006346;GO:0005634;GO:0031047;GO:0003682;GO:0003677;GO:0046872	Protein SAWADEE HOMEODOMAIN HOMOLOG 1 (DNA-binding transcription factor 1);SAWADEE HOMEODOMAIN protein
XP_018479709.1	272	AT5G59616.1	AT5G59616.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0016020;GO:0016301	Interleukin-1 receptor-associated kinase 4 protein
XP_018479710.1	263	AT3G24255.7	AT3G24255.7	other	GO:0008150;GO:0005576;GO:0005634;GO:0003674;GO:0003964	RNA-directed DNA polymerase (Reverse transcriptase)-related family protein
XP_018479711.1	107					
XP_018479712.1	331	AT5G38910.1	AT5G38910.1	other	GO:0030145;GO:0005576;GO:0008150;GO:0048046;GO:0003676	Putative germin-like protein subfamily 1 member 9;RmlC-like cupins superfamily protein
XP_018479713.1	567					
XP_018479715.1	522					
XP_018479716.1	489					
XP_018479717.1	233					
XP_018479718.1	149					
XP_018479719.1	430	AT5G39930.1	AT5G39930.1	orthologue	GO:0005634;GO:0006388;GO:0051731;GO:0005849;GO:0005524;GO:0031124;GO:0006378;GO:0006396	Protein CLP1 homolog 5 (CLP-like protein 5) (Protein CLP-SIMILAR PROTEIN 5)
XP_018479720.1	354	AT1G23780.1	AT1G23780.1	other	GO:0005515;GO:0005739;GO:0016567;GO:0005634	F-box protein SKIP22 (SKP1-interacting partner 22)
XP_018479721.1	371	AT5G39930.1	AT5G39930.1	orthologue	GO:0005634;GO:0006388;GO:0051731;GO:0005849;GO:0005524;GO:0031124;GO:0006378;GO:0006396	Protein CLP1 homolog 5 (CLP-like protein 5) (Protein CLP-SIMILAR PROTEIN 5)
XP_018479722.1	359	AT1G23770.1	AT1G23770.1	other	GO:0005515;GO:0008150;GO:0005634;	Putative F-box protein At1g23770
XP_018479723.1	137	AT1G77570.1	AT1G77570.1	other	GO:0006357;GO:0000976;GO:0006355;GO:0005634;GO:0000978;GO:0034605;GO:0005730;GO:0003700;GO:0043565	Putative DNA-binding protein (Winged helix-turn-helix transcription repressor DNA-binding protein)
XP_018479724.1	238					
XP_018479725.1	166	AT1G15230.1	AT1G15230.1	orthologue	GO:0005737;GO:0003674	At1g15230/F9L1_18 (F9L1.18 protein)
XP_018479726.1	332	AT5G41000.1	AT5G41000.1	other	GO:0005774;GO:0009705;GO:0035673;GO:0000325;GO:0034755;GO:0009507;GO:0016020	Probable metal-nicotianamine transporter YSL4 (Protein YELLOW STRIPE LIKE 4) (AtYSL4);YELLOW STRIPE like 4
XP_018479727.1	325	AT2G21090.1	AT2G21090.1	other	GO:0005575;GO:0005739;GO:0003723;GO:0009451;GO:0005515	Pentatricopeptide repeat-containing protein At2g21090
XP_018479728.1	406				GO:0003700;GO:0006355;GO:0005634	
XP_018479729.1	370	AT2G21520.2	AT2G21520.2	other	GO:0005794;GO:0005739;GO:0003674;GO:0000139;GO:0005886;GO:0015031	Phosphatidylinositol/phosphatidylcholine transfer protein SFH8 (Protein SEC FOURTEEN HOMOLOGS 8) (AtSFH8);Sec14p-like phosphatidylinositol transfer family protein
XP_018479730.1	676	AT5G36880.2	AT5G36880.2	orthologue	GO:0009570;GO:0009507;GO:0005829;GO:0006085;GO:0019427;GO:0003987;GO:0016208;GO:0009536;GO:0006083;GO:0005524;GO:0006631;GO:0009514	Acetyl-coenzyme A synthetase (EC 6.2.1.1);Acetyl-coenzyme A synthetase, chloroplastic/glyoxysomal (EC 6.2.1.1) (Acetate--CoA ligase) (Acetyl-CoA synthetase)
XP_018479731.1	548	AT2G21720.2	AT2G21720.2	orthologue	GO:0003674;GO:0005575;GO:0016020	ArgH (DUF639)
XP_018479732.1	89	AT2G21725.1	AT2G21725.1	orthologue	GO:0005576;GO:0003674;GO:0008150;GO:0031640;GO:0050832	Putative defensin-like protein 79
XP_018479733.1	442	AT4G18250.1, AT5G38280.2, AT1G66930.2, AT1G67000.1, AT1G66910.1, AT1G66920.2, AT5G38250.1, AT5G38240.1	AT5G38280.2	other	GO:0004674;GO:0044024;GO:0005576;GO:0006468;GO:0030247;GO:0016310;GO:0004675;GO:0009620;GO:0004672;GO:0016301;GO:0009506;GO:0005634;GO:0005575;GO:0005886;GO:0005524;GO:0016020;GO:0106310	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.2 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.2);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.3 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.3);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.4 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.4);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.5 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.5);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.7 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.7);LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.8 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.8);PR5-like receptor kinase;PR5-like receptor kinase (EC 2.7.11.1);Protein kinase family protein;Receptor Serine/Threonine kinase-like protein;non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_018479734.1	160	AT1G15220.1	AT1G15220.1	orthologue	GO:0005739;GO:0009793;GO:0005515;GO:0005743;GO:0017004;GO:0016491;GO:0032991;GO:0046872	Cytochrome c-type biogenesis CcmH-like mitochondrial protein (AtCCMH)
XP_018479735.1	304	AT2G22330.2	AT2G22330.2	other	GO:0019761;GO:0052544;GO:0016709;GO:0002229;GO:0010112;GO:0006952;GO:0016705;GO:0009684;GO:0009507;GO:0009617;GO:0009682;GO:0006569;GO:0016020;GO:0042742;GO:0009611;GO:0009625;GO:0010120;GO:0020037;GO:0005506;GO:0004497;GO:0090489	Cytochrome P450, family 79, subfamily B, polypeptide 3;Tryptophan N-monooxygenase 2 (EC 1.14.14.156) (Cytochrome P450 79B3) (Tryptophan N-hydroxylase 2)
XP_018479736.1	383	AT2G21680.1	AT2G21680.1	orthologue	GO:0008150;GO:0005634;GO:0003674;;GO:0005515	Putative F-box/kelch-repeat protein At2g21680
XP_018479737.1	197	AT2G21690.1	AT2G21690.1	orthologue	GO:0003729;GO:0005634;GO:1990428;GO:0003723;GO:0003676	Putative glycine-rich RNA binding protein (RNA-binding (RRM/RBD/RNP motifs) family protein)
XP_018479738.1	290					
XP_018479739.1	689	AT2G21720.2	AT2G21720.2	orthologue	GO:0003674;GO:0005575;GO:0016020	ArgH (DUF639)
XP_018479740.1	367				GO:0005515	
XP_018479741.1	196					
XP_018479743.1	244					
XP_018479744.1	109	AT2G22320.1	AT2G22320.1	orthologue	GO:0008150;GO:0005575;GO:0003674	Uncharacterized protein At2g22320
XP_018479745.1	292	AT3G47680.1	AT3G47680.1	other	GO:0003674;GO:0008150;GO:0009507	At3g47680 (DNA binding protein);Ternary complex factor MIP1 leucine-zipper protein
XP_018479746.1	108	AT2G22370.1	AT2G22370.1	other	GO:0006355;GO:0003712;GO:1900150;GO:0035196;GO:0009723;GO:0016592;GO:0005515;GO:0032784;GO:2000031;GO:0031554;GO:0048443;GO:2000028;GO:0048441;GO:0045892;GO:0060261;GO:0048440;GO:0048442;GO:0009737;GO:2000142;GO:0048833;GO:0048510;GO:0010219;GO:0070847;GO:0005634;GO:0006353;GO:0006952;GO:0009738;GO:0009873;GO:0006357;GO:0006369	Mediator of RNA polymerase II transcription subunit 18
XP_018479747.1	292	AT3G47680.1	AT3G47680.1	other	GO:0003674;GO:0008150;GO:0009507	At3g47680 (DNA binding protein);Ternary complex factor MIP1 leucine-zipper protein
XP_018479748.1	456	AT5G49200.1, AT5G40880.1	AT5G40880.1	orthologue	GO:0003674;GO:0005634;GO:0008150;GO:0005515;GO:0003677;GO:0008270;GO:0046872	WD-40 repeat family protein / zfwd3 protein (ZFWD3);Zinc finger CCCH domain-containing protein 59 (AtC3H59) (Zinc finger CCCH domain and WD40 repeat-containing protein 3);Zinc finger CCCH domain-containing protein 62 (AtC3H62) (Zinc finger CCCH domain and WD40 repeat-containing protein 4)
XP_018479749.1	172	AT1G15220.1	AT1G15220.1	orthologue	GO:0005739;GO:0009793;GO:0005515;GO:0005743;GO:0017004;GO:0016491;GO:0032991;GO:0046872	Cytochrome c-type biogenesis CcmH-like mitochondrial protein (AtCCMH)
XP_018479750.1	1429	AT5G28780.1, AT3G51700.1, AT3G51690.1	AT3G51700.1	other	GO:0005634;GO:0032508;GO:0005657;GO:0006260;GO:0003677;GO:0004386;GO:0005737;GO:0000723;GO:0003678;GO:0006281	PIF1 helicase
XP_018479751.1	238	AT3G31925.1	AT3G31925.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0003677	Replication protein A 70 kDa DNA-binding subunit B-like protein
XP_018479752.1	296	AT3G21660.2	AT3G21660.2	other	GO:0031468;GO:0000045;GO:0043161;GO:0005634;GO:0061025;GO:0005829;GO:0007030;GO:0043130;;GO:0005515	Plant UBX domain-containing protein 6 (PUX6);UBX domain-containing protein
XP_018479753.1	158				GO:0003676;GO:0004523	
XP_018479754.1	292	AT3G01610.2	AT3G01610.2	other	GO:0005634;GO:0005524;GO:0009793;GO:0016887;GO:1990275;GO:0042254;GO:0005856;GO:0009524;GO:0015031;GO:0051301;GO:0005737;GO:0003723;GO:0051973	Cell division control protein 48 homolog C (AtCDC48c) (Protein EMBRYO DEFECTIVE 1354);Cell division cycle 48C
XP_018479756.1	150	AT4G09490.1	AT4G09490.1	other	GO:0004523;GO:0003676;GO:0008150;GO:0005575;GO:0016740	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
XP_018479757.1	1299				GO:0003824;GO:0003676;GO:0004523	
XP_018479758.1	441	AT4G15400.1, AT5G47980.1	AT4G15400.1	other	GO:0003674;GO:0009507;GO:0010268;GO:0005829;GO:0009741;GO:0010422;GO:0009962;GO:0009646;GO:0009742;GO:0016131;GO:0005737;GO:0016746	BAHD acyltransferase At5g47980 (EC 2.3.1.-);BAHD acyltransferase BIA1 (EC 2.3.1.-) (Protein ABNORMAL SHOOT 1) (Protein BRASSINOSTEROID INACTIVATOR 1)
XP_018479760.1	49	AT2G23067.1	AT2G23067.1	orthologue	GO:0003674;GO:0005634;GO:0008150	Membrane lipoprotein
XP_018479761.1	806	AT3G05650.1, AT3G05660.1, AT3G11080.1, AT5G27060.2, AT3G11010.2, AT2G15080.1, AT5G25910.1, AT2G15042.1, AT3G28890.1	AT3G05650.1	other	GO:0005575;GO:0003674;GO:0005576;GO:0007165;GO:0016301;GO:0005886;GO:0050832;GO:0010200;GO:0002758;GO:0042742;GO:0030154;GO:1905392;GO:0005515	Receptor like protein (AtRLP);Receptor like protein 34;Receptor-like protein 18 (AtRLP18);Receptor-like protein 19 (AtRLP19);Receptor-like protein 32 (AtRLP32);Receptor-like protein 33 (AtRLP33);Receptor-like protein 34 (AtRLP34);Receptor-like protein 35 (AtRLP35);Receptor-like protein 43 (AtRLP43);Receptor-like protein 52 (AtRLP52);Receptor-like protein 53 (AtRLP53)
XP_018479762.1	204	AT2G23210.1	AT2G23210.1	orthologue	GO:0008150;GO:0080044;GO:0016757;GO:0080043;GO:0005737;GO:0010294	Glycosyltransferase (UDP-glucoronosyl/UDP-glucosyl transferase family protein)
XP_018479766.1	379	AT2G41360.1, AT2G22060.1	AT2G41360.1	other	GO:0005575;GO:0003674;GO:0008150;GO:0005739;;GO:0005515	Galactose oxidase/kelch repeat protein;Putative F-box/kelch-repeat protein At2g41360
XP_018479767.1	372	AT2G24370.1	AT2G24370.1	other	GO:0004672;GO:0008150;GO:0005634;GO:0005524;GO:0016787;GO:0006468	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
XP_018479768.1	402	AT2G13770.1	AT2G13770.1	other	GO:0008150;GO:0005575;GO:0003674	Nuclease
XP_018479769.1	208	AT2G24285.2, AT3G42940.1, AT2G24480.1, AT3G28620.1, AT5G43200.1, AT2G24460.1	AT2G24480.1	orthologue	GO:0003674;GO:0005634;GO:0008150;GO:0006511;GO:0061630;GO:0005737;GO:0008270;GO:0016020	C3HC4-type RING finger protein;Gb|AAD18119.1 (Zinc finger, C3HC4 type (RING finger) family protein);Zinc finger, C3HC4 type (RING finger) family protein
XP_018479770.1	296	AT2G24650.1, AT2G24680.6, AT2G24681.1, AT2G24696.1	AT2G24680.6	other	GO:0003674;GO:0005634;GO:0008150;GO:0005739;GO:0009507;GO:0003677	AP2/B3-like transcriptional factor family protein;B3 domain-containing protein REM-like 2 (Protein REPRODUCTIVE MERISTEM-like 2);B3 domain-containing protein REM11 (Protein REPRODUCTIVE MERISTEM 11);B3 domain-containing protein REM12 (Protein REPRODUCTIVE MERISTEM 12);B3 domain-containing protein REM13;B3 domain-containing protein REM13 (Protein REPRODUCTIVE MERISTEM 13);Transcriptional factor B3 family protein
XP_018479771.1	709					
XP_018479772.1	297	AT2G24650.1, AT2G24680.6, AT2G24681.1, AT2G24696.1	AT2G24680.6	other	GO:0003674;GO:0005634;GO:0008150;GO:0005739;GO:0009507;GO:0003677	AP2/B3-like transcriptional factor family protein;B3 domain-containing protein REM-like 2 (Protein REPRODUCTIVE MERISTEM-like 2);B3 domain-containing protein REM11 (Protein REPRODUCTIVE MERISTEM 11);B3 domain-containing protein REM12 (Protein REPRODUCTIVE MERISTEM 12);B3 domain-containing protein REM13;B3 domain-containing protein REM13 (Protein REPRODUCTIVE MERISTEM 13);Transcriptional factor B3 family protein
XP_018479773.1	267	AT1G64840.1, AT2G24250.1	AT2G24250.1	other	GO:0005575;GO:0005515;GO:0008150;GO:0005634;GO:0005737	F-box/kelch-repeat protein At1g64840;F-box/kelch-repeat protein At2g24250
XP_018479774.1	425	AT1G64840.1, AT2G24250.1	AT1G64840.1	other	GO:0005575;GO:0005515;GO:0008150;GO:0005634;GO:0005737	F-box/kelch-repeat protein At1g64840;F-box/kelch-repeat protein At2g24250
XP_018479775.1	1582	AT1G15290.1	AT1G15290.1	orthologue	GO:0019750;GO:0005634;GO:0005576;GO:0006996;GO:0003729;GO:0005737;GO:0005829;GO:0005515	Protein REDUCED CHLOROPLAST COVERAGE 3;Tetratricopeptide repeat (TPR)-like superfamily protein
XP_018479776.1	902	AT5G27100.1, AT4G31710.2	AT5G27100.1	other	GO:0005886;GO:0015276;GO:0071230;GO:0005515;GO:0019722;GO:0008066;GO:0006816;GO:0006874;GO:0009416;GO:0005217;GO:0009624;GO:0005262;GO:0038023;GO:0016020	Glutamate receptor;Glutamate receptor 2.1 (Ligand-gated ion channel 2.1) (AtGLR3);Glutamate receptor 2.4 (Ligand-gated ion channel 2.4)
XP_018479777.1	207	AT1G30800.1	AT1G30800.1	orthologue	GO:0009834;GO:0003674;GO:0016020;GO:0005886	At1g30800 (Fasciclin-like arabinogalactan family protein) (T17H7.8)
XP_018479778.1	815	AT2G25140.1	AT2G25140.1	other	GO:0005737;GO:0042026;GO:0009408;GO:0009941;GO:0034605;GO:0009570;GO:0016887;GO:0009507;GO:0005739;GO:0005524	Chaperone protein ClpB4, mitochondrial (ATP-dependent Clp protease ATP-binding subunit ClpB homolog 4) (Casein lytic proteinase B4)
XP_018479779.1	307	AT1G34440.1, AT1G43730.1, AT2G02520.1, AT3G25727.1, AT3G27590.1, AT4G04650.1, AT4G05095.1, AT5G16486.1, AT5G28615.1	AT4G04650.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005739;GO:0009409;GO:0010319;GO:0003964;GO:0016020	AT4g04650 protein (RNA-directed DNA polymerase (Reverse transcriptase)-related family protein) (T19J18.5 protein);Non-LTR retrolelement reverse transcriptase;Putative non-LTR retroelement reverse transcriptase (RNA-directed DNA polymerase (Reverse transcriptase)-related family protein);RNA-directed DNA polymerase (Reverse transcriptase)-related family protein;Reverse transcriptase family protein;Transmembrane protein
XP_018479781.1	411	AT2G25090.1	AT2G25090.1	orthologue	GO:0005515;GO:0004674;GO:0042538;GO:0006814;GO:0007165;GO:0005575;GO:0005524;GO:0106310;GO:0006468;GO:0004672	CBL-interacting serine/threonine-protein kinase 16 (EC 2.7.11.1) (SNF1-related kinase 3.18) (SOS2-like protein kinase PKS15)
XP_018479782.1	579	AT2G25180.1	AT2G25180.1	orthologue	GO:0009414;GO:0031537;GO:0010380;GO:0010492;GO:0009736;GO:0048367;GO:0005737;GO:0003700;GO:0010082;GO:0080113;GO:0048364;GO:0080036;GO:0009735;GO:0000156;GO:0071368;GO:0005634;GO:0080022;GO:1990110;GO:0003677;GO:0000160	Two-component response regulator ARR12
XP_018479783.1	228	AT5G41220.1	AT5G41220.1	other	GO:0009407;GO:0005737;GO:0009536;GO:0004364;GO:0005634	Glutathione S-transferase T3 (AtGSTT3) (EC 2.5.1.18) (GST class-theta member 3) (Glutathione S-transferase 10C);glutathione transferase (EC 2.5.1.18)
XP_018479784.1	460	AT2G13770.1	AT2G13770.1	other	GO:0008150;GO:0005575;GO:0003674	Nuclease
XP_018479785.1	1011	AT1G15240.2	AT1G15240.2	orthologue	GO:0005737;GO:0035091;GO:0007165;GO:0005634;GO:0005768;GO:0016020	At1g15240 (Phox (PX) domain-containing protein);Phox (PX) domain-containing protein
XP_018479786.1	803	AT5G03435.1, AT3G61720.1	AT3G61720.1	orthologue	GO:0003674;GO:0008150;GO:0005634;GO:0005829;GO:0005886;GO:0005789;GO:0046872;GO:0016020;GO:0016757	Ca2+dependent plant phosphoribosyltransferase family protein;Multiple C2 domain and transmembrane region protein 12;Multiple C2 domain and transmembrane region protein 13
XP_018479787.1	555	AT1G23480.1	AT1G23480.1	orthologue	GO:0051753;GO:0016757;GO:0005794;GO:0047259;GO:0016759;GO:0000139;GO:0071555	Probable glucomannan 4-beta-mannosyltransferase 3 (EC 2.4.1.32) (Cellulose synthase-like protein A3) (AtCslA3) (Glucomannan synthase) (Mannan synthase 3);glucomannan 4-beta-mannosyltransferase (EC 2.4.1.32) (Glucomannan synthase)
XP_018479788.1	507					
XP_018479789.1	464				GO:0003824	
XP_018479790.1	711				GO:0003676;GO:0004523	
XP_018479791.1	948	AT2G22440.1	AT2G22440.1	other	GO:0005575;GO:0008150;GO:0003674;GO:0003964;GO:0003676;GO:0004523	Non-LTR retroelement reverse transcriptase
XP_018479792.1	287	AT3G45480.1, AT3G45460.1, AT3G45510.1	AT3G45460.1	orthologue	GO:0004842;GO:0006511;GO:0061630;GO:0004523;GO:0005737;GO:0003676;GO:0016567;GO:0031624;GO:0000151;GO:0008270;GO:0005739;GO:0016020	RBR-type E3 ubiquitin transferase (EC 2.3.2.31)
XP_018479793.1	104				GO:0005509	
XP_018479794.1	509	AT3G45680.1	AT3G45680.1	other	GO:0055085;GO:0006857;GO:0015706;GO:0005886;GO:0071472;GO:0022857;GO:0015112;GO:0009624;GO:0042128;GO:0016020	Protein NRT1/ PTR FAMILY 2.3 (AtNPF2.3) (Probable nitrate excretion transporter 3) (Protein NAXT1-like 2)
XP_018479795.1	502	AT3G45680.1	AT3G45680.1	other	GO:0055085;GO:0006857;GO:0015706;GO:0005886;GO:0071472;GO:0022857;GO:0015112;GO:0009624;GO:0042128;GO:0016020	Protein NRT1/ PTR FAMILY 2.3 (AtNPF2.3) (Probable nitrate excretion transporter 3) (Protein NAXT1-like 2)
XP_018479796.1	205	AT3G23960.1, AT3G10990.1	AT3G23960.1	orthologue	GO:0005575;GO:0008150;GO:0003674;GO:0005739;;GO:0005515	F-box associated ubiquitination effector family protein;Putative F-box protein At3g23960
XP_018479797.1	476	AT2G26490.1	AT2G26490.1	orthologue	GO:0008150;GO:0009846;GO:0005634;GO:0005515;GO:0005737	Protein JINGUBANG
XP_018479798.1	129	AT5G45920.1	AT5G45920.1	orthologue	GO:0005737;GO:0008150;GO:0016788;GO:0016042	GDSL esterase/lipase At5g45920 (EC 3.1.1.-);SGNH hydrolase-type esterase superfamily protein
XP_018479799.1	348	AT2G20970.2	AT2G20970.2	orthologue	GO:0005739;GO:0003674;GO:0008150;GO:0016020	Lipid-binding protein
XP_018479800.1	849	AT2G27380.1	AT2G27380.1	orthologue	GO:0005199;GO:0009845;GO:0005575;GO:0009827;GO:0005576;GO:0009530	Proline-rich extensin-like protein EPR1 (Protein EXTENSIN PROLINE-RICH 1)
XP_018479801.1	304	AT1G08340.1	AT1G08340.1	other	GO:0005737;GO:0007165;GO:0005886;GO:0003674;GO:0005096	Rho GTPase-activating protein 5 (Rho-type GTPase-activating protein 5)
XP_018479802.1	408	AT4G19930.1	AT4G19930.1	orthologue	GO:0005739;GO:0003674;GO:0008150;;GO:0005515	F-box/kelch-repeat protein At4g19930
XP_018479803.1	159	AT2G27460.1	AT2G27460.1	other	GO:0010584;GO:0008270;GO:0090110;GO:0030127;GO:0006888;GO:0070971;GO:0006886;GO:0048658;GO:0005737;GO:0000149;GO:0005789	Protein transport protein SEC23 D (AtSEC23D) (Protein transport protein SEC23/SEC24-like 1) (AtSec23/Sec24L1) (Protein transport protein SEC24 D)
