Euclidium_syriacum	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
ESY7_g16592_DN2_SP0_c0.t1	156	AT5G44520.2	AT5G44520.2	orthologue	GO:0009052;GO:0009507;GO:0005737;GO:0004751;GO:0016740	Probable ribose-5-phosphate isomerase 4, chloroplastic (EC 5.3.1.6) (Phosphoriboisomerase 4);ribose-5-phosphate isomerase (EC 5.3.1.6)
ESY7_g16595_DN3_SP0_c0.t1	192					
ESY7_g16596_DN2_SP0_c0.t1	128	AT5G63240.1, AT5G63250.1	AT5G63250.1	orthologue	GO:0003674;GO:0005576;GO:0008150;GO:0005886;GO:0009506;GO:0098552	At5g63240 (Carbohydrate-binding X8 domain superfamily protein);At5g63250 (Carbohydrate-binding X8 domain superfamily protein)
ESY7_g16597_DN1_SP0_c0.t1	76					
ESY7_g16599_DN3_SP0_c0.t1	290	AT5G44520.2	AT5G44520.2	orthologue	GO:0009052;GO:0009507;GO:0005737;GO:0004751;GO:0016740	Probable ribose-5-phosphate isomerase 4, chloroplastic (EC 5.3.1.6) (Phosphoriboisomerase 4);ribose-5-phosphate isomerase (EC 5.3.1.6)
ESY7_g16600_DN3_SP0_c0.t1	864	AT5G44530.2	AT5G44530.2	orthologue	GO:0004252;GO:0005576;GO:0006508;GO:0008236	Subtilase family protein;Subtilisin-like protease SBT2.3 (EC 3.4.21.-) (Subtilase subfamily 2 member 3) (AtSBT2.3)
ESY7_g16601_DN3_SP0_c0.t1	116	AT5G44540.1	AT5G44540.1	orthologue	GO:0009507;GO:0008150;GO:0003674	Similarity to tapetum-specific protein (Tapetum specific protein TAP35/TAP44)
ESY7_g16603_DN3_SP1_c0.t1	195	AT5G44550.1	AT5G44550.1	orthologue	GO:0005576;GO:0005886;GO:0005515	CASP-like protein 1B1 (AtCASPL1B1)
ESY7_g16604_DN3_SP1_c0.t1	179	AT4G20380.8	AT4G20380.8	other	GO:0000303;GO:0009626;GO:0009862;GO:0005576;GO:0043069;GO:0010104;GO:0043067;GO:0005515;GO:0002240;GO:0001666;GO:0010310;GO:0010618;GO:0010602;GO:0009409;GO:0003700;GO:0005634;GO:0005737	LSD1 zinc finger family protein;Protein LSD1 (Protein CHILLING SENSITIVE 4) (Protein LESION SIMULATING DISEASE 1) (AtLSD1) (Putative zinc finger LSD1)
ESY7_g16605_DN3_SP8_c0.t1	224	AT5G44560.1	AT5G44560.1	orthologue	GO:0000815;GO:0005771;GO:0005515;GO:0045324;GO:0005634;GO:0032509;GO:0007034;GO:0015031;GO:0016192	SNF7 family protein;Vacuolar protein sorting-associated protein 2 homolog 2 (AtVPS2-2) (Charged multivesicular body protein 2 homolog 2) (ESCRT-III complex subunit VPS2 homolog 2)
ESY7_g16609_DN1_SP0_c0.t1	221					
ESY7_g16612_DN3_SP0_c11.t1	154					
ESY7_g16617_DN2_SP0_c0.t1	104					
ESY7_g16619_DN3_SP0_c0.t1	110	AT1G28540.1	AT1G28540.1	orthologue	GO:0005634;GO:0009527;GO:0005741;GO:0003674;GO:0016020	At1g28540 (F1K23.22) (Transmembrane protein)
ESY7_g16620_DN3_SP0_c0.t1	440	AT1G28560.3	AT1G28560.3	orthologue	GO:0009301;GO:0071365;GO:0042796;GO:0042795;GO:0009942;GO:0005634;GO:0043697;GO:0001046;GO:0000978;GO:0071368;GO:1905392;GO:0010311;GO:0010014;GO:0060184;GO:0001006;GO:0009926;GO:0003681;GO:0019185;GO:0009945;GO:0003677;GO:0009734	snRNA activating complex family protein;snRNA-activating protein complex subunit (SNAPc subunit) (Protein SHOOT REDIFFERENTIATION DEFECTIVE 2)
ESY7_g16621_DN3_SP0_c0.t1	473	AT4G20360.1	AT4G20360.1	other	GO:0009534;GO:0070125;GO:0009535;GO:0003924;GO:0009536;GO:0009507;GO:0009941;GO:0048366;GO:0003729;GO:0009570;GO:0005515;GO:0009658;GO:0048046;GO:0042644;GO:0005739;GO:0003746;GO:0005730;GO:0018119;GO:0005634;GO:0005525;GO:0006414	Elongation factor Tu, chloroplastic (EF-Tu) (Ras-related protein RABE1b) (AtRABE1b) (Ras-related protein Rab8D) (AtRab8D)
ESY7_g16622_DN3_SP0_c0.t1	339	AT5G44600.1, AT5G44590.1	AT5G44600.1	orthologue	GO:0008150;GO:0009507;GO:0008168;GO:0032259	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
ESY7_g16624_DN3_SP0_c0.t1	342	AT5G44600.1, AT5G44590.1	AT5G44600.1	orthologue	GO:0008150;GO:0009507;GO:0008168;GO:0032259	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
ESY7_g16625_DN2_SP0_c0.t1	65					
ESY7_g16627_DN2_SP0_c0.t1	140	AT5G01270.2	AT5G01270.2	orthologue	GO:0034244;GO:0009734;GO:0045814;GO:2000028;GO:0005515;GO:0006970;GO:0008420;GO:0005634;GO:0010025;GO:0048589;GO:0016791;GO:0009733;GO:0004722;GO:0017018;GO:0005737;GO:0003723;GO:0010468;GO:0046872;GO:0009755;GO:0045892;GO:0070940	RNA polymerase II C-terminal domain phosphatase-like 2 (FCP-like 2) (EC 3.1.3.16) (ASI1-immunoprecipitated protein 4) (Carboxyl-terminal phosphatase-like 2) (AtCPL2) (CTD phosphatase-like 2);protein-serine/threonine phosphatase (EC 3.1.3.16)
ESY7_g16632_DN3_SP0_c0.t1	302	AT4G20260.4	AT4G20260.4	other	GO:0071286;GO:0080025;GO:0009409;GO:0005881;GO:0043622;GO:0005886;GO:0031117;GO:0072709;GO:0005546;GO:0071219;GO:0071280;GO:0009414;GO:0005507;GO:0051511;GO:0031115;GO:0000325;GO:0005547;GO:0071472;GO:0008017;GO:0035865;GO:0005829;GO:0006499;GO:0005516;GO:0071325;GO:0043325;GO:0010350;GO:0071281;GO:0018008;GO:0005509;GO:0090332;GO:0009506;GO:0005515;GO:0051592;GO:0075733;GO:0043657	Plasma membrane-associated cation-binding protein 1 (AtPCAP1) (Microtubule-destabilizing protein 25);Plasma-membrane associated cation-binding protein 1
ESY7_g16633_DN1_SP0_c0.t1	221	AT1G08970.1	AT1G08970.1	other	GO:0005634;GO:0006357;GO:0005515;GO:0009738;GO:0000976;GO:0000981;GO:0005576;GO:0000978;GO:0009740;GO:0003700;GO:0010029;GO:0005737;GO:0043565;GO:2000306;GO:0046982;GO:0003677	Nuclear transcription factor Y subunit C-9 (AtNF-YC-9) (Transcriptional activator HAP5C)
ESY7_g16634_DN3_SP0_c0.t1	91	AT3G57190.1	AT3G57190.1	other	GO:0043488;GO:0009658;GO:0006415;GO:0009507;GO:0009570;GO:0043565;GO:0003747;GO:0003730;GO:0005515	Peptide chain release factor PrfB3, chloroplastic (AtPrfB3)
ESY7_g16636_DN1_SP0_c0.t1	65					
ESY7_g16637_DN3_SP0_c0.t1	327	AT3G18150.1	AT3G18150.1	other	GO:0008150;GO:0003674;GO:0005739	Putative F-box/LRR-repeat protein At3g18150
ESY7_g16639_DN3_SP0_c0.t1	123					
ESY7_g16640_DN3_SP8_c0.t1	289	AT2G39010.1	AT2G39010.1	orthologue	GO:0015250;GO:0003729;GO:0015267;GO:0055085;GO:0006833;GO:0005794;GO:0005886;GO:0009624;GO:0016020	Plasma membrane intrinsic protein 2E;Probable aquaporin PIP2-6 (Plasma membrane intrinsic protein 2-6) (AtPIP2;6) (Plasma membrane intrinsic protein 2e) (PIP2e)
ESY7_g16642_DN1_SP0_c0.t1	158					
ESY7_g16643_DN3_SP8_c0.t1	830	AT5G44635.2	AT5G44635.2	orthologue	GO:0005634;GO:0003678;GO:0042555;GO:0000727;GO:0006268;GO:1902969;GO:0006270;GO:0005515;GO:0000785;GO:0000347;GO:0003697;GO:1990518;GO:0003677;GO:0005524;GO:0008270;GO:0016887;GO:0006260;GO:0017116	DNA replication licensing factor MCM6 (EC 3.6.4.12);DNA replication licensing factor MCM6 (EC 3.6.4.12) (Minichromosome maintenance protein 6) (AtMCM6)
ESY7_g16644_DN1_SP0_c59.t1	76					
ESY7_g16647_DN3_SP0_c0.t1	633	AT5G44660.1	AT5G44660.1	orthologue	GO:0048564;GO:0080183;GO:0003674;GO:0009535;GO:0005634	At5g44650 (At5g44660)
ESY7_g16648_DN3_SP3_c0.t1	509	AT5G44670.1	AT5G44670.1	orthologue	GO:0070085;GO:0005737;GO:0005773;GO:0042546;GO:0016757;GO:0000139;GO:0071555	Galactan beta-1,4-galactosyltransferase GALS2 (EC 2.4.1.-) (Beta-1,4-galactan synthase) (Galactan synthase 2)
ESY7_g16649_DN3_SP2_c0.t1	348	AT5G44680.1	AT5G44680.1	orthologue	GO:0005634;GO:0006284;GO:0008725;GO:0046872;GO:0003824;GO:0006281	DNA glycosylase superfamily protein (Similarity to DNA-3-methyladenine glycosylase I)
ESY7_g16657_DN2_SP0_c0.t1	89	AT5G44690.1	AT5G44690.1	orthologue	GO:0005634;GO:0003674;GO:0008150	RING finger PFF0165c-like protein
ESY7_g16658_DN3_SP0_c0.t1	515	AT5G44690.1	AT5G44690.1	orthologue	GO:0005634;GO:0003674;GO:0008150	RING finger PFF0165c-like protein
ESY7_g16659_DN3_SP0_c14.t1	1257	AT5G44700.1	AT5G44700.1	orthologue	GO:0048226;GO:0160073;GO:0090708;GO:2000280;GO:0042659;GO:0009793;GO:0009553;GO:0051302;GO:0090558;GO:2000067;GO:0005515;GO:0004674;GO:0005886;GO:0005524;GO:0106310;GO:0004672;GO:0006468	LRR receptor-like serine/threonine-protein kinase GSO2 (EC 2.7.11.1) (Protein EMBRYO SAC DEVELOPMENT ARREST 23) (Protein GASSHO 2)
ESY7_g16660_DN3_SP5_c0.t1	102	AT5G44710.1	AT5G44710.1	orthologue	GO:0003674;GO:0005739;GO:0005840;GO:1990904	Small ribosomal subunit protein mS33
ESY7_g16661_DN3_SP6_c0.t1	308	AT5G44720.1	AT5G44720.1	orthologue	GO:0005739;GO:0030170;GO:0005829;GO:0030151;GO:0003824;GO:0032787	Molybdenum cofactor sulfurase family protein;Molybdenum cofactor sulfurase family protein (Similarity to unknown) (T19K24.17 protein)
ESY7_g16662_DN3_SP0_c0.t1	308	AT5G44720.1	AT5G44720.1	other	GO:0005739;GO:0030170;GO:0005829;GO:0030151;GO:0003824;GO:0032787	Molybdenum cofactor sulfurase family protein;Molybdenum cofactor sulfurase family protein (Similarity to unknown) (T19K24.17 protein)
ESY7_g16663_DN3_SP8_c0.t1	252	AT5G44730.1	AT5G44730.1	orthologue	GO:0071456;GO:0005575;GO:0003674;GO:0016787	At5g44730 (Dreg-2 like protein) (Haloacid dehalogenase-like hydrolase (HAD) superfamily protein)
ESY7_g16664_DN3_SP1_c0.t1	660	AT5G44740.2	AT5G44740.2	orthologue	GO:0042276;GO:0005634;GO:0009650;GO:0035861;GO:0005515;GO:0010224;GO:0003887;GO:0005657;GO:0009314;GO:0003684;GO:0006260;GO:0046872;GO:0006301;GO:0016740;GO:0071897;GO:0006281	DNA polymerase eta;DNA polymerase eta (EC 2.7.7.7) (Radiation-sensitive protein 30) (AtRAD30) (Y-family DNA polymerase H) (AtPOLH)
ESY7_g16665_DN3_SP0_c0.t1	334	AT2G40020.4	AT2G40020.4	orthologue	GO:0005634;GO:0003674;GO:0008168;GO:0032259	Nucleolar histone methyltransferase-related protein
ESY7_g16666_DN2_SP0_c0.t1	72					
ESY7_g16667_DN1_SP0_c0.t1	131					
ESY7_g16668_DN2_SP0_c0.t1	108					
ESY7_g16669_DN2_SP0_c0.t1	115					
ESY7_g16670_DN3_SP0_c0.t1	262	AT2G06420.1	AT2G06420.1	other	GO:0008150;GO:0003674;GO:0005739	En/Spm-like transposon, putative (DUF1985)
ESY7_g16671_DN3_SP0_c0.t1	1027	AT5G44750.2	AT5G44750.2	orthologue	GO:0042276;GO:0006974;GO:0070987;GO:0003684;GO:0003887;GO:0017125;GO:0005634;GO:0010224;GO:0046872;GO:0006281;GO:0016779	DNA repair protein REV1 (AtREV1) (EC 2.7.7.-) (Rev1-like terminal deoxycytidyl transferase)
ESY7_g16672_DN3_SP0_c0.t1	757	AT5G44760.1	AT5G44760.1	orthologue	GO:0003674;GO:0005634;GO:0016020	C2 domain-containing protein
ESY7_g16673_DN3_SP0_c0.t1	624	AT5G44780.1	AT5G44780.1	orthologue	GO:0046983;GO:0005737;GO:0009536;GO:0080156;GO:0016554;GO:0005739;GO:0006397	High molecular weight subunit-like glutenin;Multiple organellar RNA editing factor 4, mitochondrial (RNA editing-interacting protein 4)
ESY7_g16678_DN2_SP0_c0.t1	89					
ESY7_g16679_DN3_SP0_c0.t1	249					
ESY7_g16683_DN2_SP0_c0.t1	73	AT1G31010.1	AT1G31010.1	other	GO:0003697;GO:0042645;GO:0009507;GO:0006264;GO:0006260;GO:0051096	Protein OSB4, chloroplastic (Organellar single-stranded DNA-binding protein 4)
ESY7_g16687_DN3_SP0_c0.t1	479	AT5G44785.2	AT5G44785.2	orthologue	GO:0006264;GO:0009507;GO:0006260;GO:0005739;GO:0042645;GO:0003697;GO:0051096;GO:0009295	Organellar single-stranded DNA binding protein 3;Protein OSB3, chloroplastic/mitochondrial (Organellar single-stranded DNA-binding protein 3)
ESY7_g16688_DN3_SP8_c0.t1	1002	AT5G44790.1	AT5G44790.1	orthologue	GO:0005507;GO:0009873;GO:0043682;GO:0005802;GO:0005794;GO:0009723;GO:0140581;GO:0016887;GO:0055070;GO:0016020;GO:0005768;GO:0010119;GO:0005375;GO:0015662;GO:0005524;GO:0046872;GO:0006812;GO:0019829;GO:0000166;GO:0005215	Copper-transporting ATPase RAN1 (EC 7.2.2.8) (Protein HEAVY METAL ATPASE 7) (Protein RESPONSIVE TO ANTAGONIST 1)
ESY7_g16689_DN3_SP0_c0.t1	2218	AT5G44800.1	AT5G44800.1	orthologue	GO:0005634;GO:0009506;GO:0016887;GO:0003677;GO:0005515;GO:0000785;GO:0140658;GO:0042735;GO:0042393;GO:0006338;GO:0003682;GO:0004386;GO:0005524;GO:0006325;GO:0008270;GO:0016787	Protein CHROMATIN REMODELING 4 (AtCHR4) (EC 3.6.4.-) (Protein PICKLE RELATED 1)
ESY7_g16690_DN1_SP0_c0.t1	136					
ESY7_g16691_DN1_SP0_c0.t1	67					
ESY7_g16692_DN3_SP0_c0.t1	77					
ESY7_g16693_DN3_SP6_c0.t1	363	AT4G19975.1, AT5G44820.1	AT5G44820.1	orthologue	GO:0009507;GO:0003674;GO:0000139;GO:0016757;GO:0071555;GO:0016740	At5g44820 (Glycosyltransferase) (Nucleotide-diphospho-sugar transferase family protein);Glycosyltransferase (EC 2.4.2.-)
ESY7_g16695_DN3_SP0_c0.t1	363	AT4G19970.1	AT4G19970.1	other	GO:0005737;GO:0003674;GO:0000139;GO:0016757;GO:0071555	Glycosyltransferase (EC 2.4.2.-)
ESY7_g16696_DN3_SP0_c0.t1	321	AT5G44860.1	AT5G44860.1	orthologue	GO:0009507;GO:0008150;GO:0003674;GO:0016020	Gb|AAC79135.1 (Polyadenylate-binding protein 1-B-binding protein) (T19K24.3 protein)
ESY7_g16698_DN1_SP0_c0.t1	97	AT1G57670.1, AT5G44900.1, AT5G45220.1, AT1G60320.1, AT1G57830.1, AT1G09665.1	AT5G44900.1	other	GO:0003674;GO:0005737;GO:0007165;GO:0009507;GO:0005634;GO:0006952;GO:0016020	At5g44900 (Toll-Interleukin-Resistance (TIR) domain family protein);Disease resistance protein (TIR-NBS-LRR class) family;Disease resistance protein (TIR-NBS-LRR class) family (Similarity to disease resistance protein);Disease resistance protein RPS4, putative (Toll-Interleukin-Resistance (TIR) domain family protein);Toll-Interleukin-Resistance (TIR) domain family protein
ESY7_g16707_DN3_SP1_c0.t1	376	AT5G44930.1	AT5G44930.1	orthologue	GO:0035884;GO:0005515;GO:0005634;GO:0006486;GO:0005794;GO:0009832;GO:0000139;GO:0016757;GO:0071555;GO:0009101	Exostosin family protein;Probable arabinosyltransferase ARAD2 (EC 2.4.2.-) (Arabinan alpha-1,5-arabinosyltransferase) (L-Arabinosyltransferase) (Protein ARABINAN DEFICIENT 2)
ESY7_g16708_DN2_SP0_c0.t1	404	AT2G19630.1, AT2G31470.1, AT3G10990.1, AT3G23960.1, AT3G49440.1, AT3G61340.2, AT5G65850.1	AT2G31470.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0009788;GO:0009737;GO:0009414;GO:0042631;GO:0005515;GO:0016567;GO:0010118;GO:0010119;GO:0005739;GO:0009738	F-box and associated interaction domains-containing protein;F-box associated ubiquitination effector family protein;F-box associated ubiquitination effector family protein (F-box family protein-related);F-box protein At3g61340;F-box protein At5g65850;F-box protein DOR (Protein DROUGHT TOLERANCE REPRESSOR);Putative F-box protein At2g19630;Putative F-box protein At3g23960
ESY7_g16709_DN3_SP0_c0.t1	105	AT2G23680.1	AT2G23680.1	orthologue	GO:0005739;GO:0003674;GO:0005886;GO:0016020	Cold-regulated 413 plasma membrane protein 3 (AtCOR413-PM3)
ESY7_g16710_DN3_SP0_c0.t1	306	AT3G09960.1	AT3G09960.1	orthologue	GO:0005575;GO:0004725;GO:0005829;GO:0046872;GO:0016787	Tyrosine-protein phosphatase At3g09960 (EC 3.1.3.48)
ESY7_g16711_DN3_SP0_c0.t1	420	AT2G26030.4	AT2G26030.4	orthologue	GO:0005634;GO:0003674;;GO:0005515	F-box/FBD/LRR-repeat protein At2g26030;F-box/RNI-like/FBD-like domains-containing protein
ESY7_g16712_DN3_SP0_c0.t1	301	AT2G26030.4, AT5G44940.1, AT5G44950.1, AT5G44960.1, AT5G44970.1, AT5G44980.1	AT2G26030.4	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634	F-box/FBD/LRR-repeat protein At2g26030;F-box/FBD/LRR-repeat protein At5g44980;F-box/RNI-like/FBD-like domains-containing protein;Protein with RNI-like/FBD-like domain (Similarity to heat shock transcription factor);Putative F-box/FBD/LRR-repeat protein At5g44950;Putative F-box/FBD/LRR-repeat protein At5g44960;Putative FBD-associated F-box protein At5g44940
ESY7_g16713_DN3_SP0_c0.t1	95					
ESY7_g16715_DN1_SP0_c0.t1	135					
ESY7_g16716_DN3_SP0_c0.t1	475	AT5G44950.1, AT5G44970.1, AT5G44960.1, AT5G44940.1, AT5G44980.1	AT5G44950.1	other	GO:0003674;GO:0005575;GO:0008150;;GO:0005515	F-box/FBD/LRR-repeat protein At5g44980;F-box/RNI-like/FBD-like domains-containing protein;Protein with RNI-like/FBD-like domain (Similarity to heat shock transcription factor);Putative F-box/FBD/LRR-repeat protein At5g44950;Putative F-box/FBD/LRR-repeat protein At5g44960;Putative FBD-associated F-box protein At5g44940
ESY7_g16718_DN3_SP0_c0.t1	435	AT5G44950.1	AT5G44950.1	other	GO:0005575;GO:0008150;GO:0003674;;GO:0005515	Putative F-box/FBD/LRR-repeat protein At5g44950
ESY7_g16720_DN3_SP6_c0.t1	325	AT5G45020.1, AT5G44990.1	AT5G45020.1	orthologue	GO:0005634;GO:0004364;GO:0005737	AT5g45020/K21C13_21 (Glutathione S-transferase family protein);Glutathione S-transferase family protein
ESY7_g16721_DN3_SP7_c0.t1	605	AT5G45030.1	AT5G45030.1	orthologue	GO:0009507;GO:0008150;GO:0003674	AT5G45030 protein (Gb|AAC61821.1) (Trypsin family protein)
ESY7_g16722_DN3_SP5_c0.t1	173	AT5G45040.1	AT5G45040.1	orthologue	GO:0009055;GO:0009507;GO:0020037;GO:0005506;GO:0009543;GO:0015979	Cytochrome c6, chloroplastic (Cytochrome c-552) (Atc6) (Cytochrome c-553) (Cytochrome c553) (Soluble cytochrome f)
ESY7_g16723_DN3_SP1_c15.t1	540	AT4G19860.1	AT4G19860.1	orthologue	GO:0009395;GO:0008374;GO:0004620;GO:0005829;GO:0006629	Lecithin-cholesterol acyltransferase-like 4 (EC 2.3.1.-)
ESY7_g16724_DN1_SP0_c10.t1	73	AT1G10730.1	AT1G10730.1	orthologue	GO:0006886;GO:0031410;GO:0030131;GO:0016192;GO:0003674;GO:0005794;GO:0030665	AP-1 complex subunit mu-1 (Adaptor protein complex AP-1 subunit mu-1) (Adaptor protein-1 mu-adaptin 1) (Adaptor-related protein complex 1 subunit mu-1) (At-muB1-Ad) (Clathrin assembly protein complex 1 mu-1 medium chain) (Mu1-adaptin 1)
ESY7_g16725_DN3_SP0_c0.t1	308	AT5G45100.1	AT5G45100.1	orthologue	GO:0043161;GO:0004842;GO:0043067;GO:0005634;GO:0006952;GO:0008270	BOI-related E3 ubiquitin-protein ligase 1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRG1)
ESY7_g16726_DN3_SP7_c0.t1	357	AT4G19690.2	AT4G19690.2	other	GO:0005768;GO:0005886;GO:0005381;GO:0071577;GO:0006828;GO:0015675;GO:0009617;GO:0005384;GO:0006829;GO:0005385;GO:0005802;GO:0015086;GO:0009507;GO:0005375;GO:0015691;GO:0030001;GO:0006826;GO:0006879;GO:0005769;GO:0005773;GO:0016020;GO:0046873;GO:0055085	Fe(2+) transport protein 1 (Fe(II) transport protein 1) (Iron-regulated transporter 1)
ESY7_g16727_DN3_SP1_c0.t1	358	AT4G19690.2	AT4G19690.2	other	GO:0005768;GO:0005886;GO:0005381;GO:0071577;GO:0006828;GO:0015675;GO:0009617;GO:0005384;GO:0006829;GO:0005385;GO:0005802;GO:0015086;GO:0009507;GO:0005375;GO:0015691;GO:0030001;GO:0006826;GO:0006879;GO:0005769;GO:0005773;GO:0016020;GO:0046873;GO:0055085	Fe(2+) transport protein 1 (Fe(II) transport protein 1) (Iron-regulated transporter 1)
ESY7_g16728_DN3_SP5_c0.t1	347	AT4G19690.2	AT4G19690.2	other	GO:0005768;GO:0005886;GO:0005381;GO:0071577;GO:0006828;GO:0015675;GO:0009617;GO:0005384;GO:0006829;GO:0005385;GO:0005802;GO:0015086;GO:0009507;GO:0005375;GO:0015691;GO:0030001;GO:0006826;GO:0006879;GO:0005769;GO:0005773;GO:0016020;GO:0046873;GO:0055085	Fe(2+) transport protein 1 (Fe(II) transport protein 1) (Iron-regulated transporter 1)
ESY7_g16730_DN3_SP1_c0.t1	588	AT5G45110.1	AT5G45110.1	orthologue	GO:0009751;GO:0005515;GO:0009507;GO:0009627;GO:0016567;GO:0042742;GO:2000022;GO:0009626;GO:0009862;GO:2000031;GO:0010112;GO:0005634;GO:0042802;GO:1901149;GO:0050832;GO:0008270;GO:0042803	NPR1-like protein 3;Regulatory protein NPR3 (BTB/POZ domain-containing protein NPR3)
ESY7_g16732_DN3_SP0_c0.t1	493	AT5G45120.1	AT5G45120.1	orthologue	GO:0004190;GO:0008150;GO:0005576;GO:0003677;GO:0006508	Chloroplast nucleoid DNA-binding protein-like (Eukaryotic aspartyl protease family protein)
ESY7_g16734_DN3_SP8_c0.t1	201	AT5G45130.2	AT5G45130.2	orthologue	GO:0005515;GO:0005768;GO:0005525;GO:0030139;GO:0005774;GO:0007034;GO:0012505;GO:0006886;GO:0005783;GO:0003924;GO:0010008;GO:0015031	Ras small GTP-binding family protein;Ras-related protein RABF2a (AtRABF2a) (Ras-related protein Rab5A) (AtRab5A) (Ras-related protein Rha1)
ESY7_g16735_DN2_SP0_c0.t1	57	AT5G45130.2	AT5G45130.2	other	GO:0005515;GO:0005768;GO:0005525;GO:0030139;GO:0005774;GO:0007034;GO:0012505;GO:0006886;GO:0005783;GO:0003924;GO:0010008;GO:0015031	Ras small GTP-binding family protein;Ras-related protein RABF2a (AtRABF2a) (Ras-related protein Rab5A) (AtRab5A) (Ras-related protein Rha1)
ESY7_g16736_DN2_SP0_c0.t1	216	AT5G62830.1, AT3G17560.1	AT3G17560.1	orthologue	GO:0003674;GO:0008150;GO:0005575;GO:0005634;;GO:0005515	F-box associated ubiquitination effector family protein;Putative F-box protein At3g17560
ESY7_g16737_DN3_SP0_c0.t1	382	AT1G65190.1, AT1G65250.1, AT1G67470.1, AT3G57640.1	AT1G65250.1	other	GO:0003674;GO:0007166;GO:0005739;GO:0005886;GO:0006952;GO:0004672;GO:0005524;GO:0005634;GO:0016310;GO:0009266;GO:0050776;GO:0004674;GO:0006468	Inactive serine/threonine-protein kinase ZRK12;Non-functional pseudokinase ZRK15;Probable inactive receptor-like protein kinase At1g65250;Protein kinase superfamily protein (T23K8.10 protein)
ESY7_g16738_DN3_SP8_c0.t1	1167	AT5G45140.1	AT5G45140.1	orthologue	GO:0003899;GO:0001056;GO:0003677;GO:0005634;GO:0032549;GO:0006351;GO:0005666;GO:0009507;GO:0009561;GO:0000428;GO:0005739;GO:0008270;GO:0009536	DNA-directed RNA polymerase (EC 2.7.7.6);DNA-directed RNA polymerase III subunit 2 (DNA-directed RNA polymerase III subunit RPC2) (DNA polymerase I subunit C2) (EC 2.7.7.6) (Nuclear RNA polymerase C2)
ESY7_g16739_DN2_SP0_c0.t1	73					
ESY7_g16740_DN3_SP4_c0.t1	828	AT5G45160.1	AT5G45160.1	orthologue	GO:0016320;GO:0005783;GO:0005634;GO:0003924;GO:0005525;GO:0005789	Protein ROOT HAIR DEFECTIVE 3 homolog 2 (EC 3.6.5.-) (Protein SEY1 homolog 3)
ESY7_g16741_DN3_SP4_c0.t1	374	AT5G45170.1	AT5G45170.1	orthologue	GO:0009507;GO:0009570;GO:0008150;GO:0003674;GO:0016787	At5g45170 (Haloacid dehalogenase-like hydrolase (HAD) superfamily protein);Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
ESY7_g16742_DN3_SP8_c0.t1	571	AT5G45190.2	AT5G45190.2	orthologue	GO:0045944;GO:0032786;GO:0010090;GO:0005634;GO:0008024;GO:0050792;GO:0016538;GO:0009615;GO:0048366;GO:0006357;GO:0061575;GO:0009908;GO:0016020;GO:0051301	Cyclin family protein;Cyclin-T1-5 (CycT1;5) (Protein AtCycT-like1)
ESY7_g16743_DN3_SP0_c0.t1	273	AT5G41440.1, AT5G41450.1, AT5G41430.1	AT5G41430.1	orthologue	GO:0005634;GO:0003674;GO:0008150;GO:0005737;GO:0061630;GO:0016567;GO:0008270;GO:0016020;GO:0016740;GO:0006511	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
ESY7_g16744_DN3_SP0_c0.t1	180				GO:0006614;GO:0008312;GO:0048500;GO:0003924;GO:0005525;GO:0005786;GO:0005829;GO:0006616;GO:0030942	
ESY7_g16748_DN2_SP0_c0.t1	134					
ESY7_g16751_DN3_SP0_c32.t1	461	AT5G45210.4	AT5G45210.4	orthologue	GO:0005737;GO:0007165;GO:0006952;GO:0043531;GO:0005515	Disease resistance protein (TIR-NBS-LRR class) family;Disease resistance protein (TIR-NBS-LRR class) family (Disease resistance protein-like)
ESY7_g16752_DN2_SP0_c0.t1	123	AT3G62420.1	AT3G62420.1	other	GO:0045893;GO:0046982;GO:0005634;GO:0005515;GO:0003700;GO:0009267;GO:0006971;GO:2000693;GO:0000976;GO:0043565;GO:0045735	bZIP transcription factor 53 (AtbZIP53)
ESY7_g16764_DN3_SP0_c12.t1	693	AT5G45240.1	AT5G45240.1	orthologue	GO:0007165;GO:0006952;GO:0005737;GO:0043531	Disease resistance protein (TIR-NBS-LRR class)
ESY7_g16770_DN3_SP8_c0.t1	571	AT5G45275.1	AT5G45275.1	orthologue	GO:0003674;GO:0016020	Major facilitator superfamily protein
ESY7_g16771_DN2_SP0_c0.t1	96	AT3G50020.1, AT5G45277.1	AT5G45277.1	orthologue	GO:0004867;GO:0009611;GO:0005575;GO:0006952	Inhibitor of trypsin/hageman factor-like protein;Serine protease inhibitor, potato inhibitor I-type family protein
ESY7_g16773_DN3_SP6_c0.t1	391	AT5G45280.2	AT5G45280.2	orthologue	GO:0009505;GO:0071555;GO:0005576;GO:0005886;GO:0052793;GO:0009506;GO:0016787	Pectin acetylesterase 11 (EC 3.1.1.-)
