Camelina_sativa	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_019097424.1	456				GO:0003676;GO:0008270	
XP_019097425.1	884	AT5G48390.1	AT5G48390.1	orthologue	GO:0007143;GO:0000712;GO:0090173;GO:0007140;GO:0009507;GO:0003674;GO:0005634;GO:0005694;GO:0007129;GO:0071139;GO:0005515;GO:0051321	TPR repeat-containing protein ZIP4 (Protein SPO22 homolog) (AtSPO22) (Protein ZIP4 homolog) (AtZIP4)
XP_019097426.1	325				GO:0008270;GO:0003676;GO:0003677;GO:0004803;GO:0006313	
XP_019097427.1	278					
XP_019097428.1	261	AT5G24275.1	AT5G24275.1	other	GO:0005739;GO:0008150;GO:0003674	En/Spm-like transposon
XP_019097429.1	147					
XP_019097430.1	924	AT5G24710.1	AT5G24710.1	other	GO:0009555;GO:0072583;GO:0009536;GO:0003674;GO:0005515	Transducin/WD40 repeat-like superfamily protein
XP_019097431.1	182					
XP_019097432.1	364	AT4G32200.1	AT4G32200.1	orthologue	GO:0007130;GO:0005575;GO:0003674;GO:0003677;GO:0005634;GO:0005694;GO:0051321	DNA-binding HORMA family protein;Meiosis-specific protein ASY2 (Protein ASYNAPTIC 2)
XP_019097433.1	640	AT1G51172.1, AT2G15110.1, AT1G46696.1, AT4G03830.1	AT1G51172.1	orthologue	GO:0003674;GO:0005634;GO:0008150;GO:0005737	Transposase (putative) gypsy type domain-containing protein;Uncharacterized protein;Uncharacterized protein AT4g03830;Uncharacterized protein F2G19.33
XP_019097435.1	469	AT1G51172.1, AT2G15110.1, AT1G46696.1, AT4G03830.1	AT4G03830.1	orthologue	GO:0003674;GO:0005634;GO:0008150;GO:0005737	Transposase (putative) gypsy type domain-containing protein;Uncharacterized protein;Uncharacterized protein AT4g03830;Uncharacterized protein F2G19.33
XP_019097436.1	289	AT5G25290.1, AT5G25300.1, AT4G10820.1	AT5G25290.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;;GO:0005515	F-box family protein;F-box protein At5g25290;Probable F-box protein At5g25300
XP_019097437.1	312	AT5G25300.1	AT5G25300.1	orthologue	GO:0003674;GO:0005575;GO:0008150	Probable F-box protein At5g25300
XP_019097438.1	322				GO:0019005;GO:0031146;GO:0005515	
XP_019097439.1	369				GO:0046983;GO:0003677	
XP_019097440.1	153	AT3G16960.1	AT3G16960.1	orthologue	GO:0003674;GO:0005576;GO:0008150	Plant self-incompatibility protein S1 family protein
XP_019097441.1	299	AT4G23160.2	AT4G23160.2	other	GO:0042742;GO:0004674;GO:0004672;GO:0009626;GO:0016301;GO:0005886;GO:0007165;GO:0005524;GO:0106310;GO:0016020	Cysteine-rich RECEPTOR-like kinase;Cysteine-rich receptor-like protein kinase 8 (Cysteine-rich RLK8) (EC 2.7.11.-)
XP_019097442.1	479	AT5G25630.2	AT5G25630.2	orthologue	GO:0005739;GO:0003674;GO:0009507;;GO:0005515	Pentatricopeptide repeat-containing protein At5g25630;Tetratricopeptide repeat (TPR)-like superfamily protein
XP_019097443.1	1007	AT5G28780.1, AT3G51700.1, AT3G51690.1	AT3G51700.1	other	GO:0005634;GO:0032508;GO:0005657;GO:0006260;GO:0003677;GO:0004386;GO:0005737;GO:0000723;GO:0003678;GO:0006281	PIF1 helicase
XP_019097444.1	1215				GO:0003676;GO:0004523	
XP_019097445.1	633					
XP_019097446.1	166	AT1G66610.1, AT1G66620.1, AT1G66630.1, AT5G37870.1, AT5G37890.1, AT5G37900.1, AT5G37910.1, AT5G62800.1	AT5G37890.1	other	GO:0005634;GO:0061630;GO:0008270;GO:0005737;GO:0016567;GO:0005886;GO:0009411;GO:0016740	E3 ubiquitin-protein ligase SINA-like 1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SINA-like 1) (Seven in absentia-like protein 1);E3 ubiquitin-protein ligase SINA-like 11 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SINA-like 11) (Seven in absentia-like protein 11);E3 ubiquitin-protein ligase SINA-like 2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SINA-like 2) (Seven in absentia-like protein 2);E3 ubiquitin-protein ligase SINA-like 3 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SINA-like 3) (Seven in absentia-like protein 3);E3 ubiquitin-protein ligase SINA-like 7 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SINA-like 7) (Seven in absentia-like protein 7);E3 ubiquitin-protein ligase SINA-like 8 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SINA-like 8) (Seven in absentia-like protein 8);Putative E3 ubiquitin-protein ligase SINA-like 6 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SINA-like 6) (Seven in absentia-like protein 6);Putative E3 ubiquitin-protein ligase SINA-like 9 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SINA-like 9) (Seven in absentia-like protein 9)
XP_019097447.1	369	AT5G27000.1	AT5G27000.1	other	GO:0008017;GO:0007018;GO:0016887;GO:0015630;GO:0007017;GO:0003777;GO:0005515;GO:0005524;GO:0005737;GO:0005874	Kinesin-like protein KIN-14G (Kinesin-like protein KatD)
XP_019097448.1	164	AT4G23160.2	AT4G23160.2	other	GO:0042742;GO:0004674;GO:0004672;GO:0009626;GO:0016301;GO:0005886;GO:0007165;GO:0005524;GO:0106310;GO:0016020	Cysteine-rich RECEPTOR-like kinase;Cysteine-rich receptor-like protein kinase 8 (Cysteine-rich RLK8) (EC 2.7.11.-)
XP_019097449.1	172	ATMG00810.1	ATMG00810.1	other	GO:0008150;GO:0003674;GO:0005575;GO:0005739	Uncharacterized mitochondrial protein AtMg00810 (ORF240b)
XP_019097450.1	256	AT5G27830.4	AT5G27830.4	orthologue	GO:0009751;GO:0008517;GO:0005634;GO:0005576;GO:0015884;GO:0006979;GO:0005542;GO:0016020	Folate receptor family protein;Folate-binding protein 1 (AtFBP1)
XP_019097451.1	341	AT2G35250.1	AT2G35250.1	other	GO:0003674;GO:0005575;GO:0008150	NEP-interacting protein, putative (DUF239)
XP_019097452.1	400	AT5G27530.1	AT5G27530.1	orthologue	GO:0005975;GO:0004650;GO:0005575;GO:0005576;GO:0016829;GO:0045490;GO:0071555	Pectin lyase-like superfamily protein
XP_019097453.1	226	AT5G42905.1	AT5G42905.1	other	GO:0008150;GO:0005575;GO:0004523;GO:0003676;GO:0016740;GO:0016020;GO:0022857;GO:0055085	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
XP_019097454.1	165	AT2G06265.1, AT2G07505.1	AT2G07505.1	other	GO:0005575;GO:0008150;GO:0008270;GO:0005634	Zinc ion binding protein;Zinc ion-binding protein
XP_019097455.1	262					
XP_019097456.1	171					
XP_019097457.1	157	AT4G07445.1, AT1G48285.1, AT2G37125.1	AT1G48285.1	other	GO:0005575;GO:0003674;GO:0008150;GO:0008270;GO:0005634;GO:0016020	GRF zinc finger protein;Uncharacterized protein
XP_019097458.1	439				GO:0008270	
XP_019097459.1	211					
XP_019097460.1	531					
XP_019097461.1	736				GO:0008270	
XP_019097462.1	216				GO:0003676;GO:0008270	
XP_019097463.1	111	AT5G42410.1	AT5G42410.1	orthologue	GO:0005739;GO:0003674;GO:0009733	SAUR-like auxin-responsive protein family
XP_019097464.1	203	AT5G34908.1	AT5G34908.1	orthologue	GO:0005576;GO:0008150;GO:0003674	Inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein, putative (DUF784)
XP_019097465.1	249	AT4G23160.2	AT4G23160.2	other	GO:0042742;GO:0004674;GO:0004672;GO:0009626;GO:0016301;GO:0005886;GO:0007165;GO:0005524;GO:0106310;GO:0016020	Cysteine-rich RECEPTOR-like kinase;Cysteine-rich receptor-like protein kinase 8 (Cysteine-rich RLK8) (EC 2.7.11.-)
XP_019097466.1	151					
XP_019097467.1	322	AT4G23160.2	AT4G23160.2	other	GO:0042742;GO:0004674;GO:0004672;GO:0009626;GO:0016301;GO:0005886;GO:0007165;GO:0005524;GO:0106310;GO:0016020	Cysteine-rich RECEPTOR-like kinase;Cysteine-rich receptor-like protein kinase 8 (Cysteine-rich RLK8) (EC 2.7.11.-)
XP_019097468.1	171					
XP_019097469.1	199					
XP_019097470.1	119	AT5G34908.1	AT5G34908.1	orthologue	GO:0005576;GO:0008150;GO:0003674	Inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein, putative (DUF784)
XP_019097471.1	144	AT5G42780.1	AT5G42780.1	orthologue	GO:0042803;GO:0005515;GO:0003700;GO:0006355;GO:0000976;GO:0005634;GO:0003677;GO:0008270;GO:0050793	Zinc-finger homeodomain protein 13 (AtZHD13) (Homeobox protein 27) (AtHB-27)
XP_019097472.1	122	AT1G60000.1	AT1G60000.1	other	GO:0009507;GO:1901259;GO:0003729;GO:0005739;GO:0006397;GO:1990904;GO:0003723;GO:0003676;GO:0009535	AT1G60000 protein (Nucleic acid-binding protein, putative) (Putative nucleic acid-binding protein) (RNA-binding (RRM/RBD/RNP motifs) family protein) (T2K10.5 protein);RNA-binding (RRM/RBD/RNP motifs) family protein
XP_019097473.1	369	AT1G28180.1	AT1G28180.1	other	GO:0000398;GO:0005739;GO:0003729;GO:0071013;GO:0003676;GO:0003724;GO:0005524;GO:0016887;GO:0003723;GO:0004386	DEAD-box ATP-dependent RNA helicase-like protein;Putative DEAD-box ATP-dependent RNA helicase 44 (EC 3.6.4.13)
XP_019097474.1	209					
XP_019097475.1	332	ATMG00810.1	ATMG00810.1	other	GO:0008150;GO:0003674;GO:0005575;GO:0005739	Uncharacterized mitochondrial protein AtMg00810 (ORF240b)
XP_019097476.1	243	AT4G23160.2	AT4G23160.2	other	GO:0042742;GO:0004674;GO:0004672;GO:0009626;GO:0016301;GO:0005886;GO:0007165;GO:0005524;GO:0106310;GO:0016020	Cysteine-rich RECEPTOR-like kinase;Cysteine-rich receptor-like protein kinase 8 (Cysteine-rich RLK8) (EC 2.7.11.-)
XP_019097477.1	147	AT4G23160.2	AT4G23160.2	other	GO:0042742;GO:0004674;GO:0004672;GO:0009626;GO:0016301;GO:0005886;GO:0007165;GO:0005524;GO:0106310;GO:0016020	Cysteine-rich RECEPTOR-like kinase;Cysteine-rich receptor-like protein kinase 8 (Cysteine-rich RLK8) (EC 2.7.11.-)
XP_019097478.1	873				GO:0003677;GO:0046983	
XP_019097479.1	353	AT5G31412.1, AT1G43260.1	AT1G43260.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0046983	HAT transposon superfamily protein
XP_019097480.1	569	AT5G28780.1	AT5G28780.1	other	GO:0006260;GO:0005657;GO:0032508;GO:0005634;GO:0004386;GO:0000723;GO:0003678;GO:0006281	PIF1 helicase
XP_019097481.1	283	AT4G23160.2	AT4G23160.2	other	GO:0042742;GO:0004674;GO:0004672;GO:0009626;GO:0016301;GO:0005886;GO:0007165;GO:0005524;GO:0106310;GO:0016020	Cysteine-rich RECEPTOR-like kinase;Cysteine-rich receptor-like protein kinase 8 (Cysteine-rich RLK8) (EC 2.7.11.-)
XP_019097482.1	560					
XP_019097483.1	442	AT5G52460.1, AT5G44850.1, AT1G05080.1	AT1G05080.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0010197;;GO:0005515	FBD, F-box and Leucine Rich Repeat domains containing protein;Gb|AAC79136.1 (Protein with RNI-like/FBD-like domain) (T19K24.4 protein);Putative F-box/FBD/LRR-repeat protein At5g52460 (Protein EMBRYO SAC DEVELOPMENT ARREST 41);Putative FBD-associated F-box protein At1g05080
XP_019097484.1	1339				GO:0003676;GO:0008270	
XP_019097485.1	312	AT5G28780.1, AT3G51700.1, AT3G51690.1	AT1G05080.1	other	GO:0005634;GO:0032508;GO:0005657;GO:0006260;GO:0003677;GO:0004386;GO:0005737	PIF1 helicase
XP_019097486.1	109					
XP_019097488.1	226	ATMG00810.1	ATMG00810.1	other	GO:0008150;GO:0003674;GO:0005575;GO:0005739	Uncharacterized mitochondrial protein AtMg00810 (ORF240b)
XP_019097489.1	347	AT1G19260.1	AT1G19260.1	other	GO:0009506;GO:0046983;GO:0005634;GO:0008150	TTF-type zinc finger protein with HAT dimerization domain-containing protein
XP_019097490.1	803				GO:0006508;GO:0008234	
XP_019097491.1	107	AT5G44582.1	AT5G44582.1	orthologue	GO:0005783;GO:0048046;GO:0008150;GO:0005576;GO:0030275;GO:0033612;GO:0005886	Serine rich endogenous peptide 11 (AtSCOOP11) (Phytocytokine SCOOP11) (Precursor of serine rich endogenous peptide phytocytokine 11)
XP_019097492.1	478	AT5G44830.1, AT5G44840.1	AT5G44840.1	orthologue	GO:0005576;GO:0005975;GO:0004650;GO:0005575;GO:0016829;GO:0045490;GO:0071555	Pectin lyase-like superfamily protein;Pectin lyase-like superfamily protein (Polygalacturonase-like protein)
XP_019097493.1	229					
XP_019097494.1	330				GO:0003676	
XP_019097496.1	140	AT1G52950.1	AT1G52950.1	other	GO:0051321;GO:0007004;GO:0009506;GO:0006281;GO:0000724;GO:0005634;GO:0043047;GO:0003684;GO:0006310;GO:0005662;GO:0006289;GO:0006260;GO:0008270	Nucleic acid-binding, OB-fold-like protein (Putative replication protein; 94555-97079)
XP_019097497.1	1091					
XP_019097498.1	210	AT2G06425.1, AT4G04265.1	AT4G04265.1	orthologue	GO:0005634;GO:0008150;GO:0003674	PttA/En/Spm family plant transposase
XP_019097499.1	287				GO:0007165	
XP_019097500.1	447	AT4G08430.1	AT4G08430.1	other	GO:0016929;GO:0008234;GO:0006508;GO:0016926;GO:0005886;GO:0005634	Ulp1 protease family protein
XP_019097501.1	419	AT1G42190.1	AT1G42190.1	orthologue	GO:0003674;GO:0005575;GO:0008150;;GO:0003676	GAG/POL/ENV polyprotein
XP_019097502.1	172	AT1G57670.1, AT5G44900.1, AT5G45220.1, AT1G60320.1, AT1G57830.1, AT1G09665.1	AT5G45220.1	other	GO:0003674;GO:0005737;GO:0007165;GO:0009507;GO:0005634;GO:0006952;GO:0016020	At5g44900 (Toll-Interleukin-Resistance (TIR) domain family protein);Disease resistance protein (TIR-NBS-LRR class) family;Disease resistance protein (TIR-NBS-LRR class) family (Similarity to disease resistance protein);Disease resistance protein RPS4, putative (Toll-Interleukin-Resistance (TIR) domain family protein);Toll-Interleukin-Resistance (TIR) domain family protein
XP_019097503.1	382					
XP_019097504.1	112	AT3G62420.1	AT3G62420.1	other	GO:0045893;GO:0046982;GO:0005634;GO:0005515;GO:0003700;GO:0009267;GO:0006971;GO:2000693;GO:0000976;GO:0043565;GO:0045735	bZIP transcription factor 53 (AtbZIP53)
XP_019097505.1	394					
XP_019097506.1	755	AT4G32200.1	AT4G32200.1	orthologue	GO:0007130;GO:0005575;GO:0003674;GO:0003677;GO:0005634;GO:0005694;GO:0051321	DNA-binding HORMA family protein;Meiosis-specific protein ASY2 (Protein ASYNAPTIC 2)
XP_019097507.1	412	AT2G06541.1, AT3G29763.1, AT3G29450.1, AT1G41920.1, AT3G30235.1, AT3G29765.1, AT3G31402.1, AT1G19260.1, AT4G09660.1	AT3G31402.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0046983;GO:0009506;GO:0016020	General transcription factor 2-related zinc finger protein;TTF-type zinc finger protein with HAT dimerization domain-containing protein;Zinc finger MYM-type-like protein
XP_019097508.1	168	AT5G44870.1	AT5G44870.1	other	GO:0009626;GO:0005737;GO:0061809;GO:0009615;GO:0051607;GO:0043531;GO:0006952;GO:0007165;GO:0005524;GO:0016787	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6);Disease resistance protein LAZ5 (EC 3.2.2.6) (Protein LAZARUS 5) (Protein TOLERANCE TO TOBACCO RINGSPOT VIRUS 1)
XP_019097509.1	155					
XP_019097510.1	218					
XP_019097511.1	680	AT1G10000.1, AT2G06845.1, AT3G26855.1, AT3G27495.1, AT3G29791.1, AT4G09490.1, ATMG01250.1	AT2G06845.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0004523;GO:0003676;GO:0005739;GO:0009507;GO:0016740;GO:0003964	Beta-galactosidase related protein;Polynucleotidyl transferase, ribonuclease H-like superfamily protein;RNA-directed DNA polymerase (Reverse transcriptase)-related family protein;RNase H type-1 domain-containing protein;Ribonuclease H-like superfamily protein;Uncharacterized mitochondrial protein AtMg01250 (ORF102);Uncharacterized protein
XP_019097512.1	681	AT1G52950.1	AT1G52950.1	other	GO:0051321;GO:0007004;GO:0009506;GO:0006281;GO:0000724;GO:0005634;GO:0043047;GO:0003684;GO:0006310;GO:0005662;GO:0006289;GO:0006260;GO:0008270	Nucleic acid-binding, OB-fold-like protein (Putative replication protein; 94555-97079)
XP_019097513.1	375	AT5G47010.1	AT5G47010.1	other	GO:0009863;GO:0000932;GO:0005515;GO:0003724;GO:0006412;GO:0000184;GO:0048571;GO:0042742;GO:0003723;GO:0009867;GO:0008270;GO:0005737;GO:0003729;GO:0010182;GO:0008380;GO:0009611;GO:0005829;GO:0009506;GO:0003677;GO:0009744;GO:0005524;GO:0016887;GO:0004386	Regulator of nonsense transcripts 1 homolog (EC 3.6.4.12) (EC 3.6.4.13) (ATP-dependent helicase UPF1)
XP_019097514.1	252					
XP_019097515.1	474					
XP_019097516.1	541	AT2G06425.1, AT4G04265.1, AT5G34581.1	AT4G04265.1	other	GO:0003674;GO:0008150;GO:0005575;GO:0005634	Hydroxyproline-rich glycoprotein family protein;PttA/En/Spm family plant transposase
XP_019097517.1	758				GO:0008270	
XP_019097518.1	134	AT3G27080.1	AT3G27080.1	other	GO:0005742;GO:0006626;GO:0015450;GO:0045040;GO:0005741;GO:0005744;GO:0005515;GO:0005743;GO:0005829;GO:0061617;GO:0005739	Mitochondrial import receptor subunit TOM20-3 (Translocase of outer membrane 20 kDa subunit 3)
XP_019097519.1	461	AT5G46340.1	AT5G46340.1	other	GO:0045491;GO:0045492;GO:0009834;GO:1990937;GO:0005794;GO:0010411;GO:0016407;GO:0000139;GO:0016491;GO:0016740;GO:0016020;GO:0005975	O-acetyltransferase family protein;Protein REDUCED WALL ACETYLATION 1 (EC 2.3.1.-)
XP_019097520.1	147					
XP_019097521.1	782				GO:0003676;GO:0008270	
XP_019097522.1	323	AT5G47800.2	AT5G47800.2	other	GO:0005634;GO:0003674;GO:0016567	BTB/POZ domain-containing protein At5g47800;Phototropic-responsive NPH3 family protein
XP_019097523.1	196	AT1G48830.1	AT1G48830.1	orthologue	GO:0006364;GO:0009505;GO:0022626;GO:0003729;GO:0032040;GO:0022627;GO:0005634;GO:0042274;GO:0042742;GO:0006412;GO:0003735;GO:0005840;GO:0030686	Small ribosomal subunit protein eS7z (40S ribosomal protein S7-1)
XP_019097524.1	124	AT2G07505.1, AT2G06265.1	AT2G07505.1	other	GO:0005575;GO:0008150;GO:0008270;GO:0005634	Zinc ion binding protein;Zinc ion-binding protein
XP_019097525.1	206					
XP_019097526.1	415	AT5G07210.1, AT2G27070.1	AT5G07210.1	orthologue	GO:0003700;GO:0006355;GO:0009507;GO:0009736;GO:0005634;GO:0000156;GO:0000160;GO:0003677	Putative two-component response regulator ARR13;Putative two-component response regulator ARR21
XP_019097527.1	745	AT5G47040.1	AT5G47040.1	other	GO:0016485;GO:0005777;GO:0005739;GO:0048527;GO:0005782;GO:0070013;GO:0004252;GO:0006625;GO:0016560;GO:0004176;GO:0005524;GO:0006515;GO:0016887;GO:0006508;GO:0030163	Lon protease homolog 2, peroxisomal (EC 3.4.21.53)
XP_019097528.1	76	AT5G47075.1, AT5G47077.1	AT5G47077.1	orthologue	GO:0003674;GO:0005576;GO:0008150;GO:0031640;GO:0050832	Defensin-like protein 127 (Low-molecular-weight cysteine-rich protein 20) (Protein LCR20);Putative defensin-like protein 126 (Putative low-molecular-weight cysteine-rich protein 6) (Protein LCR6)
XP_019097529.1	420	AT5G47800.2	AT5G47800.2	orthologue	GO:0005634;GO:0003674;GO:0016567;GO:0005515	BTB/POZ domain-containing protein At5g47800;Phototropic-responsive NPH3 family protein
XP_019097530.1	172	ATMG00310.1	ATMG00310.1	other	GO:0003674;GO:0008150;GO:0005739	Uncharacterized mitochondrial protein AtMg00310 (ORF154)
XP_019097531.1	487	AT3G52680.1	AT3G52680.1	other	GO:0005739;GO:0008150;GO:0003674;;GO:0005515	F-box/FBD/LRR-repeat protein At3g52680;F-box/RNI-like/FBD-like domains-containing protein
XP_019097532.1	692	AT5G47280.1	AT5G47280.1	orthologue	GO:0050832;GO:0043531;GO:0005575;GO:0005524;GO:0006952	Putative disease resistance protein At5g47280
XP_019097533.1	172	AT5G47670.1	AT5G47670.1	other	GO:0009738;GO:0000981;GO:0005515;GO:0006355;GO:0046982;GO:0045893;GO:0001228;GO:0005634;GO:0016602;GO:0009414;GO:0000978;GO:0006357;GO:0043565;GO:0003700	Nuclear transcription factor Y subunit B-6 (AtNF-YB-6) (AtNF-YB6) (Protein LEAFY COTYLEDON 1-LIKE)
XP_019097534.1	245					
XP_019097535.1	269					
XP_019097536.1	1312				GO:0015074;GO:0003676	
XP_019097540.1	84	AT1G49310.1	AT1G49310.1	orthologue	GO:0003674;GO:0008150;GO:0005575	At1g49310 (Transmembrane protein)
XP_019097542.1	83	AT1G49310.1	AT1G49310.1	orthologue	GO:0003674;GO:0008150;GO:0005575	At1g49310 (Transmembrane protein)
XP_019097543.1	435	AT5G27470.1	AT5G27470.1	other	GO:0006434;GO:0004828;GO:0005829;GO:0002181;GO:0009536;GO:0005737;GO:0000049;GO:0005524;GO:0000166;GO:0004812;GO:0006418	Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser) synthetase)
XP_019097544.1	305	AT5G27830.4	AT5G27830.4	orthologue	GO:0009751;GO:0008517;GO:0005634;GO:0005576;GO:0015884;GO:0006979;GO:0005542;GO:0016020	Folate receptor family protein;Folate-binding protein 1 (AtFBP1)
XP_019097546.1	64	AT1G49500.1	AT1G49500.1	orthologue	GO:0005575;GO:0003674	At1g49500/F13F21_6 (Expressed protein) (F13F21.6 protein) (Transcription initiation factor TFIID subunit 1b-like protein)
XP_019097549.1	172					
XP_019097550.1	131	AT3G25230.2	AT3G25230.2	other	GO:0070370;GO:0005634;GO:0005829;GO:0009408;GO:0032266;GO:0009644;GO:0003755;GO:0061077;GO:0080025;GO:0009611;GO:0006970;GO:0005515;GO:0005737;GO:0009845;GO:0071944;GO:0005516	Peptidyl-prolyl cis-trans isomerase FKBP62 (PPIase FKBP62) (EC 5.2.1.8) (70 kDa peptidyl-prolyl isomerase) (FK506-binding protein 62) (AtFKBP62) (Immunophilin FKBP62) (Peptidylprolyl isomerase ROF1) (Protein ROTAMASE FKBP 1) (Rotamase);peptidylprolyl isomerase (EC 5.2.1.8)
XP_019097552.1	114	AT5G27820.1	AT5G27820.1	orthologue	GO:0009507;GO:0008097;GO:0003735;GO:0006412;GO:0005840;GO:1990904	At5g27820 (Ribosomal L18p/L5e family protein)
XP_019097553.1	82	AT5G27495.1	AT5G27495.1	orthologue	GO:0005576;GO:0008150;GO:0003674;GO:0031640;GO:0050832	Defensin-like protein 113
XP_019097554.1	62	AT1G19960.1	AT1G19960.1	other	GO:0003674;GO:0005575	T20H2.25 protein (Transcription factor)
XP_019097555.1	141					
XP_019097560.1	621	AT3G32960.1	AT3G32960.1	orthologue	GO:0005634;GO:0008150;GO:0003674	DUF1985 domain-containing protein
XP_019097562.1	518	AT5G28780.1, AT3G51700.1, AT3G51690.1	AT3G51690.1	other	GO:0005634;GO:0032508;GO:0005657;GO:0006260;GO:0003677;GO:0004386;GO:0005737;GO:0000723;GO:0003678;GO:0006281	PIF1 helicase
XP_019097565.1	439	AT5G25220.1	AT5G25220.1	other	GO:0005515;GO:0000978;GO:0005634;GO:0071345;GO:0006355;GO:0005829;GO:0006357;GO:0003700;GO:0009722;GO:0009416;GO:0000981;GO:0003677	Homeobox protein knotted-1-like 3;Homeobox protein knotted-1-like 3 (Protein KNAT3)
XP_019097566.1	114					
XP_019097569.1	94	AT1G52245.1	AT1G52245.1	orthologue	GO:0045505;GO:0005868;GO:0007017;GO:0005737;GO:0005874;GO:0030286	Dynein light chain
XP_019097572.1	155					
XP_019097578.1	798	AT5G45530.1	AT5G45530.1	orthologue	GO:0005575;GO:0003674;GO:0016020	Transmembrane protein, putative (DUF594)
XP_019097579.1	668	AT5G45800.1	AT5G45800.1	orthologue	GO:0009793;GO:0009625;GO:0009733;GO:0006970;GO:0045088;GO:0004672;GO:0046777;GO:0004674;GO:0005515;GO:0005886;GO:0005516;GO:0005524;GO:0106310;GO:0006468	Calmodulin-binding receptor kinase CaMRLK (EC 2.7.11.1) (Calmodulin-binding receptor-like kinase) (AtCaMRLK) (Protein MATERNAL EFFECT EMBRYO ARREST 62)
XP_019097580.1	390	AT5G45490.1	AT5G45490.1	orthologue	GO:0005634;GO:0050832;GO:0043531;GO:0005524;GO:0006952	Probable disease resistance protein At5g45490
XP_019097581.1	363	AT4G38940.1	AT4G38940.1	other	GO:0005634;GO:0016567;GO:0003674;GO:0005515	F-box/kelch-repeat protein At4g38940
XP_019097582.1	358	AT5G45500.1	AT5G45500.1	other	GO:0098542;GO:0003674;GO:0005634;GO:0005886;GO:0006952	RNI-like superfamily protein
XP_019097583.1	175	AT5G46960.1, AT5G46950.1	AT5G46960.1	orthologue	GO:0004857;GO:0009793;GO:0005576;GO:0046910;GO:0048046;GO:0071669	At5g46950 (Plant invertase/pectin methylesterase inhibitor superfamily protein);Pectinesterase inhibitor 12 (Pectin methylesterase inhibitor 12) (AtPMEI12)
XP_019097585.1	138					
XP_019097586.1	72	AT5G01350.1	AT5G01350.1	orthologue	GO:0008150;GO:0005575;GO:0003674	AT5g01350/T10O8_60 (UvrABC system C protein)
XP_019097587.1	1063	AT3G23270.2	AT3G23270.2	orthologue	GO:0035091;GO:0005737;GO:0007165;GO:0008270;GO:0046872	Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain-containing protein
XP_019097588.1	623	AT5G48380.1	AT5G48380.1	orthologue	GO:0005515;GO:0009626;GO:0009506;GO:0042742;GO:0033612;GO:0004672;GO:0042802;GO:0005576;GO:0005886;GO:0016301;GO:0031348;GO:0005524;GO:0006468	Probably inactive leucine-rich repeat receptor-like protein kinase At5g48380
XP_019097596.1	131	AT5G48510.1	AT5G48510.1	other	GO:0003674;GO:0016567;GO:0005634;GO:0005515	BTB/POZ domain-containing protein At5g48510
XP_019097597.1	89	AT5G48543.1	AT5G48543.1	orthologue	GO:0003674;GO:0008150;GO:0005576;GO:0031640;GO:0050832	Defensin-like protein 147 (Low-molecular-weight cysteine-rich protein 1) (Protein LCR1)
XP_019097600.1	86	AT5G61220.1	AT5G61220.1	orthologue	GO:0016226;GO:0009536;GO:0005739;GO:0003674	At5g61220 (LYR family of Fe/S cluster biogenesis protein)
XP_019097606.1	330	AT3G47680.1	AT3G47680.1	other	GO:0003674;GO:0008150;GO:0009507	At3g47680 (DNA binding protein);Ternary complex factor MIP1 leucine-zipper protein
XP_019097607.1	277	AT5G25010.1, AT5G25020.1, AT5G24990.1	AT5G24990.1	orthologue	GO:0003674;GO:0005634	Enhanced disease resistance-like protein (DUF1336)
XP_019097608.1	140	AT5G01881.1	AT5G01881.1	orthologue	GO:0003674;GO:0005739;GO:0016020	Transmembrane protein
XP_019097609.1	197	AT5G43170.1	AT5G43170.1	orthologue	GO:0000976;GO:0005634;GO:0045892;GO:0009409;GO:0006355;GO:0005515;GO:0003700;GO:0043565;GO:0003677;GO:0042538;GO:0008270	Zinc finger protein AZF3 (Zinc-finger protein 3)
XP_019097610.1	49	AT5G10745.1	AT5G10745.1	other	GO:0003674;GO:0005575;GO:0016020	At5g10745 (Transmembrane protein)
