Cardamine_amara	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
evm.model.RL_6.2716	283	AT2G39795.1	AT2G39795.1	other	GO:0003674;GO:0005794;GO:0008150;GO:0005739;GO:0005759	Uncharacterized protein At2g39795, mitochondrial
evm.model.RL_6.2717	114					
evm.model.RL_6.2718	397	AT4G16080.1	AT4G16080.1	orthologue	GO:0009507;GO:0008150;GO:0003674	KIB1-4 beta-propeller domain-containing protein
evm.model.RL_6.2719	70	AT2G45790.1	AT2G45790.1	other	GO:0004615;GO:0005515;GO:0019853;GO:0005829;GO:0006013;GO:0009298;GO:0006487;GO:0005737;GO:0046872	Phosphomannomutase (AtPMM) (EC 5.4.2.8)
evm.model.RL_6.272	304	AT2G23910.1	AT2G23910.1	orthologue	GO:0016616;GO:0005634;GO:0016491	At2g23910 (NAD(P)-binding Rossmann-fold superfamily protein) (Putative cinnamoyl CoA reductase);NAD(P)-binding Rossmann-fold superfamily protein
evm.model.RL_6.2720	189	AT2G44820.1	AT2G44820.1	orthologue	GO:0000462;GO:0003674;GO:0005730	Axoneme-associated protein MST101(2) protein
evm.model.RL_6.2721	737	AT3G61150.1	AT3G61150.1	other	GO:0005515;GO:0048497;GO:0000976;GO:0030154;GO:0000981;GO:0005634;GO:0008289;GO:0042335;GO:0003700;GO:0003677;GO:0006355	Homeobox-leucine zipper protein HDG1 (HD-ZIP protein HDG1) (Homeodomain GLABRA 2-like protein 1) (AtHD-GL2-1) (Homeodomain transcription factor HDG1) (Protein HOMEODOMAIN GLABROUS 1)
evm.model.RL_6.2722	434	AT3G61160.2	AT3G61160.2	other	GO:0005737;GO:0044024;GO:0004674;GO:0005634;GO:0005739;GO:0030154;GO:0006468;GO:0046777;GO:0007165;GO:0005524;GO:0106310;GO:0004672;GO:0018107	Shaggy-related protein kinase beta (EC 2.7.11.1) (ASK-beta);non-specific serine/threonine protein kinase (EC 2.7.11.1)
evm.model.RL_6.2723	371	AT3G61180.1	AT3G61180.1	other	GO:0006511;GO:0000325;GO:0005634;GO:0016567;GO:0061630;GO:0008270;GO:0016020	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
evm.model.RL_6.2724	366	AT2G45770.1	AT2G45770.1	orthologue	GO:0009772;GO:0006614;GO:0009507;GO:0005047;GO:0006605;GO:0045038;GO:0016887;GO:0009534;GO:0005829;GO:0016020;GO:0005515;GO:0010027;GO:0003924;GO:0005525;GO:0009535;GO:0009570;GO:0046872	Cell division protein FtsY homolog, chloroplastic (Chloroplast SRP receptor homolog, alpha subunit CpFtsY) (Fused signal recognition particle receptor)
evm.model.RL_6.2725	246	AT2G45790.1	AT2G45790.1	orthologue	GO:0004615;GO:0005515;GO:0019853;GO:0005829;GO:0006013;GO:0009298;GO:0006487;GO:0005737;GO:0046872	Phosphomannomutase (AtPMM) (EC 5.4.2.8)
evm.model.RL_6.2726	228	AT2G45800.1	AT2G45800.1	orthologue	GO:0051017;GO:0051015;GO:0005634;GO:0015629;GO:0005886;GO:0005737;GO:0005856;GO:0046872	LIM domain-containing protein PLIM2a (Pollen-expressed LIM protein 2) (AtPLIM2)
evm.model.RL_6.2727	525	AT2G45810.1	AT2G45810.1	orthologue	GO:0017148;GO:0034063;GO:0003724;GO:0033962;GO:0003729;GO:0005515;GO:0000932;GO:0010494;GO:0005737;GO:0005524;GO:0006397;GO:0006417;GO:0016887;GO:0051028;GO:0003676	DEAD-box ATP-dependent RNA helicase 6 (EC 3.6.4.13)
evm.model.RL_6.2728	190	AT2G45820.1	AT2G45820.1	orthologue	GO:0009506;GO:0005515;GO:0005886;GO:0051607;GO:0051665;GO:0009751;GO:0005829	Remorin (DNA-binding protein)
evm.model.RL_6.2729	529	AT2G45830.1	AT2G45830.1	orthologue	GO:0005576;GO:0005634;GO:0003674;GO:0016740	At2g45830 (Downstream target of AGL15 2);Downstream target of AGL15 2 (Glycosyltransferase)
evm.model.RL_6.273	532	AT1G64255.1, AT1G64253.1	AT1G64255.1	other	GO:0008150;GO:0008270;GO:0005634;GO:2000779;GO:0042393;GO:0003677;GO:0005730;GO:0006325	DEK carboxy-terminal domain protein;MuDR family transposase
evm.model.RL_6.2730	480	AT2G45840.1	AT2G45840.1	orthologue	GO:0008150;GO:0005634;GO:0003674;GO:0016020;GO:0016740	Glycosyltransferase (O-glucosyltransferase rumi-like protein (DUF821))
evm.model.RL_6.2731	349	AT2G45850.1	AT2G45850.1	orthologue	GO:0005634;GO:0003680;GO:0005886;GO:0003677	AT-hook motif nuclear-localized protein;AT-hook motif nuclear-localized protein 9
evm.model.RL_6.2732	79	AT2G45860.1	AT2G45860.1	orthologue	GO:0003674;GO:0005575	At2g45860
evm.model.RL_6.2733	409	AT2G45870.1	AT2G45870.1	orthologue	GO:0005886;GO:0042548;GO:0009533;GO:0005254;GO:0005247;GO:0042651;GO:0009535;GO:0034707;GO:0016020	Bestrophin-like protein;Voltage-dependent chloride channel 2, chloroplastic (AtVCCN2) (BESTROPHIN-like protein 2) (AtBest2)
evm.model.RL_6.2734	686	AT2G45880.1	AT2G45880.1	orthologue	GO:0016161;GO:0003700;GO:0005515;GO:0005634;GO:0048831;GO:0005576;GO:0000272;GO:0005737;GO:0016798	Beta-amylase 7 (EC 3.2.1.2) (1,4-alpha-D-glucan maltohydrolase) (Beta-amylase 4)
evm.model.RL_6.2735	468	AT2G45890.1	AT2G45890.1	orthologue	GO:0005515;GO:0009664;GO:0005085;GO:0048767;GO:0016324;GO:0005886;GO:0005634;GO:0009531;GO:0005737;GO:0050832	Rop guanine nucleotide exchange factor 4 (AtRopGEF4) (Rho of plants guanine nucleotide exchange factor 4)
evm.model.RL_6.2736	729	AT2G45900.1	AT2G45900.1	orthologue	GO:0005634;GO:0009739;GO:0003674;GO:0009506	Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-like protein
evm.model.RL_6.2737	819	AT2G45910.1	AT2G45910.1	orthologue	GO:0005634;GO:0005829;GO:0004842;GO:0016567;GO:0004674;GO:0005524;GO:0106310;GO:0004672;GO:0006468	U-box domain-containing protein 33 (Plant U-box protein 33) [Includes: E3 ubiquitin ligase (EC 2.3.2.27) (RING-type E3 ubiquitin transferase); Serine/threonine-protein kinase (EC 2.7.11.-)]
evm.model.RL_6.2738	404	AT2G45920.1	AT2G45920.1	orthologue	GO:0016567;GO:0004842;GO:0005737	RING-type E3 ubiquitin transferase (EC 2.3.2.27);U-box domain-containing protein 37 (EC 2.3.2.27) (Plant U-box protein 37) (RING-type E3 ubiquitin transferase PUB37)
evm.model.RL_6.2739	304	AT3G61410.3	AT3G61410.3	other	GO:0003674;GO:0005634;GO:0016301	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
evm.model.RL_6.274	669	AT1G64255.1, AT1G64253.1	AT1G64255.1	other	GO:0008150;GO:0008270;GO:0005634;GO:2000779;GO:0042393;GO:0003677;GO:0005730;GO:0006325	DEK carboxy-terminal domain protein;MuDR family transposase
evm.model.RL_6.2740	350	AT2G45950.2	AT2G45950.2	orthologue	GO:0031146;GO:0005634;GO:0006511;GO:0005737;GO:0097602;GO:0016567;GO:0019005;GO:0009733;GO:0009734;GO:0009753;GO:0009867	SKP1-like protein 20 (AtSK20)
evm.model.RL_6.2741	286	AT3G61430.1	AT3G61430.1	other	GO:0009941;GO:0009414;GO:0006833;GO:0005739;GO:0009506;GO:0055085;GO:0005886;GO:0000325;GO:0015250;GO:0015267;GO:0016020	Aquaporin PIP1-1 (AtPIP1;1) (Plasma membrane aquaporin-1) (Plasma membrane intrinsic protein 1a) (PIP1a)
evm.model.RL_6.2742	540	AT2G45970.1	AT2G45970.1	orthologue	GO:0005506;GO:0008610;GO:0070330;GO:0005576;GO:0006631;GO:0020037;GO:0010214;GO:0018685;GO:0016020;GO:0016712;GO:0004497;GO:0016705	Cytochrome P450 86A8 (EC 1.14.14.1) (Protein LACERATA)
evm.model.RL_6.2743	255	AT2G45980.1	AT2G45980.1	orthologue	GO:1904962;GO:0005783;GO:0005829;GO:0005515;GO:0005622;GO:0005634;GO:0043231;GO:0009570;GO:0071211;GO:0005789;GO:0031969	ATG8-interacting protein 1
evm.model.RL_6.2744	268	AT2G45990.1	AT2G45990.1	orthologue	GO:0005768;GO:0009507;GO:0009570;GO:0035493;GO:0000323;GO:0005829;GO:0000149;GO:0008168;GO:0032259	AT2G45990 protein (Expressed protein) (Ribosomal RNA small subunit methyltransferase G);Ribosomal RNA small subunit methyltransferase G
evm.model.RL_6.2745	205	AT2G46000.1	AT2G46000.1	orthologue	GO:0003674;GO:0005575;GO:0008150;;GO:0006457	At2g46000 (Expressed protein) (LDL receptor wingless signaling/trafficking chaperone)
evm.model.RL_6.2746	2181	AT2G46020.2	AT2G46020.2	orthologue	GO:0000785;GO:0006355;GO:0005515;GO:0003677;GO:0010199;GO:0045944;GO:0140658;GO:0005634;GO:0040029;GO:0031507;GO:0010050;GO:0140750;GO:1900036;GO:0090691;GO:0003682;GO:1903798;GO:0004386;GO:0005524;GO:0010449;GO:0016887	ATP-dependent helicase BRM (EC 3.6.4.12) (Protein BRAHMA) (AtBRM) (Protein CHROMATIN REMODELING 2) (AtCHR2)
evm.model.RL_6.2747	188	AT2G46030.3	AT2G46030.3	other	GO:0005634;GO:0004842;GO:0061631;GO:0000209;GO:0006511;GO:0016567;GO:0005524	E2 ubiquitin-conjugating enzyme (EC 2.3.2.23);Ubiquitin-conjugating enzyme E2 6 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 6) (Ubiquitin carrier protein 6) (Ubiquitin-conjugating enzyme E2-21 kDa 3) (Ubiquitin-protein ligase 6)
evm.model.RL_6.2748	582	AT2G46040.2	AT2G46040.2	orthologue	GO:0010628;GO:0048556;GO:0003674;GO:0000118;GO:0048235;GO:0005634;GO:0048555;GO:0003677	ARID/BRIGHT AND ELM2 DNA-binding domain-containing protein;AT-rich interactive domain-containing protein 1 (ARID domain-containing protein 1) (ARID and ELM2 domain-containing protein 1)
evm.model.RL_6.2749	586	AT2G46050.1	AT2G46050.1	orthologue	GO:0043231;GO:0005739;GO:0000963;GO:0080156;GO:0009451;GO:0003723;GO:0005515	Pentatricopeptide repeat-containing protein At2g46050, mitochondrial
evm.model.RL_6.275	793	AT1G64255.1, AT1G64253.1	AT1G64255.1	other	GO:0008150;GO:0008270;GO:0005634;GO:2000779;GO:0042393;GO:0003677;GO:0005730;GO:0006325	DEK carboxy-terminal domain protein;MuDR family transposase
evm.model.RL_6.2750	808	AT2G46060.1	AT2G46060.1	orthologue	GO:0003674;GO:0005576;GO:0005886;GO:0016020	At2g46060/T3F17.29 (Transmembrane protein-like protein);Transmembrane protein-like protein
evm.model.RL_6.2751	366	AT2G46070.3	AT2G46070.3	orthologue	GO:0005524;GO:0080026;GO:0016301;GO:0005515;GO:0004713;GO:0071244;GO:0046777;GO:0035556;GO:0005634;GO:0010119;GO:0009733;GO:0007165;GO:0004674;GO:0004707;GO:0090333;GO:0005737;GO:0005886;GO:0009734;GO:0106310;GO:0004672;GO:0006468	Mitogen-activated protein kinase 12 (AtMPK12) (MAP kinase 12) (EC 2.7.11.24);mitogen-activated protein kinase (EC 2.7.11.24)
evm.model.RL_6.2752	291	AT2G46080.1	AT2G46080.1	orthologue	GO:0003674;GO:0009793;GO:0048364;GO:0048367;GO:0005634	BPS1-like protein (Expressed protein)
evm.model.RL_6.2753	367	AT2G46090.1	AT2G46090.1	orthologue	GO:0008654;GO:0006671;GO:0017050;GO:0009409;GO:0009507;GO:0005739;GO:0006665;GO:0005524;GO:0016020;GO:0016301;GO:0016310	Sphingoid long-chain bases kinase 2, mitochondrial (AtLCBK2) (LCB kinase 2) (EC 2.7.-.-)
evm.model.RL_6.2754	244	AT2G46100.1	AT2G46100.1	orthologue	GO:0003674;GO:0005829	At2g46100 (Nuclear transport factor 2 (NTF2) family protein);Nuclear transport factor 2 (NTF2) family protein
evm.model.RL_6.2755	661	AT5G28460.1	AT5G28460.1	other	GO:0003729;GO:0006397;GO:0005737;GO:0005739;;GO:0005515	Pentatricopeptide repeat-containing protein At5g28460
evm.model.RL_6.2756	233	AT1G14620.1	AT1G14620.1	other	GO:0003735;GO:0005762;GO:0005739;GO:0005743	Decoy;Large ribosomal subunit protein mL46
evm.model.RL_6.2757	166	AT2G46140.1	AT2G46140.1	other	GO:0009269;GO:0005886;GO:0003674;GO:0005829	Desiccation-related protein At2g46140 (LEA type-2 family protein At2g46140)
evm.model.RL_6.2758	216	AT2G46150.1	AT2G46150.1	orthologue	GO:0005886;GO:0003674	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
evm.model.RL_6.2759	212	AT2G46160.1	AT2G46160.1	orthologue	GO:0009507;GO:0016567;GO:0003674;GO:0008270;GO:0016020;GO:0016740	RING-H2 finger protein ATL67 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL67)
evm.model.RL_6.276	337	AT1G64255.1, AT1G64253.1	AT1G64255.1	other	GO:0008150;GO:0008270;GO:0005634;GO:2000779;GO:0042393;GO:0003677;GO:0005730;GO:0006325	DEK carboxy-terminal domain protein;MuDR family transposase
evm.model.RL_6.2760	253	AT2G46170.1	AT2G46170.1	orthologue	GO:0005886;GO:0005783;GO:0003674;GO:0005789;GO:0009617	Reticulon-like protein;Reticulon-like protein B5 (AtRTNLB5)
evm.model.RL_6.2761	734	AT2G46180.1	AT2G46180.1	orthologue	GO:0007030;GO:0005794;GO:0006888;GO:0031267;GO:0005576	Golgin candidate 4 (AtGC4)
evm.model.RL_6.2762	383	AT2G46200.1	AT2G46200.1	orthologue	GO:0005737;GO:0003674;GO:0005689;GO:0005681;GO:0006397;GO:0008380;GO:1990904	U11/U12 small nuclear ribonucleoprotein;U11/U12 small nuclear ribonucleoprotein 59 kDa protein (U11/U12 snRNP 59 kDa protein) (U11/U12-59K)
evm.model.RL_6.2763	449	AT2G46210.1	AT2G46210.1	orthologue	GO:0052631;GO:0030148;GO:0070417;GO:0005783;GO:0016717;GO:0006629;GO:0005789;GO:0046872;GO:0016020;GO:0016491	Delta(8)-fatty-acid desaturase 2 (EC 1.14.19.29) (Delta(8)-sphingolipid desaturase 2) (Sphingoid long-chain base desaturase 2) (Sphingoid LCB desaturase 2) (Sphingolipid 8-(E/Z)-desaturase 2)
evm.model.RL_6.2764	236	AT2G46220.1	AT2G46220.1	orthologue	GO:0003674;GO:0009507	At2g46220/T3F17.13 (DUF2358 family protein (DUF2358)) (Expressed protein)
evm.model.RL_6.2765	303	AT2G46225.2	AT2G46225.2	orthologue	GO:0010090;GO:0005737;GO:0045010;GO:0005515;GO:0031209;GO:0005856	ABI-1-like 1;Protein ABIL1 (Abl interactor-like protein 1) (AtABIL1)
evm.model.RL_6.2766	196	AT2G46230.1	AT2G46230.1	orthologue	GO:0005634;GO:0032040;GO:0003674;GO:0005730;GO:0006364;GO:0042274	At2g46230/T3F17.12 (Expressed protein) (PIN domain-like family protein);PIN domain-like family protein
evm.model.RL_6.2767	1016	AT2G46240.1	AT2G46240.1	orthologue	GO:0010228;GO:0012502;GO:0009506;GO:0009408;GO:0005634;GO:0010508;GO:0005515;GO:0050832;GO:0006457;GO:0005516;GO:0051087;GO:0006914	BAG family molecular chaperone regulator 6 (Bcl-2-associated athanogene 6) (CaM-binding protein 1) [Cleaved into: Cleaved BAG6]
evm.model.RL_6.2768	136	AT4G07445.1, AT1G48285.1, AT2G37125.1	AT1G48285.1	other	GO:0005575;GO:0003674;GO:0008150;GO:0008270;GO:0005634;GO:0016020	GRF zinc finger protein;Uncharacterized protein
evm.model.RL_6.2769	483	AT2G46250.1	AT2G46250.1	orthologue	GO:0005737;GO:0003674	At2g46250/T3F17.10 (Myosin heavy chain-like protein);Myosin heavy chain-like protein
evm.model.RL_6.277	248	AT4G30480.2	AT4G30480.2	other	GO:0008150;GO:0005737;GO:0051879;GO:0005634;GO:0005515	AT4G30480 protein (Tetratricopeptide repeat (TPR)-like superfamily protein);At4g30480 (Tetratricopeptide repeat (TPR)-like superfamily protein);Tetratricopeptide repeat (TPR)-like superfamily protein
evm.model.RL_6.2770	566	AT2G46260.1	AT2G46260.1	orthologue	GO:0016567;GO:0010114;GO:0005515;GO:0005634;GO:0046982;GO:0005737;GO:0042803	BTB/POZ domain-containing protein At2g46260
evm.model.RL_6.2771	381	AT2G46270.1	AT2G46270.1	orthologue	GO:0043565;GO:0006355;GO:0009737;GO:0000976;GO:0005515;GO:0005634;GO:0005829;GO:0003700;GO:0005737	G-box binding factor 3;G-box-binding factor 3 (bZIP transcription factor 55) (AtbZIP55)
evm.model.RL_6.2772	328	AT2G46290.1, AT2G46280.1, AT5G57650.1	AT2G46290.1	orthologue	GO:0002183;GO:0009506;GO:0003723;GO:0080008;GO:0071541;GO:0003743;GO:0005634;GO:0003674;GO:0005575;GO:0005737;GO:0005515;GO:0001732;GO:0016282;GO:0033290;GO:0005852	Eukaryotic translation initiation factor 3 subunit I (eIF3i);Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 subunit 2) (TGF-beta receptor-interacting protein 1) (TRIP-1) (eIF-3-beta) (eIF3 p36);Eukaryotic translation initiation factor-like protein;Serine-threonine kinase receptor-associated protein
evm.model.RL_6.2773	254	AT2G46300.1	AT2G46300.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0016020;GO:0098542;GO:0005886	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
evm.model.RL_6.2774	311	AT2G46310.1	AT2G46310.1	orthologue	GO:0048825;GO:0005515;GO:0000976;GO:0009793;GO:0048366;GO:0006355;GO:0005634;GO:0003700;GO:0005737;GO:0009736;GO:0009873;GO:0003677	Ethylene-responsive transcription factor CRF5 (Protein CYTOKININ RESPONSE FACTOR 5)
evm.model.RL_6.2775	364	AT2G46320.1	AT2G46320.1	orthologue	GO:0170036;GO:0005739;GO:0097501;GO:1990542;GO:0004784;GO:0005743;GO:0006810	Mitochondrial substrate carrier family protein
evm.model.RL_6.2776	73	AT2G46330.1	AT2G46330.1	orthologue	GO:0005886;GO:0016020;GO:0003674;GO:0098552	Arabinogalactan protein 16;Arabinogalactan protein 16 (AtAGP16) (Arabinogalactan peptide 16) (AG-peptide 16)
evm.model.RL_6.2777	1027	AT2G46340.1	AT2G46340.1	orthologue	GO:0005515;GO:0010017;GO:0009585;GO:2000028;GO:0010218;GO:0080008;GO:0005634;GO:0010114;GO:0048575;GO:0042802;GO:0009640;GO:0010100;GO:0004672;GO:0016604;GO:0009658;GO:0009637;GO:0005524;GO:0016607;GO:0006468	Protein SUPPRESSOR OF PHYA-105 1 (EC 2.7.-.-)
evm.model.RL_6.2778	98	AT2G46360.1	AT2G46360.1	orthologue	GO:0005634;GO:0003674	At2g46360/F11C10.5
evm.model.RL_6.2779	578	AT2G46370.4	AT2G46370.4	orthologue	GO:2000377;GO:0009585;GO:0005524;GO:0009611;GO:0010224;GO:0009753;GO:0009861;GO:0005737;GO:0005773;GO:0009864;GO:0009627;GO:0071365;GO:0009640;GO:0016881;GO:0005634;GO:0070728;GO:0009694;GO:0010046;GO:0019899;GO:0031348;GO:2000030;GO:0018117;GO:0010193;GO:0080123;GO:0016597;GO:0003824;GO:0070566;GO:0005515;GO:0010119	Auxin-responsive GH3 family protein;Jasmonoyl--L-amino acid synthetase JAR1 (EC 6.3.2.52) (Jasmonate-amino acid synthetase JAR1) (Jasmonic acid-amido synthetase JAR1) (Protein FAR-RED INSENSITIVE 219) (Protein JASMONATE RESISTANT 1)
evm.model.RL_6.278	80	AT2G23930.1	AT2G23930.1	other	GO:0034719;GO:0000387;GO:0003723;GO:0000398;GO:0071013;GO:0005687;GO:0005685;GO:0005689;GO:0043186;GO:0005634;GO:0097526;GO:0071011;GO:0071004;GO:0005773;GO:0003729;GO:0005682;GO:0005686;GO:0005681;GO:1990904	Probable small nuclear ribonucleoprotein G (snRNP-G) (Sm protein G) (Sm-G) (SmG);Sm protein G
evm.model.RL_6.2780	124	AT2G46375.1	AT2G46375.1	orthologue	GO:0008150;GO:0003674;GO:0005739;GO:0005634	Expressed protein;SWIM-type domain-containing protein
evm.model.RL_6.2781	769	AT2G46380.1	AT2G46380.1	orthologue	GO:1900150;GO:0003674;GO:0005739;GO:0005634	Extra-large G-like protein, putative (DUF3133)
evm.model.RL_6.2782	291	AT2G46400.1	AT2G46400.1	orthologue	GO:2000070;GO:0043565;GO:0071456;GO:0006355;GO:0003700;GO:0033198;GO:0000976;GO:1900457;GO:0005634;GO:0042742;GO:2000022;GO:0048527;GO:0005730;GO:0009617;GO:0000987;GO:0009751;GO:0005515;GO:0009742	Probable WRKY transcription factor 46 (WRKY DNA-binding protein 46)
evm.model.RL_6.2783	54	AT3G30200.1	AT3G30200.1	other	GO:0003674;GO:0005634;GO:0008150	Plant transposase (Ptta/En/Spm family)
evm.model.RL_6.2784	274	AT1G42700.1	AT1G42700.1	orthologue	GO:0003674;GO:0005634;GO:0008150	Uncharacterized protein F8D11.10
evm.model.RL_6.2785	85	AT2G46410.1	AT2G46410.1	orthologue	GO:0000976;GO:0005634;GO:0010063;GO:0030154;GO:0006355;GO:0010376;GO:0003700;GO:0005515;GO:0090627;GO:0003677;GO:0009913	Transcription factor CPC (Protein CAPRICE)
evm.model.RL_6.2786	366	AT2G46420.1	AT2G46420.1	orthologue	GO:0005634;GO:0003674;GO:0004386	At2g46420/F11C10.11 (Expressed protein) (Helicase with zinc finger protein);Helicase with zinc finger protein
evm.model.RL_6.2787	705	AT2G46430.1	AT2G46430.1	orthologue	GO:0005516;GO:0005216;GO:0005634;GO:0005886;GO:0030552;GO:0030553;GO:0006811;GO:0016020;GO:0055085	Probable cyclic nucleotide-gated ion channel 3 (AtCNGC3) (Cyclic nucleotide- and calmodulin-regulated ion channel 3)
evm.model.RL_6.2788	614	AT2G46440.1, AT2G46450.1	AT2G46450.1	other	GO:0009620;GO:0006952;GO:0005739;GO:0005216;GO:0005261;GO:0005634;GO:0009617;GO:0005886;GO:0005516;GO:0030552;GO:0030553;GO:0016020	Cyclic nucleotide-gated channel 12;Cyclic nucleotide-gated channels;Cyclic nucleotide-gated ion channel 11 (Cyclic nucleotide- and calmodulin-regulated ion channel 11);Probable cyclic nucleotide-gated ion channel 12 (Cyclic nucleotide- and calmodulin-regulated ion channel 12)
evm.model.RL_6.2789	96	AT2G46450.1	AT2G46450.1	other	GO:0009620;GO:0006952;GO:0005739;GO:0005216;GO:0005261;GO:0005634;GO:0009617;GO:0005886;GO:0005516;GO:0016020;GO:0030552;GO:0030553	Cyclic nucleotide-gated channel 12;Probable cyclic nucleotide-gated ion channel 12 (Cyclic nucleotide- and calmodulin-regulated ion channel 12)
evm.model.RL_6.279	173	AT2G23940.1	AT2G23940.1	orthologue	GO:0005773;GO:0006624;GO:0003674;GO:0043231;GO:0005783;GO:0005789	Expressed protein (Transmembrane protein (DUF788))
evm.model.RL_6.2790	375	AT2G46455.2	AT2G46455.2	orthologue	GO:0005739;GO:0009535;GO:0010027;GO:0072598;GO:0032977;GO:0051205;GO:0005743;GO:0032979;GO:0016020	OxaA/YidC-like membrane insertion protein
evm.model.RL_6.2791	420	AT2G43260.2, AT2G43270.1, AT2G43440.1, AT2G43445.1, AT4G17780.1	AT2G43260.2	other	GO:0003674;GO:0005575;GO:0005576;GO:0008150;GO:0005739;GO:0005634;GO:0016020;GO:0005515	F-box and associated interaction domains-containing protein;F-box protein At2g43440;F-box/LRR-repeat protein At2g43260;F-box/kelch-repeat protein At2g43270;F-box/kelch-repeat protein At2g43445;Putative F-box protein At4g17780
evm.model.RL_6.2792	236	AT2G46470.1	AT2G46470.1	orthologue	GO:0045039;GO:0032979;GO:0005739;GO:0005743;GO:0032977;GO:0016020;GO:0051205	Mitochondrial inner membrane protein OXA1-like
evm.model.RL_6.2793	567	AT2G46500.1	AT2G46500.1	orthologue	GO:0009651;GO:0046854;GO:0004430;GO:0071456;GO:0046777;GO:0009507;GO:0004674;GO:0005524;GO:0016020;GO:0005515	1-phosphatidylinositol 4-kinase (EC 2.7.1.67);Phosphatidylinositol 4-kinase gamma 4 (AtPI4Kgamma4) (PI-4Kgamma4) (PI4K gamma 4) (EC 2.7.1.67) (Ubiquitin-like domain kinase gamma 4) (UbDK gamma 4)
evm.model.RL_6.2794	150	AT2G46505.1	AT2G46505.1	orthologue	GO:0045273;GO:0006099;GO:0008177;GO:0005739;GO:0006121;GO:0005743;GO:0046872;GO:0016020	Succinate dehydrogenase subunit 4, mitochondrial
evm.model.RL_6.2795	579	AT2G46510.1	AT2G46510.1	orthologue	GO:0006355;GO:0010629;GO:0009737;GO:0005634;GO:0003700;GO:0000976;GO:0005515;GO:0046983;GO:0009611;GO:0009738	Transcription factor ABA-INDUCIBLE bHLH-TYPE (AtAIB) (Basic helix-loop-helix protein 17) (AtbHLH17) (bHLH 17) (Transcription factor EN 35) (bHLH transcription factor bHLH017)
evm.model.RL_6.2796	971	AT2G46520.1	AT2G46520.1	orthologue	GO:0006886;GO:0009506;GO:0009507;GO:0006611;GO:0005635;GO:0005049;GO:0006606;GO:0031267;GO:0005829;GO:0005634;GO:0005737;GO:0005515	Exportin-2 (Exp2) (Cellular apoptosis susceptibility protein homolog) (Importin-alpha re-exporter)
evm.model.RL_6.2797	599	AT2G46530.3	AT2G46530.3	orthologue	GO:0000976;GO:0005634;GO:0006355;GO:0009506;GO:0003700;GO:0009734;GO:0003677;GO:0009725	Auxin response factor 11
evm.model.RL_6.2798	174	AT2G46535.1	AT2G46535.1	orthologue	GO:0005739;GO:0003674	Uncharacterized protein At2g46535
evm.model.RL_6.2799	65	AT2G46540.1	AT2G46540.1	orthologue	GO:0005829;GO:0005739;GO:0003674;GO:0008150	At2g46540/F11C10.23 (Expressed protein) (F11C10.23/F11C10.23) (Fiber)
evm.model.RL_6.28	272	AT2G21190.1	AT2G21190.1	orthologue	GO:0005575;GO:0006621;GO:0046923;GO:0005789;GO:0015031;GO:0016192;GO:0016020	ER lumen protein retaining receptor family protein (Putative ER lumen protein retaining receptor)
evm.model.RL_6.280	449	AT2G23945.1	AT2G23945.1	orthologue	GO:0005576;GO:0004190;GO:0008150;GO:0006508	Eukaryotic aspartyl protease family protein (Predicted protein)
evm.model.RL_6.2800	385	AT2G46550.1	AT2G46550.1	orthologue	GO:0005515;GO:0009507;GO:0016020	Expressed protein (Transmembrane protein);Transmembrane protein
evm.model.RL_6.2801	2496	AT2G46560.1	AT2G46560.1	orthologue	GO:0043291;GO:0003674;GO:0080008;GO:0007035;GO:0005515	Transducin family protein / WD-40 repeat family protein
evm.model.RL_6.2802	569	AT2G46570.1	AT2G46570.1	orthologue	GO:0005576;GO:0008150;GO:0052716;GO:0005507;GO:0016491;GO:0046274;GO:0048046	Laccase (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase) (Diphenol oxidase) (Urishiol oxidase);Laccase-6 (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase 6) (Diphenol oxidase 6) (Urishiol oxidase 6)
evm.model.RL_6.2803	198	AT2G46580.1	AT2G46580.1	orthologue	GO:0005575;GO:0010181;GO:0004733;GO:0008615;GO:0009443	Pyridoxine/pyridoxamine 5'-phosphate oxidase 2 (AtPPOX1) (EC 1.4.3.5)
evm.model.RL_6.2804	377	AT2G46590.2	AT2G46590.2	orthologue	GO:0010372;GO:0071491;GO:0071462;GO:0010161;GO:0006355;GO:0009416;GO:0003700;GO:0010030;GO:0009409;GO:0005634;GO:0009845;GO:0003677;GO:0008270	Dof zinc finger protein DOF2.5 (AtDOF2.5) (Dof affecting germination 2)
