Odontarrhena_muralis	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Om006G242530	204	AT5G20740.2	AT5G20740.2	orthologue	GO:0009507;GO:0046910;GO:1902183;GO:0009505;GO:0009827;GO:0004857;GO:0048046;GO:0043086	Pectinesterase inhibitor 3 (Pectin methylesterase inhibitor 3) (AtPMEI3);Plant invertase/pectin methylesterase inhibitor superfamily protein
Om006G242540	170	AT3G43110.1	AT3G43110.1	orthologue	GO:0005576;GO:0003674;GO:0016020	At3g43110 (Transmembrane protein)
Om006G242550	189	AT3G43110.1	AT3G43110.1	orthologue	GO:0005576;GO:0003674;GO:0016020	At3g43110 (Transmembrane protein)
Om006G242560	167	AT5G20810.2	AT5G20810.2	orthologue	GO:0005777;GO:0005515;GO:0009733;GO:0005634	At5g20810 (SAUR-like auxin-responsive protein family);SAUR-like auxin-responsive protein family
Om006G242570	127	AT5G20820.1	AT5G20820.1	orthologue	GO:0009733;GO:0003674;GO:0005634;GO:0005737;GO:0005886;GO:0009873	Auxin-responsive protein SAUR76 (Protein SMALL AUXIN UP RNA 76)
Om006G242580	807	AT3G43190.1	AT3G43190.1	orthologue	GO:0001666;GO:0016157;GO:0005985;GO:0071456;GO:0016757;GO:0005773;GO:0090548	Sucrose synthase 4 (AtSUS4) (EC 2.4.1.13) (Sucrose-UDP glucosyltransferase 4)
Om006G242590	830	AT5G20840.1	AT5G20840.1	orthologue	GO:0046856;GO:0009506;GO:0005634;GO:0043231;GO:0043813;GO:0005774;GO:0016791	Phosphoinositide phosphatase SAC4 (AtSAC4) (EC 3.1.3.-) (Phosphatidylinositol 3,5-bisphosphate 5-phosphatase SAC4) (Protein SUPPRESSOR OF ACTIN 4) (SAC domain protein 4)
Om006G242600	343	AT5G20850.1	AT5G20850.1	other	GO:0070192;GO:0140664;GO:0005515;GO:1990426;GO:0003690;GO:0010332;GO:0006259;GO:0009314;GO:0045003;GO:0006355;GO:0000730;GO:0007131;GO:0006302;GO:0000724;GO:0000150;GO:0003697;GO:0005634;GO:0005694;GO:0006312;GO:0000794;GO:0042148;GO:0016887;GO:0008094;GO:0005524;GO:0000166;GO:0003677;GO:0006281	DNA repair protein RAD51 homolog;DNA repair protein RAD51 homolog 1 (Rad51-like protein 1) (AtRAD51)
Om006G242610	542	AT5G20860.2	AT5G20860.2	orthologue	GO:0030599;GO:0045490;GO:0042545;GO:0004857;GO:0005576;GO:0046910	Pectinesterase (EC 3.1.1.11);Probable pectinesterase/pectinesterase inhibitor 54 [Includes: Pectinesterase inhibitor 54 (Pectin methylesterase inhibitor 54); Pectinesterase 54 (PE 54) (EC 3.1.1.11) (Pectin methylesterase 54) (AtPME54)]
Om006G242620	498	AT5G20870.1	AT5G20870.1	orthologue	GO:0005886;GO:0016020;GO:0009536;GO:0005576;GO:0005975;GO:0042973;GO:0006952;GO:0098552;GO:0004553	glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)
Om006G242630	284	AT1G67020.1	AT1G67020.1	other	GO:0005634;GO:0009506;GO:0008150;GO:0003674;GO:0016020	F1O19.7 protein (Transmembrane protein)
Om006G242640	173	AT3G43430.1, AT5G20885.1	AT5G20885.1	orthologue	GO:0005575;GO:0016567;GO:0061630;GO:0008270;GO:0016020	AT5g20880/F22D1_50 (RING/U-box superfamily protein);RING/U-box superfamily protein
Om006G242650	527	AT5G20890.1	AT5G20890.1	orthologue	GO:0006457;GO:0010494;GO:0005886;GO:0009505;GO:0051082;GO:0005737;GO:0005832;GO:0009536;GO:0016887;GO:0140662;GO:0005524;GO:0005829	T-complex protein 1 subunit beta (TCP-1-beta) (CCT-beta) (Chaperonin CCT2)
Om006G242660	77					
Om006G242670	120					
Om006G242680	925	AT1G59660.1	AT1G59660.1	orthologue	GO:0071456;GO:0044614;GO:0006913;GO:0003723;GO:0006606;GO:0005634;GO:0048573;GO:0034398;GO:0008139;GO:0017056;GO:0000973;GO:0005635;GO:0006405;GO:0005515;GO:0005643;GO:0015031;GO:0051028	Nuclear pore complex protein NUP98B (Nucleoporin 98B) (Nucleoporin autopeptidase);Nucleoporin autopeptidase
Om006G242690	181	AT5G20900.1	AT5G20900.1	orthologue	GO:0031347;GO:0005515;GO:2000022;GO:0009611;GO:0005634;GO:0006952	Protein TIFY 3B (Jasmonate ZIM domain-containing protein 12)
Om006G242700	310	AT5G20910.1	AT5G20910.1	orthologue	GO:0016567;GO:0009788;GO:0005829;GO:0009737;GO:0006511;GO:0004842;GO:0005634;GO:0061630;GO:0005515;GO:0008270;GO:0009738;GO:0005737	E3 ubiquitin-protein ligase AIP2 (EC 2.3.2.27) (ABI3-interacting protein 2) (RING-type E3 ubiquitin transferase AIP2)
Om006G242710	266	AT5G20920.1	AT5G20920.1	orthologue	GO:0005634;GO:0001731;GO:0009793;GO:0003729;GO:0005850;GO:0003743;GO:0031369;GO:0005515;GO:0009536;GO:0002183;GO:0005829;GO:0008270;GO:0006413	Eukaryotic translation initiation factor 2 subunit beta (eIF2-beta) (Protein EMBRYO DEFECTIVE 1401)
Om006G242720	679	AT5G20930.1	AT5G20930.1	orthologue	GO:0007059;GO:0005515;GO:0005634;GO:0004674;GO:0060147;GO:0005737;GO:0042802;GO:0035556;GO:0005524;GO:0106310;GO:1900368;GO:0018105;GO:0004672;GO:0006468	Serine/threonine-protein kinase TOUSLED (EC 2.7.11.1)
Om006G242730	120	AT5G20935.1	AT5G20935.1	orthologue	GO:0010258;GO:0009507;GO:0005515;GO:0009536;GO:0009570	DUF3148 family protein;Protein CHLORORESPIRATORY REDUCTION 42, chloroplastic
Om006G242740	221	AT3G22080.1	AT3G22080.1	other	GO:0005634;GO:0003674;GO:0008150;GO:0016787;GO:0005515	Ubiquitin carboxyl-terminal hydrolase-like protein
Om006G242750	66	AT1G69650.1	AT1G69650.1	orthologue	GO:0008150;GO:0003674;GO:0009507;GO:0000325;GO:0005515	TRAF-like family protein
Om006G242760	631	AT5G20940.1	AT5G20940.1	orthologue	GO:0009251;GO:0005975;GO:0004553;GO:0008422;GO:0005576	beta-glucosidase (EC 3.2.1.21)
Om006G242770	301	AT5G20940.1	AT5G20940.1	other	GO:0009251;GO:0005975;GO:0004553;GO:0008422;GO:0005576	beta-glucosidase (EC 3.2.1.21)
Om006G242780	625	AT5G20950.3	AT5G20950.3	orthologue	GO:0009969;GO:0009505;GO:0009251;GO:0008422;GO:0009536;GO:0005739;GO:0005576;GO:0009506;GO:0048046;GO:0004553;GO:0005975	Beta-D-glucan exohydrolase-like protein (Glycosyl hydrolase family protein) (Putative beta-D-glucan exohydrolase);Glycosyl hydrolase family protein
Om006G242790	1371	AT5G20960.1	AT5G20960.1	orthologue	GO:0009851;GO:0071949;GO:0005506;GO:0004031;GO:0050302;GO:0009536;GO:0009688;GO:0051537;GO:0050660;GO:0016491;GO:0046872;GO:0051536	Indole-3-acetaldehyde oxidase (IAA oxidase) (EC 1.2.3.7) (Aldehyde oxidase 1) (AO-1) (AtAO-1) (AtAO1)
Om006G242800	238	AT5G20970.1	AT5G20970.1	orthologue	GO:0008150;GO:0034605;GO:0005737;GO:0003674;GO:0005886;GO:0006952	HSP20-like chaperones superfamily protein
Om006G242810	808	AT5G20980.1	AT5G20980.1	orthologue	GO:0009086;GO:0009507;GO:0008270;GO:0005829;GO:0008705;GO:0003871;GO:0032259;GO:0008652	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 3, chloroplastic (EC 2.1.1.14) (Cobalamin-independent methionine synthase 3) (AtMS3)
Om006G242820	669	AT5G20990.1	AT5G20990.1	orthologue	GO:0006777;GO:0009734;GO:0005737;GO:0005634;GO:0005829;GO:0061599;GO:0061598;GO:0030151;GO:0005524;GO:0008940;GO:0010038;GO:0046872;GO:0032324	Molybdopterin biosynthesis protein CNX1 (Molybdenum cofactor biosynthesis enzyme CNX1) [Includes: Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1) (Domain E); Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75) (Domain G)]
Om006G242830	405	AT5G21010.1, AT3G43700.1	AT5G21010.1	orthologue	GO:0005515;GO:0071472;GO:0006970;GO:0016567;GO:0005634;GO:0005829;GO:0042631	BTB-POZ and MATH domain 6;BTB/POZ and MATH domain-containing protein 5 (Protein BTB-POZ AND MATH DOMAIN 5) (AtBPM5);BTB/POZ and MATH domain-containing protein 6 (Protein BTB-POZ AND MATH DOMAIN 6) (AtBPM6)
Om006G242850	899	AT5G21030.2	AT5G21030.2	orthologue	GO:0031047;GO:0003723;GO:0005737;GO:0004521;GO:0005634;GO:0006417;GO:0051607;GO:1990904;GO:0005515;GO:0003676	PAZ domain-containing protein / piwi domain-containing protein;Protein argonaute 8
Om006G242870	533	AT5G21040.1	AT5G21040.1	orthologue	GO:0005737;GO:0016036;GO:0019005;GO:0005634;GO:0003674;GO:0005515	F-box/WD-40 repeat-containing protein At5g21040
Om006G242880	357	AT5G21050.1	AT5G21050.1	orthologue	GO:0046854;GO:0003674;GO:0072659;GO:0005634;GO:0005886;GO:0005829	Hyccin
Om006G242890	378	AT5G21060.2	AT5G21060.2	orthologue	GO:0009088;GO:0004412;GO:0009536;GO:0009507;GO:0005829;GO:0009086;GO:0006520;GO:0009067	Homoserine dehydrogenase (HDH) (EC 1.1.1.3)
Om006G242900	294	AT5G60440.1	AT5G60440.1	orthologue	GO:0005515;GO:0006357;GO:0045944;GO:0003700;GO:0005634;GO:0000977;GO:0046983;GO:0009960;GO:2000012;GO:0000978;GO:0000981;GO:0003677	Agamous-like MADS-box protein AGL62
Om006G242910	226	AT5G21070.1	AT5G21070.1	orthologue	GO:0003674;GO:0005575;GO:0016020	AT5g21070/T10F18_100 (Fe(3+) dicitrate transport system permease)
Om006G242920	1016	AT5G21080.1	AT5G21080.1	orthologue	GO:0005739;GO:0003674;GO:0009555;GO:0005886	Uncharacterized protein
Om006G242930	218	AT3G43740.2, AT5G21090.1	AT5G21090.1	orthologue	GO:0003674;GO:0005575;GO:0007165;GO:0005576;GO:0005739;GO:0006952	Leucine-rich repeat protein 1 (AtLRR1);Leucine-rich repeat protein 2 (AtLRR2)
Om006G242950	124	AT5G13760.1	AT5G13760.1	other	GO:0055085;GO:0022857;GO:0005886;GO:0016020	Choline transporter-like protein
Om006G242970	571	AT5G21105.1	AT5G21105.1	orthologue	GO:0005576;GO:0009505;GO:0016491;GO:0005507;GO:0010039;GO:0009506;GO:0008447;GO:0048046;GO:0009615;GO:0042542;GO:0050687	L-ascorbate oxidase (EC 1.10.3.3);Plant L-ascorbate oxidase
Om006G242980	483	AT5G21120.2	AT5G21120.2	orthologue	GO:0006355;GO:0009873;GO:0003700;GO:0005634;GO:0003677	ETHYLENE INSENSITIVE 3-like 2 protein;ETHYLENE-INSENSITIVE3-like 2
Om006G242990	139	AT1G18760.1, AT3G13228.1, AT1G18770.1	AT1G18760.1	other	GO:0005737;GO:0061630;GO:0016567;GO:0005634;GO:0008270	At1g18760 (F6A14.13 protein) (Zinc finger, C3HC4 type (RING finger) family protein);RING-type E3 ubiquitin transferase (EC 2.3.2.27);RING/U-box superfamily protein
Om006G243000	274	AT5G21130.1	AT5G21130.1	orthologue	GO:0003674;GO:0005634;GO:0016020;GO:0098542;GO:0005886	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Om006G243010	315	AT5G21140.1	AT5G21140.1	orthologue	GO:0006302;GO:0009793;GO:0000724;GO:0004842;GO:0005634;GO:0005515;GO:0030915;GO:0008270;GO:0061630;GO:0006281	Non-structural maintenance of chromosomes element 1 homolog (EC 2.3.2.27)
Om006G243020	897	AT5G21150.1	AT5G21150.1	orthologue	GO:0005634;GO:0010526;GO:0004521;GO:0051607;GO:0009554;GO:0005737;GO:0048481;GO:0031047;GO:1904159;GO:0003723;GO:0035197;GO:0006417;GO:1990904;GO:0003676;GO:0005515	Protein argonaute 9
Om006G243030	823	AT5G21160.3	AT5G21160.3	orthologue	GO:0070370;GO:0006402;GO:0000932;GO:0005829;GO:0010494;GO:0048255;GO:0009536;GO:0005737;GO:0003723;GO:0005515;GO:0048027;GO:0003729;GO:0010286;GO:1903432;GO:0042254;GO:0061014;GO:0045182;GO:0000339;GO:0009749	LA RNA-binding protein;La-related protein 1A (AtLARP1a)
Om006G243040	284	AT5G21170.2	AT5G21170.2	other	GO:0043562;GO:0019887;GO:0005737;GO:0005515;GO:0031588;GO:1901982;GO:0006499;GO:0009507;GO:0005524;GO:0005886;GO:0006633;GO:0042128;GO:0016301	5'-AMP-activated protein kinase beta-2 subunit protein;SNF1-related protein kinase regulatory subunit beta-1 (AKIN subunit beta-1) (AKINB1) (AKINbeta1)
Om006G243050	836	AT5G21222.1	AT5G21222.1	orthologue	GO:0004672;GO:0009536;GO:0005739;GO:0005524;GO:0003729;GO:0005515;GO:0006468	Pentatricopeptide repeat-containing protein At5g21222 (SNF1-like protein kinase AtC401)
Om006G243060	149	AT1G66410.2, AT2G27030.3, AT2G41110.2, AT3G56800.1, AT5G21274.1, AT5G37780.3	AT2G27030.3	other	GO:0005515;GO:0005829;GO:0005509;GO:0005737;GO:0005634;GO:0005886;GO:0005739;GO:0009536;GO:0030234;GO:0005622;GO:0019722;GO:0000325;GO:0030163;GO:0009846;GO:0005874;GO:0005777;GO:0005513;GO:0009612;GO:0016460	Calmodulin 1;Calmodulin 2;Calmodulin 4;Calmodulin 5;Calmodulin-1 (CaM-1);Calmodulin-2 (CaM-2);Calmodulin-3 (CaM-3);Calmodulin-4 (CaM-4);Calmodulin-5 (CaM-5);Calmodulin-6 (CaM-6)
Om006G243070	440	AT5G21326.1	AT5G21326.1	orthologue	GO:0004674;GO:0007165;GO:0009536;GO:0005524;GO:0005886;GO:0106310;GO:0004672;GO:0006468	CBL-interacting serine/threonine-protein kinase 26 (EC 2.7.11.1) (SNF1-related kinase 3.26) (SOS2-like protein kinase PKS26)
Om006G243080	217	AT5G21430.1	AT5G21430.1	orthologue	GO:0003674;GO:0009535;GO:0010598;GO:0009507;GO:0009536;GO:0048038	NAD(P)H-quinone oxidoreductase subunit U, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit U) (NDH subunit U) (NADH-plastoquinone oxidoreductase subunit U) (Protein CHLORORESPIRATORY REDUCTION L)
Om006G243090	517	AT5G21482.1	AT5G21482.1	orthologue	GO:0019139;GO:0005576;GO:0071949;GO:0009823;GO:0016491;GO:0005829;GO:0050660;GO:0003824;GO:0009690	Cytokinin dehydrogenase 7 (EC 1.5.99.12) (Cytokinin oxidase 7) (AtCKX5) (AtCKX7) (CKO7)
Om006G243120	559	AT3G62850.1	AT3G62850.1	other	GO:0010468;GO:0004540;GO:0005634;GO:0005777	Zinc finger protein-like protein
Om006G243150	140	AT5G21900.1	AT5G21900.1	orthologue	GO:0019005;GO:0010225;GO:0006289;GO:0031146;GO:0003674;GO:0005634;GO:0005737	At5g21900 (DNA excision repair protein) (RNI-like superfamily protein);RNI-like superfamily protein
Om006G243190	581	AT5G21900.1	AT5G21900.1	orthologue	GO:0019005;GO:0010225;GO:0006289;GO:0031146;GO:0003674;GO:0005634;GO:0005737	At5g21900 (DNA excision repair protein) (RNI-like superfamily protein);RNI-like superfamily protein
Om006G243200	106	AT5G21910.1	AT5G21910.1	orthologue	GO:0003674;GO:0005739;GO:0008150;GO:0016020	Transmembrane protein
Om006G243210	252	AT5G21920.1	AT5G21920.1	orthologue	GO:0010020;GO:0016020;GO:0090143;GO:0003674;GO:0005739;GO:0005886;GO:0009535	YGGT family protein;YlmG homolog protein 2, chloroplastic (AtYLMG2) (YGGT family protein YLMG2)
Om006G243220	885	AT5G21930.1	AT5G21930.1	orthologue	GO:0016020;GO:0009535;GO:0009507;GO:0016887;GO:0005375;GO:0055070;GO:0006825;GO:0043682;GO:0019829;GO:0005507;GO:0005524;GO:0009767;GO:0046872;GO:0005215;GO:0000166;GO:0006812	Copper-transporting ATPase PAA2, chloroplastic (EC 7.2.2.9) (Protein HEAVY METAL ATPASE 8);P-type ATPase of Arabidopsis 2
Om006G243230	243	AT5G21940.1	AT5G21940.1	orthologue	GO:0005634;GO:0005515;GO:0006979;GO:0010043;GO:0016301	Protein OXIDATIVE STRESS 3 LIKE 1 (AtO3L1)
Om006G243240	313	AT5G21950.6	AT5G21950.6	orthologue	GO:0009507;GO:0003674;GO:0005737	Alpha/beta-Hydrolases superfamily protein
Om006G243260	229	AT5G21960.1	AT5G21960.1	orthologue	GO:0003700;GO:0006355;GO:0005634;GO:0003677;GO:0009873	Ethylene-responsive transcription factor ERF016
Om006G243270	444	AT5G21970.1	AT5G21970.1	orthologue	GO:0003723;GO:0005575;GO:0016787	Expressed protein (Ubiquitin carboxyl-terminal hydrolase family protein)
Om006G243280	297	AT5G21280.1	AT5G21280.1	orthologue	GO:0005634;GO:0006979;GO:0003674;GO:0002238;GO:0006970;GO:0009414;GO:0009651;GO:0010555;GO:0042542;GO:0046686;GO:1901562;GO:1902882	Hydroxyproline-rich glycoprotein family protein;Protein AAL-toxin resistant 7 (Alternaria alternata f.sp. lycopersici toxin resistant protein 7)
Om006G243290	811	AT2G22440.1	AT2G22440.1	other	GO:0005575;GO:0008150;GO:0003674;GO:0003964;GO:0003824	Non-LTR retroelement reverse transcriptase
Om006G243300	561	AT5G21990.1	AT5G21990.1	orthologue	GO:0003674;GO:0005737;GO:0009707;GO:0005789;GO:0046967;GO:0009536;GO:0005622;GO:0015031;GO:0005515	Outer envelope protein 61 (Tetratricopeptide repeat domain-containing protein 7)
Om006G243310	372	AT5G22000.1	AT5G22000.1	orthologue	GO:0051603;GO:0005634;GO:0051726;GO:0004842;GO:0016567;GO:0009561;GO:0055046;GO:0008270;GO:0016740	E3 ubiquitin-protein ligase RHF2A (EC 2.3.2.27) (RING-H2 finger F2a) (RING-H2 zinc finger protein RHF2a) (RING-type E3 ubiquitin transferase RHF2A);RING-H2 group F2A
Om006G243320	1006	AT5G22010.1	AT5G22010.1	orthologue	GO:0006281;GO:0003689;GO:0003677;GO:0000712;GO:0005634;GO:0022414;GO:0005663;GO:0016887;GO:0006974;GO:0051321;GO:0040029;GO:0005524;GO:0006260	Replication factor C subunit 1;Replication factor C subunit 1 (AtRFC1) (Activator 1 large subunit) (Activator 1 subunit 1)
Om006G243330	395	AT5G22020.1	AT5G22020.1	orthologue	GO:0005783;GO:0005576;GO:0009058;GO:0016787;GO:0016844;GO:0005773;GO:0012505	At5g22020 (Calcium-dependent phosphotriesterase superfamily protein) (Putative strictosidine synthase-like)
Om006G243340	886	AT5G22030.2	AT5G22030.2	orthologue	GO:0004843;GO:0005737;GO:0005634;GO:0006508;GO:0016579	Ubiquitin carboxyl-terminal hydrolase 8 (EC 3.4.19.12) (Deubiquitinating enzyme 8) (AtUBP8) (Ubiquitin thioesterase 8) (Ubiquitin-specific-processing protease 8)
Om006G243350	275	AT5G22040.1	AT5G22040.1	orthologue	GO:0005634;GO:0003674;GO:0016787	At5g22040 (Ubiquitin carboxyl-terminal hydrolase)
Om006G243360	318	AT5G22050.2	AT5G22050.2	orthologue	GO:0004672;GO:0005739;GO:0005524;GO:0005886;GO:0004713;GO:0007165;GO:0006468	Protein kinase superfamily protein (Somatic embryogenesis receptor-like kinase-like protein)
Om006G243370	422	AT5G22060.1	AT5G22060.1	orthologue	GO:0042026;GO:0003729;GO:0030544;GO:0006457;GO:0005737;GO:0051082;GO:0009408;GO:0005524;GO:0051087;GO:0005829;GO:0009536;GO:0009506;GO:0008270;GO:0016020;GO:0031072	Chaperone protein dnaJ 2 (AtDjA2)
Om006G243380	362	AT5G22070.1	AT5G22070.1	orthologue	GO:0080142;GO:0005576;GO:1900056;GO:0016757;GO:0009505;GO:0016020	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein (Glycosyltransferase)
Om006G243390	246	AT5G22080.1	AT5G22080.1	orthologue	GO:0005737;GO:0003674	Chaperone DnaJ-domain superfamily protein
Om006G243400	469	AT5G22090.1	AT5G22090.1	orthologue	GO:0042326;GO:0019902;GO:0005783;GO:0009788;GO:0005515;GO:0005634;GO:0072542;GO:0005737;GO:0009507;GO:0010922	Protein FAF-like, chloroplastic
Om006G243410	548	AT2G26440.1	AT2G26440.1	orthologue	GO:0045490;GO:0005576;GO:0004857;GO:0042545;GO:0009617;GO:0046910;GO:0030599	Probable pectinesterase/pectinesterase inhibitor 12 [Includes: Pectinesterase inhibitor 12 (Pectin methylesterase inhibitor 12); Pectinesterase 12 (PE 12) (EC 3.1.1.11) (Pectin methylesterase 12) (AtPME12)]
Om006G243420	377	AT5G22100.1	AT5G22100.1	orthologue	GO:0000479;GO:0006396;GO:0005730;GO:0004521;GO:0003824;GO:0042254	Probable RNA 3'-terminal phosphate cyclase-like protein
Om006G243430	521	AT5G22110.1	AT5G22110.1	orthologue	GO:0006261;GO:0005634;GO:0008622;GO:0009793;GO:0070182;GO:0042276;GO:0051781;GO:0003677;GO:0006260	DNA polymerase epsilon subunit (DNA polymerase II subunit 2);DNA polymerase epsilon subunit B (DNA polymerase II subunit 2) (AtDPB2) (Protein CYCLOPS 2)
Om006G243440	386	AT5G22120.1	AT5G22120.1	orthologue	GO:0008150;GO:0005634;GO:0003676	At5g22100 (Coiled-coil protein)
Om006G243450	451	AT5G22130.2	AT5G22130.2	orthologue	GO:0009793;GO:0051751;GO:0006506;GO:0005739;GO:0051301;GO:0009832;GO:0097502;GO:1990529;GO:0000030;GO:0004376;GO:0030244;GO:0016757;GO:0005789;GO:0016020	GPI mannosyltransferase 1 (EC 2.4.1.-) (GPI mannosyltransferase I);GPI mannosyltransferase 1 (EC 2.4.1.-) (GPI mannosyltransferase I) (GPI-MT-I) (Phosphatidylinositol-glycan biosynthesis class M protein) (PIG-M) (Protein PEANUT 1)
Om006G243460	365	AT3G44190.1, AT5G22140.1	AT5G22140.1	orthologue	GO:0005737;GO:0050660;GO:0004174;GO:0005794;GO:0009507;GO:0016491;GO:0009506	At3g44190 (FAD/NAD(P)-binding oxidoreductase family protein);FAD/NAD(P)-binding oxidoreductase family protein
Om006G243470	216	AT5G22150.1, AT5G22160.1	AT5G22160.1	orthologue	GO:0008150;GO:0009506;GO:0003674;GO:0005886;GO:0098542;GO:0005634;GO:0016020	Transmembrane protein
Om006G243480	96	AT5G09650.1	AT5G09650.1	other	GO:0009570;GO:0009941;GO:0005886;GO:0009507;GO:0004427;GO:0006796;GO:0009579;GO:0000287;GO:0009536;GO:0005737	Soluble inorganic pyrophosphatase 6, chloroplastic (EC 3.6.1.1) (Inorganic pyrophosphatase 6) (Pyrophosphate phospho-hydrolase 6) (PPase 6)
Om006G243490	211	AT5G22170.1	AT5G22170.1	other	GO:0003674;GO:0008150;GO:0005739;GO:0016020	Transmembrane protein
Om006G243500	644	AT1G29870.1	AT1G29870.1	orthologue	GO:0015966;GO:0006426;GO:0046983;GO:0004820;GO:0005737;GO:0005524;GO:0005739;GO:0070150;GO:0000166;GO:0004812;GO:0006418	Putative glycine--tRNA ligase, cytoplasmic (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (AP-4-A synthetase) (Glycyl-tRNA synthetase) (GlyRS)
Om006G243510	217	AT5G22170.1	AT5G22170.1	other	GO:0003674;GO:0008150;GO:0005739;GO:0016020	Transmembrane protein
Om006G243520	214	AT5G22150.1, AT5G22160.1	AT5G22160.1	orthologue	GO:0008150;GO:0009506;GO:0003674;GO:0005886;GO:0098542;GO:0005634;GO:0016020	Transmembrane protein
Om006G243530	204	AT5G22180.1	AT5G22180.1	other	GO:0003674;GO:0009507;GO:0008150	Uncharacterized protein At5g22180
Om006G243540	84					
Om006G243550	240	AT5G22190.1	AT5G22190.1	orthologue	GO:0008150;GO:0005739;GO:0003674	Uncharacterized protein At5g22190
Om006G243560	216	AT5G22180.1	AT5G22180.1	orthologue	GO:0003674;GO:0009507;GO:0008150	Uncharacterized protein At5g22180
Om006G243570	243	AT5G22190.1	AT5G22190.1	orthologue	GO:0008150;GO:0005739;GO:0003674	Uncharacterized protein At5g22190
Om006G243580	204	AT5G22150.1, AT5G22160.1	AT5G22160.1	orthologue	GO:0008150;GO:0009506;GO:0003674;GO:0005886;GO:0098542;GO:0005634;GO:0016020	Transmembrane protein
Om006G243590	214	AT5G22170.1	AT5G22170.1	other	GO:0003674;GO:0008150;GO:0005739;GO:0016020	Transmembrane protein
Om006G243600	207	AT5G22200.1	AT5G22200.1	orthologue	GO:0009506;GO:0005886;GO:0003674;GO:0009505;GO:0098542;GO:0005739	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family (NDR1/HIN1-like protein)
Om006G243610	81	AT5G22210.1	AT5G22210.1	orthologue	GO:0003674;GO:0005739	Aspartyl/glutamyl-tRNA (Asn/Gln) amidotransferase subunit B (At5g22210)
Om006G243620	452	AT5G22220.2	AT5G22220.2	orthologue	GO:0045893;GO:0005515;GO:0000978;GO:0003700;GO:0006357;GO:0005737;GO:0009733;GO:0000981;GO:0051726;GO:0051302;GO:0051446;GO:0008284;GO:0090575;GO:0003677;GO:0046983;GO:0005634;GO:0070176;GO:0010090;GO:0005667;GO:0006355	Transcription factor E2FB (E2F transcription factor-1) (AtE2F1)
Om006G243630	147	AT5G22240.1	AT5G22240.1	orthologue	GO:0045892;GO:0005634;GO:0003674	Transcription repressor OFP10 (Ovate family protein 10) (AtOFP10)
Om006G243640	277	AT5G22250.1	AT5G22250.1	orthologue	GO:0000289;GO:0042742;GO:0000288;GO:0030014;GO:0005634;GO:0004535;GO:0000932;GO:0030015;GO:0008408;GO:0005515;GO:0003723;GO:0005737;GO:0046872;GO:0003676	Probable CCR4-associated factor 1 homolog 11 (EC 3.1.13.4)
Om006G243650	676	AT5G22260.1	AT5G22260.1	orthologue	GO:0022414;GO:0071367;GO:0045893;GO:0005634;GO:0010208;GO:0048655;GO:0003700;GO:0009846;GO:0055046;GO:0008270;GO:0043068	PHD finger protein MALE STERILITY 1
Om006G243660	93	AT5G22270.1	AT5G22270.1	orthologue	GO:0005515;GO:0009873;GO:0009651;GO:2000377;GO:0005634	Protein salt-induced and EIN3/EIL1-dependent 1
Om006G243670	108	AT3G44280.1	AT3G44280.1	other	GO:0005575;GO:0003674;GO:0016853	Peptidyl-prolyl cis-trans isomerase G
Om006G243680	345	AT5G22290.1	AT5G22290.1	orthologue	GO:0005515;GO:0005634;GO:0006355;GO:0045893;GO:0009910;GO:0000976;GO:0009626;GO:0003700;GO:0003677;GO:0005783;GO:0034976	NAC domain containing protein 89;NAC domain-containing protein 89 (ANAC089) (Protein FRUCTOSE-SENSING QUANTITATIVE TRAIT LOCUS 6)
Om006G243690	440	AT1G68845.1	AT1G68845.1	other	GO:0005739;GO:0003674;GO:0008150;;GO:0003676;GO:0008270	Uncharacterized protein
Om006G243700	357	AT5G22300.1	AT5G22300.1	orthologue	GO:0005829;GO:0080061;GO:0047558;GO:0047427;GO:0018822;GO:0051410;GO:0000257;GO:0019499;GO:0005886;GO:0016836;GO:0003824	Bifunctional nitrilase/nitrile hydratase NIT4 (EC 3.5.5.1) (EC 3.5.5.4) (EC 4.2.1.65) (Cyanoalanine nitrilase) (Nitrilase 4);cyanoalanine nitrilase (EC 3.5.5.4)
Om006G243710	459	AT5G22310.1	AT5G22310.1	orthologue	GO:0005515;GO:0005575	AT5g22310/MWD9_9 (Trichohyalin-like protein)
Om006G243720	439	AT5G22320.1	AT5G22320.1	orthologue	GO:0005634;GO:0003674;GO:0005886;GO:0015630;GO:0005515	AT5g22320/MWD9_11 (Leucine-rich repeat (LRR) family protein);Leucine-rich repeat (LRR) family protein
