Cochlearia_excelsa	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
g50932	434	AT3G10450.1, AT2G22980.4, AT2G22970.3, AT2G22920.2, AT2G23000.1, AT2G22990.3, AT2G23010.1, AT3G12203.1	AT2G23000.1	other	GO:0005576;GO:0004185;GO:0006508;GO:0016747;GO:0019748;GO:0047158;GO:0099503;GO:0016754;GO:0009698;GO:0005773;GO:0009507;GO:0016746;GO:0016752	Serine carboxypeptidase-like 10 (Sinapoylglucose--anthocyanin acyltransferase) (Sinapoylglucose--anthocyanin sinapoyltransferase) (SAT) (EC 2.3.1.-);Serine carboxypeptidase-like 11;Serine carboxypeptidase-like 11 (EC 3.4.16.-);Serine carboxypeptidase-like 12;Serine carboxypeptidase-like 12 (EC 3.4.16.-);Serine carboxypeptidase-like 13;Serine carboxypeptidase-like 13 (Sinapoylglucose--sinapoylglucose O-sinapoyltransferase) (EC 2.3.1.103) (Sinapoylglucose--sinapoylglucose acyltransferase);Serine carboxypeptidase-like 17;Serine carboxypeptidase-like 17 (EC 3.4.16.-);Serine carboxypeptidase-like 7;Serine carboxypeptidase-like 7 (EC 3.4.16.-);Serine carboxypeptidase-like 8 (Protein SINAPOYLGLUCOSE ACCUMULATOR 1) (Sinapoylglucose--malate O-sinapoyltransferase) (SMT) (EC 2.3.1.92) (Sinapoylglucose--sinapoylglucose O-sinapoyltransferase) (EC 2.3.1.103);Serine carboxypeptidase-like 9;Serine carboxypeptidase-like 9 (Sinapoylglucose--sinapoylglucose O-sinapoyltransferase) (SST) (EC 2.3.1.103) (Sinapoylglucose--sinapoylglucose acyltransferase);Sinapoylglucose 1
g50933	521	AT1G40390.1, AT1G43760.1	AT1G43760.1	other	GO:0005575;GO:0003674;GO:0008150;GO:0005634	DNAse I-like superfamily protein
g50934	153					
g50935	433	AT3G10450.1, AT2G22980.4, AT2G22970.3, AT2G22920.2, AT2G23000.1, AT2G22990.3, AT2G23010.1, AT3G12203.1	AT2G23000.1	other	GO:0005576;GO:0004185;GO:0006508;GO:0016747;GO:0019748;GO:0047158;GO:0099503;GO:0016754;GO:0009698;GO:0005773;GO:0009507;GO:0016746;GO:0016752	Serine carboxypeptidase-like 10 (Sinapoylglucose--anthocyanin acyltransferase) (Sinapoylglucose--anthocyanin sinapoyltransferase) (SAT) (EC 2.3.1.-);Serine carboxypeptidase-like 11;Serine carboxypeptidase-like 11 (EC 3.4.16.-);Serine carboxypeptidase-like 12;Serine carboxypeptidase-like 12 (EC 3.4.16.-);Serine carboxypeptidase-like 13;Serine carboxypeptidase-like 13 (Sinapoylglucose--sinapoylglucose O-sinapoyltransferase) (EC 2.3.1.103) (Sinapoylglucose--sinapoylglucose acyltransferase);Serine carboxypeptidase-like 17;Serine carboxypeptidase-like 17 (EC 3.4.16.-);Serine carboxypeptidase-like 7;Serine carboxypeptidase-like 7 (EC 3.4.16.-);Serine carboxypeptidase-like 8 (Protein SINAPOYLGLUCOSE ACCUMULATOR 1) (Sinapoylglucose--malate O-sinapoyltransferase) (SMT) (EC 2.3.1.92) (Sinapoylglucose--sinapoylglucose O-sinapoyltransferase) (EC 2.3.1.103);Serine carboxypeptidase-like 9;Serine carboxypeptidase-like 9 (Sinapoylglucose--sinapoylglucose O-sinapoyltransferase) (SST) (EC 2.3.1.103) (Sinapoylglucose--sinapoylglucose acyltransferase);Sinapoylglucose 1
g50936	708	AT1G18050.1, AT3G30370.1, AT5G15685.1	AT5G15685.1	other	GO:0003723;GO:0005686;GO:0071004;GO:0045292;GO:0071013;GO:0005634;GO:0003674;GO:0008150;GO:0008270	MuDR family transposase;Mutator transposase MUDRA protein;SWAP/surp RNA-binding domain protein
g50937	392					
g50938	630	ATMG00750.1	ATMG00750.1	other	GO:0005739;GO:0003674;GO:0008150;GO:0015074;GO:0003676	Uncharacterized mitochondrial protein AtMg00750 (ORF119)
g50939	1119					
g5094	237					
g50940	383	AT4G27570.1	AT4G27570.1	other	GO:0016757;GO:0046283;GO:0008194;GO:0035251;GO:0005575	UDP-glycosyltransferase 79B3 (EC 2.4.1.-)
g50941	103	AT2G23090.1	AT2G23090.1	other	GO:0003674;GO:0005575	Uncharacterized protein At2g23090
g50942	162				GO:0005886	
g50943	517	AT2G23150.1	AT2G23150.1	orthologue	GO:0042742;GO:0015086;GO:0006828;GO:0009617;GO:0000325;GO:0034755;GO:0005774;GO:0046873;GO:0060586;GO:0005384;GO:2000379;GO:0010043;GO:0015692;GO:0005773;GO:0030003;GO:0030001;GO:0015691;GO:0005737;GO:0005794;GO:0009506;GO:0015103;GO:0006826;GO:0016020;GO:0055072	Metal transporter Nramp3 (AtNramp3)
g50944	457	AT2G23250.1	AT2G23250.1	orthologue	GO:0010294;GO:0080043;GO:0016757;GO:0005737;GO:0080044;GO:0009507;GO:0008150;GO:0035251;GO:0008194	UDP-glycosyltransferase 84B2 (EC 2.4.1.-)
g50945	86	AT2G23270.1	AT2G23270.1	orthologue	GO:0005575;GO:0045087;GO:0071456;GO:0098542;GO:0050793;GO:0003674	At2g23270 (Expressed protein) (Transmembrane protein)
g50946	339	AT2G23290.1	AT2G23290.1	orthologue	GO:0005515;GO:0000976;GO:0006355;GO:0000978;GO:0000981;GO:0005634;GO:0003700	At2g23280 (MYB family transcription factor) (MYB transcription factor) (Myb domain protein 70)
g50947	457					
g50948	767				GO:0003676;GO:0004523;GO:0015074	
g50949	125					
g5095	213	AT5G02370.1	AT5G02370.1	other	GO:0005874;GO:0003777;GO:0005737;GO:0016887;GO:0008017;GO:0007018;GO:0009507;GO:0005871;GO:0008574;GO:0005524	Kinesin-like protein;Kinesin-like protein KIN-10B
g50950	87					
g50951	168	AT2G23340.1	AT2G23340.1	orthologue	GO:0005634;GO:0000976;GO:0003700;GO:0006355;GO:0009873;GO:0003677	Ethylene-responsive transcription factor ERF008
g50952	595	AT2G23350.1	AT2G23350.1	orthologue	GO:0008143;GO:0003729;GO:1990904;GO:0005773;GO:0005634;GO:0005515;GO:0003730;GO:0003743;GO:0005829;GO:0010494;GO:0008266;GO:0006417;GO:0003676;GO:0003723	Polyadenylate-binding protein 4 (PABP-4) (Poly(A)-binding protein 4)
g50953	387	AT2G23540.1	AT2G23540.1	orthologue	GO:0016788;GO:0009507;GO:0008150;GO:0005576;GO:0016042	GDSL esterase/lipase At2g23540 (EC 3.1.1.-) (Extracellular lipase At2g23540)
g50954	259	AT2G23600.2	AT2G23600.2	other	GO:0080031;GO:0106435;GO:0009696;GO:0031408;GO:0080030;GO:0009694;GO:0005829;GO:0016788;GO:0005634;GO:1901847;GO:0080032;GO:0005773;GO:0052689;GO:0016829;GO:0051723	Methylesterase (EC 3.1.1.-);Methylesterase 2 (AtMES2) (EC 3.1.1.-) (Protein METHYLESTERASE 8) (AtME8)
g50955	155	AT2G23580.1	AT2G23580.1	other	GO:0080032;GO:0009694;GO:0016788;GO:0005634;GO:0009696;GO:0080030;GO:0080031;GO:0005773;GO:0051723	Methylesterase (EC 3.1.1.-);Methylesterase 4 (AtMES4) (EC 3.1.1.-) (Alpha/beta fold hydrolase/esterase 4)
g50956	389					
g50957	407					
g50958	167	AT2G23620.1	AT2G23620.1	other	GO:0009696;GO:0009627;GO:0080031;GO:0016788;GO:0080030;GO:0009694;GO:0080032;GO:0005575;GO:0031408;GO:0045087;GO:0050832	Methylesterase 1 (AtMES1) (EC 3.1.1.-)
g50959	430	AT1G78490.1	AT1G78490.1	other	GO:0010268;GO:0020037;GO:0016132;GO:0005506;GO:0004497;GO:0016705;GO:0009507;GO:0016020;GO:0007275;GO:0016125;GO:0016491	At1g78490 (Cytochrome P450, family 708, subfamily A, polypeptide 3) (Similar to cytochrome P450);Cytochrome P450, family 708, subfamily A, polypeptide 3
g5096	802	AT2G22440.1	AT2G22440.1	other	GO:0005575;GO:0008150;GO:0003674;GO:0003964	Non-LTR retroelement reverse transcriptase
g50960	618	AT2G23770.1	AT2G23770.1	orthologue	GO:0009507;GO:0045087;GO:0071219;GO:0071323;GO:0016301;GO:0004674;GO:0008061;GO:0005886;GO:0005524;GO:0106310;GO:0004672;GO:0006468	LysM domain receptor-like kinase 4 (LysM-containing receptor-like kinase 4) (EC 2.7.11.1)
g50961	292					
g50962	1072				GO:0003676;GO:0015074	
g50963	301					
g50964	231	AT2G23780.1	AT2G23780.1	orthologue	GO:0036503;GO:0006511;GO:0061630;GO:0005634;GO:0042277;GO:0044390;GO:0016567;GO:0005789;GO:0008270;GO:0005783	E3 ubiquitin-protein ligase RMA (EC 2.3.2.27) (Protein RING membrane-anchor) (RING-type E3 ubiquitin transferase RMA)
g50965	272	AT2G23810.1	AT2G23810.1	other	GO:0005886;GO:0009734;GO:0005773;GO:0050829;GO:0099039;GO:0006890;GO:0005576;GO:0046625;GO:0090110;GO:0009506;GO:0005794;GO:0070062;GO:0016020	Tetraspanin-8
g50966	447	AT2G23900.1	AT2G23900.1	other	GO:0004650;GO:0005576;GO:0005975;GO:0016829	Glycoside hydrolase family 28 protein/polygalacturonase family protein (Pectin lyase-like superfamily protein)
g50967	150	AT2G24090.1	AT2G24090.1	orthologue	GO:0005515;GO:0003729;GO:0003735;GO:0015934;GO:0045036;GO:0009507;GO:0005840;GO:0006412;GO:1990904	Large ribosomal subunit protein bL35c (50S ribosomal protein L35, chloroplastic)
g50968	245					
g50969	566					
g5097	122					
g50970	463	AT2G24100.1	AT2G24100.1	orthologue	GO:0003674;GO:0005634;GO:0004386	ATP-dependent DNA helicase (At2g24100)
g50971	990	AT2G24120.1	AT2G24120.1	orthologue	GO:0003899;GO:0006390;GO:0006351;GO:0009507;GO:0005515;GO:0005739;GO:0034245;GO:0003677;GO:0000428;GO:0005737	DNA-directed RNA polymerase (EC 2.7.7.6);DNA-directed RNA polymerase 3, chloroplastic (EC 2.7.7.6) (Protein SCABRA 3)
g50972	74	AT2G38900.2	AT2G38900.2	orthologue	GO:0004867;GO:0005576;GO:0009611;GO:0006952	Protease inhibitor;Serine protease inhibitor, potato inhibitor I-type family protein
g50973	332	AT2G24150.1	AT2G24150.1	orthologue	GO:0009725;GO:0005739;GO:0009744;GO:0006979;GO:0038023;GO:0016020;GO:0046872	Heptahelical protein 3;Heptahelical transmembrane protein 3 (PAQR family protein HHP3)
g50974	140	AT3G25810.1	AT3G25810.1	other	GO:0050550;GO:0016102;GO:0043693;GO:0009507;GO:0034768;GO:0050551;GO:0080015;GO:0010334;GO:0005515;GO:0050552;GO:0034002;GO:0000287	Beta-myrcene/(E)-beta-ocimene synthase 2, chloroplastic (EC 4.2.3.15) (Terpenoid synthase 24) (AtTPS24)
g50975	160	AT3G25830.1, AT3G25820.1	AT3G25830.1	other	GO:0016102;GO:0009507;GO:0048364;GO:0050832;GO:0050551;GO:0016099;GO:0102313;GO:0010333;GO:0034768;GO:0000287;GO:0016829;GO:0016114	1,8-cineole synthase 1, chloroplastic (AtTPS-CIN1) (EC 4.2.3.108) (Limonene cyclase) (Terpenoid synthase 27) (AtTPS27);1,8-cineole synthase 2, chloroplastic (AtTPS-CIN2) (EC 4.2.3.108) (Limonene cyclase) (Terpenoid synthase 23) (AtTPS23);Terpene synthase-like sequence-1,8-cineole
g50976	332	AT2G24220.2	AT2G24220.2	orthologue	GO:0005345;GO:0005634;GO:0016020;GO:0006863;GO:0015211	Probable purine permease;Probable purine permease 5 (AtPUP5)
g50977	852	AT2G24230.1	AT2G24230.1	orthologue	GO:0044024;GO:0004672;GO:0006468;GO:0005886;GO:0005515;GO:0045088;GO:0004674;GO:0005524;GO:0016020;GO:0106310	Probable LRR receptor-like serine/threonine-protein kinase At2g24230 (EC 2.7.11.1)
g50978	444	AT2G24240.1	AT2G24240.1	orthologue	GO:0009737;GO:0005634;GO:0003674;GO:0016567;GO:0051260;GO:0005515	BTB/POZ domain-containing protein At2g24240
g50979	342	AT2G24260.1	AT2G24260.1	orthologue	GO:0000978;GO:0048235;GO:0048765;GO:0005634;GO:0048767;GO:0006355;GO:0003700;GO:0000981;GO:0005515;GO:0006357;GO:0080147;GO:0055046;GO:0046983;GO:0000976;GO:0003677	LJRHL1-like 1;Transcription factor LRL1 (Basic helix-loop-helix protein 66) (AtbHLH66) (bHLH 66) (Protein DEFECTIVE REGION OF POLLEN 1) (Protein LJRHL1- LIKE 1) (AtLRL1) (Transcription factor EN 95) (Transcription factor bHLH66) (bHLH transcription factor bHLH066)
g5098	432	AT5G15630.1	AT5G15630.1	orthologue	GO:0005886;GO:0052324;GO:2001006;GO:0016020;GO:0000325;GO:0003674;GO:0009834;GO:0010215;GO:0098552	COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family;COBRA-like protein 4
g50980	294	AT2G24320.2	AT2G24320.2	orthologue	GO:0005576;GO:0003674;GO:0008150	Alpha/beta-Hydrolases superfamily protein
g50981	97	AT1G66145.1	AT1G66145.1	orthologue	GO:0045595;GO:2000067;GO:0045168;GO:2000023;GO:0033612;GO:0009786;GO:0010082;GO:0010088;GO:0010078;GO:0048046	CLAVATA3/ESR (CLE)-related protein 18 [Cleaved into: CLE18p; CLE18 C-terminus]
g50982	155	AT2G24390.1	AT2G24390.1	orthologue	GO:0005634;GO:0003674;GO:0016746	AIG2-like protein D (EC 2.3.2.-) (Avirulence-induced gene 2-like protein D) (Putative gamma-glutamylcyclotransferase);Putative gamma-glutamylcyclotransferase
g50983	129	AT2G24395.1	AT2G24395.1	orthologue	GO:0005575;GO:0003674;GO:0009507	At2g24395 (Chaperone protein dnaJ-like protein)
g50984	259	AT2G24430.1	AT2G24430.1	orthologue	GO:0006355;GO:0005634;GO:0003700;GO:0003677;GO:0000976	NAC domain containing protein 38 (NAM (No apical meristem)-like protein)
g50985	107					
g50986	127					
g50987	112					
g50988	1072					
g50989	337	ATMG00750.1	ATMG00750.1	other	GO:0005739;GO:0003674;GO:0008150;GO:0015074;GO:0003676	Uncharacterized mitochondrial protein AtMg00750 (ORF119)
g5099	889	AT5G15580.1	AT5G15580.1	orthologue	GO:0051513;GO:0009826;GO:0005515;GO:0005829;GO:0005634	Protein LONGIFOLIA 1 (Protein TON1 RECRUITING MOTIF 2)
g50990	413					
g50991	179	AT2G24440.1	AT2G24440.1	orthologue	GO:0005634;GO:0003674;GO:0005794	Expressed protein (Selenium binding protein)
g50992	281	AT2G24450.1	AT2G24450.1	orthologue	GO:0016020;GO:0009507;GO:0005886;GO:0003674;GO:0008150;GO:0098552	Fasciclin-like arabinogalactan protein 3
g50993	410	AT2G24500.1	AT2G24500.1	orthologue	GO:0005515;GO:0006364;GO:0006355;GO:0000976;GO:0008270;GO:0005634;GO:0090070;GO:0009631;GO:0003700;GO:0042273;GO:0005829;GO:0005737;GO:0030687;GO:0003676	Cytoplasmic 60S subunit biogenesis factor REI1 homolog 2 (Protein REI1-LIKE 2) (pre-60S factor REI1 homolog 2)
g50994	941	AT2G24520.2	AT2G24520.2	orthologue	GO:0051453;GO:0016887;GO:0005886;GO:0120029;GO:1902600;GO:0008553;GO:0009507;GO:0005524;GO:0046872;GO:0016020;GO:0000166;GO:0005215	ATPase 5, plasma membrane-type (EC 7.1.2.1) (Proton pump 5);Plasma membrane ATPase (EC 7.1.2.1)
g50995	425	AT2G24530.1	AT2G24530.1	orthologue	GO:0003713;GO:0005634;GO:0006357;GO:0000124;GO:0070461;GO:0005515	Transcriptional regulator of RNA polII, SAGA, subunit
g50996	693	AT2G24610.2	AT2G24610.2	orthologue	GO:0005886;GO:0005515;GO:0005249;GO:0005634;GO:0008150;GO:0005516;GO:0030552;GO:0030553;GO:0005216;GO:0006811;GO:0016020;GO:0055085;GO:0006813	Cyclic nucleotide-gated channel 14;Probable cyclic nucleotide-gated ion channel 14 (Cyclic nucleotide- and calmodulin-regulated ion channel 14)
g50997	546	AT2G24640.1	AT2G24640.1	other	GO:0005634;GO:0004843;GO:0031647;GO:0005829;GO:0006508;GO:0008270;GO:0016020;GO:0016579	AT2G24640 protein (Ubiquitin-specific protease 19);Ubiquitin carboxyl-terminal hydrolase 19 (EC 3.4.19.12) (Deubiquitinating enzyme 19) (AtUBP19) (Ubiquitin thioesterase 19) (Ubiquitin-specific-processing protease 19)
g50998	525	AT2G24645.3, AT4G00260.1	AT4G00260.1	orthologue	GO:0003674;GO:0009507;GO:0005634;GO:0008150;GO:0010601;GO:0009793;GO:0140110;GO:0043565;GO:0003677	B3 domain-containing protein REM14 (Protein REPRODUCTIVE MERISTEM 14);Putative B3 domain-containing protein REM15 (Protein REPRODUCTIVE MERISTEM 15);Transcriptional factor B3 family protein
g50999	858	AT2G24650.1	AT2G24650.1	orthologue	GO:0009507;GO:0003674;GO:0003677;GO:0005634	B3 domain-containing protein REM13;B3 domain-containing protein REM13 (Protein REPRODUCTIVE MERISTEM 13)
g51	486	AT5G66840.1	AT5G66840.1	orthologue	GO:0005737;GO:0008150;GO:0003674	SAP domain-containing protein
g510	447	AT5G23930.1	AT5G23930.1	orthologue	GO:0006355;GO:0009507;GO:0003690;GO:0003676;GO:0006353;GO:0009658;GO:0043231	Mitochondrial transcription termination factor family protein
g5100	458	AT5G15550.1	AT5G15550.1	other	GO:0005515;GO:0005634;GO:0009506;GO:0005730;GO:0080008;GO:0000463;GO:0000466;GO:0005654;GO:0030687;GO:0043021	Ribosome biogenesis protein WDR12 homolog;Ribosome biogenesis protein WDR12 homolog (Pescadillo-interacting protein 2) (AtPEIP2)
g51000	228					
g51001	90					
g51002	157				GO:0015074;GO:0003676	
g51003	105					
g51004	364					
g51005	151					
g51006	159					
g51007	113					
g51008	196	AT1G60600.2	AT1G60600.2	other	GO:0005886;GO:0042372;GO:0009772;GO:0010236;GO:0004659;GO:0046428;GO:0032194;GO:0009507;GO:0031969;GO:0042371;GO:0016020;GO:0016765	2-carboxy-1,4-naphthoquinone phytyltransferase, chloroplastic (EC 2.5.1.130) (1,4-dihydroxy-2-naphthoate phytyltransferase) (1,4-dihydroxy-2-naphthoate polyprenyltransferase) (Protein ABERRANT CHLOROPLAST DEVELOPMENT 4) (menA-like protein) (AtMENA)
g51009	95					
g5101	261	AT5G39280.1	AT5G39280.1	other	GO:0009826;GO:0009664;GO:0009828;GO:0003674;GO:0005576;GO:0009653;GO:0016020	Expansin-A23 (AtEXPA23) (Alpha-expansin-23) (At-EXP23) (AtEx23) (Ath-ExpAlpha-1.17)
g51010	462	AT2G24650.1, AT2G24680.6, AT2G24681.1, AT2G24696.1	AT2G24680.6	other	GO:0003674;GO:0005634;GO:0008150;GO:0005739;GO:0009507;GO:0003677	AP2/B3-like transcriptional factor family protein;B3 domain-containing protein REM-like 2 (Protein REPRODUCTIVE MERISTEM-like 2);B3 domain-containing protein REM11 (Protein REPRODUCTIVE MERISTEM 11);B3 domain-containing protein REM12 (Protein REPRODUCTIVE MERISTEM 12);B3 domain-containing protein REM13;B3 domain-containing protein REM13 (Protein REPRODUCTIVE MERISTEM 13);Transcriptional factor B3 family protein
g51011	449	AT2G24696.1, AT2G24680.6	AT2G24680.6	other	GO:0003674;GO:0005634;GO:0008150;GO:0005739;GO:0003677	B3 domain-containing protein REM-like 2 (Protein REPRODUCTIVE MERISTEM-like 2);B3 domain-containing protein REM12 (Protein REPRODUCTIVE MERISTEM 12);Transcriptional factor B3 family protein
g51012	99	AT2G06420.1	AT2G06420.1	other	GO:0008150;GO:0003674;GO:0005739	En/Spm-like transposon, putative (DUF1985)
g51013	231	AT2G06420.1	AT2G06420.1	other	GO:0008150;GO:0003674;GO:0005739	En/Spm-like transposon, putative (DUF1985)
g51014	554				GO:0008270	
g51015	77	AT1G77525.1	AT1G77525.1	orthologue	GO:0005576;GO:0003674;;GO:0007165	Defensin-like protein
g51016	282					
g51017	186					
g51018	1194				GO:0003676;GO:0015074	
g51019	188					
g5102	258	AT5G15530.1	AT5G15530.1	orthologue	GO:0006633;GO:0003989;GO:0009507;GO:0009941;GO:0009570;GO:0005515;GO:0009317;GO:0009374	Biotin carboxyl carrier protein of acetyl-CoA carboxylase 2, chloroplastic (AtBCCP2) (BCCP-2)
g51020	103					
g51021	860	AT2G24720.1, AT2G24710.3	AT2G24720.1	orthologue	GO:0005217;GO:0019722;GO:0038023;GO:0006816;GO:0009416;GO:0008066;GO:0071230;GO:0006874;GO:0005262;GO:0015276;GO:0005886;GO:0016020	Glutamate receptor;Glutamate receptor 2.2 (Ligand-gated ion channel 2.2);Glutamate receptor 2.3 (Ligand-gated ion channel 2.3)
g51022	877	AT2G24720.1, AT2G24710.3	AT2G24710.3	orthologue	GO:0005217;GO:0019722;GO:0038023;GO:0006816;GO:0009416;GO:0008066;GO:0071230;GO:0006874;GO:0005262;GO:0015276;GO:0005886;GO:0016020	Glutamate receptor;Glutamate receptor 2.2 (Ligand-gated ion channel 2.2);Glutamate receptor 2.3 (Ligand-gated ion channel 2.3)
g51023	387	AT5G25950.1, AT5G25960.1	AT5G25950.1	other	GO:0003674;GO:0005576;GO:0008150;GO:0005575	AslB (DUF239);AslB, putative (DUF239)
g51024	375	AT2G24250.1	AT2G24250.1	orthologue	GO:0005575;GO:0005515;GO:0008150;	F-box/kelch-repeat protein At2g24250
g51025	266	AT2G20550.1	AT2G20550.1	orthologue	GO:0006457;GO:0005829;GO:0051085;GO:0051082;GO:0005737;GO:0051087	At2g20550 (HSP40/DnaJ peptide-binding protein) (Putative heat shock protein)
g51026	182	AT2G24765.1	AT2G24765.1	other	GO:0005886;GO:0005515;GO:0006886;GO:0006499;GO:0005525;GO:0005794;GO:0005737;GO:0003924;GO:0005795;GO:0016192;GO:0015031	ADP-ribosylation factor 3 (AtARF3) (Protein ARF-LIKE 1) (AtARL1)
g51027	715	AT5G25780.1, AT5G27640.2	AT5G27640.2	other	GO:0005737;GO:0005852;GO:0003743;GO:0006413;GO:0031369;GO:0009536;GO:0005515;GO:0001732;GO:0003723;GO:0016282;GO:0033290;GO:0003676	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (eIF-3-eta) (eIF3 p110);Eukaryotic translation initiation factor 3 subunit B (eIF3b) (eIF-3-eta) (eIF3 p110) (p82)
g51028	76	AT3G44718.1, AT2G20595.1	AT3G44718.1	orthologue	GO:0003674;GO:0008150;GO:0005576;GO:0016020	Expressed protein (Plant thionin family protein);Plant thionin family protein
g51029	500	AT2G24830.1	AT2G24830.1	orthologue	GO:0003674;GO:0005634;GO:0003677;GO:0008270;GO:0003676;GO:0046872	Zinc finger CCCH domain-containing protein 22 (AtC3H22)
g5103	503	AT5G15510.2	AT5G15510.2	orthologue	GO:0030295;GO:0090307;GO:0060236;GO:0005634;GO:0005819;GO:0008017;GO:0032147;GO:0005880;GO:0005737;GO:0005874	TPX2 (Targeting protein for Xklp2) protein family
g51030	369					
g51031	187	AT2G24840.1	AT2G24840.1	orthologue	GO:0005634;GO:0046983;GO:0003700;GO:0006357;GO:0000977;GO:0045944;GO:0000981;GO:0000978;GO:0009559;GO:0005515;GO:0043078;GO:0003677	Agamous-like MADS-box protein AGL61 (Protein DIANA)
g51032	150	AT2G24860.1	AT2G24860.1	orthologue	GO:0005576;GO:0005634;GO:0005737;GO:0009507;GO:0045087	At2g24860/F27C12.22 (DnaJ/Hsp40 cysteine-rich domain superfamily protein) (Expressed protein) (Tsi1-interacting protein TSIP1)
g51033	151	AT2G24970.1	AT2G24970.1	orthologue	GO:0008017;GO:0007059;GO:0005876;GO:0000940;GO:0000278;GO:0005737;GO:0051301	Protein FAM33A
g51034	1392	AT2G25170.3	AT2G25170.3	orthologue	GO:0045892;GO:0009788;GO:0003677;GO:0005634;GO:0048364;GO:0006338;GO:2000023;GO:0009733;GO:0051301;GO:0016887;GO:0009736;GO:0009992;GO:0003678;GO:0009739;GO:0009414;GO:0140658;GO:0003682;GO:0042393;GO:0000785;GO:0004386;GO:0005524;GO:0008270;GO:0016787	CHD3-type chromatin-remodeling factor PICKLE (EC 3.6.4.-) (Protein CHROMATIN REMODELING 6) (AtCHR6) (Protein GYMNOS);Chromatin remodeling factor CHD3 (PICKLE)
g51035	208	AT2G25565.1	AT2G25565.1	orthologue	GO:0003674;GO:0016567;GO:0005575;GO:0005739;GO:0010496;GO:0061630	At2g25570 (Binding protein) (Expressed protein);C3HC4-type RING finger protein
g51036	243	AT2G25190.1	AT2G25190.1	orthologue	GO:0008233;GO:0005737;GO:0101005;GO:0006508;GO:0016579;GO:0070646	Expressed protein (PPPDE putative thiol peptidase family protein)
g51037	353	AT2G25260.1	AT2G25260.1	orthologue	GO:0016757;GO:0005575;GO:1990585;GO:0005794;GO:0016020	Hydroxyproline O-arabinosyltransferase 2 (EC 2.4.2.58)
g51038	291	AT2G25280.1	AT2G25280.1	orthologue	GO:0005634;GO:0003674	AmmeMemoRadiSam system protein B (Expressed protein)
g51039	708					
g5104	319					
g51040	1054	AT2G25540.1	AT2G25540.1	orthologue	GO:0016760;GO:0009832;GO:0016757;GO:0030244;GO:0009833;GO:0005886;GO:0016759;GO:0008270;GO:0071555;GO:0016020	Cellulose synthase (EC 2.4.1.12);Probable cellulose synthase A catalytic subunit 10 [UDP-forming] (AtCesA10) (AtCesA13) (EC 2.4.1.12)
g51041	333					
g51042	228					
g51043	173					
g51044	285				GO:0003676;GO:0008270	
g51045	833				GO:0003676;GO:0015074	
g51046	691	AT2G25560.1	AT2G25560.1	orthologue	GO:0005737;GO:0003674;GO:0008150	At2g25560/F13B15.22 (DNAJ heat shock N-terminal domain-containing protein) (Putative DnaJ protein)
g51047	210	AT2G25565.1	AT2G25565.1	orthologue	GO:0003674;GO:0016567;GO:0005575;GO:0005739;GO:0010496;GO:0061630	At2g25570 (Binding protein) (Expressed protein);C3HC4-type RING finger protein
g51048	248	AT2G25570.1	AT2G25570.1	orthologue	GO:0005739;GO:0003674;GO:0005576;GO:0010496;GO:0005515	At2g25570 (Binding protein) (Expressed protein);Binding protein
g51049	561	AT2G25580.1	AT2G25580.1	orthologue	GO:0003723;GO:0009451;GO:0005739;GO:0043231;GO:0008270;GO:0005515	Pentatricopeptide repeat-containing protein At2g25580
g5105	194					
g51050	392	AT2G25590.1	AT2G25590.1	orthologue	GO:0008150;GO:0003674;GO:0005575	Plant Tudor-like protein
g51051	198	AT2G25605.1	AT2G25605.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0000428	At2g25605 (DNA-directed RNA polymerase subunit beta)
g51052	307	AT2G06420.1	AT2G06420.1	orthologue	GO:0008150;GO:0003674;GO:0005739	En/Spm-like transposon, putative (DUF1985)
g51053	218				GO:0008270	
g51054	133					
g51055	78					
g51056	771	AT2G25640.1	AT2G25640.1	orthologue	GO:0005634;GO:0006351;GO:0006357;GO:0003674;GO:0003746	SPOC domain / Transcription elongation factor S-II protein
g51057	73					
g51058	96	AT1G22380.1	AT1G22380.1	other	GO:0080044;GO:0016757;GO:0015020;GO:0005737;GO:0080043;GO:0035251	UDP-glycosyltransferase 85A3 (EC 2.4.1.-)
g51059	263	AT1G22360.1	AT1G22360.1	other	GO:0005634;GO:0080044;GO:0010494;GO:0005737;GO:0080043;GO:0016757;GO:0015020;GO:0035251	Glycosyltransferase (EC 2.4.1.-);UDP-glycosyltransferase 85A2 (EC 2.4.1.-)
g5106	140					
g51060	759	AT1G43145.1	AT1G43145.1	orthologue	GO:0008150;GO:0003674;GO:0005575	Uncharacterized protein
g51061	714	AT2G22440.1	AT2G22440.1	other	GO:0005575;GO:0008150;GO:0003674;GO:0003964	Non-LTR retroelement reverse transcriptase
g51062	333	AT4G09670.1	AT4G09670.1	other	GO:0000166;GO:0005829;GO:0008150;GO:0016491	Uncharacterized oxidoreductase At4g09670 (EC 1.-.-.-)
g51063	593	AT2G25670.1	AT2G25670.1	other	GO:0005634;GO:0005773;GO:0008150;GO:0003729	Expressed protein
