Arabis_alpina	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Aa_G609980.h1.t1	615	AT4G33430.2	AT4G33430.2	orthologue	GO:0004714;GO:0004674;GO:0005515;GO:0009742;GO:0002229;GO:0050832;GO:0005102;GO:0042742;GO:0005886;GO:0004672;GO:0009626;GO:0005768;GO:0033612;GO:0046982;GO:0042802;GO:0048481;GO:0032991;GO:0016301;GO:0005524;GO:0006952;GO:0010008;GO:0106310;GO:0006468	BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 (AtBAK1) (BRI1-associated receptor kinase 1) (EC 2.7.10.1) (EC 2.7.11.1) (Protein ELONGATED) (Somatic embryogenesis receptor kinase 3) (AtSERK3) (Somatic embryogenesis receptor-like kinase 3);non-specific serine/threonine protein kinase (EC 2.7.11.1)
Aa_G609990.h1.t1	287	AT4G33420.2	AT4G33420.2	orthologue	GO:0140825;GO:0042744;GO:0009505;GO:0006950;GO:0005576;GO:0004601;GO:0006979;GO:0020037;GO:0005773;GO:0016020;GO:0046872	Peroxidase (EC 1.11.1.7);Peroxidase 47 (Atperox P47) (EC 1.11.1.7) (ATP32)
Aa_G610.h1.t1	311					
Aa_G6100.h1.t1	196					
Aa_G610100.h1.t1	210					
Aa_G610110.h1.t1	141				GO:0004089;GO:0008270;GO:0015976	
Aa_G610220.h1.t1	64	AT1G18630.1	AT1G18630.1	orthologue	GO:0005802;GO:0005739;GO:0009651;GO:0005634;GO:0005794;GO:0003729;GO:0005768;GO:0005840;GO:1990904	Small ribosomal subunit protein mS86 (AtRBG6) (Glycine-rich RNA-binding protein 6, mitochondrial) (AtGR-RBP6)
Aa_G610230.h1.t1	394	AT1G33430.2	AT1G33430.2	orthologue	GO:0016758;GO:0010584;GO:0005794;GO:0016757;GO:0048531;GO:0008378;GO:0000139;GO:0006486;GO:0010407;GO:0009101;GO:0016020	Hexosyltransferase (EC 2.4.1.-);Probable beta-1,3-galactosyltransferase 8 (EC 2.4.1.-)
Aa_G610240.h1.t1	597	AT1G33440.1	AT1G33440.1	orthologue	GO:0055085;GO:0016020;GO:0022857	Protein NRT1/ PTR FAMILY 4.4 (AtNPF4.4) (Nitrate transporter 1.13)
Aa_G610350.h1.t1	130	AT1G54040.2	AT1G54040.2	other	GO:0005515;GO:0005634;GO:0009753;GO:0030234;GO:0009507;GO:0010150;GO:0042742;GO:0019762;GO:0080028;GO:0005737;GO:0042803;GO:0042802;GO:0016829;GO:0005829	N-(sulfonatooxy)alkenimidothioic acid sulfate-lyase (epithionitrile-forming) (EC 4.8.1.5) (EC 4.8.1.6) (Epithionitrile-specifier protein) (Epithiospecifier protein) (AtESP) (Protein EPITHIOSPECIFYING SENESCENCE REGULATOR) (AtESR);thiohydroximate-O-sulfate sulfate/sulfur-lyase (nitrile-forming) (EC 4.8.1.5)
Aa_G610360.h1.t1	150	AT1G54050.1	AT1G54050.1	orthologue	GO:0009408;GO:0051259;GO:0042542;GO:0051082;GO:0006457;GO:0071456;GO:0005737;GO:0009651	17.4 kDa class III heat shock protein (17.4 kDa heat shock protein 2) (AtHsp17.4B)
Aa_G610370.h1.t1	318	AT1G54060.1	AT1G54060.1	orthologue	GO:0010431;GO:0006355;GO:0009793;GO:0000976;GO:0005634;GO:0010029;GO:0003700;GO:0005730;GO:0005515;GO:0043565;GO:0048831;GO:0009733	Trihelix transcription factor ASIL1 (6B-interacting protein 1-like 1) (Trihelix DNA-binding protein ASIL1)
Aa_G610380.h1.t1	127	AT1G54070.1	AT1G54070.1	orthologue	GO:0003674;GO:0008150;GO:0005634	Dormancy-associated protein homolog 4 (DRM1 homolog 4)
Aa_G610390.h1.t1	422	AT1G54080.2	AT1G54080.2	orthologue	GO:0003729;GO:0005515;GO:0005634;GO:0006397;GO:0003723;GO:0003676	Oligouridylate-binding protein 1A;Oligouridylate-binding protein 1A (AtUBP1a) (Polyuridylate-binding protein UBP1A) (Poly(U)-binding protein UBP1A)
Aa_G610510.h1.t1	55	AT5G14040.1	AT5G14040.1	other	GO:0005739;GO:0009505;GO:0005315;GO:0035435;GO:0009651;GO:1990547;GO:0003729;GO:0005743;GO:0009507;GO:0000325	Mitochondrial phosphate carrier protein 3, mitochondrial (Mitochondrial phosphate transporter 3) (MPT3) (Phosphate transporter 3;1)
Aa_G610510.h2.t1	55	AT5G14040.1	AT5G14040.1	other	GO:0005739;GO:0009505;GO:0005315;GO:0035435;GO:0009651;GO:1990547;GO:0003729;GO:0005743;GO:0009507;GO:0000325	Mitochondrial phosphate carrier protein 3, mitochondrial (Mitochondrial phosphate transporter 3) (MPT3) (Phosphate transporter 3;1)
Aa_G610510.h3.t1	55	AT5G14040.1	AT5G14040.1	other	GO:0005739;GO:0009505;GO:0005315;GO:0035435;GO:0009651;GO:1990547;GO:0003729;GO:0005743;GO:0009507;GO:0000325	Mitochondrial phosphate carrier protein 3, mitochondrial (Mitochondrial phosphate transporter 3) (MPT3) (Phosphate transporter 3;1)
Aa_G610510.h4.t1	55	AT5G14040.1	AT5G14040.1	other	GO:0005739;GO:0009505;GO:0005315;GO:0035435;GO:0009651;GO:1990547;GO:0003729;GO:0005743;GO:0009507;GO:0000325	Mitochondrial phosphate carrier protein 3, mitochondrial (Mitochondrial phosphate transporter 3) (MPT3) (Phosphate transporter 3;1)
Aa_G610510.h5.t1	55	AT5G14040.1	AT5G14040.1	other	GO:0005739;GO:0009505;GO:0005315;GO:0035435;GO:0009651;GO:1990547;GO:0003729;GO:0005743;GO:0009507;GO:0000325	Mitochondrial phosphate carrier protein 3, mitochondrial (Mitochondrial phosphate transporter 3) (MPT3) (Phosphate transporter 3;1)
Aa_G610510.h6.t1	55	AT5G14040.1	AT5G14040.1	other	GO:0005739;GO:0009505;GO:0005315;GO:0035435;GO:0009651;GO:1990547;GO:0003729;GO:0005743;GO:0009507;GO:0000325	Mitochondrial phosphate carrier protein 3, mitochondrial (Mitochondrial phosphate transporter 3) (MPT3) (Phosphate transporter 3;1)
Aa_G610620.h1.t1	476	AT1G17980.1	AT1G17980.1	orthologue	GO:0048366;GO:0045824;GO:0031123;GO:0005634;GO:0048451;GO:1990817;GO:0003723;GO:0009908;GO:0005515;GO:0008285;GO:0005524;GO:0006397;GO:0046872;GO:0016779;GO:0006378	Nuclear poly(A) polymerase 1 (PAP(I)) (Poly(A) polymerase I) (EC 2.7.7.19) (Polynucleotide adenylyltransferase 1)
Aa_G610630.h1.t1	54					
Aa_G610640.h1.t1	118					
Aa_G610650.h1.t1	79	AT1G01040.2	AT1G01040.2	other	GO:0035196;GO:0006364;GO:0005634;GO:0004525;GO:0035279;GO:0010228;GO:0009616;GO:0006396;GO:0030422;GO:2000034;GO:0005737;GO:0005515;GO:0010267;GO:0031053;GO:0009880;GO:0048317;GO:0010599;GO:0010098;GO:0000911;GO:0009908;GO:0010445;GO:0003677;GO:0003725;GO:0003723;GO:0004386;GO:0005524;GO:0046872	Endoribonuclease Dicer homolog 1 (Dicer-like protein 1);Endoribonuclease Dicer homolog 1 (EC 3.1.26.-) (Dicer-like protein 1) (AtDCL1) (Protein ABNORMAL SUSPENSOR 1) (Protein CARPEL FACTORY) (Protein SHORT INTEGUMENTS 1) (Protein SUSPENSOR 1)
Aa_G610660.h1.t1	527	AT1G18070.3	AT1G18070.3	orthologue	GO:0006412;GO:0000325;GO:0005737;GO:0003924;GO:0003747;GO:0005634;GO:0000288;GO:0018444;GO:0006415;GO:0003746;GO:0005525	Eukaryotic peptide chain release factor GTP-binding subunit (ERF-3) (ERF2) (Polypeptide release factor 3) (Translation release factor 3);T10F20.8 protein (Translation elongation factor EF1A/initiation factor IF2gamma family protein)
Aa_G610770.h1.t1	77	AT5G54130.2	AT5G54130.2	other	GO:0005575;GO:0005509;GO:0003730;GO:0004519	At5g54130 (Calcium-binding endonuclease/exonuclease/phosphatase family);Calcium-binding endonuclease/exonuclease/phosphatase family
Aa_G610780.h1.t1	453	AT1G70950.1	AT1G70950.1	orthologue	GO:0009737;GO:0055028;GO:0005634;GO:0003674	Protein WVD2-like 7
Aa_G610790.h1.t1	148	AT1G70985.1	AT1G70985.1	orthologue	GO:0016020;GO:0008150;GO:0003674	Hydroxyproline-rich glycoprotein family protein
Aa_G61080.h1.t1	88	AT2G15240.1	AT2G15240.1	orthologue	GO:0003674;GO:0005797;GO:0005634;GO:0000139	At2g15240/F15A23.2 (Expressed protein) (UNC-50 family protein)
Aa_G610900.h1.t1	254	AT5G03390.1	AT5G03390.1	orthologue	GO:0003674;GO:0009507	At5g03390
Aa_G610910.h1.t1	58					
Aa_G610920.h1.t1	377	AT5G03390.1	AT5G03390.1	orthologue	GO:0003674;GO:0009507	At5g03390
Aa_G6110.h1.t1	370					
Aa_G61100.h1.t1	346					
Aa_G611050.h1.t1	379	AT1G51660.1	AT1G51660.1	orthologue	GO:0005737;GO:2000037;GO:0000165;GO:0010227;GO:0009570;GO:0004708;GO:0004674;GO:0098542;GO:0005515;GO:0010229;GO:2000038;GO:0005634;GO:0009875;GO:0004713;GO:0005524;GO:0009626;GO:0106310;GO:0004672;GO:0006468	Mitogen-activated protein kinase kinase 4 (AtMKK4) (MAP kinase kinase 4) (EC 2.7.12.2)
Aa_G611060.h1.t1	542	AT1G51680.1	AT1G51680.1	orthologue	GO:0016207;GO:0009507;GO:0009620;GO:0009698;GO:0009611;GO:0009411;GO:0005737;GO:0005524;GO:0050563;GO:0106286;GO:0016874;GO:0016405	4-coumarate--CoA ligase 1 (4CL 1) (EC 6.2.1.12) ((E)-ferulate--CoA ligase) (EC 6.2.1.34) (4-coumarate--CoA ligase isoform 1) (At4CL1) (4-coumaroyl-CoA synthase 1);4-coumarate:CoA ligase 1
Aa_G611070.h1.t1	494	AT1G51690.5	AT1G51690.5	orthologue	GO:0019888;GO:0005829;GO:0005737;GO:0005515;GO:0000159;GO:0005634	Serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (AtB alpha) (PP2A, subunit B, alpha isoform);Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B
Aa_G61110.h1.t1	335	AT4G09010.3	AT4G09010.3	orthologue	GO:0009507;GO:0031977;GO:0034599;GO:0005829;GO:0000302;GO:0005737;GO:0009579;GO:0009535;GO:0009543;GO:0042744;GO:0009534;GO:0005515;GO:0020037;GO:0004601;GO:0005634;GO:0006979	Thylakoid lumenal 29 kDa protein, chloroplastic (TL29) (EC 1.-.-.-) (AtAPx07) (P29) (Probable L-ascorbate peroxidase 4);Thylakoid lumenal 29 kDa protein, chloroplastic (p29)
Aa_G611180.h1.t1	468	AT5G07860.1, AT5G07870.1	AT5G07870.1	orthologue	GO:0005737;GO:0003674;GO:0016747	HXXXD-type acyl-transferase family protein (N-hydroxycinnamoyl/benzoyltransferase-like protein)
Aa_G611190.h1.t1	462	AT5G07860.1, AT5G07870.1	AT5G07870.1	orthologue	GO:0005737;GO:0003674;GO:0016747	HXXXD-type acyl-transferase family protein (N-hydroxycinnamoyl/benzoyltransferase-like protein)
Aa_G61120.h1.t1	92	AT5G40080.1	AT5G40080.1	other	GO:0003735;GO:0009536;GO:0005762;GO:0006412;GO:0005739	At5g40080 (Mitochondrial ribosomal protein L27)
Aa_G611200.h1.t1	300	AT5G07880.1	AT5G07880.1	orthologue	GO:0031201;GO:0016192;GO:0061025;GO:0005484;GO:0005634;GO:0005886;GO:0015031	SNAP25 homologous protein SNAP29 (AtSNAP29) (Synaptosomal-associated protein SNAP25-like 2)
Aa_G611210.h1.t1	409	AT5G07890.1	AT5G07890.1	orthologue	GO:0009507;GO:0005737;GO:0003674;GO:0008150;GO:0005634	AT5G07890 protein (Myosin heavy chain-like protein);Myosin heavy chain-like protein
Aa_G611210.h2.t1	409	AT5G07890.1	AT5G07890.1	orthologue	GO:0009507;GO:0005737;GO:0003674;GO:0008150;GO:0005634	AT5G07890 protein (Myosin heavy chain-like protein);Myosin heavy chain-like protein
Aa_G611220.h1.t1	262	AT5G07910.1	AT5G07910.1	orthologue	GO:0035556;GO:0005886;GO:0003674;GO:0005515;GO:0005737	Leucine-rich repeat (LRR) family protein
Aa_G611230.h1.t1	729	AT5G07920.1	AT5G07920.1	orthologue	GO:0007200;GO:0004143;GO:0046486;GO:0005509;GO:0005737;GO:0016020;GO:0035556;GO:0005524;GO:0006952;GO:0008270;GO:0016301;GO:0007165	Diacylglycerol kinase (DAG kinase) (EC 2.7.1.107);Diacylglycerol kinase 1 (AtDGK1) (DAG kinase 1) (EC 2.7.1.107) (Diglyceride kinase 1) (DGK 1)
Aa_G61130.h1.t1	757	AT4G09020.1	AT4G09020.1	orthologue	GO:0009570;GO:0005983;GO:0009507;GO:0019156;GO:0009569;GO:0005975;GO:0004553	Isoamylase 3, chloroplastic (AtISA3) (EC 3.2.1.68)
Aa_G611340.h1.t1	322	AT2G27310.1	AT2G27310.1	orthologue	GO:0003674;GO:0005575;;GO:0005515	F-box protein At2g27310
Aa_G611350.h1.t1	672	AT3G44830.1	AT3G44830.1	orthologue	GO:0046027;GO:0006629;GO:0008374;GO:0005737;GO:0009507;GO:0006071;GO:0016020	Putative phospholipid:diacylglycerol acyltransferase 2 (AtPDAT2) (EC 2.3.1.158)
Aa_G61140.h1.t1	120	AT4G09030.1	AT4G09030.1	orthologue	GO:0016020;GO:0005886;GO:0003674;GO:0098552	Classical arabinogalactan protein 10
Aa_G61150.h1.t1	298	AT4G09040.1	AT4G09040.1	orthologue	GO:0009507;GO:0005737;GO:0003729;GO:0003723;GO:0005634;GO:0009570;GO:1990904;GO:0003676;GO:0009535;GO:1901259	At4g09040 (RNA-binding (RRM/RBD/RNP motifs) family protein);RNA-binding (RRM/RBD/RNP motifs) family protein
Aa_G611570.h1.t1	232					
Aa_G611580.h1.t1	366	AT5G33370.1	AT5G33370.1	orthologue	GO:0016788;GO:0160062;GO:0005576;GO:0016042;GO:0042335	GDSL esterase/lipase At5g33370 (EC 3.1.1.-) (Extracellular lipase At5g33370)
Aa_G611590.h1.t1	120	AT2G06520.1	AT2G06520.1	orthologue	GO:0009535;GO:0009507;GO:0003674;GO:0009523;GO:0015979;GO:0019904;GO:0016020	Expressed protein (Photosystem II subunit X) (Putative PSII-X protein) (Uncharacterized protein At2g06520; T12H3.7)
Aa_G61160.h1.t1	333	AT4G09060.2	AT4G09060.2	orthologue	GO:0005737;GO:0005515	Uncharacterized protein;Uncharacterized protein At4g09060
Aa_G611600.h1.t1	221	AT5G35520.1	AT5G35520.1	orthologue	GO:0051382;GO:0000070;GO:0000278;GO:0000775;GO:0005634;GO:0003674;GO:0000444;GO:0051301;GO:0051321	Protein MIS12 homolog (Protein MINICHROMOSOME INSTABILITY 12) (AtMIS12) (Protein MIS12-LIKE)
Aa_G611610.h1.t1	382	AT5G35460.1	AT5G35460.1	orthologue	GO:0005634;GO:0006656;GO:0003674;GO:0009536;GO:0008654;GO:0016020;GO:0106158	Glycerophosphocholine acyltransferase 1 (GPCAT) (EC 2.3.1.-)
Aa_G61170.h1.t1	404	AT4G09130.1	AT4G09130.1	other	GO:0016567;GO:0003674;GO:0005575;GO:0008270;GO:0016020;GO:0016740	Putative RING-H2 finger protein ATL37 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL37)
Aa_G61180.h1.t1	734	AT4G09140.1	AT4G09140.1	orthologue	GO:0009555;GO:0030983;GO:0006298;GO:0005524;GO:0016887;GO:0048316;GO:0032389;GO:0010154;GO:0030674;GO:0140664;GO:0009845;GO:0032300;GO:0000785;GO:0005634;GO:0006312	DNA mismatch repair protein MLH1 (MutL protein homolog 1) (Protein MUTL-HOMOLOGUE 1) (AtMLH1);MUTL-homologue 1
Aa_G611830.h1.t1	448	AT3G19390.1	AT3G19390.1	orthologue	GO:0004197;GO:0005576;GO:0005764;GO:0005515;GO:0051603;GO:0005615;GO:0006508;GO:0008234	Probable cysteine protease RD21C (EC 3.4.22.-)
Aa_G611840.h1.t1	316	AT3G19400.1	AT3G19400.1	orthologue	GO:0009507;GO:0051603;GO:0005576;GO:0004197;GO:0005764;GO:0005615;GO:0006508;GO:0008234	Cysteine proteinases superfamily protein;Probable cysteine protease RDL2 (EC 3.4.22.-) (Probable cysteine proteinase At3g19400) (RD21A-like protease 2)
Aa_G611850.h1.t1	612	AT3G19420.1	AT3G19420.1	orthologue	GO:0006970;GO:0016314;GO:0070300;GO:0009651;GO:0052866;GO:0005829;GO:0035335;GO:0004725;GO:0009507;GO:0046856;GO:0016311;GO:0016791	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and protein-tyrosine-phosphatase PTEN2A (EC 3.1.3.48) (EC 3.1.3.67) (Protein PHOSPHATASE AND TENSIN HOMOLOG 2-a) (AtPTEN2) (AtPTEN2a)
Aa_G61190.h1.t1	1083	AT4G09150.2	AT4G09150.2	other	GO:0007165;GO:0005634;GO:0003674	T-complex protein 11
Aa_G611960.h1.t1	44					
Aa_G611970.h1.t1	287					
Aa_G61200.h1.t1	607	AT4G09160.1	AT4G09160.1	orthologue	GO:0005886;GO:0071365;GO:1901703;GO:0005634;GO:0003674;GO:0005737;GO:0008289;GO:0016020;GO:0051301	Patellin-5;SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein
Aa_G612080.h1.t1	762	AT5G01270.2	AT5G01270.2	orthologue	GO:0034244;GO:0009734;GO:0045814;GO:2000028;GO:0005515;GO:0006970;GO:0008420;GO:0005634;GO:0010025;GO:0048589;GO:0016791;GO:0009733;GO:0004722;GO:0017018;GO:0005737;GO:0003723;GO:0010468;GO:0046872;GO:0009755;GO:0045892;GO:0070940	RNA polymerase II C-terminal domain phosphatase-like 2 (FCP-like 2) (EC 3.1.3.16) (ASI1-immunoprecipitated protein 4) (Carboxyl-terminal phosphatase-like 2) (AtCPL2) (CTD phosphatase-like 2);protein-serine/threonine phosphatase (EC 3.1.3.16)
Aa_G612090.h1.t1	412	AT5G01260.2	AT5G01260.2	orthologue	GO:0005576;GO:2001070;GO:0030246;GO:0016020	AT5g01260/F7J8_240 (Carbohydrate-binding-like fold);Carbohydrate-binding-like fold
Aa_G612100.h1.t1	488	AT5G01240.1	AT5G01240.1	orthologue	GO:0010262;GO:0005886;GO:0015171;GO:0048829;GO:0016020;GO:0003333;GO:0010328;GO:0006865;GO:0009734;GO:0015293	Auxin transporter-like protein 1 (AUX1-like protein 1);Like AUXIN RESISTANT 1
Aa_G612110.h1.t1	346	AT4G13920.1, AT4G13810.2, AT4G13880.1	AT4G13880.1	other	GO:0005576;GO:0007165;GO:0048767;GO:0003674;GO:0016301;GO:0005886;GO:0005515	Receptor like protein (AtRLP);Receptor-like protein 47 (AtRLP47);Receptor-like protein 48 (AtRLP48);Receptor-like protein 50 (AtRLP50)
Aa_G612220.h1.t1	554	AT1G20370.1	AT1G20370.1	orthologue	GO:0005634;GO:0031119;GO:0009982;GO:0003723;GO:0001522;GO:0009451;GO:1990481	F14O10.3 protein (Pseudouridine synthase family protein)
Aa_G612330.h1.t1	487					
Aa_G612460.h1.t1	460					
Aa_G612680.h1.t1	38					
Aa_G612790.h1.t1	734	AT5G40910.1, AT5G41540.1, AT5G41550.1, AT5G41740.2, AT5G41750.1	AT5G41550.1	other	GO:0005575;GO:0043531;GO:0007165;GO:0016887;GO:0005634;GO:0009507;GO:0006952;GO:0005829;GO:0005737;GO:0016787;GO:0016020	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6);Disease resistance protein (TIR-NBS-LRR class) family;Disease resistance protein (TIR-NBS-LRR class) family (Disease resistance protein-like)
Aa_G612800.h1.t1	491	AT1G01150.1, AT5G03780.1	AT5G03780.1	other	GO:0003674;GO:0005634;GO:0005575;GO:0008150;GO:0005515;GO:0003677;GO:0008270	Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein;TRF-like 10
Aa_G612810.h1.t1	291	AT5G40530.3	AT5G40530.3	orthologue	GO:0005634;GO:0000183;GO:0005730;GO:0033553;GO:0005677;GO:0035064;GO:0006364;GO:0008168;GO:0032259;GO:0006325;GO:0008757	Ribosomal RNA-processing protein 8 (EC 2.1.1.-)
Aa_G612820.h1.t1	352	AT5G40540.1	AT5G40540.1	orthologue	GO:0004712;GO:0005634;GO:0004672;GO:0005737;GO:0007165;GO:0005524;GO:0006468	Protein kinase ATN1 (Protein kinase like protein) (Protein kinase superfamily protein);Protein kinase superfamily protein
Aa_G612830.h1.t1	727	AT3G62440.1	AT3G62440.1	other	GO:0005575;GO:0009901;GO:0005515;GO:0006511;GO:0019773	F-box/LRR-repeat protein At3g62440
Aa_G612840.h1.t1	448	AT3G62440.1	AT3G62440.1	other	GO:0005575;GO:0009901;GO:0005515	F-box/LRR-repeat protein At3g62440
Aa_G612850.h1.t1	177	AT3G27520.1	AT3G27520.1	other	GO:0003674;GO:0005634	Cryptic loci regulator
Aa_G612960.h1.t1	241					
Aa_G612970.h1.t1	526	AT5G42650.1	AT5G42650.1	orthologue	GO:0009941;GO:0009978;GO:0009695;GO:0009611;GO:0010287;GO:0009620;GO:0009507;GO:0009753;GO:0019373;GO:0009535;GO:0004497;GO:0031407;GO:0016836;GO:0009579;GO:0009534;GO:0006952;GO:0019825;GO:0031408;GO:0050832;GO:0005739;GO:0016705;GO:0020037;GO:0005506;GO:0009536;GO:0016125;GO:0016491	Allene oxide synthase, chloroplastic (EC 4.2.1.92) (Cytochrome P450 74A) (Hydroperoxide dehydratase)
Aa_G612980.h1.t1	50	AT5G49070.1	AT5G49070.1	orthologue	GO:0006633;GO:0000038;GO:0009507;GO:0005783;GO:0160062;GO:0009922;GO:0016020	3-ketoacyl-CoA synthase 21;Probable 3-ketoacyl-CoA synthase 21 (KCS-21) (EC 2.3.1.199) (Very long-chain fatty acid condensing enzyme 21) (VLCFA condensing enzyme 21)
Aa_G612990.h1.t1	273	AT5G42630.1	AT5G42630.1	orthologue	GO:0000976;GO:0080060;GO:0048481;GO:0006355;GO:0003700;GO:0010158;GO:0005634;GO:0009505;GO:0003677	Probable transcription factor KAN4 (Protein ABERRANT TESTA SHAPE) (Protein KANADI 4)
Aa_G6130.h1.t1	147	AT2G09388.1	AT2G09388.1	orthologue	GO:0005575;GO:0003674;GO:0008150	Uncharacterized protein
Aa_G613100.h1.t1	218	AT5G01360.1	AT5G01360.1	other	GO:0045492;GO:0030244;GO:1990538;GO:0005794;GO:0016413;GO:0045489;GO:0009827;GO:0005634;GO:0005886;GO:0000139;GO:1990937;GO:0016020;GO:0016740	Protein trichome birefringence-like 3;Trichome birefringence-like protein (DUF828)
Aa_G613110.h1.t1	280	AT5G01340.1	AT5G01340.1	orthologue	GO:0015746;GO:0005469;GO:0031966;GO:0005739;GO:0015744;GO:0006810;GO:0015741;GO:0015141;GO:0015743;GO:0015742;GO:0005743	Mitochondrial succinate-fumarate transporter 1 (AtMSFC1)
Aa_G613120.h1.t1	249	AT1G24260.2	AT1G24260.2	orthologue	GO:0000978;GO:0005515;GO:0005634;GO:0045944;GO:0010093;GO:0000977;GO:0080001;GO:0010214;GO:0001708;GO:0003677;GO:0003700;GO:0048481;GO:0046983;GO:0009908;GO:0048833;GO:0006357;GO:0000981;GO:0006355	Developmental protein SEPALLATA 3 (Agamous-like MADS-box protein AGL9);K-box region and MADS-box transcription factor family protein
Aa_G61320.h1.t1	79	AT3G56470.1	AT3G56470.1	other	GO:0005634;GO:0003674	F-box protein At3g56470
Aa_G613230.h1.t1	132	AT4G23910.1	AT4G23910.1	orthologue	GO:0005515;GO:0006406;GO:0005634;GO:0003727;GO:0005730	At4g23910
Aa_G613240.h1.t1	327	AT5G34581.1	AT5G34581.1	other	GO:0003674;GO:0008150;GO:0005575	Hydroxyproline-rich glycoprotein family protein
Aa_G61330.h1.t1	120					
Aa_G613350.h1.t1	670	AT1G53590.1	AT1G53590.1	orthologue	GO:0000325;GO:0009507;GO:0003674;GO:0006869;GO:0008289;GO:0016020;GO:0046872	C2 domain-containing protein At1g53590 (N-terminal-TM-C2 domain type 6 protein 1) (NTMC2TYPE6.1)
Aa_G613360.h1.t1	540	AT1G53600.1	AT1G53600.1	orthologue	GO:0009451;GO:0003723;GO:0005739;GO:0005575;GO:0005515	Pentatricopeptide repeat-containing protein At1g53600, mitochondrial
Aa_G61340.h1.t1	57				GO:0005515	
Aa_G613470.h1.t1	145				GO:0003677;GO:0003918;GO:0005524	
Aa_G613480.h1.t1	497	AT1G14230.1	AT1G14230.1	orthologue	GO:0004050;GO:0009507;GO:0009134;GO:0017110;GO:0016020;GO:0005524;GO:0016787	Probable apyrase 4 (AtAPY4) (EC 3.6.1.5) (ATP-diphosphatase) (ATP-diphosphohydrolase) (Adenosine diphosphatase) (ADPase) (NTPDase) (Nucleoside triphosphate diphosphohydrolase 4)
Aa_G613490.h1.t1	475	AT1G14250.1, AT1G14240.1	AT1G14250.1	orthologue	GO:0004050;GO:0009134;GO:0000325;GO:0017110;GO:0005886;GO:0016020;GO:0005524;GO:0016787	Probable apyrase 3 (AtAPY3) (EC 3.6.1.5) (ATP-diphosphatase) (ATP-diphosphohydrolase) (Adenosine diphosphatase) (ADPase) (NTPDase) (Nucleoside triphosphate diphosphohydrolase 3);Probable apyrase 5 (AtAPY5) (EC 3.6.1.5) (ATP-diphosphatase) (ATP-diphosphohydrolase) (Adenosine diphosphatase) (ADPase) (NTPDase) (Nucleoside triphosphate diphosphohydrolase 5);apyrase (EC 3.6.1.5) (ATP-diphosphatase) (ATP-diphosphohydrolase) (Adenosine diphosphatase) (NTPDase)
Aa_G613500.h1.t1	84					
Aa_G613610.h1.t1	564					
Aa_G61370.h1.t1	441	AT3G51530.1	AT3G51530.1	orthologue	GO:0005634;GO:0003674;;GO:0005515	F-box/FBD/LRR-repeat protein At3g51530
Aa_G613730.h1.t1	402	AT1G27990.1	AT1G27990.1	orthologue	GO:0008150;GO:0005575;GO:0003674;GO:0016020;GO:0005515	AT1G27990 protein (Transmembrane protein)
Aa_G613740.h1.t1	544	AT1G27980.1	AT1G27980.1	orthologue	GO:0009507;GO:0019752;GO:0030149;GO:0008117;GO:0030170;GO:0005783;GO:0005789;GO:0016830	Sphingosine-1-phosphate lyase (AtSPL1) (S1PL) (SP-lyase) (SPL) (EC 4.1.2.27) (Dihydrosphingosine phosphate lyase 1) (AtDPL1) (Sphingosine-1-phosphate aldolase)
Aa_G613750.h1.t1	126	AT1G27970.2	AT1G27970.2	orthologue	GO:0044613;GO:0005634;GO:0031267;GO:0010494;GO:0005829;GO:0005886;GO:0006606;GO:0005737;GO:0005635;GO:0006913;GO:0005515;GO:0051028	NTF2-related export protein;Nuclear transport factor 2B (AtNTF2b) (NTF-2)
Aa_G61380.h1.t1	138	AT3G55670.1, AT3G49045.1	AT3G49045.1	other	GO:0003674;GO:0005575;GO:0008150	F-box/FBD/LRR protein
Aa_G613860.h1.t1	373	AT1G58310.1, AT3G59210.1, AT3G59200.1, AT3G59230.1, AT3G59250.1, AT3G59240.1, AT3G49150.1, AT3G59170.1, AT3G59160.1, AT4G14103.2, AT4G14096.1	AT4G14096.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005515;GO:0009507;GO:0005634;GO:0030163	F-box/FBD/LRR protein;F-box/LRR-repeat protein At3g59200;F-box/LRR-repeat protein At3g59210;F-box/LRR-repeat protein At3g59250;F-box/LRR-repeat protein At4g14096;F-box/LRR-repeat protein At4g14103;F-box/RNI-like superfamily protein;Putative F-box protein At1g58310;Putative F-box/FBD/LRR-repeat protein At3g59240;Putative F-box/LRR-repeat protein At3g49150;Putative F-box/LRR-repeat protein At3g59160;Putative F-box/LRR-repeat protein At3g59170;Putative F-box/LRR-repeat protein At3g59230
