Arabidopsis_lyrata_NCBI	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_020889350.1	405	AT3G13062.2	AT3G13062.2	orthologue	GO:0005739;GO:0008289;GO:0005737;GO:0016020	At3g13062 (Polyketide cyclase/dehydrase and lipid transport superfamily protein);Polyketide cyclase/dehydrase and lipid transport superfamily protein
XP_020889351.1	94	AT3G13075.1	AT3G13075.1	orthologue	GO:0005739;GO:0003674;GO:0008150	Uncharacterized protein
XP_020889352.1	186	AT3G24820.1	AT3G24820.1	orthologue	GO:0008150;GO:0003674;GO:0005634	At3g24820 (BSD domain-containing protein)
XP_020889353.1	401	AT2G05755.1	AT2G05755.1	orthologue	GO:0016020;GO:0003674	At2g05755 (Expressed protein) (Nodulin MtN21 /EamA-like transporter family protein)
XP_020889355.1	105	AT3G01327.1	AT3G01327.1	orthologue	GO:0005739;GO:0003674;GO:0008150	ECA1-like gametogenesis related family protein
XP_020889356.1	768	AT2G15300.1	AT2G15300.1	orthologue	GO:0009507;GO:0016310;GO:0005524;GO:0004672;GO:0016301;GO:0016020;GO:0006468;GO:0005515	Leucine-rich repeat protein kinase family protein (Putative receptor-like protein kinase)
XP_020889357.1	185	AT1G34070.1	AT1G34070.1	other	GO:0008150;GO:0003674;GO:0005575	Copia-like polyprotein/retrotransposon (F12G12.10 protein)
XP_020889358.1	311	AT3G20550.1	AT3G20550.1	orthologue	GO:0035196;GO:0048638;GO:0005515;GO:0005634;GO:0003729;GO:0003723;GO:0051301	FHA domain-containing protein DDL (Protein DAWDLE)
XP_020889359.1	546	AT2G16380.1	AT2G16380.1	orthologue	GO:0070300;GO:0005794;GO:0005783;GO:0009507;GO:0000139;GO:0005886;GO:0015031	Phosphatidylinositol/phosphatidylcholine transfer protein SFH7 (Protein SEC FOURTEEN HOMOLOGS 7) (AtSFH7);Sec14p-like phosphatidylinositol transfer family protein
XP_020889360.1	399	AT2G19780.1	AT2G19780.1	orthologue	GO:0007165;GO:0005575;GO:0003674;GO:0005576;GO:0016020;GO:0071555;GO:0005515	Cell wall hydroxyproline-rich glycoprotein
XP_020889361.1	491	AT3G21660.2	AT3G21660.2	orthologue	GO:0031468;GO:0000045;GO:0043161;GO:0005634;GO:0061025;GO:0005829;GO:0007030;GO:0043130;;GO:0005515	Plant UBX domain-containing protein 6 (PUX6);UBX domain-containing protein
XP_020889362.1	145					
XP_020889363.1	1138	AT5G51530.1	AT5G51530.1	orthologue	GO:0005634;GO:0004843;GO:0008150;GO:0016579	Gb|AAD55616.1 (Ubiquitin carboxyl-terminal hydrolase-related protein);Ubiquitin carboxyl-terminal hydrolase-related protein
XP_020889364.1	465	AT3G19080.3	AT3G19080.3	orthologue	GO:0003674;GO:0009506;GO:0005634;GO:0000500;GO:0001181	SWIB complex BAF60b domain-containing protein
XP_020889365.1	1789	AT3G14270.1	AT3G14270.1	orthologue	GO:0010008;GO:0005737;GO:0046854;GO:0000285;GO:0046488;GO:0010256;GO:0007033;GO:0005739;GO:0035091;GO:0007165;GO:0009555;GO:0005768;GO:0090332;GO:0005524;GO:0008270;GO:0052742;GO:0046872	1-phosphatidylinositol-3-phosphate 5-kinase FAB1B (Phosphatidylinositol 3-phosphate 5-kinase) (EC 2.7.1.150) (FYVE finger-containing phosphoinositide kinase) (PIKfyve) (Phosphatidylinositol 3-phosphate 5-kinase type III) (PIPkin-III) (Type III PIP kinase) (Protein FORMS APLOID AND BINUCLEATE CELLS 1B)
XP_020889366.1	141	AT3G14280.1	AT3G14280.1	orthologue	GO:0005634;GO:0003674;GO:0008483	At3g14280 (LL-diaminopimelate aminotransferase)
XP_020889367.1	250	AT3G25030.1	AT3G25030.1	orthologue	GO:0005634;GO:0005516;GO:0008270	At3g25030 (RING/U-box superfamily protein);RING/U-box superfamily protein
XP_020889370.1	281	AT3G18940.1	AT3G18940.1	orthologue	GO:0043248;GO:0003674;GO:0005829;GO:0005634	Proteasome assembly chaperone 2
XP_020889371.1	1188	AT2G16920.1	AT2G16920.1	orthologue	GO:0061631;GO:0005634;GO:0016567;GO:0005524	Probable ubiquitin-conjugating enzyme E2 23 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 23) (Ubiquitin carrier protein 23)
XP_020889376.1	590	AT2G16940.2	AT2G16940.2	orthologue	GO:0005634;GO:1990446;GO:0006397;GO:0005515;GO:0003723;GO:0003676	At2g16940 (Putative splicing factor) (Splicing factor, CC1-like protein);Putative splicing factor (Splicing factor, CC1-like protein);Splicing factor, CC1-like protein
XP_020889377.1	1462	AT3G21250.4	AT3G21250.4	orthologue	GO:0016020;GO:0016887;GO:0055085;GO:0009507;GO:0000325;GO:0005774;GO:0140359;GO:0008559;GO:0005829;GO:0042626;GO:0005524	ABC transporter C family member 8 (ABC transporter ABCC.8) (AtABCC8) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 6) (Glutathione S-conjugate-transporting ATPase 6) (Multidrug resistance-associated protein 6);ABC-type xenobiotic transporter (EC 7.6.2.2)
XP_020889380.1	477	AT3G21280.1	AT3G21280.1	orthologue	GO:1904293;GO:0004843;GO:0043161;GO:0070628;GO:0005634;GO:0005516;GO:0016579;GO:0005515;GO:0061136	Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12);Ubiquitin carboxyl-terminal hydrolase 7 (EC 3.4.19.12) (Deubiquitinating enzyme 7) (AtUBP7) (Ubiquitin thioesterase 7) (Ubiquitin-specific-processing protease 7)
XP_020889381.1	188	AT5G51545.1	AT5G51545.1	orthologue	GO:0009507;GO:0009534;GO:0009536;GO:0003674;GO:0031969	Protein LPA2 (Protein LOW PSII ACCUMULATION 2, chloroplastic)
XP_020889382.1	462	AT3G21240.1	AT3G21240.1	orthologue	GO:0016207;GO:0009620;GO:0009611;GO:0005575;GO:0009698;GO:0009411;GO:0005524;GO:0106286;GO:0016874;GO:0016405	4-coumarate--CoA ligase (EC 6.2.1.12);4-coumarate--CoA ligase 2 (4CL 2) (EC 6.2.1.12) (4-coumarate--CoA ligase isoform 2) (At4CL2) (4-coumaroyl-CoA synthase 2) (Caffeate--CoA ligase) (EC 6.2.1.-)
XP_020889383.1	1204	AT3G21290.1	AT3G21290.1	orthologue	GO:0008150;GO:0005515;GO:0005634;GO:0035198	Dentin sialophosphoprotein-like protein
XP_020889385.1	653	AT3G21295.1	AT3G21295.1	orthologue	GO:0003674;GO:0005634	Tudor/PWWP/MBT superfamily protein
XP_020889387.1	75	AT3G21305.1	AT3G21305.1	orthologue	GO:0005634;GO:0003674	Uncharacterized protein
XP_020889388.1	881	AT3G25020.1, AT3G24982.1, AT3G25010.2, AT3G24900.2	AT3G25010.2	orthologue	GO:0003674;GO:0005576;GO:0007165;GO:0005886;GO:0010150;GO:0071215;GO:0080136;GO:0016301;GO:1902288;GO:1900150;GO:0005515;GO:0002238;GO:0006952;GO:0031347;GO:0033612	Receptor like protein 39;Receptor like protein 41;Receptor-like protein 39 (AtRLP39);Receptor-like protein 40 (AtRLP40);Receptor-like protein 41 (AtRLP41);Receptor-like protein 42 (AtRLP42) (Protein RESPONSIVENESS TO BOTRYTIS POLYGALACTURONASES 1)
XP_020889389.1	359	AT2G05720.1	AT2G05720.1	orthologue	GO:0080008;GO:0017070;GO:0000398;GO:0005634;GO:0046540;GO:0030621;GO:0005515	Putative U4/U6 small nuclear ribonucleoprotein (Transducin/WD40 repeat-like superfamily protein)
XP_020889390.1	102	AT3G01329.1, AT3G01324.1	AT3G01324.1	orthologue	GO:0005576;GO:0003674;GO:0008150;GO:0005739	ECA1-like gametogenesis related family protein
XP_020889391.1	396	AT3G07830.1	AT3G07830.1	orthologue	GO:0005576;GO:0005975;GO:0004650;GO:0016829;GO:0071555	Pectin lyase-like superfamily protein (Putative polygalacturonase)
XP_020889393.1	202	AT3G06110.2	AT3G06110.2	orthologue	GO:0034051;GO:0033549;GO:0005737;GO:0043409;GO:0010193;GO:0033550;GO:0007165;GO:0034599;GO:0008330;GO:0017018;GO:0017017;GO:0004860;GO:0005515;GO:0005634;GO:0005886;GO:0004725;GO:0006979;GO:0035556;GO:0004722;GO:0043407;GO:0006470;GO:0016311;GO:0004721;GO:0035335	Dual specificity protein phosphatase 1B (AtDsPTP1B) (EC 3.1.3.16) (EC 3.1.3.48) (MAPK phosphatase 2) (AtMKP2)
XP_020889396.1	166	AT3G09160.1, AT5G05430.2	AT3G09160.1	other	GO:0003723;GO:0005634;GO:0016607;GO:0005739;GO:0000381;GO:0003729;GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein;RNA-binding protein
XP_020889397.1	715	AT3G04820.1	AT3G04820.1	orthologue	GO:0009507;GO:0001522;GO:0009982;GO:0003723;GO:0005634;GO:0009451	Pseudouridine synthase family protein
XP_020889398.1	605	AT3G04810.1	AT3G04810.1	orthologue	GO:0005737;GO:0004674;GO:0016310;GO:0005524;GO:0106310;GO:0004672;GO:0006468	Serine/threonine-protein kinase Nek2 (EC 2.7.11.1) (NimA-related protein kinase 2) (AtNek2)
XP_020889399.1	310	AT3G04830.1	AT3G04830.1	orthologue	GO:0072546;GO:0005783;GO:0005634;GO:0005794;GO:0003674;GO:0005829;GO:0016740;GO:0005515	ER membrane protein complex subunit 2
XP_020889401.1	262	AT3G04840.1	AT3G04840.1	orthologue	GO:0009506;GO:0022626;GO:0003729;GO:0022627;GO:0005829;GO:0005737;GO:0003735;GO:0006412;GO:0005840	Small ribosomal subunit protein eS1z (40S ribosomal protein S3a-1)
XP_020889402.1	376	AT3G04770.1	AT3G04770.1	orthologue	GO:0003735;GO:0022627;GO:0005737;GO:0000028;GO:0002181;GO:0022626;GO:0009507;GO:0006412;GO:0005840;GO:0015935	Small ribosomal subunit protein uS2;Small ribosomal subunit protein uS2y (40S ribosomal protein Sa-2) (p40 protein homolog)
XP_020889405.1	272					
XP_020889406.1	400	AT3G18320.1, AT3G44120.1, AT2G07140.1, AT3G18330.1, AT3G18910.1, AT3G19410.1	AT3G18910.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0009507;GO:0005515;GO:0005739;	F-box and associated interaction domains-containing protein;F-box protein At2g07140;F-box protein At3g18320;F-box protein ETP2 (EIN2 targeting protein 2);F-box/kelch-repeat protein At3g44120;Putative F-box protein At3g18330;Putative F-box/kelch-repeat protein At3g19410
XP_020889407.1	225					
XP_020889409.1	1202	AT3G05040.2	AT3G05040.2	orthologue	GO:0061716;GO:0009910;GO:0006405;GO:0005634;GO:0009965;GO:0005049;GO:0005515;GO:0048364;GO:0006611;GO:0048367;GO:0009944;GO:0003723;GO:0042565;GO:0005635;GO:0005737;GO:0031047	ARM repeat superfamily protein;Protein HASTY 1 (Protein HASTY)
XP_020889411.1	852	AT4G24840.1	AT4G24840.1	other	GO:0007030;GO:0005515;GO:0042803;GO:0060178;GO:0000325;GO:0006891;GO:0031410;GO:0017119;GO:0005794;GO:0000139;GO:0015031;GO:0016020	Conserved oligomeric Golgi complex subunit 2 (COG complex subunit 2) (Component of oligomeric Golgi complex 2)
XP_020889412.1	591	AT3G05050.1	AT3G05050.1	orthologue	GO:0032968;GO:0008353;GO:0000307;GO:0005634;GO:0005524;GO:0004672;GO:0006468;GO:0004674;GO:0070816	AT3g05050/T12H1_1 (Protein kinase superfamily protein) (Putative cyclin-dependent protein kinase)
XP_020889414.1	298	AT3G07350.1	AT3G07350.1	orthologue	GO:0031667;GO:0003674;GO:0071456;GO:0005739;GO:0005524	F21O3.6 protein (Sulfate/thiosulfate import ATP-binding protein, putative (DUF506))
XP_020889415.1	722	AT5G66850.1	AT5G66850.1	orthologue	GO:0005515;GO:0004674;GO:2000071;GO:0002221;GO:0004709;GO:1900150;GO:0005886;GO:1900424;GO:0005737;GO:0046777;GO:0045088;GO:0004672;GO:0000165;GO:0009507;GO:0005829;GO:0005524;GO:0050832;GO:0106310;GO:0006468	Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) (MAP3K gamma protein kinase) (AtMAP3Kgamma);mitogen-activated protein kinase kinase kinase (EC 2.7.11.25)
XP_020889416.1	367	AT3G14420.1	AT3G14420.1	orthologue	GO:0009506;GO:0005777;GO:0022626;GO:0005737;GO:0009570;GO:0003729;GO:0003973;GO:0005634;GO:0009507;GO:0050665;GO:0010181;GO:0048046;GO:0042742;GO:0005829;GO:0009854;GO:0016491	(S)-2-hydroxy-acid oxidase (EC 1.1.3.15);Glycolate oxidase 1 (AtGLO1) (GOX1) (EC 1.1.3.15) ((S)-2-hydroxy-acid oxidase GLO1) (Short chain alpha-hydroxy acid oxidase GLO1)
XP_020889418.1	367	AT3G14415.2	AT3G14415.2	orthologue	GO:0050665;GO:0003973;GO:0003729;GO:0005777;GO:0010181;GO:0005829;GO:0010494;GO:0042742;GO:0048046;GO:0005634;GO:0009570;GO:0009507;GO:0000325;GO:0009854;GO:0051707;GO:0016491	(S)-2-hydroxy-acid oxidase (EC 1.1.3.15);Glycolate oxidase 2 (AtGLO2) (GOX2) (EC 1.1.3.15) ((S)-2-hydroxy-acid oxidase GLO2) (Short chain alpha-hydroxy acid oxidase GLO2)
XP_020889421.1	344	AT2G15730.1	AT2G15730.1	orthologue	GO:0000138;GO:0005794;GO:0003674;GO:0016020;GO:0016787	At2g15730 (P-loop containing nucleoside triphosphate hydrolases superfamily protein);P-loop containing nucleoside triphosphate hydrolases superfamily protein
XP_020889422.1	264	AT3G07390.1	AT3G07390.1	orthologue	GO:0005886;GO:0030198;GO:0010102;GO:0009733;GO:0005201;GO:0005829;GO:0016020;GO:0005576;GO:0009734;GO:0046872;GO:0098552	Auxin-induced in root cultures protein 12;Auxin-induced in root cultures-like protein
XP_020889423.1	1003	AT3G07400.1	AT3G07400.1	orthologue	GO:0006629;GO:0005575;GO:0003674;GO:0016020	F21O3.11 protein (Lipase class 3 family protein)
XP_020889425.1	1702	AT3G04740.1	AT3G04740.1	orthologue	GO:0009738;GO:0070847;GO:0006357;GO:0005515;GO:0016592;GO:1905421;GO:0043565;GO:0140922;GO:0009627;GO:0045893;GO:0045944;GO:0009506;GO:0009631;GO:0003712;GO:0009266;GO:0005634;GO:0008284	Mediator of RNA polymerase II transcription subunit 14 (Protein STRUWWELPETER) (AtSWP)
XP_020889426.1	865	AT5G52850.1	AT5G52850.1	orthologue	GO:0008270;GO:0009451;GO:0003723;GO:0005739;GO:0009507;GO:0005515	Pentatricopeptide repeat-containing protein At5g52850, chloroplastic
XP_020889427.1	285	AT3G23250.1	AT3G23250.1	orthologue	GO:0005515;GO:0005634;GO:0009414;GO:0009409;GO:0009651;GO:0003700;GO:0003677	Myb domain protein 15;Transcription factor MYB15 (Myb-related protein 15) (AtMYB15) (Myb-related protein Y19) (AtY19)
XP_020889428.1	459	AT3G20640.1	AT3G20640.1	orthologue	GO:0006357;GO:0003700;GO:0005634;GO:0006355;GO:0046983;GO:0000978;GO:0000981;GO:0005515;GO:0003677	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Transcription factor bHLH123 (Basic helix-loop-helix protein 123) (AtbHLH123) (bHLH 123) (Transcription factor EN 63) (bHLH transcription factor bHLH123)
XP_020889429.1	169	AT5G52840.1	AT5G52840.1	orthologue	GO:0005739;GO:0009536;GO:0031966;GO:0045271;GO:0009853;GO:0022904;GO:0003674;GO:0005743;GO:0005747	NADH-ubiquinone oxidoreductase-like protein;Probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5, mitochondrial
XP_020889431.1	149	AT3G06750.1	AT3G06750.1	orthologue	GO:0016020;GO:0003674;GO:0005634	F3E22.11 protein (Hydroxyproline-rich glycoprotein family protein)
XP_020889432.1	342	AT1G13560.1	AT1G13560.1	other	GO:0008654;GO:0016780;GO:0004142;GO:0006646;GO:0005794;GO:0004307;GO:0016020;GO:0046872	Aminoalcoholphosphotransferase 1;Choline/ethanolaminephosphotransferase 1 (EC 2.7.8.1) (EC 2.7.8.2) (Aminoalcohol phosphotransferase 1) (AtAAPT1)
XP_020889433.1	164	AT3G15680.1	AT3G15680.1	orthologue	GO:0003729;GO:0005634;GO:0005737;GO:0008270;GO:0016301	At3g15680 (Ran BP2/NZF zinc finger-like superfamily protein) (Zinc finger protein-like Ser/Thr protein kinase-like protein)
XP_020889435.1	735	AT5G63630.2	AT5G63630.2	orthologue	GO:0003724;GO:0005634;GO:0009507;GO:0003723;GO:0005524;GO:0016887;GO:0003676	DEAD-box ATP-dependent RNA helicase 31 (EC 3.6.4.13)
XP_020889436.1	322	AT3G06490.1	AT3G06490.1	orthologue	GO:0000976;GO:0005634;GO:0120195;GO:0006355;GO:0003700;GO:0009620;GO:0043565;GO:0012501;GO:0006952;GO:0008219	Transcription factor MYB108 (Myb-related protein 108) (AtMYB108) (Protein BOTRYTIS-SUSCEPTIBLE 1)
XP_020889437.1	435	AT3G18500.3	AT3G18500.3	orthologue	GO:0005634;GO:0009507;GO:0004535;GO:0003824;GO:0008150;GO:0003730;GO:0003723;GO:0005737;GO:0046872;GO:0000175	Carbon catabolite repressor protein 4 homolog 3 (CCR4 homolog 3) (EC 3.1.13.4);DNAse I-like superfamily protein
XP_020889438.1	71	AT3G18510.1	AT3G18510.1	orthologue	GO:0003674;GO:0008150;GO:0005575;GO:0004386;GO:0016020	ATP-dependent helicase/nuclease subunit (At3g18510)
XP_020889439.1	161	AT2G17380.1	AT2G17380.1	orthologue	GO:0035615;GO:0016192;GO:0005794;GO:0006886;GO:0043231;GO:0030121;GO:0015031;GO:0030117	AP-1 complex subunit sigma-1 (Adaptor AP-1 19 kDa protein) (Adaptor protein complex AP-1 sigma-1 subunit) (Adaptor-related protein complex 1 sigma-1 subunit) (Clathrin assembly protein complex 1 sigma-1 small chain) (Clathrin assembly small subunit protein AP19-1) (AtAP19-1) (Sigma 1 subunit of AP-1 clathrin) (Sigma-adaptin 1) (Sigma1-adaptin)
XP_020889440.1	349	AT2G15660.1, AT2G40210.1, AT2G26880.1	AT2G40210.1	other	GO:0003677;GO:0005634;GO:0046983;GO:0006355;GO:0003700;GO:0006357;GO:0045944;GO:0000978;GO:0000987;GO:0000981	AGAMOUS-like 41;AGAMOUS-like 48;AGAMOUS-like 95
XP_020889441.1	131	AT3G09160.1	AT3G09160.1	orthologue	GO:0003723;GO:0005634;GO:0016607;GO:0000381;GO:0003729;GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
XP_020889442.1	342	AT3G08500.1	AT3G08500.1	orthologue	GO:0006355;GO:0045893;GO:0000976;GO:0003700;GO:2000652;GO:0005634	Transcription factor MYB83 (Myb-related protein 83) (AtMYB83)
XP_020889443.1	376	AT2G38020.1	AT2G38020.1	other	GO:0009860;GO:0042144;GO:0009705;GO:0006886;GO:0003779;GO:0030897;GO:0033263;GO:0007033;GO:0016197;GO:0016192;GO:0032991;GO:0005768;GO:0005783;GO:0005771;GO:0045992;GO:0051469;GO:0005765;GO:0005737	Protein VACUOLELESS1 (Vacuolar protein sorting-associated protein 16 homolog)
XP_020889445.1	274	AT1G27540.1, AT1G27550.1, AT1G27580.1, AT2G14290.1, AT2G14500.1, AT2G24080.1, AT4G10820.1, AT5G25290.1, AT5G25300.1	AT2G14500.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0005739;GO:0009507;GO:0009737	F-box family protein;F-box protein (DUF295);F-box protein (DUF295) (T17H3.4);F-box protein At2g14290;F-box protein At2g14500;F-box protein At5g25290;Probable F-box protein At5g25300
XP_020889446.1	1052	AT3G14470.1	AT3G14470.1	orthologue	GO:0098542;GO:0043531;GO:0005576;GO:0005515;GO:0005524	Putative disease resistance RPP13-like protein 1
XP_020889448.1	333	AT3G14450.1	AT3G14450.1	orthologue	GO:0005737;GO:0003674;GO:0003723;GO:0005634;GO:0003676	Polyadenylate-binding protein-interacting protein 9 (PABP-interacting protein 9) (Poly(A)-binding protein-interacting protein 9) (PAM2-containing protein CID9) (Protein CTC-INTERACTING DOMAIN 9)
XP_020889449.1	428	AT5G63620.1	AT5G63620.1	orthologue	GO:0009507;GO:0050897;GO:0005739;GO:0097305;GO:0016491;GO:0009536;GO:0008270	AT5g63620/MBK5_9 (GroES-like zinc-binding alcohol dehydrogenase family protein);GroES-like zinc-binding alcohol dehydrogenase family protein
XP_020889450.1	308	AT2G04430.1	AT2G04430.1	orthologue	GO:0008150;GO:0005737;GO:0047631;GO:0051287;GO:0005829;GO:0035529;GO:0016787;GO:0046872	Nudix hydrolase (AtNUDT) (EC 3.6.1.13) (EC 3.6.1.22) (ADP-ribose pyrophosphatase) (NADH pyrophosphatase);Nudix hydrolase 5 (AtNUDT5) (EC 3.6.1.-)
XP_020889453.1	460	AT3G02990.1	AT3G02990.1	orthologue	GO:0006357;GO:0005634;GO:0000978;GO:0006355;GO:0034605;GO:0003700;GO:0043565;GO:0005737	Heat stress transcription factor A-1e (AtHsfA1e) (AtHsf-06) (Heat shock factor protein 2) (HSF 2) (Heat shock transcription factor 2) (HSTF 2)
XP_020889454.1	351					
XP_020889456.1	165	AT3G03000.1	AT3G03000.1	orthologue	GO:0005509;GO:0005737;GO:0030234;GO:0000325;GO:0005515;GO:0043269	Probable calcium-binding protein CML18 (Calmodulin-15) (AtCaM-15) (Calmodulin-like protein 18)
XP_020889457.1	337	AT5G66240.2	AT5G66240.2	orthologue	GO:0009827;GO:0005634;GO:0048188;GO:0005737;GO:0003682;GO:0080008;GO:0005515;GO:0006353;GO:0016070	AT5G66240 protein (Transducin/WD40 repeat-like superfamily protein) (WD repeat protein-like);Transducin/WD40 repeat-like superfamily protein;Transducin/WD40 repeat-like superfamily protein (WD repeat protein-like)
XP_020889458.1	105					
XP_020889459.1	374	AT2G18410.1	AT2G18410.1	orthologue	GO:0002098;GO:0005634;GO:0033588;GO:0006400;GO:0000049;GO:0005829;GO:0005737	Elongator complex protein 5 (AtELP5) (Elongator component 5)
XP_020889460.1	158	AT4G34440.1	AT4G34440.1	other	GO:0046777;GO:0004674;GO:0005634;GO:0090406;GO:0005524;GO:0005886;GO:0106310	Proline-rich receptor-like protein kinase PERK5 (EC 2.7.11.1) (Proline-rich extensin-like receptor kinase 5) (AtPERK5)
XP_020889462.1	323	AT2G18690.1	AT2G18690.1	orthologue	GO:0003674;GO:0009507;GO:0016020	Expressed protein (Transmembrane protein);Transmembrane protein
XP_020889463.1	572	AT3G07900.1	AT3G07900.1	orthologue	GO:0016757;GO:0005737;GO:0005634;GO:0006004;GO:0016020	O-fucosyltransferase 24 (O-FucT-24) (EC 2.4.1.-) (O-fucosyltransferase family protein)
XP_020889464.1	343	AT3G23090.3	AT3G23090.3	orthologue	GO:0000226;GO:0051511;GO:0055028;GO:0005634;GO:0005515;GO:0008017;GO:0009826;GO:0043622;GO:0005737;GO:0005874	Protein WVD2-like 3 (Protein WAVE-DAMPENED 2-LIKE3);TPX2 (Targeting protein for Xklp2) protein family
XP_020889468.1	192	AT4G11700.1	AT4G11700.1	other	GO:0008150;GO:0003674;GO:0005575	UPF0725 protein At4g11700
XP_020889469.1	138					
XP_020889473.1	132	AT3G12830.1	AT3G12830.1	orthologue	GO:0005515;GO:0005575;GO:0005737;GO:0009734;GO:0009733	Auxin-responsive protein SAUR72 (Protein SMALL AUXIN UP RNA 72)
XP_020889474.1	757	AT3G15920.1	AT3G15920.1	orthologue	GO:0010008;GO:0005515;GO:0005634;GO:0007165;GO:0005737;GO:0035091;GO:0015031;GO:0005829	PX domain-containing protein EREX (Protein ENDOSOMAL RAB EFFECTOR WITH PX-DOMAIN)
XP_020889475.1	362	AT3G15890.1	AT3G15890.1	orthologue	GO:0005886;GO:0005634;GO:0004715;GO:0004672;GO:0007165;GO:0005524;GO:0006468	PTI1-like tyrosine-protein kinase At3g15890 (EC 2.7.10.2)
XP_020889478.1	140	AT3G15900.1	AT3G15900.1	orthologue	GO:0009507;GO:0003674;GO:0016020	At3g15900 (Homoserine O-acetyltransferase)
XP_020889482.1	184	AT2G19220.1	AT2G19220.1	orthologue	GO:0003674;GO:0008150;GO:0005634;GO:0003677	Myb/SANT-like DNA-binding domain protein
XP_020889483.1	896	AT3G09090.1	AT3G09090.1	orthologue	GO:0016020;GO:0010584;GO:0005783;GO:0010208;GO:0005509;GO:0000137;GO:0005829;GO:0005886;GO:0071555;GO:0005515	Protein DEFECTIVE IN EXINE FORMATION 1
XP_020889484.1	301	AT5G66250.4	AT5G66250.4	orthologue	GO:0005634;GO:0003674;GO:0009959;GO:0009639	AT5g66250/K1L20_3 (Kinectin-like protein);Kinectin-like protein
XP_020889485.1	669	AT3G09100.2	AT3G09100.2	orthologue	GO:0003910;GO:0005524;GO:0006370;GO:0005634;GO:0006281;GO:0009506;GO:0004484;GO:0006470;GO:0140818;GO:0006310;GO:0004721;GO:0005525;GO:0016311	AT3g09100/MZB10_13 (mRNA capping enzyme family protein);mRNA guanylyltransferase (EC 2.7.7.50)
XP_020889486.1	185	AT3G01415.1	AT3G01415.1	orthologue	GO:0003674;GO:0005739;GO:0008150;GO:0016020;GO:0016874	Tubulin-tyrosine ligase
XP_020889487.1	400					
XP_020889490.1	767	AT3G15950.1	AT3G15950.1	orthologue	GO:0005515;GO:0080119;GO:0005777;GO:0010168;GO:0009507;GO:0005634;GO:0099503;GO:0009506;GO:0005788	DNA topoisomerase-like protein;TSA1-like protein (Protein NAI2)
XP_020889493.1	116	AT3G15630.1	AT3G15630.1	orthologue	GO:0003674;GO:0005634	AT3g15630/MSJ11_3 (Plant/protein)
XP_020889494.1	436	AT3G24515.3	AT3G24515.3	orthologue	GO:0061631;GO:0000209;GO:0005634;GO:0006974;GO:0016567;GO:0005524;GO:0016740	E2 ubiquitin-conjugating enzyme (EC 2.3.2.23);Probable ubiquitin-conjugating enzyme E2 37 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 37) (Ubiquitin carrier protein 37);Ubiquitin-conjugating enzyme 37
XP_020889495.1	133	AT2G14045.1	AT2G14045.1	orthologue	GO:0005634;GO:0006355;GO:0003713	At2g14045 (Putative c-myc binding protein) (c-Myc-binding protein);c-Myc-binding protein
XP_020889498.1	347	AT3G21930.1, AT3G21920.2	AT3G21920.2	orthologue	GO:0003674;GO:0008150;GO:0005576	Cysteine-rich repeat secretory protein 18;Cysteine-rich repeat secretory protein, putative (DUF26);Putative cysteine-rich repeat secretory protein 19
XP_020889501.1	223	AT3G15740.1	AT3G15740.1	orthologue	GO:0016567;GO:0009555;GO:0061630;GO:0005737;GO:0005634;GO:0008270	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
XP_020889502.1	101	AT2G15000.4	AT2G15000.4	orthologue	GO:0005739;GO:0003674	At2g15000 (Caspase-6 protein) (Expressed protein);Caspase-6 protein
XP_020889508.1	211	AT3G25580.1, AT2G18990.1	AT2G18990.1	orthologue	GO:0000226;GO:0005737;GO:0003674	Thioredoxin domain-containing protein 9 homolog;Thioredoxin superfamily protein
XP_020889509.1	414	AT3G22830.1	AT3G22830.1	orthologue	GO:0034605;GO:0006355;GO:0005634;GO:0000978;GO:0003700;GO:0006357;GO:0000976;GO:0005737;GO:0043565	Heat stress transcription factor A-6b (AtHsfA6b) (AtHsf-07)
XP_020889510.1	227	AT3G10080.2	AT3G10080.2	orthologue	GO:0008150;GO:0030145;GO:0005576;GO:0009506;GO:0010497;GO:0048046;GO:2000280	Germin-like protein;Germin-like protein subfamily 3 member 2
XP_020889511.1	364	AT3G23260.1	AT3G23260.1	orthologue	GO:0005575;GO:0003674;;GO:0005515	Putative F-box protein At3g23260
XP_020889512.1	225	AT3G23255.2	AT3G23255.2	orthologue	GO:0000724;GO:0003697;GO:0097196;GO:0005634	tRNA dimethylallyltransferase
