Capsella_rubella	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_023644311.1	202	AT2G11035.1	AT2G11035.1	orthologue	GO:0003674;GO:0005634;GO:0003964	Reverse transcriptase zinc-binding protein
XP_023644312.1	364	AT3G29080.1	AT3G29080.1	orthologue	GO:0008150;GO:0005575;GO:0003674	Uncharacterized protein
XP_023644313.1	275	AT2G11035.1	AT2G11035.1	other	GO:0003674;GO:0005634;GO:0003964	Reverse transcriptase zinc-binding protein
XP_023644314.1	166	AT1G72645.1	AT1G72645.1	orthologue	GO:0003674;GO:0005739;GO:0016020	At1g72645 (Transmembrane protein)
XP_023644316.1	412				GO:0005515	
XP_023644317.1	495	AT1G74540.1	AT1G74540.1	orthologue	GO:0008216;GO:0072551;GO:0080088;GO:0072532;GO:0072552;GO:0072549;GO:0005506;GO:0072550;GO:0072547;GO:0072548;GO:0020037;GO:0005739;GO:0016020;GO:0004497;GO:0016705	Cytochrome P450 98A8 (EC 1.14.-.-) (p-coumarate 3-hydroxylase)
XP_023644318.1	142	AT1G74620.1	AT1G74620.1	other	GO:0061630;GO:0006511;GO:0005886;GO:0016020;GO:0008270	Putative RING zinc finger protein; 84572-85321 (RING/U-box superfamily protein)
XP_023644319.1	236	AT1G74875.1	AT1G74875.1	orthologue	GO:0005634;GO:0008150;GO:0003674;;GO:0005515	F-box protein
XP_023644320.1	30	AT1G74929.1	AT1G74929.1	orthologue	GO:0003674;GO:0005575	Uncharacterized protein
XP_023644321.1	184				GO:0004497;GO:0005506;GO:0016705;GO:0020037	
XP_023644322.1	464					
XP_023644323.1	488	AT2G17905.1, AT5G36225.1	AT2G17905.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634	Ta11-like non-LTR retrotransposon;Zinc knuckle protein
XP_023644324.1	379	AT1G75530.1	AT1G75530.1	orthologue	GO:0002151;GO:0000325;GO:0031011;GO:0045944;GO:0071339;GO:0005634;GO:0044545	Forkhead-associated (FHA) domain-containing protein
XP_023644325.1	385				GO:0005515	
XP_023644326.1	383	AT2G14288.1, AT3G24610.1	AT3G24610.1	other	GO:0005575;GO:0003674;GO:0008150;GO:0005634;;GO:0005515	F-box/kelch-repeat SKIP6-like protein;Putative F-box/kelch-repeat protein At3g24610
XP_023644327.1	940	AT1G76740.1	AT1G76740.1	orthologue	GO:0003674;GO:0005739;GO:0008150	Uncharacterized protein F28O16.11
XP_023644328.1	176	AT1G76965.1	AT1G76965.1	orthologue	GO:0008150;GO:0003674;GO:0005576	Uncharacterized protein
XP_023644329.1	861	AT1G77340.1	AT1G77340.1	orthologue	GO:0003729;GO:0008150;GO:0009507;GO:0005515	Pentatricopeptide repeat (PPR) superfamily protein
XP_023644330.1	100	AT1G77682.1	AT1G77682.1	orthologue	GO:0003674;GO:0005576;GO:0008150	Plant thionin family protein
XP_023644331.1	344	AT1G77790.1	AT1G77790.1	orthologue	GO:0042973;GO:0005576;GO:0005975;GO:0004553	glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)
XP_023644332.1	182	AT1G77830.1	AT1G77830.1	orthologue	GO:0061630;GO:0008150;GO:0005634;GO:0008270;GO:0006511;GO:0016567	F28K19.4 (RING/U-box superfamily protein)
XP_023644333.1	226	AT1G77830.1	AT1G77830.1	other	GO:0061630;GO:0008150;GO:0005634;GO:0008270	F28K19.4 (RING/U-box superfamily protein)
XP_023644334.1	426	AT1G77960.1	AT1G77960.1	orthologue	GO:0005634;GO:0003674	Repressor ROX1-like protein
XP_023644335.1	332	AT1G78670.1	AT1G78670.1	orthologue	GO:0034722;GO:0000325;GO:0005773;GO:0005576;GO:0046900;GO:0016787;GO:0008242	Probable gamma-glutamyl hydrolase 3 (AtGGH3) (EC 3.4.19.9) (Conjugase) (GH) (Gamma-Glu-X carboxypeptidase)
XP_023644336.1	357	AT1G65770.1	AT1G65770.1	orthologue	GO:2000083;GO:0005575;GO:0005515	Putative F-box protein At1g65770
XP_023644337.1	888	AT1G61310.1	AT1G61310.1	other	GO:0003674;GO:0005575;GO:0005524;GO:0043531;GO:0098542;GO:0005515	Probable disease resistance protein At1g61310
XP_023644340.1	447				GO:0016020	
XP_023644341.1	383	AT5G53810.1	AT5G53810.1	orthologue	GO:0032259;GO:0005829;GO:0009058;GO:0005634;GO:0008171;GO:0008757;GO:0046983;GO:0008168	O-methyltransferase (O-methyltransferase family protein)
XP_023644343.1	1033	AT1G56540.1	AT1G56540.1	orthologue	GO:0043531;GO:0016887;GO:0006952;GO:0009620;GO:0007165;GO:0009507;GO:0016020;GO:0016787	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6);Disease resistance protein (TIR-NBS-LRR class) family
XP_023644345.1	235	AT1G79210.1	AT1G79210.1	orthologue	GO:0043161;GO:0019773;GO:0005739;GO:0006511;GO:0009507;GO:0005829;GO:0000502;GO:0003674;GO:0005634;GO:0005839;GO:0051603	Proteasome subunit alpha type-2-B (20S proteasome alpha subunit B-2)
XP_023644346.1	374	AT1G60050.1	AT1G60050.1	orthologue	GO:0005886;GO:0022857;GO:0016020	WAT1-related protein At1g60050
XP_023644348.1	1357	AT1G63210.1	AT1G63210.1	orthologue	GO:0005634;GO:0031491;GO:0008023;GO:0140673;GO:0005829;GO:0009793;GO:0006368;GO:0042393;GO:0034728;GO:0003676;GO:0006139	Transcription elongation factor SPT6-like
XP_023644349.1	117	AT1G69085.1	AT1G69085.1	orthologue	GO:0004842;GO:0008150;GO:0005737;GO:0008270	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
XP_023644351.1	35	AT2G27540.1, AT2G18320.1, AT5G52080.1, AT5G53410.1	AT5G53410.1	orthologue	GO:0003674;GO:0008150;GO:0005575	F-box associated ubiquitination effector family protein;F-box associated ubiquitination effector family protein (Gb|AAC73044.1)
XP_023644352.1	103	AT1G70475.1	AT1G70475.1	orthologue	GO:0003674;GO:0005575	Uncharacterized protein
XP_023644353.1	63	AT5G53250.1	AT5G53250.1	orthologue	GO:0016020;GO:0003674;GO:0005886;GO:0098552	Arabinogalactan protein 22 (AtAGP22) (Arabinogalactan peptide 22) (AG-peptide 22)
XP_023644354.1	461	AT1G43970.1	AT1G43970.1	orthologue	GO:0008150;GO:0003674;GO:0009507	Uncharacterized protein
XP_023644357.1	702	AT1G68690.1	AT1G68690.1	orthologue	GO:0004672;GO:0071456;GO:0007165;GO:0005634;GO:0004674;GO:0019901;GO:0005886;GO:0005524;GO:0106310;GO:0006468	Proline-rich receptor-like protein kinase PERK9 (EC 2.7.11.1) (Proline-rich extensin-like receptor kinase 9) (AtPERK9);non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_023644360.1	582	AT1G78230.1	AT1G78230.1	orthologue	GO:0000325;GO:0005737;GO:0003674;GO:0005576;GO:0005515	Outer arm dynein light chain 1 protein
XP_023644361.1	210	AT1G57780.1	AT1G57780.1	orthologue	GO:0003674;GO:0005634;GO:0008150;GO:0046872	Heavy metal-associated isoprenylated plant protein 17 (AtHIP17)
XP_023644362.1	1018	AT5G39390.1	AT5G39390.1	orthologue	GO:0006468;GO:0005576;GO:0004674;GO:0005524;GO:0005886;GO:0009617;GO:0005515;GO:0004672;GO:0033612	non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_023644364.1	35	AT2G27540.1, AT2G18320.1, AT5G52080.1, AT5G53410.1	AT5G53410.1	orthologue	GO:0003674;GO:0008150;GO:0005575	F-box associated ubiquitination effector family protein;F-box associated ubiquitination effector family protein (Gb|AAC73044.1)
XP_023644367.1	777	AT1G69480.1	AT1G69480.1	orthologue	GO:0016036;GO:0000822;GO:0005886;GO:0005315;GO:0005802;GO:0006817;GO:0016020;GO:0005737;GO:0005794;GO:0015114	Phosphate transporter PHO1 homolog 10 (Protein PHO1 homolog 10) (AtPHO1;H10)
XP_023644368.1	283	AT1G67950.2	AT1G67950.2	orthologue	GO:0050832;GO:0005886;GO:0034051;GO:0005515;GO:0009507;GO:0005634;GO:0003723;GO:0003676	Putative splicing regulatory protein (RNA-binding (RRM/RBD/RNP motifs) family protein);RNA-binding (RRM/RBD/RNP motifs) family protein
XP_023644370.1	275	AT3G47680.1	AT3G47680.1	orthologue	GO:0003674;GO:0008150;GO:0009507	At3g47680 (DNA binding protein);Ternary complex factor MIP1 leucine-zipper protein
XP_023644371.1	107	AT1G43970.1	AT1G43970.1	orthologue	GO:0008150;GO:0003674;GO:0009507	Uncharacterized protein
XP_023644376.1	779	AT1G62440.1	AT1G62440.1	orthologue	GO:0000902;GO:0005886;GO:0009505;GO:0005199;GO:0005576;GO:0071555;GO:0005515	Leucine-rich repeat extensin-like protein 2 (AtLRX2) (LRR/EXTENSIN2) (Cell wall hydroxyproline-rich glycoprotein)
XP_023644377.1	897	AT1G80410.2	AT1G80410.2	orthologue	GO:0009793;GO:0010698;GO:0005829;GO:0009506;GO:0003674;GO:0005739;GO:0009414;GO:0005634;GO:0005737;GO:0031415;GO:0005515;GO:0017196	N-terminal acetyltransferase A complex auxiliary subunit NAA15 (AtNAA15) (Protein OMISHA);Tetratricopeptide repeat (TPR)-containing protein
XP_023644378.1	391	AT1G80400.1	AT1G80400.1	orthologue	GO:0005634;GO:0008270;GO:0016020	AT1G80400 protein (Putative RING zinc finger protein) (RING/U-box superfamily protein)
XP_023644381.1	858	AT1G64255.1, AT1G64253.1	AT1G64255.1	other	GO:0008150;GO:0008270;GO:0005634;GO:2000779;GO:0042393;GO:0003677;GO:0005730;GO:0006325	DEK carboxy-terminal domain protein;MuDR family transposase
XP_023644382.1	535	AT1G79610.1	AT1G79610.1	orthologue	GO:0005737;GO:1902600;GO:0071805;GO:0015385;GO:0098719;GO:0051453;GO:0006885;GO:0005886;GO:0005768;GO:0015386;GO:0006813;GO:0010008;GO:0032580;GO:0006812;GO:0016020;GO:0006814;GO:0055085;GO:0015297	Sodium/hydrogen exchanger 6 (Na(+)/H(+) exchanger 6) (NHE-6)
XP_023644383.1	65	AT2G32788.1	AT2G32788.1	orthologue	GO:0090406;GO:0005515;GO:0010183;GO:0060468;GO:0005102	Transmembrane protein
XP_023644384.1	171	AT1G70840.1	AT1G70840.1	orthologue	GO:0003674;GO:0006952;GO:0009507	MLP-like protein 31
XP_023644385.1	211	AT1G63190.1	AT1G63190.1	orthologue	GO:0003674;GO:0008150;GO:0005737	Cystatin/monellin superfamily protein
XP_023644389.1	249	AT1G04640.1	AT1G04640.1	orthologue	GO:0033819;GO:0005576;GO:0017118;GO:0009249;GO:0005739;GO:0005737;GO:0009106;GO:0036211	Octanoyltransferase LIP2, mitochondrial (EC 2.3.1.181) (Lipoate biosynthesis protein) (Lipoate-protein ligase) (Lipoyl ligase) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)
XP_023644391.1	375	AT5G61270.1	AT5G61270.1	orthologue	GO:0009704;GO:0046983;GO:0003700;GO:0009416;GO:0006355;GO:0005634;GO:0005515;GO:0003690;GO:0016607;GO:0009585	Transcription factor PIF7 (Basic helix-loop-helix protein 72) (AtbHLH72) (bHLH 72) (Phytochrome-interacting factor 7) (Transcription factor EN 109) (bHLH transcription factor bHLH072)
XP_023644396.1	905	AT1G12290.1	AT1G12290.1	orthologue	GO:0098542;GO:0043068;GO:0005886;GO:0006499;GO:0043531;GO:0005524;GO:0006952	Disease resistance protein (CC-NBS-LRR class) family;Probable disease resistance protein At1g12290
XP_023644397.1	1185	AT1G26130.2	AT1G26130.2	orthologue	GO:0015914;GO:0015662;GO:0009941;GO:0005886;GO:0016887;GO:0045332;GO:0140326;GO:0000287;GO:0005524;GO:0016020;GO:1901703;GO:0000166;GO:0005215	Phospholipid-transporting ATPase (EC 7.6.2.1);Probable phospholipid-transporting ATPase 12 (AtALA12) (EC 7.6.2.1) (Aminophospholipid flippase 12)
XP_023644408.1	388	AT1G22430.1	AT1G22430.1	orthologue	GO:0005634;GO:0046294;GO:0005737;GO:0005829;GO:0051903;GO:0008270;GO:0004022;GO:0016491;GO:0004024	Alcohol dehydrogenase-like 1 (EC 1.1.1.1);GroES-like zinc-binding dehydrogenase family protein
XP_023644414.1	393	AT2G13770.1	AT2G13770.1	other	GO:0008150;GO:0005575;GO:0003674	Nuclease
XP_023644415.1	306					
XP_023644416.1	401	AT1G32660.1	AT1G32660.1	orthologue	GO:0003674;GO:0008150;GO:0005634;;GO:0005515	Putative F-box protein At1g32660
XP_023644418.1	282	AT2G13770.1	AT2G13770.1	other	GO:0008150;GO:0005575;GO:0003674	Nuclease
XP_023644419.1	313	AT1G31080.1, AT1G31090.1, AT1G67130.1, AT1G30920.1, AT5G42430.1, AT1G33010.1, AT1G33020.1, AT1G30925.1, AT1G30930.1, AT5G38810.2, AT3G57580.1, AT3G56890.1, AT3G57590.1	AT5G42430.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0005515;	F-box and associated interaction domains-containing protein;F-box associated ubiquitination effector family protein;F-box protein At1g31080;F-box protein At1g67130;F-box protein At3g57580;F-box protein At3g57590;Putative F-box protein At1g30920;Putative F-box protein At1g30925;Putative F-box protein At1g30930;Putative F-box protein At1g31090;Putative F-box protein At1g33010;Putative F-box protein At1g33020;Putative F-box protein At5g38810;Putative F-box protein At5g42430
XP_023644420.1	300	AT1G31080.1, AT1G31090.1, AT1G67130.1, AT1G30920.1, AT5G42430.1, AT1G33010.1, AT1G33020.1, AT1G30925.1, AT1G30930.1, AT5G38810.2, AT3G57580.1, AT3G56890.1, AT3G57590.1	AT1G31090.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0005515;	F-box and associated interaction domains-containing protein;F-box associated ubiquitination effector family protein;F-box protein At1g31080;F-box protein At1g67130;F-box protein At3g57580;F-box protein At3g57590;Putative F-box protein At1g30920;Putative F-box protein At1g30925;Putative F-box protein At1g30930;Putative F-box protein At1g31090;Putative F-box protein At1g33010;Putative F-box protein At1g33020;Putative F-box protein At5g38810;Putative F-box protein At5g42430
XP_023644421.1	298	AT1G31080.1, AT1G31090.1, AT1G67130.1, AT1G30920.1, AT5G42430.1, AT1G33010.1, AT1G33020.1, AT1G30925.1, AT1G30930.1, AT5G38810.2, AT3G57580.1, AT3G56890.1, AT3G57590.1	AT1G31090.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0005515;	F-box and associated interaction domains-containing protein;F-box associated ubiquitination effector family protein;F-box protein At1g31080;F-box protein At1g67130;F-box protein At3g57580;F-box protein At3g57590;Putative F-box protein At1g30920;Putative F-box protein At1g30925;Putative F-box protein At1g30930;Putative F-box protein At1g31090;Putative F-box protein At1g33010;Putative F-box protein At1g33020;Putative F-box protein At5g38810;Putative F-box protein At5g42430
XP_023644422.1	135	AT1G56270.1	AT1G56270.1	other	GO:0003674;GO:0005739;GO:0016020	RPB1a
XP_023644423.1	443					
XP_023644425.1	151	AT5G48050.1	AT5G48050.1	other	GO:0003674;GO:0005575;GO:0008150	Copia-like polyprotein/retrotransposon (Gb|AAF63108.1)
XP_023644426.1	669	AT1G70250.1	AT1G70250.1	other	GO:0006468;GO:0005575;GO:0003674;GO:0004674;GO:0005524;GO:0016020;GO:0004672	Receptor serine/threonine kinase
XP_023644427.1	192	AT1G24590.1	AT1G24590.1	orthologue	GO:0006355;GO:0009733;GO:0005515;GO:0048825;GO:0051726;GO:0003700;GO:0005634;GO:0009880;GO:0003677;GO:0009736;GO:0009740;GO:0009873	Ethylene-responsive transcription factor ESR2 (Protein DORNROESCHEN-LIKE) (Protein DRN-LIKE) (Protein ENHANCER OF SHOOT REGENERATION 2) (Protein SUPPRESSOR OF PHYTOCHROMEB 2)
XP_023644428.1	206	AT1G34560.1	AT1G34560.1	orthologue	GO:0003674;GO:0008150;GO:0005739	Uncharacterized protein
XP_023644429.1	434	AT1G32375.1, AT5G50270.1, AT5G56325.1, AT5G56390.1	AT1G32375.1	other	GO:0005575;GO:0003674;GO:0008150;GO:0005634;;GO:0005515	F-box/RNI-like/FBD-like domains-containing protein;FBD-like domain family protein;Probable FBD-associated F-box protein At1g32375;Putative FBD-associated F-box protein At5g50270;Putative FBD-associated F-box protein At5g56390
XP_023644430.1	231	AT1G35183.2	AT1G35183.2	orthologue	GO:0004842;GO:0008150;GO:0005737;GO:0005634;GO:0008270	Zinc finger, C3HC4 type (RING finger) protein
XP_023644431.1	209	AT1G34560.1	AT1G34560.1	other	GO:0003674;GO:0008150;GO:0005739	Uncharacterized protein
XP_023644432.1	485					
XP_023644433.1	180	AT3G03776.2	AT3G03776.2	orthologue	GO:0008150;GO:0005575;GO:0046872	Hydroxyproline-rich glycoprotein family protein
XP_023644434.1	350	AT2G32470.1	AT2G32470.1	orthologue	GO:0005634;GO:0008150;GO:0003674;;GO:0005515	F-box associated ubiquitination effector family protein
XP_023644435.1	170	AT1G10000.1, AT2G06845.1, AT3G26855.1, AT3G27495.1, AT3G29791.1, AT4G09490.1, ATMG01250.1	AT2G06845.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0004523;GO:0003676;GO:0005739;GO:0009507;GO:0016740;GO:0003964	Beta-galactosidase related protein;Polynucleotidyl transferase, ribonuclease H-like superfamily protein;RNA-directed DNA polymerase (Reverse transcriptase)-related family protein;RNase H type-1 domain-containing protein;Ribonuclease H-like superfamily protein;Uncharacterized mitochondrial protein AtMg01250 (ORF102);Uncharacterized protein
XP_023644436.1	170	AT1G10000.1, AT2G06845.1, AT3G26855.1, AT3G27495.1, AT3G29791.1, AT4G09490.1, ATMG01250.1	AT2G06845.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0004523;GO:0003676;GO:0005739;GO:0009507;GO:0016740;GO:0003964	Beta-galactosidase related protein;Polynucleotidyl transferase, ribonuclease H-like superfamily protein;RNA-directed DNA polymerase (Reverse transcriptase)-related family protein;RNase H type-1 domain-containing protein;Ribonuclease H-like superfamily protein;Uncharacterized mitochondrial protein AtMg01250 (ORF102);Uncharacterized protein
XP_023644437.1	75	AT3G04545.1, AT3G04540.1, AT1G32763.1	AT1G32763.1	orthologue	GO:0005576;GO:0003674;GO:0008150;GO:0031640;GO:0050832	Defensin-like protein 43;Defensin-like protein 44;Defensin-like protein 45
XP_023644438.1	87	AT3G04545.1, AT3G04540.1, AT1G32763.1	AT1G32763.1	orthologue	GO:0005576;GO:0003674;GO:0008150;GO:0031640;GO:0050832	Defensin-like protein 43;Defensin-like protein 44;Defensin-like protein 45
XP_023644439.1	86	AT3G04545.1, AT3G04540.1, AT1G32763.1	AT1G32763.1	orthologue	GO:0005576;GO:0003674;GO:0008150;GO:0031640;GO:0050832	Defensin-like protein 43;Defensin-like protein 44;Defensin-like protein 45
XP_023644440.1	131	AT1G32310.1	AT1G32310.1	other	GO:0045732;GO:0005515;GO:0009555;GO:0046621;GO:0009556;GO:0010997;GO:0005575	Protein SAMBA
XP_023644441.1	125				GO:0008270	
XP_023644442.1	429	AT1G66910.1	AT1G66910.1	other	GO:0016310;GO:0005576;GO:0044024;GO:0030247;GO:0004674;GO:0006468;GO:0016301;GO:0005524;GO:0016020;GO:0106310;GO:0004672	LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 2.5 (EC 2.7.11.1) (Probable receptor-like serine/threonine-protein kinase LRK10L-2.5);non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_023644443.1	558					
XP_023644444.1	263	AT4G08267.1	AT4G08267.1	other	GO:0003674;GO:0005575;GO:0008150	HAT transposon superfamily protein
XP_023644445.1	250					
XP_023644446.1	345				GO:0008270	
XP_023644447.1	506	AT2G06420.1	AT2G06420.1	other	GO:0008150;GO:0003674;GO:0005739	En/Spm-like transposon, putative (DUF1985)
XP_023644448.1	423				GO:0003676;GO:0008270	
XP_023644449.1	76	AT1G36622.1, AT1G36640.1	AT1G36622.1	orthologue	GO:0033612;GO:0005576;GO:0030275;GO:0048046;GO:1903409;GO:0005886	Serine rich endogenous peptide 20 (AtSCOOP20) (Phytocytokine SCOOP20) (Precursor of serine rich endogenous peptide phytocytokine 20);Serine rich endogenous peptide 23 (AtSCOOP23) (Phytocytokine SCOOP23) (Precursor of serine rich endogenous peptide phytocytokine 23)
XP_023644450.1	110					
XP_023644451.1	736				GO:0008270	
XP_023644452.1	465	ATMG00860.1	ATMG00860.1	other	GO:0003674;GO:0005739;GO:0008150;GO:0015074;GO:0003676	Uncharacterized mitochondrial protein AtMg00860 (ORF158)
XP_023644453.1	258	AT2G13770.1	AT2G13770.1	other	GO:0008150;GO:0005575;GO:0003674	Nuclease
XP_023644454.1	567	AT3G31925.1	AT3G31925.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0003677	Replication protein A 70 kDa DNA-binding subunit B-like protein
XP_023644455.1	231					
XP_023644456.1	1105					
XP_023644457.1	438					
XP_023644458.1	310	AT3G32260.1, AT1G36510.1	AT1G36510.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0003677;GO:0006260;GO:0006281;GO:0005634;GO:0006310	Nucleic acid-binding proteins superfamily
XP_023644459.1	325	AT5G28780.1, AT3G51700.1, AT3G51690.1	AT3G51700.1	other	GO:0005634;GO:0032508;GO:0005657;GO:0006260;GO:0003677;GO:0004386;GO:0005737;GO:0000723;GO:0003678;GO:0006281	PIF1 helicase
XP_023644460.1	427					
XP_023644461.1	793	AT1G04140.2	AT1G04140.2	orthologue	GO:0043231;GO:1990756;GO:0005634;GO:0000045;GO:0000423;GO:0003674;GO:0080008;GO:0005515	Transducin family protein / WD-40 repeat family protein
XP_023644462.1	360	AT1G04130.1	AT1G04130.1	orthologue	GO:0006457;GO:0030544;GO:0005634;GO:0051879;GO:0005737;GO:0005515;GO:0005829	At1g04130/F20D22_10 (Tetratricopeptide repeat (TPR)-like superfamily protein);Tetratricopeptide repeat (TPR)-like superfamily protein
XP_023644463.1	196					
XP_023644464.1	317					
XP_023644465.1	560					
XP_023644466.1	476					
XP_023644467.1	606				GO:0008270	
XP_023644468.1	361					
XP_023644469.1	184	AT1G43145.1	AT1G43145.1	orthologue	GO:0008150;GO:0003674;GO:0005575	Uncharacterized protein
XP_023644470.1	396				GO:0008270;GO:0003677;GO:0004803;GO:0006313	
XP_023644471.1	111	AT5G15690.1, AT4G04775.1	AT4G04775.1	orthologue	GO:0008270;GO:0005575;GO:0008150	Uncharacterized protein At4g04775;Zinc ion binding protein
XP_023644472.1	818				GO:0006508;GO:0008234	
XP_023644473.1	205	AT3G06280.1	AT3G06280.1	orthologue	GO:0005739;GO:0003674;GO:0008150	F-box associated ubiquitination effector family protein (F28L1.22 protein)
XP_023644474.1	567	AT2G29830.1, AT2G29820.1, AT2G29860.1	AT2G29830.1	orthologue	GO:0003674;GO:0005737;GO:0008150;GO:0005634;;GO:0005515	F-box/kelch-repeat protein At2g29830;Putative F-box/kelch-repeat protein At2g29820;Putative F-box/kelch-repeat protein At2g29860
XP_023644475.1	429	AT5G28780.1, AT3G51700.1, AT3G51690.1	AT3G51700.1	other	GO:0005634;GO:0032508;GO:0005657;GO:0006260;GO:0003677;GO:0004386;GO:0005737;GO:0000723;GO:0003678;GO:0006281	PIF1 helicase
XP_023644476.1	967				GO:0008270;GO:0003676	
XP_023644477.1	344					
XP_023644478.1	501					
XP_023644479.1	161	AT1G52603.1	AT1G52603.1	orthologue	GO:0008150;GO:0009507;GO:0008270	GRF zinc finger protein
XP_023644480.1	367	AT4G07666.1	AT4G07666.1	orthologue	GO:0003674;GO:0005634;GO:0008150	Uncharacterized protein
XP_023644481.1	731				GO:0003677;GO:0046983	
XP_023644482.1	585	AT5G67440.1	AT5G67440.1	orthologue	GO:0016567;GO:0071365;GO:0005634;GO:0071944;GO:0009911;GO:0009958;GO:0009908;GO:0003674;GO:0005886;GO:1901703;GO:2000012;GO:0005829;GO:0005515	Phototropic-responsive NPH3 family protein;Phototropic-responsive NPH3 family protein NPY3 (MAB4/ENP/NPY1-like proten 1) (MAB4/ENP/NPY1-like proten 2) (Protein NAKED PINS IN YUC MUTANTS 3)
XP_023644483.1	1383	AT2G22440.1	AT2G22440.1	other	GO:0005575;GO:0008150;GO:0003674;GO:0003964;GO:0003677;GO:0003676;GO:0004523;GO:0046983	Non-LTR retroelement reverse transcriptase
XP_023644484.1	336	AT1G42980.1	AT1G42980.1	orthologue	GO:0005575;GO:0003779;GO:0008150	Formin-like protein 12 (AtFH12)
XP_023644485.1	245	AT1G43000.2	AT1G43000.2	orthologue	GO:0005634;GO:0003674	PLATZ transcription factor family protein
XP_023644486.1	403					
XP_023644487.1	171	AT1G43160.1	AT1G43160.1	orthologue	GO:0009737;GO:0009651;GO:0009753;GO:0009611;GO:0045893;GO:0006355;GO:0034605;GO:0003700;GO:0003677;GO:0006970;GO:0005634;GO:0009409;GO:0009658;GO:0009414;GO:0009751;GO:0006952;GO:0009873	Ethylene-responsive transcription factor RAP2-6 (Protein RELATED TO APETALA2 6)
XP_023644488.1	521				GO:0003677;GO:0005634;GO:0003676	
XP_023644489.1	51	AT1G05136.1	AT1G05136.1	orthologue	GO:0005575;GO:0003674;GO:0008150	Uncharacterized protein
XP_023644490.1	457	AT2G22440.1	AT2G22440.1	other	GO:0005575;GO:0008150;GO:0003674;GO:0003964;GO:0003676;GO:0004523	Non-LTR retroelement reverse transcriptase
XP_023644491.1	488				GO:0003723;GO:0006396;GO:0000381;GO:0005686;GO:0045292;GO:0071004;GO:0071013	
XP_023644492.1	185	AT1G44010.1	AT1G44010.1	orthologue	GO:0008150;GO:0005634;GO:0003674;GO:0016020	F9C16.22 (Transmembrane protein)
XP_023644493.1	233	AT1G27870.1, AT1G77815.1	AT1G27870.1	orthologue	GO:0003676;GO:0004523;GO:0008150;GO:0005739;GO:0005575;GO:0016740	Polynucleotidyl transferase, ribonuclease H-like superfamily protein;Ribonuclease H superfamily polynucleotidyl transferase
XP_023644494.1	377	AT1G44080.1	AT1G44080.1	orthologue	GO:0008150;GO:0005634;GO:0003674	Probable F-box protein At1g44080
XP_023644495.1	365	AT1G44080.1	AT1G44080.1	orthologue	GO:0008150;GO:0005634;GO:0003674	Probable F-box protein At1g44080
XP_023644496.1	511					
XP_023644497.1	872				GO:0006508;GO:0008234	
XP_023644498.1	149	AT5G28950.1	AT5G28950.1	other	GO:0005634;GO:0003674;GO:0008150;GO:0004518;GO:0016787;GO:0046872	Nuclease
XP_023644499.1	444	AT1G49610.1, AT3G03360.1, AT3G18150.1	AT3G18150.1	other	GO:0003674;GO:0008150;GO:0005634;GO:0005737;GO:0005739;GO:0005515	F-box/LRR-repeat protein At3g03360;F-box/RNI-like superfamily protein;Putative F-box protein At1g49610;Putative F-box/LRR-repeat protein At3g18150
XP_023644500.1	433	AT2G06420.1	AT2G06420.1	orthologue	GO:0008150;GO:0003674;GO:0005739	En/Spm-like transposon, putative (DUF1985)
XP_023644501.1	243	AT5G06500.1	AT5G06500.1	orthologue	GO:0045944;GO:0000978;GO:0006355;GO:0046983;GO:0000981;GO:0003700;GO:0000987;GO:0006357;GO:0005634;GO:0003677	AGAMOUS-like 96 (MADS-box family protein) (Similarity to MADS-box transcription factor)
XP_023644502.1	403	AT1G46984.1, AT1G46840.1, AT1G46912.1	AT1G46984.1	other	GO:0003674;GO:0008150;GO:0005739;GO:0005634;;GO:0005515	F-box associated ubiquitination effector family protein;Putative F-box protein At1g46840;Putative F-box protein At1g46984
XP_023644503.1	516	AT1G46840.1	AT1G46840.1	orthologue	GO:0005634;GO:0003674;GO:0008150;;GO:0005515	Putative F-box protein At1g46840
XP_023644504.1	158				GO:0005515;GO:0003908;GO:0006281	
XP_023644505.1	205	AT1G46912.1	AT1G46912.1	orthologue	GO:0008150;GO:0005634;GO:0003674;;GO:0005515	F-box associated ubiquitination effector family protein
