Arabidopsis_lyrata_Rawat	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
AL7G20170	409	AT4G31810.1	AT4G31810.1	orthologue	GO:0005739;GO:0003860;GO:0006574;GO:0005840;GO:1990904	Small ribosomal subunit protein mS47 (3-hydroxyisobutyryl-CoA hydrolase-like protein 2, mitochondrial) (EC 3.1.2.-)
AL7G20180	55					
AL7G20200	336	AT4G31805.1	AT4G31805.1	orthologue	GO:0005634;GO:0005515;GO:0010052;GO:0008356;GO:0005737;GO:0071944;GO:0060090;GO:0005938	Protein POLAR LOCALIZATION DURING ASYMMETRIC DIVISION AND REDISTRIBUTION
AL7G20210	299	AT4G31800.1	AT4G31800.1	orthologue	GO:0050691;GO:0003700;GO:0050832;GO:0005634;GO:0009751;GO:0005515;GO:0005737;GO:0042802;GO:0042742;GO:0006355;GO:0031347;GO:0002237;GO:0043565	WRKY DNA-binding protein 18;WRKY transcription factor 18 (WRKY DNA-binding protein 18) (AtWRKY18)
AL7G20220	277	AT4G31790.1	AT4G31790.1	orthologue	GO:0004164;GO:0141133;GO:0017183;GO:0005737;GO:0032259;GO:0008168	Probable diphthine methyl ester synthase (EC 2.1.1.314) (Diphthamide biosynthesis methyltransferase)
AL7G20230	533	AT4G31780.3	AT4G31780.3	orthologue	GO:0009536;GO:0009941;GO:0010027;GO:0009793;GO:0009247;GO:0035250;GO:0009507;GO:0019375;GO:0046509;GO:0005886;GO:0009706;GO:0016757;GO:0008194;GO:0031969;GO:0016758	Monogalactosyldiacylglycerol synthase 1, chloroplastic (AtMGD1) (EC 2.4.1.46) (MGDG synthase type A) (Protein EMBRYO DEFECTIVE 2797);monogalactosyldiacylglycerol synthase (EC 2.4.1.46)
AL7G20240	418	AT4G31770.1	AT4G31770.1	orthologue	GO:0000398;GO:0008419;GO:0009793;GO:0005634;GO:0006397;GO:0046872;GO:0016788;GO:0016787	Debranching enzyme 1;Lariat debranching enzyme (AtDBR1) (EC 3.1.4.-)
AL7G20250	326	AT4G31760.1	AT4G31760.1	orthologue	GO:0006979;GO:0006950;GO:0140825;GO:0009505;GO:0004601;GO:0005576;GO:0020037;GO:0042744;GO:0046872	Peroxidase 46 (Atperox P46) (EC 1.11.1.7) (ATP48)
AL7G20260	311	AT4G31750.1	AT4G31750.1	orthologue	GO:0005886;GO:1902531;GO:0006470;GO:0004722;GO:0017018;GO:0005515;GO:0042742;GO:0046872;GO:0043169	Probable protein phosphatase 2C 59 (AtPP2C59) (EC 3.1.3.16) (HopW1-1-interacting protein 2) (Protein phosphatase 2C WIN2) (PP2C WIN2);protein-serine/threonine phosphatase (EC 3.1.3.16)
AL7G20270	606	AT2G17980.1	AT2G17980.1	other	GO:0006890;GO:0016192;GO:0000139;GO:0006886;GO:0019905;GO:0006888;GO:0005739;GO:0015031	SEC1 family transport protein SLY1 (AtSLY1)
AL7G20280	182	AT2G24765.1	AT2G24765.1	other	GO:0005886;GO:0005515;GO:0006886;GO:0006499;GO:0005525;GO:0005794;GO:0005737;GO:0003924;GO:0005795;GO:0016192;GO:0015031	ADP-ribosylation factor 3 (AtARF3) (Protein ARF-LIKE 1) (AtARL1)
AL7G20290	157	AT4G31730.1	AT4G31730.1	orthologue	GO:0010585;GO:0080143;GO:0005634;GO:0016020;GO:0005515;GO:0005886;GO:0006521	Protein GLUTAMINE DUMPER 1
AL7G20300	76					
AL7G20310	134	AT4G31720.1	AT4G31720.1	orthologue	GO:0006367;GO:0006352;GO:0005669;GO:1990841;GO:0005515;GO:0005634;GO:0000124;GO:0016251	Transcription initiation factor TFIID subunit 10 (Protein SALT TOLERANCE DURING GERMINATION 1) (TBP-associated factor 10) (AtTAF10) (TBP-associated factor II 15)
AL7G20320	394	AT4G31660.1	AT4G31660.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0003677	B3 domain-containing protein REM7 (Auxin response factor 25) (Protein REPRODUCTIVE MERISTEM 7)
AL7G20340	863	AT5G27100.1	AT5G27100.1	orthologue	GO:0006874;GO:0005886;GO:0015276;GO:0005262;GO:0005515;GO:0008066;GO:0006816;GO:0019722;GO:0071230;GO:0009416;GO:0038023;GO:0005217;GO:0016020	Glutamate receptor 2.1 (Ligand-gated ion channel 2.1) (AtGLR3)
AL7G20350	339	AT5G37170.1	AT5G37170.1	orthologue	GO:0008171;GO:0032259;GO:0009058;GO:0005634;GO:0046983;GO:0008757;GO:0005829;GO:0008168	O-methyltransferase family protein
AL7G20370	609	AT4G31680.1	AT4G31680.1	orthologue	GO:0003674;GO:0005634;GO:0009507;GO:0008150;GO:0003677;GO:0003676;GO:0000166	B3 domain-containing protein REM8 (Auxin response factor 24) (Protein REPRODUCTIVE MERISTEM 8);Transcriptional factor B3 family protein
AL7G20380	618	AT4G31670.1	AT4G31670.1	orthologue	GO:0031647;GO:0004843;GO:0005829;GO:0005634;GO:0006508;GO:0008270;GO:0016020;GO:0016579	Ubiquitin carboxyl-terminal hydrolase 18 (EC 3.4.19.12) (Deubiquitinating enzyme 18) (AtUBP18) (Ubiquitin thioesterase 18) (Ubiquitin-specific-processing protease 18)
AL7G20420	449	AT4G31880.1	AT4G31880.1	other	GO:0007064;GO:0009556;GO:0006281;GO:0005634;GO:0043565;GO:0035825;GO:0006310;GO:0000785;GO:0005515;GO:0005874;GO:0010468;GO:0051301	Sister chromatid cohesion protein PDS5 homolog C (Precocious dissociation of sisters protein 5-C) (AtPDS5C);Transcriptional regulator
AL7G20430	479	AT4G31610.2	AT4G31610.2	orthologue	GO:0005634;GO:0005515;GO:0009561;GO:0009908;GO:0009555;GO:0003677	B3 domain-containing protein REM1 (Protein REPRODUCTIVE MERISTEM 1);B3 domain-containing protein REM1 (Protein REPRODUCTIVE MERISTEM 1) (AtREM1)
AL7G20440	323	AT4G31600.1	AT4G31600.1	orthologue	GO:0015297;GO:0080147;GO:0005459;GO:0005886;GO:0048527;GO:0072334;GO:0005460;GO:0005794;GO:0015786;GO:0055085;GO:0000139;GO:0016020	UDP-N-acetylglucosamine (UAA) transporter family;UDP-galactose/UDP-glucose transporter 7 (AtUTr7)
AL7G20450	692	AT4G31590.1	AT4G31590.1	orthologue	GO:0071555;GO:0016757;GO:0042803;GO:0016759;GO:0048868;GO:0005794;GO:0099402;GO:0000139	Probable xyloglucan glycosyltransferase 5 (EC 2.4.1.-) (Cellulose synthase-like protein C5) (AtCslC5)
AL7G20460	202	AT4G31580.1	AT4G31580.1	other	GO:0045292;GO:0000398;GO:0008380;GO:0016607;GO:0008270;GO:0005515;GO:0003729;GO:0003723;GO:0005634;GO:0005886;GO:0005730;GO:0005681;GO:0005737;GO:0003676	Serine/arginine-rich splicing factor RSZ22 (RS-containing zinc finger protein 22) (At-RSZ22) (At-RSZp22) (AtRSZ22)
AL7G20470	1487	AT4G31570.1	AT4G31570.1	other	GO:0005737;GO:0009506;GO:0005634;GO:0003674;GO:0016020	Nucleoporin
AL7G20480	335	AT4G31550.1	AT4G31550.1	orthologue	GO:2000022;GO:0000976;GO:0005634;GO:0003700;GO:0006355;GO:0009682;GO:0043565;GO:0042742;GO:0009617;GO:0005516	Probable WRKY transcription factor 11 (WRKY DNA-binding protein 11);WRKY DNA-binding protein 11
AL7G20490	60					
AL7G20500	686	AT4G31540.1	AT4G31540.1	orthologue	GO:0000145;GO:0006887;GO:0005737;GO:0005546;GO:0005829;GO:0015031	Exocyst subunit Exo70 family protein
AL7G20510	324	AT4G31530.2	AT4G31530.2	orthologue	GO:0016616;GO:0005515;GO:0098572;GO:0009507;GO:0009570;GO:0009941;GO:0010196	At4g31530 (NAD(P)-binding Rossmann-fold superfamily protein);NAD(P)-binding Rossmann-fold superfamily protein
AL7G20520	905	AT4G31520.1	AT4G31520.1	orthologue	GO:0000055;GO:0005730;GO:0005634;GO:0042273;GO:0003674;GO:0015031	Protein SDA1
AL7G20530	285	AT3G58270.1	AT3G58270.1	other	GO:0005634;GO:0003674;GO:0008150;;GO:0005515	MATH domain and coiled-coil domain-containing protein At3g58270 (RTM3-like protein At3g58270)
AL7G20540	144	AT1G13110.1	AT1G13110.1	other	GO:0016705;GO:0009507;GO:0005506;GO:0020037;GO:0004497;GO:0016020	Cytochrome P450 71B7 (EC 1.14.-.-)
AL7G20550	202	AT4G31510.1	AT4G31510.1	orthologue	GO:0045893;GO:0010043;GO:0005634;GO:0003674;GO:0006979;GO:0046686	Protein OXIDATIVE STRESS 3 LIKE 5 (AtO3L5) (KID-containing protein-like 1) (AtKCL1)
AL7G20560	499	AT4G31500.1	AT4G31500.1	orthologue	GO:0005886;GO:0042742;GO:0048830;GO:0009641;GO:0052544;GO:0009759;GO:0005739;GO:0016709;GO:0009507;GO:0050832;GO:0009682;GO:0010114;GO:0005783;GO:0020037;GO:0009625;GO:0000162;GO:0005506;GO:0009684;GO:0004497;GO:0016705	Cytochrome P450 83B1 (EC 1.14.14.45) (Protein ALTERED TRYPTOPHAN REGULATION 4) (Protein RED ELONGATED 1) (Protein SUPERROOT 2)
AL7G20570	265				GO:0005737;GO:0006886;GO:0006888;GO:0006891;GO:0030126;GO:0005198;GO:0016192	
AL7G20580	540	AT4G31490.1, AT4G31480.3	AT4G31490.1	other	GO:0030126;GO:0006891;GO:0006888;GO:0005198;GO:0006886;GO:0005886;GO:0009507;GO:0009506;GO:0000139;GO:0016192;GO:0030117;GO:0005737	Coatomer subunit beta (Beta-coat protein);Coatomer subunit beta-1 (Beta-coat protein 1) (Beta-COP 1);Coatomer subunit beta-2 (Beta-coat protein 2) (Beta-COP 2)
AL7G20590	186	AT4G31470.1	AT4G31470.1	orthologue	GO:0005576;GO:0008150;GO:0005615;GO:0003674	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein (Pathogenesis-related protein homolog)
AL7G20600	212	AT4G31460.1	AT4G31460.1	orthologue	GO:0003729;GO:0005739;GO:0003735;GO:0005840;GO:1990904;GO:0005762	Large ribosomal subunit protein bL28m
AL7G20610	499	AT4G31450.1	AT4G31450.1	orthologue	GO:0061630;GO:0005634;GO:0008150;GO:0008270	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
AL7G20620	394	AT4G31440.1	AT4G31440.1	orthologue	GO:0003713;GO:0070461;GO:0006357;GO:0000124;GO:0005634	Transcriptional regulator of RNA polII, SAGA, subunit
AL7G20630	574	AT4G31430.2	AT4G31430.2	orthologue	GO:0005515;GO:0005802;GO:0071763;GO:0005635;GO:0005768;GO:0005634;GO:0005886;GO:0005794;GO:0005637	Protein KAKU4
AL7G20640	404	AT4G31420.2	AT4G31420.2	orthologue	GO:0006355;GO:0000976;GO:0005515;GO:0030687;GO:0005886;GO:0042273;GO:0009631;GO:0090070;GO:0005634;GO:0005829;GO:0003700;GO:0008270;GO:0003676;GO:0005737	Cytoplasmic 60S subunit biogenesis factor REI1 homolog 1 (Protein REI1-LIKE 1) (pre-60S factor REI1 homolog 1);Zinc finger protein 622
AL7G20650	307	AT4G31410.1	AT4G31410.1	orthologue	GO:0003674;GO:0005634;GO:0003700	AT4G31410 protein (AT4g31410/F8F16_230) (E3 ubiquitin-protein ligase, putative (DUF1644))
AL7G20660	294	AT4G31400.1	AT4G31400.1	orthologue	GO:0000070;GO:0048653;GO:0006281;GO:0080186;GO:0051177;GO:0000785;GO:0007064;GO:0061733;GO:0034089;GO:0045132;GO:0007062;GO:0048364;GO:0000724;GO:0016407;GO:0009793;GO:0048609;GO:0005634;GO:0060772;GO:0009553;GO:0005737;GO:0008270;GO:0051301;GO:0016746	Protein CHROMOSOME TRANSMISSION FIDELITY 7 (EC 2.3.1.-) (Cohesion establishment factor CTF7) (Protein ESTABLISHMENT OF COHESION 1);Protein CTF7
AL7G20670	682	AT4G31390.1	AT4G31390.1	orthologue	GO:0031540;GO:1904143;GO:0004672;GO:0005886;GO:0010027;GO:0010109;GO:0009414;GO:1902171;GO:1902326;GO:0080183;GO:0010114;GO:0009767;GO:0004674;GO:0005524;GO:0009507;GO:0015996;GO:0080177;GO:0009637;GO:0006995;GO:0010287;GO:0005515;GO:1901562;GO:0106310;GO:0006468	Protein ACTIVITY OF BC1 COMPLEX KINASE 1, chloroplastic (ABC1-LIKE KINASE 1) (EC 2.7.-.-) (EC 2.7.11.1) (Protein ABC1-LIKE KINASE RELATED TO CHLOROPHYLL DEGRADATION AND OXIDATIVE STRESS 1) (AtACDO1) (Protein BLEACHING AND DWARF IN RED LIGHT 1) (Protein PROTON GRADIENT REGULATION 6);Protein kinase superfamily protein
AL7G20680	66	AT5G44566.1	AT5G44566.1	orthologue	GO:0003674;GO:0005739;GO:0008150	Uncharacterized protein
AL7G20690	124	AT4G31380.1	AT4G31380.1	orthologue	GO:0010018;GO:0005634;GO:0010228;GO:0003674;GO:0048512;GO:0009909	Flowering-promoting factor 1-like protein 1 (FPF1-like protein 1)
AL7G20700	289	AT4G31370.1	AT4G31370.1	orthologue	GO:0003674;GO:0016020;GO:0008150;GO:0009507;GO:0005886;GO:0098552	Fasciclin-like arabinogalactan protein 5
AL7G20710	179	AT4G31360.1	AT4G31360.1	orthologue	GO:0003674;GO:0005794;GO:0005634	Selenium binding protein
AL7G20720	376	AT4G31350.1	AT4G31350.1	orthologue	GO:0005739;GO:0005797;GO:0016757;GO:0016020	At4g31350 (Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein) (Glycosyltransferase);Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein
AL7G20730	290	AT5G01560.1	AT5G01560.1	other	GO:0042742;GO:0002229;GO:0005886;GO:0016301;GO:0004675;GO:0004674;GO:0009738;GO:0009845;GO:0005524;GO:0030246;GO:0106310	Lectin-domain containing receptor kinase VI.4 (LecRK-VI.4) (EC 2.7.11.1) (Lectin receptor kinase A4.3)
AL7G20740	437	AT4G31340.1	AT4G31340.1	orthologue	GO:0009507;GO:0005783;GO:0000325;GO:0005886;GO:0003729;GO:0005794	AT4G31340 protein (Myosin heavy chain-like protein);Myosin heavy chain-like protein
AL7G20750	239	AT4G31330.1	AT4G31330.1	orthologue	GO:0003674;GO:0005739;GO:0016020	Uncharacterized protein At4g31330
AL7G20760	189	AT4G31320.1	AT4G31320.1	orthologue	GO:0009733;GO:0003674;GO:0005634	Auxin induced like-protein (SAUR-like auxin-responsive protein family)
AL7G20770	172	AT4G31310.2	AT4G31310.2	orthologue	GO:0005575;GO:0003674;GO:0016746	AIG2-like protein C (EC 2.3.2.-) (Avirulence-induced gene 2-like protein C) (Putative gamma-glutamylcyclotransferase);Putative gamma-glutamylcyclotransferase
AL7G20780	233	AT4G31300.2	AT4G31300.2	orthologue	GO:0010363;GO:0005839;GO:0008233;GO:0006511;GO:0004298;GO:0051603;GO:0010043;GO:0005773;GO:0043161;GO:0005886;GO:0000325;GO:0004175;GO:0005515;GO:0005829;GO:0005634;GO:0019774;GO:0000502;GO:0005737	Proteasome subunit beta;Proteasome subunit beta type-6 (EC 3.4.25.1) (20S proteasome beta subunit A-1) (Proteasome component D) (Proteasome subunit beta type-1)
AL7G20790	227	AT4G31290.1	AT4G31290.1	orthologue	GO:0005737;GO:0006751;GO:0061928;GO:0003839;GO:0005634	Gamma-glutamylcyclotransferase 2-2 (AtGGCT2;2) (EC 4.3.2.7) (EC 4.3.2.9) (Gamma-glutamyl cyclotransferase 2;2)
AL7G20800	297	AT4G31270.1	AT4G31270.1	orthologue	GO:0005515;GO:0005634;GO:0003677;GO:0000123;GO:0003700;GO:0006355;GO:0009506	At4g31270 (Sequence-specific DNA binding transcription factor)
AL7G20820	188				GO:0003700;GO:0006355;GO:0043565;GO:0000978;GO:0005634;GO:0006357;GO:0034605	
AL7G20860	765	AT4G31230.1	AT4G31230.1	orthologue	GO:0010053;GO:0005634;GO:0005524;GO:0004672;GO:0003729;GO:0016787;GO:0006468	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
AL7G20870	1294	AT4G31210.1	AT4G31210.1	orthologue	GO:0003917;GO:0006265;GO:0009507;GO:0003729;GO:0003677;GO:0007059;GO:0046872;GO:0003916	DNA topoisomerase (EC 5.6.2.1)
AL7G20880	645	AT4G31200.1	AT4G31200.1	orthologue	GO:0005515;GO:0005737;GO:0003723;GO:0006874;GO:0048471;GO:0006396;GO:0005634;GO:0006397;GO:0008380;GO:0010017;GO:0010099;GO:0010114;GO:0016607;GO:0043484	SUPPRESSOR-OF-WHITE-APRICOT/SURP RNA-binding domain containing protein 1 (SWAP/SURP RNA-binding domain-containing protein 1)
AL7G20890	557	AT4G31180.1	AT4G31180.1	orthologue	GO:0006422;GO:0005829;GO:0050832;GO:0004815;GO:0005886;GO:0005783;GO:0003723;GO:0017101;GO:0003677;GO:0005524;GO:0046872;GO:0000166;GO:0004812;GO:0006418;GO:0005737;GO:0003676	Aspartate--tRNA ligase 2, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS) (Protein IMPAIRED IN BABA-INDUCED DISEASE IMMUNITY 1)
AL7G20900	412	AT4G31170.1	AT4G31170.1	orthologue	GO:0004672;GO:0005737;GO:0005634;GO:0005524;GO:0010053;GO:0004712;GO:0007165;GO:0004674;GO:0006468	non-specific serine/threonine protein kinase (EC 2.7.11.1)
AL7G20910	1909	AT4G31160.1	AT4G31160.1	orthologue	GO:0005515;GO:0005634;GO:0048366;GO:0048367;GO:0048827;GO:0010154;GO:0080008;GO:0009793;GO:0009908;GO:0005737;GO:0016567	DDB1- and CUL4-associated factor homolog 1 (Protein DDB1-CUL4 ASSOCIATED FACTOR 1) (Protein DCAF1)
AL7G20920	290	AT4G31150.1	AT4G31150.1	orthologue	GO:0005737;GO:0005730;GO:0003727;GO:0006281;GO:0016891;GO:0004519;GO:0016787	At4g31150 (Endonuclease V family protein);Endonuclease V family protein
AL7G20930	484	AT4G31140.1	AT4G31140.1	orthologue	GO:0016020;GO:0005886;GO:0005773;GO:0005975;GO:0042973;GO:0009506;GO:0006952;GO:0098552;GO:0004553	Glucan endo-1,3-beta-glucosidase 5 (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase 5) ((1->3)-beta-glucanase 5) (Beta-1,3-endoglucanase 5) (Beta-1,3-glucanase 5)
AL7G20940	195	AT4G31130.1	AT4G31130.1	orthologue	GO:0003674;GO:0005576;GO:0005886;GO:0012505	At4g31130 (Keratin-associated protein (DUF1218))
AL7G20950	642	AT4G31120.1	AT4G31120.1	orthologue	GO:0035242;GO:0008469;GO:0005737;GO:0009909;GO:0008276;GO:0005634;GO:0006355;GO:0016274;GO:0010220;GO:0005829;GO:0006325;GO:0032259;GO:0018216;GO:0006479;GO:0008168;GO:0035246	Protein arginine N-methyltransferase 1.5 (AtPMRT15) (AtPMRT5) (EC 2.1.1.319) (Shk1 kinase-binding protein 1 homolog)
AL7G20960	245	AT4G31115.2	AT4G31115.2	orthologue	GO:0005634;GO:0008150;GO:0003674	AT4g31110/F6E21_30 (DUF1997 family protein, putative (DUF1997));DUF1997 family protein, putative (DUF1997)
AL7G20970	797	AT4G31110.1	AT4G31110.1	orthologue	GO:0005509;GO:0005576;GO:0016301;GO:0030247;GO:0007166;GO:0005886;GO:0005634;GO:0006952;GO:0004674;GO:0005524;GO:0016020;GO:0106310;GO:0004672;GO:0006468	Wall-associated receptor kinase-like (EC 2.7.11.-);Wall-associated receptor kinase-like 18 (EC 2.7.11.-)
AL7G20980	407	AT4G31080.2	AT4G31080.2	orthologue	GO:0005783;GO:0071782;GO:0061630;GO:0005515;GO:0005634;GO:0071784;GO:0071786;GO:0016020	At4g31080 (Integral membrane metal-binding family protein (DUF2296));Integral membrane metal-binding family protein (DUF2296)
AL7G21000	598	AT4G31070.1	AT4G31070.1	orthologue	GO:0009451;GO:0005739;GO:0003723;GO:0043231;GO:0005515	Pentatricopeptide repeat-containing protein At4g31070, mitochondrial
AL7G21010	187	AT4G31060.1	AT4G31060.1	orthologue	GO:0006355;GO:0000976;GO:0003700;GO:0005634;GO:0003677	Ethylene-responsive transcription factor ERF015
AL7G21020	288	AT4G31050.1	AT4G31050.1	orthologue	GO:0033819;GO:0005515;GO:0005739;GO:0005737;GO:0009507;GO:0036211;GO:0009249	Octanoyltransferase LIP2p, chloroplastic (EC 2.3.1.181) (Lipoate-protein ligase 2p) (Lipoyl-[acyl-carrier-protein]-protein-N-lipoyltransferase 2p) (Plastidial lipoyltransferase 2)
AL7G21030	439	AT4G31040.1	AT4G31040.1	orthologue	GO:0071805;GO:1902600;GO:0031969;GO:0009941;GO:0010196;GO:0015386;GO:0051453;GO:0009507;GO:0016020	Protein DAY-LENGTH-DEPENDENT DELAYED-GREENING 1, chloroplastic (Potassium/proton antiporter DLDG1)
AL7G21040	294	AT4G31020.1	AT4G31020.1	orthologue	GO:0008474;GO:0005576;GO:0008150	Alpha/beta-Hydrolases superfamily protein
AL7G21050	408	AT4G31010.2	AT4G31010.2	orthologue	GO:0000373;GO:0009793;GO:0032981;GO:0005739;GO:0033617;GO:0003674;GO:0003723;GO:0006397;GO:1990904	CRS2-associated factor 1, mitochondrial;RNA-binding CRS1 / YhbY (CRM) domain-containing protein
AL7G21060	556	AT4G31000.1	AT4G31000.1	orthologue	GO:0005634;GO:0080142;GO:0003700;GO:0043565;GO:0005516;GO:0003677	Calmodulin-binding protein;Calmodulin-binding protein 60 F
AL7G21070	696	AT2G24280.1	AT2G24280.1	other	GO:0008239;GO:0070008;GO:0005773;GO:0005576;GO:0009507;GO:0006508	Alpha/beta-Hydrolases superfamily protein;Alpha/beta-Hydrolases superfamily protein (At2g24280/F27D4.19)
AL7G21080	286	AT4G30993.2	AT4G30993.2	orthologue	GO:0008150;GO:0009507;GO:0003674	At4g30993 (Calcineurin-like metallo-phosphoesterase superfamily protein);Calcineurin-like metallo-phosphoesterase superfamily protein
AL7G21090	2611	AT4G30990.3	AT4G30990.3	orthologue	GO:0005794;GO:0005634;GO:0030686;GO:0003674;GO:0005730;GO:0032040	ARM repeat superfamily protein
AL7G21100	308	AT4G30980.2	AT4G30980.2	orthologue	GO:0006357;GO:0006355;GO:0055046;GO:0003700;GO:0048767;GO:0048765;GO:0048235;GO:0080147;GO:0005634;GO:0000981;GO:0046983;GO:0000978;GO:0003677	LJRHL1-like 2;Transcription factor LRL2 (Basic helix-loop-helix protein 69) (AtbHLH69) (bHLH 69) (Protein DEFECTIVE REGION OF POLLEN 2) (Protein LJRHL1- LIKE 2) (AtLRL2) (Transcription factor EN 94) (Transcription factor bHLH69) (bHLH transcription factor bHLH069)
AL7G21120	443	AT4G30960.1	AT4G30960.1	orthologue	GO:0004674;GO:0009414;GO:0042538;GO:0005515;GO:0009651;GO:0007275;GO:0010540;GO:0005634;GO:0051592;GO:0007165;GO:0005524;GO:0005783;GO:0106310;GO:0006468;GO:0004672	CBL-interacting serine/threonine-protein kinase 6 (EC 2.7.11.1) (SNF1-related kinase 3.14) (SOS2-like protein kinase PKS4) (SOS3-interacting protein 3)
AL7G21130	447	AT4G30950.1	AT4G30950.1	orthologue	GO:0006633;GO:0102850;GO:0010205;GO:0009507;GO:0009941;GO:0006636;GO:0045485;GO:0005886;GO:0009706;GO:0019904;GO:0016491;GO:0006629	Omega-6 fatty acid desaturase, chloroplastic (EC 1.14.19.23)
AL7G21140	441	AT4G30940.1	AT4G30940.1	orthologue	GO:0051260;GO:0016567;GO:0005634;GO:0003674;GO:0005515	BTB/POZ domain-containing protein At4g30940
AL7G21150	469	AT4G30935.1	AT4G30935.1	orthologue	GO:0003700;GO:0006355;GO:0005634;GO:0043565;GO:0005515;GO:0046872	Probable WRKY transcription factor 32 (WRKY DNA-binding protein 32)
AL7G21160	272	AT4G30930.1	AT4G30930.1	orthologue	GO:0010197;GO:0000976;GO:0005886;GO:0009567;GO:0009555;GO:0005739;GO:0003735;GO:0000741;GO:0009553;GO:0009507;GO:0006412;GO:0005840;GO:0019843;GO:1990904;GO:0003723	Large ribosomal subunit protein bL21m (50S ribosomal protein L21, mitochondrial) (Protein NUCLEAR FUSION DEFECTIVE 1)
AL7G21170	583	AT4G30920.1	AT4G30920.1	orthologue	GO:0070006;GO:0009507;GO:0008233;GO:0010150;GO:0004177;GO:0005737;GO:0009570;GO:0030145;GO:0005773;GO:0006508;GO:0005886;GO:0000287;GO:0034605;GO:0044183;GO:0046872;GO:0019538	Leucine aminopeptidase 2, chloroplastic (EC 3.4.11.1) (Leucyl aminopeptidase 2) (AtLAP2) (Proline aminopeptidase 2) (EC 3.4.11.5) (Prolyl aminopeptidase 2)
AL7G21180	582	AT4G30910.2	AT4G30910.2	orthologue	GO:0030145;GO:0016805;GO:0006508;GO:0008233;GO:0070006;GO:0005737;GO:0009507;GO:0009570;GO:0005886;GO:0000287;GO:0019538;GO:0046872	Cytosol aminopeptidase family protein;Leucine aminopeptidase 3, chloroplastic (EC 3.4.11.1) (Leucyl aminopeptidase 3) (AtLAP3) (Proline aminopeptidase 3) (EC 3.4.11.5) (Prolyl aminopeptidase 3)
AL7G21190	316	AT4G30900.1	AT4G30900.1	orthologue	GO:0005634;GO:0003824;GO:0000175	DNAse I-like superfamily protein
AL7G21200	550	AT4G30890.1	AT4G30890.1	orthologue	GO:0005634;GO:0004843;GO:0031647;GO:0005829;GO:0006508;GO:0016579	Ubiquitin carboxyl-terminal hydrolase 24 (EC 3.4.19.12) (Deubiquitinating enzyme 24) (AtUBP24) (Ubiquitin thioesterase 24) (Ubiquitin-specific-processing protease 24)
AL7G21220	109	AT4G30880.1	AT4G30880.1	orthologue	GO:0008150;GO:0005576;GO:0003674	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AL7G21230	659	AT4G30870.1	AT4G30870.1	orthologue	GO:0000712;GO:0006281;GO:0008821;GO:0000727;GO:0031573;GO:0051026;GO:0007129;GO:0006974;GO:0048257;GO:0004519;GO:0005634;GO:0000724;GO:0006308;GO:0006312;GO:0000794;GO:0000723;GO:0048476;GO:0003677;GO:0005730;GO:0046872;GO:0051301;GO:0006302	Crossover junction endonuclease MUS81 (EC 3.1.22.-) (Protein MMS AND UV SENSITIVE 81) (AtMUS81)
AL7G21250	497	AT4G30860.1	AT4G30860.1	orthologue	GO:0046975;GO:0000785;GO:0006355;GO:0005515;GO:0005634;GO:0006325;GO:0008168;GO:0008270;GO:0032259;GO:0042054	Histone-lysine N-methyltransferase ASHR3 (EC 2.1.1.-) (ASH1-related protein 3) (Protein SET DOMAIN GROUP 4) (Protein stamen loss)
AL7G21260	360	AT4G30850.1	AT4G30850.1	orthologue	GO:0038023;GO:0009725;GO:0005739;GO:0009744;GO:0016020	Heptahelical transmembrane protein 2 (PAQR family protein HHP2)
AL7G21270	116	AT4G30845.1	AT4G30845.1	orthologue	GO:0003674;GO:0005575;GO:0000428	DNA-directed RNA polymerase subunit beta
AL7G21280	360	AT4G30840.1	AT4G30840.1	orthologue	GO:0005634;GO:0031080;GO:0005635;GO:0005515;GO:0005643;GO:0015031;GO:0051028	Nuclear pore complex protein NUP43 (Nucleoporin 43)
AL7G21290	367	AT4G30830.1	AT4G30830.1	orthologue	GO:0003674;GO:0005634;GO:0016020;GO:0080115	GTD-binding domain-containing protein
AL7G21300	906	AT4G30825.1	AT4G30825.1	orthologue	GO:0006357;GO:0003677;GO:0005675;GO:0009570;GO:0003729;GO:0005739;GO:0006281;GO:0005515	Pentatricopeptide repeat-containing protein At4g30825, chloroplastic
AL7G21310	136	AT4G30820.16	AT4G30820.16	orthologue	GO:0005675;GO:0006281;GO:0006357	
AL7G21320	479	AT4G30810.1	AT4G30810.1	orthologue	GO:0005576;GO:0004185;GO:0000325;GO:0006508;GO:0005773	Serine carboxypeptidase-like 29 (EC 3.4.16.-)
