Cardamine_hirsuta	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
CARHR279840	262	AT5G65840.1	AT5G65840.1	orthologue	GO:0009570;GO:0009536;GO:0009507;GO:0003674	Thioredoxin superfamily protein
CARHR279850	332	AT5G65860.1	AT5G65860.1	orthologue	GO:0005737;GO:0016274;GO:0005634;GO:0008757;GO:0032259;GO:0005515	Protein arginine N-methyltransferase 2 (Protein-arginine N5-methyltransferase) (Type IV protein arginine N-methyltransferase)
CARHR279860	188	AT3G49760.1	AT3G49760.1	other	GO:0045893;GO:0003700;GO:0006355;GO:0005634;GO:0005515;GO:0000976;GO:0046982	At3g49760 (BZIP transcription factor AtbZip5) (Basic leucine-zipper 5)
CARHR279870	78	AT5G65870.1	AT5G65870.1	orthologue	GO:0008283;GO:0031012;GO:0003674;GO:1905392;GO:0030154;GO:0005576;GO:0008083	Phytosulfokines 5 (AtPSK5) [Cleaved into: Phytosulfokine-alpha (PSK-alpha) (Phytosulfokine-a); Phytosulfokine-beta (PSK-beta) (Phytosulfokine-b)]
CARHR279880	61	AT5G65880.1	AT5G65880.1	orthologue	GO:0005575;GO:0003674	At5g65880 (Transmembrane protein)
CARHR279890	478	AT5G65890.1	AT5G65890.1	orthologue	GO:0016597;GO:0005634	ACT domain-containing protein ACR (Protein ACT DOMAIN REPEATS);ACT domain-containing protein ACR1 (Protein ACT DOMAIN REPEATS 1)
CARHR279900	594	AT5G65900.1	AT5G65900.1	orthologue	GO:0000463;GO:0005730;GO:0003724;GO:0005634;GO:0003723;GO:0005524;GO:0016887;GO:0048866;GO:0003676	DEAD-box ATP-dependent RNA helicase 27 (EC 3.6.4.13)
CARHR279910	421	AT5G65910.1	AT5G65910.1	orthologue	GO:0003674;GO:0005634	BSD domain-containing protein
CARHR279920	235	AT1G02770.1, AT1G19060.1, AT1G23950.2, AT1G23960.1, AT1G23970.2, AT1G27860.1, AT1G28500.1, AT3G19520.3	AT3G19520.3	other	GO:0003674;GO:0005575;GO:0005634;GO:0008150;GO:0005737	Putative UPF0725 protein At1g28500;UPF0725 protein At1g02770;UPF0725 protein At1g19060;UPF0725 protein At1g23950;UPF0725 protein At1g23960;UPF0725 protein At1g23970;UPF0725 protein At1g27860;UPF0725 protein At3g19520;Uncharacterized protein
CARHR279930	446	AT5G65920.1	AT5G65920.1	orthologue	GO:0061630;GO:0016567;GO:0005634;GO:0004842	U-box domain-containing protein 31 (EC 2.3.2.27) (Plant U-box protein 31) (RING-type E3 ubiquitin transferase PUB31)
CARHR279940	155	AT5G65925.1	AT5G65925.1	orthologue	GO:0005575;GO:0003674	At5g65925
CARHR279950	159	AT5G67640.1	AT5G67640.1	orthologue	GO:0003674;GO:0005634	Uncharacterized protein
CARHR279960	469	AT5G67630.1	AT5G67630.1	orthologue	GO:0006357;GO:0031011;GO:0035267;GO:0000492;GO:0009536;GO:0097255;GO:0005515;GO:0000812;GO:0005730;GO:0005634;GO:0003678;GO:0016887;GO:0006338;GO:0008094;GO:0005524;GO:0005737;GO:0006281;GO:0016787	RuvB-like helicase (EC 3.6.4.12)
CARHR279970	183	AT5G67620.1	AT5G67620.1	orthologue	GO:0009620;GO:0005737;GO:0003674;GO:0005874	At5g67620 (DUF4228 domain protein)
CARHR279980	484	AT5G67610.2	AT5G67610.2	orthologue	GO:0005515;GO:0031965;GO:0005637;GO:0005739	Emb|CAB66922.1 (Transmembrane protein (DUF2215));Transmembrane protein (DUF2215)
CARHR279990	84	AT5G67600.1	AT5G67600.1	orthologue	GO:0009554;GO:0005515;GO:0005886;GO:0042803	Protein CYSTEINE-RICH TRANSMEMBRANE MODULE 13 (AthCYSTM13) (Cysteine-rich and transmembrane domain-containing protein WIH1) (Protein WINDHOSE 1)
CARHR280000	153	AT5G67590.1	AT5G67590.1	orthologue	GO:0009631;GO:0022900;GO:0045271;GO:0008137;GO:0009536;GO:0050897;GO:0005739;GO:0006970;GO:0005743	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Protein FROSTBITE1)
CARHR280010	300	AT5G67580.1	AT5G67580.1	orthologue	GO:0005515;GO:0043047;GO:0042803;GO:0003691;GO:0005634;GO:0006334;GO:0003700;GO:0000976;GO:0000786;GO:0000785;GO:0042162;GO:0005730;GO:0003677	Telomere repeat-binding factor 2 (AtTRB2) (MYB transcription factor) (Telomere-binding protein 3) (AtTBP3)
CARHR280020	799	AT5G67570.1	AT5G67570.1	orthologue	GO:0009793;GO:0009507;GO:0009658;GO:0005515;GO:0042793	Pentatricopeptide repeat-containing protein At5g67570, chloroplastic (Protein DELAYED GREENING 1) (Protein EMBRYO DEFECTIVE 1408)
CARHR280030	184	AT5G67560.1	AT5G67560.1	orthologue	GO:0000325;GO:0003924;GO:0005525;GO:0009506;GO:0015031;GO:0005765;GO:0005819;GO:0007059;GO:0031902;GO:0051301	ADP-ribosylation factor-like protein 8b (AtARL8b) (ADP-ribosylation factor-like A1D) (AtARLA1D)
CARHR280040	510	AT5G67550.1	AT5G67550.1	orthologue	GO:0008150;GO:0005575;GO:0003674;GO:0016020	Transmembrane protein
CARHR280050	595	AT5G67530.1	AT5G67530.1	orthologue	GO:0006457;GO:0016567;GO:0061630;GO:0071013;GO:0004842;GO:0005634;GO:0003755;GO:0000413;GO:0000209	Peptidyl-prolyl cis-trans isomerase CYP65 (AtCYP65) (PPIase CYP65) (EC 2.3.2.27) (EC 5.2.1.8) (Cyclophilin-65) (Peptidyl-prolyl cis-trans isomerase-like 2) (Plant U-box protein 49) (RING-type E3 ubiquitin transferase isomerase-like 2) (Rotamase) (U-box domain-containing protein 49)
CARHR280060	471	AT5G67540.3	AT5G67540.3	orthologue	GO:0004565;GO:0010406;GO:0005794;GO:0005634;GO:0005975;GO:0016020;GO:0004553	AT5g67540/K9I9_10 (Arabinanase/levansucrase/invertase);Arabinanase/levansucrase/invertase;Arabinanase/levansucrase/invertase (Emb|CAB66926.1)
CARHR280070	280	AT5G67520.1	AT5G67520.1	orthologue	GO:0005737;GO:0009507;GO:0009536;GO:0000103;GO:0004020;GO:0048232;GO:0005829;GO:0070814;GO:0005515;GO:0005524;GO:0019344	Adenylyl-sulfate kinase (EC 2.7.1.25);Adenylyl-sulfate kinase 4, chloroplastic (EC 2.7.1.25) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase 4) (Adenosine-5'-phosphosulfate kinase 4) (APS kinase 4)
CARHR280080	146	AT5G67510.1	AT5G67510.1	orthologue	GO:0009507;GO:0022626;GO:0042273;GO:0003735;GO:0022625;GO:0003723;GO:0002181;GO:0009536;GO:0006412;GO:0005515;GO:0005840;GO:0015934	Large ribosomal subunit protein uL24y (60S ribosomal protein L26-2)
CARHR280090	301	AT5G67500.1	AT5G67500.1	orthologue	GO:0005739;GO:0009941;GO:0098656;GO:0005741;GO:0009505;GO:0009617;GO:0000325;GO:0008308;GO:0009536;GO:0015288;GO:0046930;GO:0055085	Mitochondrial outer membrane protein porin 2 (Voltage-dependent anion-selective channel protein 2) (AtVDAC2) (VDAC-2);Voltage dependent anion channel 2
CARHR280100	107	AT5G67490.1	AT5G67490.1	orthologue	GO:0005576;GO:0005739;GO:0034553;GO:0006099;GO:0003674	Succinate dehydrogenase assembly factor 4, mitochondrial
CARHR280110	383	AT5G67480.2	AT5G67480.2	orthologue	GO:0009753;GO:0042542;GO:0009733;GO:0005515;GO:0006355;GO:0000325;GO:0009739;GO:0009611;GO:0005737;GO:0009751;GO:0009651;GO:0005516;GO:0005576;GO:0016567;GO:0008270	BTB/POZ and TAZ domain-containing protein 4 (BTB and TAZ domain protein 4)
CARHR280120	914	AT5G67470.1	AT5G67470.1	orthologue	GO:0005634;GO:0005819;GO:0045010;GO:0003779;GO:0005730;GO:0051015;GO:0009524;GO:0009505;GO:0005737;GO:0016020;GO:0030036	Formin-like protein 6 (AtFH6) (AtFORMIN-6)
CARHR280130	367	AT5G67460.1	AT5G67460.1	orthologue	GO:0005576;GO:0005886;GO:0005975;GO:0042973;GO:0009506;GO:0098552	glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)
CARHR280140	249	AT5G67450.1	AT5G67450.1	orthologue	GO:0006355;GO:0003677;GO:0003700;GO:0045892;GO:0005634;GO:0042538;GO:0043565;GO:0000976;GO:0009409;GO:0001222;GO:0008270;GO:0009738	Zinc finger protein AZF1 (Zinc finger protein OZAKGYO) (Zinc-finger protein 1)
CARHR280150	581	AT5G67440.1	AT5G67440.1	orthologue	GO:0016567;GO:0071365;GO:0005634;GO:0071944;GO:0009911;GO:0009958;GO:0009908;GO:0003674;GO:0005886;GO:1901703;GO:2000012;GO:0005829;GO:0005515	Phototropic-responsive NPH3 family protein;Phototropic-responsive NPH3 family protein NPY3 (MAB4/ENP/NPY1-like proten 1) (MAB4/ENP/NPY1-like proten 2) (Protein NAKED PINS IN YUC MUTANTS 3)
CARHR280160	379	AT5G67430.1	AT5G67430.1	orthologue	GO:0016747;GO:0005634;GO:0009734	Acyl-CoA N-acyltransferases (NAT) superfamily protein;Acyl-CoA N-acyltransferases (NAT) superfamily protein (At5g67430) (N-acetyltransferase hookless1-like protein)
CARHR280170	250	AT5G67420.1	AT5G67420.1	orthologue	GO:0000976;GO:0005739;GO:0010468;GO:0060776;GO:0001217	LOB domain-containing protein 37 (ASYMMETRIC LEAVES 2-like protein 39) (AS2-like protein 39)
CARHR280180	440	AT5G67411.1	AT5G67411.1	orthologue	GO:0003674;GO:0005634	Putative scarecrow-like protein 16 (AtSCL16)
CARHR280190	312	AT5G67410.1	AT5G67410.1	orthologue	GO:0000124;GO:0006357;GO:0070461;GO:0005634;GO:0003713	Transcriptional regulator of RNA polII, SAGA, subunit
CARHR280200	329	AT5G67400.1	AT5G67400.1	other	GO:0140825;GO:0020037;GO:0005576;GO:0006979;GO:0035618;GO:0042744;GO:0046872;GO:0004601	Peroxidase 73 (Atperox P73) (EC 1.11.1.7) (ATP10a) (PRXR11)
CARHR280210	177	AT5G67390.1	AT5G67390.1	orthologue	GO:0005575;GO:0003674	At5g67390 (Gb|AAF67766.1) (Glycosyltransferase-like protein)
CARHR280220	607	AT5G67385.1	AT5G67385.1	orthologue	GO:0005886;GO:0005515;GO:0042742;GO:0009904;GO:0016567	BTB/POZ domain-containing protein SR1IP1 (Protein ATSR1-INTERACTION PROTEIN 1);Phototropic-responsive NPH3 family protein
CARHR280230	397	AT5G67380.1	AT5G67380.1	orthologue	GO:0006974;GO:0004674;GO:0051726;GO:0006325;GO:0006281;GO:0005634;GO:0005829;GO:0005515;GO:0010225;GO:0005956;GO:0005730;GO:0007623;GO:0016301;GO:0010332;GO:0042752;GO:0005524;GO:0106310;GO:0004672;GO:0006468;GO:0018105;GO:0018107	Casein kinase II subunit alpha-1 (CK II) (EC 2.7.11.1) (Casein kinase alpha 1) (AtCKA1)
CARHR280240	327	AT5G67370.1	AT5G67370.1	orthologue	GO:1990641;GO:0003674;GO:0009507;GO:0016020	Protein CONSERVED IN THE GREEN LINEAGE AND DIATOMS 27, chloroplastic
CARHR280250	756	AT5G67360.1	AT5G67360.1	orthologue	GO:0099503;GO:0048359;GO:0080001;GO:0010214;GO:0048046;GO:0005576;GO:0009505;GO:0004252;GO:0006508;GO:0008236	Subtilisin-like protease SBT1.7 (EC 3.4.21.-) (Cucumisin-like serine protease) (Subtilase subfamily 1 member 7) (AtSBT1.7) (Subtilisin-like serine protease 1) (At-SLP1)
CARHR280260	284	AT5G67350.1	AT5G67350.1	orthologue	GO:0003674;GO:0005634	At5g67350
CARHR280270	701	AT5G67340.1	AT5G67340.1	orthologue	GO:0004842;GO:0016567;GO:0005634;GO:0005737;GO:0005515	U-box domain-containing protein 2 (EC 2.3.2.27) (Plant U-box protein 2) (RING-type E3 ubiquitin transferase PUB2)
CARHR280280	512	AT5G67330.1	AT5G67330.1	orthologue	GO:0005384;GO:0015103;GO:0006828;GO:0015691;GO:0042742;GO:0034755;GO:0000325;GO:2000379;GO:0006879;GO:0030003;GO:0046873;GO:0005774;GO:0015086;GO:0010039;GO:0030001;GO:0009624;GO:0009536;GO:0005737;GO:0060586;GO:0005773;GO:0015692;GO:0006826;GO:0016020;GO:0055072	Metal transporter Nramp4 (AtNramp4)
CARHR280290	619	AT5G67320.1	AT5G67320.1	orthologue	GO:0003714;GO:0005634;GO:0009409;GO:0000118;GO:0006357;GO:0003690;GO:0080008;GO:0006338;GO:0005515	WD40 repeat-containing protein HOS15 (HIGH OSMOTIC STRESS GENE EXPRESSION 15)
CARHR280300	215	AT5G67310.1	AT5G67310.1	other	GO:0005739;GO:0016709;GO:0016705;GO:0016020;GO:0005506;GO:0020037;GO:0004497	At5g67310 (Cytochrome P450, family 81, subfamily G, polypeptide 1) (Putative cytochrome P450)
CARHR280310	305	AT5G67300.1	AT5G67300.1	orthologue	GO:0000978;GO:0006355;GO:0005515;GO:0009414;GO:0000976;GO:0009753;GO:0010929;GO:0005634;GO:0009751;GO:0009737;GO:1900150;GO:2000022;GO:0003700;GO:0042742;GO:0050832;GO:0042802;GO:0000981;GO:2000031;GO:0009651;GO:0009408;GO:0043565;GO:0009738	Transcription factor MYB44 (Myb-related protein 44) (AtMYB44) (Myb-related protein R1) (AtMYBR1)
CARHR280320	297	AT5G67310.1	AT5G67310.1	other	GO:0005739;GO:0016709;GO:0016705;GO:0016020;GO:0005506;GO:0020037;GO:0004497	At5g67310 (Cytochrome P450, family 81, subfamily G, polypeptide 1) (Putative cytochrome P450)
CARHR280330	417	AT5G67290.1	AT5G67290.1	orthologue	GO:0009507;GO:0005737;GO:0016491	FAD-dependent oxidoreductase family protein (Similarity to unknown protein)
CARHR280340	749	AT5G67280.1	AT5G67280.1	orthologue	GO:0005576;GO:0004672;GO:0005524;GO:0016310;GO:0016301;GO:0016020;GO:0006468;GO:0005515	At5g67280/K3G17_4 (Receptor-like protein kinase) (Receptor-like kinase)
CARHR280350	338	AT5G67270.1	AT5G67270.1	orthologue	GO:0035372;GO:0051225;GO:0035371;GO:0031110;GO:0009652;GO:0051233;GO:0005737;GO:0005819;GO:0005730;GO:0009505;GO:0005881;GO:0005634;GO:0009524;GO:0005815;GO:0051010;GO:0008017;GO:0030865;GO:0005874;GO:0051301;GO:0005515	Microtubule-associated protein RP/EB family member 1C (APC-binding protein EB1C) (End-binding protein 1C) (AtEB1C) (Protein ATEB1 homolog 1) (AtEB1H1)
CARHR280360	72	AT5G67265.1	AT5G67265.1	orthologue	GO:0003674;GO:0005634	Uncharacterized protein
CARHR280370	368	AT5G67260.2	AT5G67260.2	orthologue	GO:0010444;GO:0000082;GO:0000307;GO:1901371;GO:0005515;GO:0048316;GO:0005634;GO:0016538;GO:0042127;GO:0005737;GO:0051301	CYCLIN D32;Cyclin-D3-2 (G1/S-specific cyclin-D3-2) (CycD3;2)
CARHR280380	534	AT5G67250.1	AT5G67250.1	orthologue	GO:0031146;GO:0019005;GO:0016567;GO:0005515;GO:0004842;GO:0005737;GO:0005634	F-box protein SKIP2 (SKP1-interacting partner 2)
CARHR280390	660	AT5G67240.1	AT5G67240.1	orthologue	GO:0031125;GO:0005634;GO:0003676;GO:0004527;GO:0005737;GO:0016592;GO:0003723	Small RNA degrading nuclease 3;Small RNA degrading nuclease 3 (EC 3.1.-.-)
CARHR280400	497	AT5G67230.1	AT5G67230.1	orthologue	GO:0015018;GO:0010417;GO:0000139;GO:0005794;GO:0042285;GO:0009834;GO:0071555;GO:0016020;GO:0005975	Probable beta-1,4-xylosyltransferase IRX14H (EC 2.4.2.-) (Protein IRREGULAR XYLEM 14 homolog) (Xylan xylosyltransferase IRX14H)
CARHR280410	423	AT5G67220.1	AT5G67220.1	orthologue	GO:0005739;GO:0050660;GO:0017150;GO:0008033	tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)] (EC 1.3.1.88)
CARHR280420	318	AT5G67210.1	AT5G67210.1	orthologue	GO:0005794;GO:0045492;GO:0009834;GO:0003674;GO:0000139	Protein IRX15-LIKE
CARHR280430	675	AT5G67200.1	AT5G67200.1	orthologue	GO:0004672;GO:0009507;GO:0005886;GO:0005524;GO:0006468;GO:0005515	Probable inactive receptor kinase At5g67200
CARHR280440	181	AT5G67190.1	AT5G67190.1	orthologue	GO:0003700;GO:0006355;GO:0005634;GO:0000976;GO:0009873;GO:0003677	Ethylene-responsive transcription factor ERF010
CARHR280450	349	AT5G67180.1	AT5G67180.1	orthologue	GO:0048460;GO:0003677;GO:0005634;GO:0005515;GO:0006355;GO:0003700;GO:0009873	AP2-like ethylene-responsive transcription factor TOE3 (Protein TARGET OF EAT 3);Target of early activation tagged (EAT) 3
CARHR280460	380	AT5G67170.1	AT5G67170.1	orthologue	GO:0004843;GO:0006508;GO:0005634;GO:0008233;GO:0016579	OVARIAN TUMOR DOMAIN-containing deubiquitinating enzyme 7 (OTU domain-containing protein 7) (EC 3.4.19.12) (Deubiquitinating enzyme OTU7);SEC-C motif-containing protein / OTU-like cysteine protease family protein
CARHR280470	448	AT5G67160.1	AT5G67160.1	other	GO:0009617;GO:1900424;GO:0009697;GO:0009753;GO:0016747;GO:1900150;GO:0005737;GO:0003674;GO:0006952;GO:0016746	Protein ENHANCED PSEUDOMONAS SUSCEPTIBILITY 1 (EC 2.3.1.-)
CARHR280480	496	AT5G67160.1	AT5G67160.1	orthologue	GO:0009617;GO:1900424;GO:0009697;GO:0009753;GO:0016747;GO:1900150;GO:0005737;GO:0003674;GO:0006952;GO:0016746	Protein ENHANCED PSEUDOMONAS SUSCEPTIBILITY 1 (EC 2.3.1.-)
CARHR280490	439	AT5G67160.1	AT5G67160.1	other	GO:0009617;GO:1900424;GO:0009697;GO:0009753;GO:0016747;GO:1900150;GO:0005737;GO:0003674;GO:0006952;GO:0016746	Protein ENHANCED PSEUDOMONAS SUSCEPTIBILITY 1 (EC 2.3.1.-)
CARHR280500	449	AT5G67150.1	AT5G67150.1	orthologue	GO:0005737;GO:0003674;GO:0005829;GO:0016747	Anthranilate N-hydroxycinnamoyl/benzoyltransferase-like protein (HXXXD-type acyl-transferase family protein) (Putative anthranilate N-hydroxycinnamoyl/benzoyltransferase)
CARHR280510	229	AT5G67140.1	AT5G67140.1	orthologue	GO:0005515;GO:0019005;GO:0005634;GO:0031146;	F-box protein At5g67140
CARHR280520	430	AT5G67130.1	AT5G67130.1	orthologue	GO:0006629;GO:0005886;GO:0008081;GO:0009536;GO:0005576;GO:0098552	PI-PLC X domain-containing protein At5g67130
CARHR280530	175	AT5G67120.1	AT5G67120.1	other	GO:0061630;GO:0005634;GO:0008150;GO:0008270	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
CARHR280540	211	AT5G67110.1	AT5G67110.1	orthologue	GO:0003700;GO:0005634;GO:0010047;GO:0046983;GO:0003677	Transcription factor ALC (Basic helix-loop-helix protein 73) (AtbHLH73) (bHLH 73) (Protein ALCATRAZ) (Transcription factor EN 98) (bHLH transcription factor bHLH073)
CARHR280550	1534	AT5G67100.1	AT5G67100.1	orthologue	GO:0003887;GO:1902975;GO:0009910;GO:0005634;GO:0071897;GO:0009965;GO:0003688;GO:0003682;GO:0006273;GO:0005658;GO:0000166;GO:0006272;GO:0003697;GO:0003677;GO:0003899;GO:0008270;GO:0003676;GO:0006260	DNA polymerase alpha catalytic subunit (EC 2.7.7.7)
CARHR280560	740	AT5G67090.1	AT5G67090.1	orthologue	GO:0004252;GO:0005615;GO:0008150;GO:0005576;GO:0006508;GO:0008236	Subtilisin-like protease SBT1.9 (EC 3.4.21.-) (Subtilase subfamily 1 member 9) (AtSBT1.9)
CARHR280570	347	AT5G67080.1	AT5G67080.1	orthologue	GO:0004672;GO:0005575;GO:0007165;GO:0019901;GO:0004674;GO:0005524;GO:0010029;GO:0006468	Mitogen-activated protein kinase kinase kinase 19 (Protein kinase-like protein)
CARHR280580	130	AT5G67070.1	AT5G67070.1	orthologue	GO:0019722;GO:0007267;GO:0005515;GO:0005179;GO:0005576;GO:0048046;GO:0040008;GO:0009506	Protein RALF-like 34
CARHR280590	235	AT5G67060.1	AT5G67060.1	orthologue	GO:0006355;GO:0010468;GO:0010500;GO:0048462;GO:0005515;GO:0005634;GO:2000012;GO:0043565;GO:0046983;GO:0048467;GO:0045893;GO:0003700;GO:0048480;GO:0009266;GO:0003677	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Transcription factor HEC1 (Basic helix-loop-helix protein 88) (AtbHLH88) (bHLH 88) (Protein HECATE 1) (Transcription factor EN 118) (bHLH transcription factor bHLH088)
CARHR280600	478	AT5G67050.1	AT5G67050.1	orthologue	GO:0004806;GO:0005576;GO:0006629	Alpha/beta-Hydrolases superfamily protein
CARHR280610	73	AT5G55440.1, AT5G67040.1	AT5G55440.1	other	GO:0003674;GO:0005575;GO:0008150	F-box protein, putative (DUF295);F-box protein, putative (DUF295) (Gb|AAC80597.1)
CARHR280620	321	AT5G67040.1	AT5G67040.1	other	GO:0003674;GO:0005575;GO:0008150	F-box protein, putative (DUF295)
CARHR280630	668	AT5G67030.1	AT5G67030.1	orthologue	GO:0009688;GO:0009507;GO:0016123;GO:0009414;GO:0009941;GO:0071949;GO:0006970;GO:0052662;GO:0009408;GO:0009536;GO:0010182;GO:0016020;GO:0010114;GO:0005515	Zeaxanthin epoxidase, chloroplastic (AtZEP) (EC 1.14.15.21) (Protein ABA DEFICIENT 1) (AtABA1) (Protein IMPAIRED IN BABA-INDUCED STERILITY 3) (Protein LOW EXPRESSION OF OSMOTIC STRESS-RESPONSIVE GENES 6) (Protein NON-PHOTOCHEMICAL QUENCHING 2)
CARHR280640	401	AT5G67020.1	AT5G67020.1	orthologue	GO:0003674;GO:0005634	At5g67020 (Emb|CAB62313.1)
CARHR280650	662				GO:0046983;GO:0003677	
CARHR280660	153	AT5G67010.1	AT5G67010.1	orthologue	GO:0006355;GO:0005634;GO:0003700;GO:0003677;GO:0009873	Putative ethylene-responsive transcription factor ERF121
CARHR280670	124	AT5G66990.1	AT5G66990.1	other	GO:0003700;GO:0006355;GO:0005634;GO:0003677	Protein RKD3 (AtRKD3) (RWP-RK domain-containing protein 3)
CARHR280680	154	AT5G67000.1, AT2G20350.1, AT5G67010.1	AT5G67000.1	other	GO:0005634;GO:0006355;GO:0005515;GO:0003700;GO:0003677;GO:0009873	Ethylene-responsive transcription factor ERF120;Ethylene-responsive transcription factor ERF122;Putative ethylene-responsive transcription factor ERF121
CARHR280690	286	AT5G66990.1	AT5G66990.1	orthologue	GO:0003700;GO:0006355;GO:0005634;GO:0003677	Protein RKD3 (AtRKD3) (RWP-RK domain-containing protein 3)
CARHR280700	90	AT5G66985.1	AT5G66985.1	orthologue	GO:0005739;GO:0071456;GO:0003674	At5g66985
CARHR280710	332	AT5G66980.1	AT5G66980.1	orthologue	GO:0006355;GO:0005575;GO:0005515;GO:0003677;GO:0005634	Putative B3 domain-containing protein At5g66980
CARHR280720	791	AT5G66960.1	AT5G66960.1	orthologue	GO:0003674;GO:0008150;GO:0005575;GO:0004252;GO:0006508;GO:0008236	Prolyl endopeptidase (EC 3.4.21.-)
CARHR280730	853	AT5G66950.1	AT5G66950.1	orthologue	GO:0003674;GO:0009536;GO:0009507;GO:0016740	Emb|CAB16785.1 (Pyridoxal phosphate (PLP)-dependent transferases superfamily protein)
CARHR280740	97					
CARHR280750	216	AT5G66930.3	AT5G66930.3	orthologue	GO:0000045;GO:0019901;GO:0005634;GO:0006914;GO:1990316;GO:0005515;GO:0000407;GO:0005776;GO:0015031;GO:0031410	Autophagy-related protein 101
CARHR280760	227	AT5G66940.1	AT5G66940.1	orthologue	GO:0005634;GO:0003700;GO:0000976;GO:0008270;GO:0006355;GO:0003677	Dof zinc finger protein DOF5.8 (AtDOF5.8)
CARHR280770	544	AT5G66920.1	AT5G66920.1	orthologue	GO:0016491;GO:0005576;GO:0005507;GO:0009505	AT5g66920/MUD21_18 (SKU5 similar 17)
CARHR280780	456	AT5G47260.1	AT5G47260.1	orthologue	GO:0043531;GO:0005739;GO:0098542;GO:0005525;GO:0016887;GO:0005524;GO:0006952	Probable disease resistance protein At5g47260
CARHR280790	361	AT5G66880.1	AT5G66880.1	orthologue	GO:0009738;GO:0009414;GO:0005737;GO:0009737;GO:0016301;GO:0006468;GO:0009651;GO:0004674;GO:0005515;GO:0006970;GO:0004672;GO:0009739;GO:0009789;GO:0005634;GO:0010029;GO:0009536;GO:0005524;GO:0106310	Serine/threonine-protein kinase SRK2I (EC 2.7.11.1) (OST1-kinase-like 2) (Protein ATHPROKIN B) (SNF1-related kinase 2.3) (SnRK2.3)
CARHR280800	323	AT5G66870.1	AT5G66870.1	orthologue	GO:0006355;GO:0009965;GO:0005634;GO:0048441;GO:0009954;GO:0001216	LOB domain-containing protein 36 (ASYMMETRIC LEAVES 2-like protein 1) (AS2-like protein 1)
CARHR280810	252	AT5G66860.1	AT5G66860.1	orthologue	GO:0009536;GO:0006412;GO:0003729;GO:0008097;GO:0003735;GO:0022625;GO:0005739;GO:0005840	Ribosomal protein L25/Gln-tRNA synthetase, anti-codon-binding domain-containing protein (Uncharacterized protein At5g66860; MUD21.12)
CARHR280820	710	AT5G66850.1	AT5G66850.1	orthologue	GO:0005515;GO:0004674;GO:2000071;GO:0002221;GO:0004709;GO:1900150;GO:0005886;GO:1900424;GO:0005737;GO:0046777;GO:0045088;GO:0004672;GO:0000165;GO:0009507;GO:0005829;GO:0005524;GO:0050832;GO:0106310;GO:0006468	Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) (MAP3K gamma protein kinase) (AtMAP3Kgamma);mitogen-activated protein kinase kinase kinase (EC 2.7.11.25)
CARHR280830	585	AT5G66840.1	AT5G66840.1	orthologue	GO:0005737;GO:0008150;GO:0003674	SAP domain-containing protein
CARHR280840	503	AT5G66820.1	AT5G66820.1	orthologue	GO:0003674;GO:0005739;GO:0016020	Transmembrane protein
CARHR280850	85	AT2G23445.1	AT2G23445.1	orthologue	GO:0003674;GO:0008150;GO:0005739;GO:0005179;GO:0005576;GO:0048046;GO:1901371;GO:1902025;GO:2000280;GO:0048364	Precursor of CEP11 (PCEP11) [Cleaved into: C-terminally encoded peptide 11 (CEP11)]
CARHR280860	77					
CARHR280870	98	AT5G66816.1	AT5G66816.1	orthologue	GO:2000280;GO:1901371;GO:0006995;GO:0048364;GO:0048046;GO:1902025;GO:0005576;GO:0005179	Precursor of CEP6 (PCEP6) [Cleaved into: C-terminally encoded peptide 6.1 (CEP6.1) (CEP6a); C-terminally encoded peptide 6.2 (CEP6.2) (CEP6b)]
CARHR280880	104	AT5G66815.1	AT5G66815.1	orthologue	GO:0010311;GO:2000280;GO:1902025;GO:0048046;GO:0009751;GO:0005576;GO:0009739;GO:0009733;GO:0005179;GO:0080022;GO:0006995;GO:1901371;GO:0006970;GO:0009741;GO:0060359;GO:0090548;GO:0048364;GO:1905614;GO:1901698;GO:0009630;GO:0005515	Precursor of CEP5 (PCEP5) [Cleaved into: C-terminally encoded peptide 5 (CEP5)]
CARHR280890	698	AT5G66810.1	AT5G66810.1	orthologue	GO:0005634;GO:0043161;GO:0005737;GO:0003674	Ran-binding protein in the microtubule-organising centre protein
CARHR280900	176	AT5G66800.1	AT5G66800.1	orthologue	GO:0005634;GO:0003674;GO:0016301	Emb|CAB62433.1| (Membrane-associated kinase regulator-like protein)
CARHR280910	633	AT5G66790.1	AT5G66790.1	orthologue	GO:0016310;GO:0016301;GO:0005886;GO:0007166;GO:0004674;GO:0005524;GO:0016020;GO:0106310;GO:0004672;GO:0006468	Wall-associated receptor kinase-like 21 (EC 2.7.11.-)
CARHR280920	117	AT5G66780.1	AT5G66780.1	orthologue	GO:0003674;GO:0009507	AT5g66780/MUD21_2 (Late embryogenesis abundant protein);Late embryogenesis abundant protein
