Brassica_napus	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_048635317.1	187	AT3G20230.1	AT3G20230.1	orthologue	GO:0009507;GO:0003735;GO:0006412;GO:0003729;GO:0008097;GO:0005840;GO:1990904	AT3G20230 protein (Ribosomal L18p/L5e family protein)
XP_048635318.1	147	AT3G20180.2	AT3G20180.2	orthologue	GO:0005575;GO:0008150;GO:0046872	Copper transport protein family;Heavy metal-associated isoprenylated plant protein 47 (AtHIP47)
XP_048635319.1	760	AT5G42600.1	AT5G42600.1	orthologue	GO:0016104;GO:0005783;GO:0042300;GO:0005811;GO:0034074;GO:0016866	Marneral synthase (AtMRN1) (EC 5.4.99.53) (Pentacyclic triterpene synthase 5) (AtPEN5)
XP_048635320.1	527	AT1G35150.1	AT1G35150.1	orthologue	GO:0003674;GO:0008150;GO:0005634	General transcription factor 2-related zinc finger protein
XP_048635321.1	502	AT3G20100.1	AT3G20100.1	orthologue	GO:0020037;GO:0016709;GO:0016705;GO:0016020;GO:0005506;GO:0005739;GO:0004497	AT3g20100/MAL21_14 (Cytochrome P450, family 705, subfamily A, polypeptide 19) (Cytochrome P450-like protein)
XP_048635322.1	120	AT2G21410.1	AT2G21410.1	other	GO:0016887;GO:0070072;GO:0016471;GO:0005739;GO:0009705;GO:2000012;GO:0015986;GO:0000325;GO:0000220;GO:0005774;GO:0005773;GO:0009678;GO:0032119;GO:0005794;GO:0005737;GO:0051117;GO:0043181;GO:0046961;GO:0031669;GO:0007035	V-type proton ATPase subunit a2 (V-ATPase subunit a2) (V-type proton ATPase 95 kDa subunit a isoform 2) (V-ATPase 95 kDa isoform a2) (Vacuolar H(+)-ATPase subunit a isoform 2) (Vacuolar proton pump subunit a2) (Vacuolar proton translocating ATPase 95 kDa subunit a isoform 2)
XP_048635324.1	386	AT3G20620.1	AT3G20620.1	other	GO:0003674;GO:0005575;;GO:0005515	F-box family protein-like protein
XP_048635325.1	276	AT3G20070.1	AT3G20070.1	orthologue	GO:0003674;GO:0009960;GO:0005739;GO:0009793;GO:0003006	Titan9
XP_048635328.1	187	AT3G20060.1	AT3G20060.1	other	GO:0061631;GO:0006511;GO:0005634;GO:0006605;GO:0005515;GO:0031145;GO:0005737;GO:0051301;GO:0030071;GO:0016567;GO:0000209;GO:0004842;GO:0009416;GO:0005524	Ubiquitin-conjugating enzyme E2 19 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 19) (Ubiquitin carrier protein 19)
XP_048635329.1	545	AT3G20050.1	AT3G20050.1	orthologue	GO:0006457;GO:0016887;GO:0051082;GO:0005829;GO:0140662;GO:0005737;GO:0005832;GO:0005524	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha) (Chaperonin CCT1)
XP_048635330.1	505	AT3G20040.1	AT3G20040.1	orthologue	GO:0005739;GO:0005741;GO:0005829;GO:0006096;GO:0005536;GO:0019318;GO:0001678;GO:0004396;GO:0005524;GO:0005975;GO:0016773	Hexokinase-4 (EC 2.7.1.1)
XP_048635331.1	427	AT3G20020.3	AT3G20020.3	orthologue	GO:0042054;GO:0005737;GO:0016274;GO:2000028;GO:0006355;GO:0006338;GO:0032259;GO:0018216;GO:0019919;GO:0034969	Probable protein arginine N-methyltransferase 6 (EC 2.1.1.-);Protein arginine methyltransferase 6
XP_048635332.1	466	AT3G20015.1	AT3G20015.1	orthologue	GO:0005576;GO:0003674;GO:0003677;GO:0004190;GO:0006508	Protein ASPARTIC PROTEASE IN GUARD CELL 2 (AtASPG2) (EC 3.4.23.-)
XP_048635333.1	1036	AT3G20010.1	AT3G20010.1	orthologue	GO:0006281;GO:0080188;GO:0005634;GO:0005515;GO:0140658;GO:0008094;GO:0003677;GO:0004386;GO:0005524;GO:0008270;GO:0016787;GO:0046872	Helicase-like transcription factor CHR27 (EC 3.6.4.-) (Protein CHROMATIN REMODELING 27) (Protein SNF2-RING-HELICASE-LIKE 1);SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-like protein
XP_048635334.1	421	AT3G19990.2	AT3G19990.2	orthologue	GO:0003674;GO:0009507;GO:0009570;GO:0005634	At3g19990 (E3 ubiquitin-protein ligase);E3 ubiquitin-protein ligase
XP_048635335.1	309	AT3G20000.1, AT1G50400.1	AT3G20000.1	orthologue	GO:0005739;GO:0005742;GO:0030150;GO:0008320;GO:0005743;GO:0005515;GO:0005741;GO:0061617;GO:0016036;GO:0006626;GO:0015450;GO:0005829;GO:0009507;GO:0000325;GO:0006811;GO:0015288;GO:0046930;GO:0055085	Mitochondrial import receptor subunit TOM40-1 (Translocase of outer membrane 40 kDa subunit homolog 1) [Cleaved into: Mitochondrial import receptor subunit TOM40-1, N-terminally processed];Probable mitochondrial import receptor subunit TOM40-2 (Translocase of outer membrane 40 kDa subunit homolog 2);Translocase of the outer mitochondrial membrane 40
XP_048635336.1	224	AT1G34560.1	AT1G34560.1	orthologue	GO:0003674;GO:0008150;GO:0005739	Uncharacterized protein
XP_048635337.1	303	AT3G19980.1	AT3G19980.1	other	GO:0009910;GO:0005515;GO:0000159;GO:0005737;GO:0006470;GO:0008270;GO:0009793;GO:0004674;GO:0004722;GO:0017018;GO:0005634;GO:0016787	Phytochrome-associated serine/threonine-protein phosphatase 3 (AtFyPP3) (EC 3.1.3.16) (Protein EMBRYO DEFECTIVE 2736)
XP_048635338.1	255					
XP_048635339.1	131	AT1G12672.2	AT1G12672.2	other	GO:0005576;GO:0003674	Thionin-like protein
XP_048635341.1	437	AT3G19970.1	AT3G19970.1	orthologue	GO:0005575;GO:0003674;GO:0005640	AT3g19970/MZE19_2 (Alpha/beta-Hydrolases superfamily protein)
XP_048635343.1	1180	AT3G19960.2	AT3G19960.2	orthologue	GO:0051015;GO:0005768;GO:0010082;GO:0003774;GO:0030048;GO:0005737;GO:0007015;GO:0005886;GO:0016020;GO:0009504;GO:0009506;GO:0000146;GO:0009524;GO:0015629;GO:0005783;GO:0003779;GO:0005516;GO:0005524;GO:0006897;GO:0016459;GO:0005515	Myosin 1;Myosin-1 (AtATM1)
XP_048635346.1	318	AT3G19910.1	AT3G19910.1	orthologue	GO:0004842;GO:0005634;GO:0016567;GO:0051865;GO:0008270	E3 ubiquitin ligase BIG BROTHER-related (AtBBR) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BIG BROTHER-related);RING/U-box superfamily protein
XP_048635347.1	454	AT3G19920.2	AT3G19920.2	orthologue	GO:0016567;GO:0005634;GO:0005811;GO:0003674	BTB/POZ domain protein
XP_048635349.1	345	AT5G50960.1	AT5G50960.1	orthologue	GO:0005829;GO:0140663;GO:0016226;GO:0042803;GO:0005634;GO:0051536;GO:0005524;GO:0046872;GO:0051539	Cytosolic Fe-S cluster assembly factor NBP35 (Nucleotide binding protein 35) (AtNBP35)
XP_048635350.1	144					
XP_048635351.1	561	AT3G19820.1	AT3G19820.1	orthologue	GO:0008202;GO:0016132;GO:0006694;GO:0003824;GO:0009826;GO:0000325;GO:0005634;GO:0071949;GO:0050614;GO:0005773;GO:0005516;GO:0005515;GO:0005737;GO:0009416;GO:0009808;GO:0009834;GO:0016628;GO:0005829;GO:0005783;GO:0016020;GO:0050660	Delta(24)-sterol reductase (EC 1.3.1.72) (Cell elongation protein DIMINUTO) (Cell elongation protein Dwarf1) (Protein CABBAGE1) (Protein ENHANCED VERY-LOW-FLUENCE RESPONSE 1)
XP_048635353.1	771	AT3G17770.1	AT3G17770.1	other	GO:0019563;GO:0004371;GO:0005737;GO:0005829;GO:0006071;GO:0005524	At3g17770 (Dihydroxyacetone kinase)
XP_048635354.1	186					
XP_048635355.1	391	AT1G14800.1	AT1G14800.1	other	GO:0003674;GO:0008150;GO:0005575	Nucleic acid-binding, OB-fold-like protein
XP_048635359.1	360	AT1G47730.1, AT1G47765.1, AT1G47790.1, AT1G48060.1, AT1G50870.1, AT1G59675.1, AT1G59690.1, AT3G10240.1, AT4G09190.1, AT5G18160.1	AT3G10240.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0005739;GO:0005575;GO:0005737;GO:0005515	F-box associated ubiquitination effector family protein;F-box protein At1g48060;F-box protein At5g18160;Putative F-box protein At1g47730;Putative F-box protein At1g47765;Putative F-box protein At1g47790;Putative F-box protein At1g50870;Putative F-box protein At1g59675;Putative F-box protein At3g10240;Putative F-box protein At4g09190
XP_048635360.1	771	AT3G17770.1	AT3G17770.1	other	GO:0019563;GO:0004371;GO:0005737;GO:0005829;GO:0006071;GO:0005524	At3g17770 (Dihydroxyacetone kinase)
XP_048635361.1	186					
XP_048635362.1	280				GO:0004371;GO:0005829;GO:0019563;GO:0006071	
XP_048635363.1	186					
XP_048635364.1	390	AT3G23260.1, AT3G21170.1, AT3G21120.1, AT3G21130.1, AT4G10190.1	AT4G10190.1	other	GO:0003674;GO:0008150;GO:0005634;GO:0005575;GO:0005515;	Putative F-box protein At3g21120;Putative F-box protein At3g21130;Putative F-box protein At3g21170;Putative F-box protein At3g23260;Putative F-box protein At4g10190
XP_048635365.1	1082	AT3G19780.1	AT3G19780.1	orthologue	GO:0005575;GO:0003674;GO:0005634;GO:0009507	Thioredoxin domain-containing protein;Uncharacterized protein
XP_048635374.1	349	AT1G47730.1, AT1G47765.1, AT1G47790.1, AT1G48060.1, AT1G50870.1, AT1G59675.1, AT1G59690.1, AT3G10240.1, AT4G09190.1, AT5G18160.1	AT3G10240.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0005739;GO:0005575;GO:0005737;GO:0005515	F-box associated ubiquitination effector family protein;F-box protein At1g48060;F-box protein At5g18160;Putative F-box protein At1g47730;Putative F-box protein At1g47765;Putative F-box protein At1g47790;Putative F-box protein At1g50870;Putative F-box protein At1g59675;Putative F-box protein At3g10240;Putative F-box protein At4g09190
XP_048635375.1	408	AT3G19760.1	AT3G19760.1	orthologue	GO:0005634;GO:0035145;GO:0001666;GO:0005515;GO:0005730;GO:0000398;GO:0006397;GO:0003729;GO:0016607;GO:0003724;GO:0005829;GO:0071013;GO:0005654;GO:0000184;GO:0005524;GO:0006417;GO:0008380;GO:0016887;GO:0051028;GO:0003676	Eukaryotic initiation factor 4A-III homolog (AteIF4AIII) (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (DEAD-box ATP-dependent RNA helicase 2) (AtRH02)
XP_048635376.1	347	AT1G47730.1, AT1G47765.1, AT1G47790.1, AT1G48060.1, AT1G50870.1, AT1G59675.1, AT1G59690.1, AT3G10240.1, AT4G09190.1, AT5G18160.1	AT3G10240.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0005739;GO:0005575;GO:0005737;GO:0005515	F-box associated ubiquitination effector family protein;F-box protein At1g48060;F-box protein At5g18160;Putative F-box protein At1g47730;Putative F-box protein At1g47765;Putative F-box protein At1g47790;Putative F-box protein At1g50870;Putative F-box protein At1g59675;Putative F-box protein At3g10240;Putative F-box protein At4g09190
XP_048635377.1	360	AT3G19710.1	AT3G19710.1	orthologue	GO:0009081;GO:0009611;GO:0005829;GO:0019761;GO:0005737;GO:0009416;GO:0004084;GO:0010326;GO:0003824	Methionine aminotransferase BCAT4 (EC 2.6.1.88) (Branched-chain-amino-acid aminotransferase 4) (Atbcat-4) (Methionine-oxo-acid transaminase BCAT4)
XP_048635378.1	471	AT3G19680.1	AT3G19680.1	orthologue	GO:0009536;GO:0003674	Uncharacterized protein At3g19680
XP_048635379.1	283	AT5G60440.1	AT5G60440.1	other	GO:0005515;GO:0006357;GO:0045944;GO:0003700;GO:0005634;GO:0000977;GO:0046983;GO:0009960;GO:2000012;GO:0000978;GO:0000981;GO:0003677	Agamous-like MADS-box protein AGL62
XP_048635380.1	995	AT3G19670.1	AT3G19670.1	orthologue	GO:0045292;GO:0005634;GO:0000398;GO:0008380;GO:0003723;GO:0070063;GO:0005685;GO:0071004;GO:0005515	Pre-mRNA-processing protein 40B;Pre-mRNA-processing protein 40B (AtPRP40b)
XP_048635381.1	151					
XP_048635382.1	379	AT3G23260.1	AT3G23260.1	orthologue	GO:0005575;GO:0003674;;GO:0005515	Putative F-box protein At3g23260
XP_048635383.1	125					
XP_048635384.1	292	AT3G19650.1	AT3G19650.1	orthologue	GO:0005634;GO:0003674	At3g19650 (Cyclin-like protein)
XP_048635385.1	473	AT3G19640.1	AT3G19640.1	orthologue	GO:0015693;GO:0009507;GO:0015095;GO:1903830;GO:0016020	Magnesium transporter MRS2-3 (Magnesium Transporter 4) (AtMGT4)
XP_048635387.1	782	AT3G19620.1	AT3G19620.1	orthologue	GO:0031222;GO:0009505;GO:0009044;GO:0045493;GO:0046556;GO:0005576;GO:0004553;GO:0005975	Probable beta-D-xylosidase 5 (AtBXL5) (EC 3.2.1.-)
XP_048635388.1	300	AT2G04930.1, AT3G19595.1	AT3G19595.1	orthologue	GO:0008150;GO:0003674;GO:0005634;GO:0008420;GO:0017018;GO:0004721;GO:0070940	RNA polymerase II C-terminal domain phosphatase-like (EC 3.1.3.16)
XP_048635389.1	268	AT3G19580.1	AT3G19580.1	orthologue	GO:0000976;GO:0005634;GO:0009414;GO:0009793;GO:0003700;GO:0009737;GO:0006355;GO:0045892;GO:0043565;GO:0042538;GO:0003677;GO:0008270;GO:0009738	Zinc finger protein AZF2 (Zinc-finger protein 2)
XP_048635390.1	479	AT3G19553.1	AT3G19553.1	orthologue	GO:0005886;GO:0015203;GO:0005783;GO:0015846;GO:0015174;GO:0015293;GO:0016020;GO:0022857;GO:0055085	Probable polyamine transporter At3g19553
XP_048635391.1	227	AT4G31660.1	AT4G31660.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0003677	B3 domain-containing protein REM7 (Auxin response factor 25) (Protein REPRODUCTIVE MERISTEM 7)
XP_048635392.1	468	AT3G19540.1	AT3G19540.1	orthologue	GO:0003674;GO:0005739	AT3g19540/T31J18_4 (Glutamyl-tRNA (Gln) amidotransferase subunit A (DUF620))
XP_048635393.1	355	AT1G33970.1	AT1G33970.1	orthologue	GO:1900425;GO:0005515;GO:0005739;GO:0005886;GO:0005525	Immune-associated nucleotide-binding protein 9 (AtIAN9) (AIG1-like protein)
XP_048635399.1	187					
XP_048635400.1	105					
XP_048635401.1	2136	AT1G44120.2	AT1G44120.2	orthologue	GO:2001006;GO:0005634;GO:0008017;GO:0010330;GO:0051211;GO:0005737;GO:0005856;GO:0005886;GO:0008360;GO:0071555;GO:0005515	CELLULOSE SYNTHASE INTERACTIVE 2;Protein CELLULOSE SYNTHASE INTERACTIVE 2
XP_048635402.1	106	AT2G40940.1	AT2G40940.1	other	GO:0038199;GO:0010105;GO:0004673;GO:0000155;GO:0051740;GO:0005515;GO:0005783;GO:0005634;GO:0004674;GO:0005524;GO:0005789;GO:0009873;GO:0046872;GO:0016310;GO:0016772	Ethylene response sensor 1 (AtERS1) (EC 2.7.11.-) (EC 2.7.13.3) (Protein ERS1)
XP_048635403.1	613	AT2G40940.1	AT2G40940.1	orthologue	GO:0038199;GO:0010105;GO:0004673;GO:0000155;GO:0051740;GO:0005515;GO:0005783;GO:0005634;GO:0004674;GO:0005524;GO:0005789;GO:0009873;GO:0046872;GO:0016310;GO:0016772;GO:0007165	Ethylene response sensor 1 (AtERS1) (EC 2.7.11.-) (EC 2.7.13.3) (Protein ERS1)
XP_048635404.1	381	AT2G47460.1	AT2G47460.1	orthologue	GO:0006355;GO:0009813;GO:1900386;GO:0009723;GO:0051555;GO:0009651;GO:0000976;GO:0045893;GO:0005515;GO:0003700;GO:0005634;GO:0009416;GO:0000987;GO:0010224;GO:0009733	Transcription factor MYB12 (Myb-related protein 12) (AtMYB12) (Protein PRODUCTION OF FLAVONOL GLYCOSIDES 1)
XP_048635405.1	345	AT2G47420.1	AT2G47420.1	orthologue	GO:0051301;GO:0000179;GO:0001708;GO:0031167;GO:0005634;GO:0005730;GO:0003723;GO:0000154;GO:0006364	Ribosomal RNA small subunit methyltransferase (EC 2.1.1.-) (18S nuclear rRNA (adenine(1785)-N(6)/adenine(1786)-N(6))-dimethyltransferase) (Adenosine dimethyl transferase 1A) (Dimethyladenosine transferase 1A)
XP_048635406.1	325	AT2G47370.1, AT5G28660.1, AT2G16760.1	AT2G16760.1	orthologue	GO:0005576;GO:0003674;GO:0005634;GO:0008150;GO:0005783;GO:0016020	At2g47370 (Calcium-dependent phosphotriesterase superfamily protein);Calcium-dependent phosphotriesterase superfamily protein;Calcium-dependent phosphotriesterase superfamily protein (Expressed protein);NHL domain-containing protein
XP_048635407.1	662	AT2G47240.1	AT2G47240.1	orthologue	GO:0031957;GO:0005783;GO:0010025;GO:0010143;GO:0004467;GO:0005634;GO:0016020;GO:0006631;GO:0005524	Long chain acyl-CoA synthetase 1 (EC 6.2.1.3) (Protein ECERIFERUM 8);Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
XP_048635409.1	463	AT2G47210.1	AT2G47210.1	orthologue	GO:0045892;GO:0005634;GO:0000812;GO:0035267;GO:0005515;GO:0006281;GO:0004402;GO:0006338;GO:0000122;GO:0003677;GO:0003714;GO:0043486	SWR1-complex protein 4
XP_048635410.1	888	AT2G47070.1	AT2G47070.1	orthologue	GO:0003700;GO:0005634;GO:0006355;GO:0003677;GO:0008270;GO:0016020	Squamosa promoter binding protein-like 1;Squamosa promoter-binding-like protein 1
XP_048635413.1	363	AT2G47060.4	AT2G47060.4	orthologue	GO:0004674;GO:0005634;GO:0006979;GO:0005515;GO:0004672;GO:0009737;GO:0005829;GO:0005524;GO:0106310;GO:0006468	Probable receptor-like protein kinase At2g47060 (EC 2.7.11.1);Protein kinase superfamily protein;non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_048635414.1	592	AT2G47030.1, AT2G47040.1	AT2G47040.1	orthologue	GO:0009860;GO:0045490;GO:0042545;GO:0030599;GO:0000139;GO:0090406;GO:0046910;GO:0005515;GO:0005576;GO:0004857;GO:0009506;GO:0005886	Pectinesterase 4 (PE 4) (EC 3.1.1.11) (Pectin methylesterase 18) (AtPME18) (Pectin methylesterase 4) (AtPME4) (VANGUARD1-like protein 1) (VGD1-like protein 1);Pectinesterase 5 (PE 5) (EC 3.1.1.11) (Pectin methylesterase 5) (AtPME5) (Pectin methylesterase 67) (AtPME67) (Protein VANGUARD 1)
XP_048635416.1	850	AT2G46920.1	AT2G46920.1	orthologue	GO:0005634;GO:0004722;GO:0017018;GO:0006355;GO:0018377;GO:0009934;GO:0005886;GO:0010074;GO:0018345;GO:0005543;GO:0007165;GO:0046872;GO:0006470	Protein phosphatase 2C 32 (AtPP2C32) (EC 3.1.3.16) (Protein POLTERGEIST) (Protein phosphatase 2C POL) (PP2C POL)
XP_048635418.1	614	AT2G46900.1	AT2G46900.1	orthologue	GO:0005634;GO:0003674;GO:1990112	Expressed protein (Transcription factor-like protein)
XP_048635422.1	307	AT4G33880.1	AT4G33880.1	orthologue	GO:0006357;GO:0006355;GO:0048766;GO:0003700;GO:0046983;GO:0005634;GO:0009733;GO:0000981;GO:0000978;GO:0003677	Transcription factor RSL2 (Basic helix-loop-helix protein 85) (AtbHLH85) (bHLH 85) (Protein ROOT HAIR DEFECTIVE 6-LIKE 2) (Protein RHD SIX-LIKE 2) (Transcription factor EN 115) (Transcription factor bHLH85) (bHLH transcription factor bHLH085)
XP_048635423.1	590	AT2G46740.1	AT2G46740.1	orthologue	GO:0009505;GO:0016491;GO:0019853;GO:0071949;GO:0016020;GO:0005576;GO:0050105;GO:0003885;GO:0050660	L-gulonolactone oxidase 5 (AtGulLO5) (EC 1.1.3.8)
XP_048635424.1	528	AT2G46660.1	AT2G46660.1	orthologue	GO:0020037;GO:0048316;GO:0016705;GO:0009507;GO:0005506;GO:0004497;GO:0016020	Cytochrome P450 78A6 (EC 1.14.-.-) (Protein ENHANCER OF DA1-1)
XP_048635425.1	390	AT2G46630.1	AT2G46630.1	orthologue	GO:0003674;GO:0005634	Putative extensin (Serine/arginine repetitive matrix protein)
XP_048635426.1	185	AT5G04950.1	AT5G04950.1	other	GO:0030418;GO:0010233;GO:0009860;GO:0009555;GO:0005575;GO:0030410	Nicotianamine synthase 1 (EC 2.5.1.43) (S-adenosyl-L-methionine:S-adenosyl-L-methionine:S-adenosyl-methionine 3-amino-3-carboxypropyltransferase 1) (AtNAS1)
XP_048635427.1	2451	AT2G46560.1	AT2G46560.1	orthologue	GO:0043291;GO:0003674;GO:0080008;GO:0007035;GO:0005515	Transducin family protein / WD-40 repeat family protein
XP_048635430.1	231	AT2G46455.2	AT2G46455.2	orthologue	GO:0005739;GO:0009535;GO:0010027;GO:0072598;GO:0032977;GO:0051205;GO:0005743;GO:0032979;GO:0016020	OxaA/YidC-like membrane insertion protein
XP_048635431.1	704	AT2G46430.1	AT2G46430.1	orthologue	GO:0005516;GO:0005216;GO:0005634;GO:0005886;GO:0030552;GO:0030553;GO:0006811;GO:0016020;GO:0055085	Probable cyclic nucleotide-gated ion channel 3 (AtCNGC3) (Cyclic nucleotide- and calmodulin-regulated ion channel 3)
XP_048635435.1	993	AT2G46340.1	AT2G46340.1	orthologue	GO:0005515;GO:0010017;GO:0009585;GO:2000028;GO:0010218;GO:0080008;GO:0005634;GO:0010114;GO:0048575;GO:0042802;GO:0009640;GO:0010100;GO:0004672;GO:0016604;GO:0009658;GO:0009637;GO:0005524;GO:0016607;GO:0006468	Protein SUPPRESSOR OF PHYA-105 1 (EC 2.7.-.-)
XP_048635437.1	182	AT1G05291.1	AT1G05291.1	orthologue	GO:0005783;GO:0003674;GO:0008150;GO:0005789	Protein DESIGUAL 4
XP_048635438.1	593					
XP_048635440.1	384					
XP_048635441.1	459	AT5G56780.1	AT5G56780.1	orthologue	GO:0097100;GO:2000033;GO:0010089;GO:0005634;GO:0045892;GO:0005737;GO:0003677;GO:0006355	Protein EFFECTOR OF TRANSCRIPTION 2 (AtET2)
XP_048635442.1	384	AT2G46200.1	AT2G46200.1	orthologue	GO:0005737;GO:0003674;GO:0005689;GO:0005681;GO:0006397;GO:0008380;GO:1990904	U11/U12 small nuclear ribonucleoprotein;U11/U12 small nuclear ribonucleoprotein 59 kDa protein (U11/U12 snRNP 59 kDa protein) (U11/U12-59K)
XP_048635444.1	247	AT2G40970.1	AT2G40970.1	orthologue	GO:0006355;GO:0009409;GO:0003700;GO:0005634;GO:0003677	Transcription factor MYBC1
XP_048635445.1	382	AT2G41050.1	AT2G41050.1	orthologue	GO:0003674;GO:0005634;GO:0016020	PQ-loop repeat family protein / transmembrane family protein
XP_048635447.1	290	AT2G41160.1	AT2G41160.1	orthologue	GO:0005515;GO:0010286;GO:0004252;GO:0061908;GO:0050832;GO:0005776;GO:0005783;GO:0016020	Rhomboid-like protein 18 (AtRBL18);Ubiquitin-associated (UBA) protein
XP_048635448.1	686	AT4G33760.1	AT4G33760.1	orthologue	GO:0009507;GO:0004815;GO:0006418;GO:0005739;GO:0005829;GO:0006422;GO:0005737;GO:0003677;GO:0005524;GO:0046872;GO:0004812;GO:0003676;GO:0000166;GO:0016874	Aspartate--tRNA ligase, chloroplastic/mitochondrial (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS);tRNA synthetase class II (D, K and N) family protein
XP_048635449.1	391	AT2G41170.2	AT2G41170.2	orthologue	GO:0009507;GO:0003674;GO:0016020;GO:0005515	F-box family protein;F-box protein At2g41170
XP_048635451.1	722					
XP_048635453.1	283	AT2G41260.2, AT2G41280.1	AT2G41280.1	other	GO:0005783;GO:0005576;GO:0010162;GO:0003674;GO:0005773;GO:0009793	Late embryogenesis abundant protein M10 (AtM10);Late embryogenesis abundant protein M17 (AtM17)
XP_048635455.1	213	AT2G41410.1	AT2G41410.1	orthologue	GO:0005829;GO:0005509	Probable calcium-binding protein CML35 (Calmodulin-like protein 1) (Calmodulin-like protein 35)
XP_048635456.1	489	AT2G41500.1	AT2G41500.1	other	GO:0000398;GO:0001709;GO:0005634;GO:0080008;GO:0016607;GO:0009560;GO:0005681;GO:0007267;GO:0046540;GO:0030621;GO:0009553;GO:0017070;GO:0005515	U4/U6 small nuclear ribonucleoprotein PRP4-like protein (Protein EMBRYO DEFECTIVE 2776) (Protein LACHESIS)
XP_048635457.1	428	AT2G41510.2	AT2G41510.2	orthologue	GO:0009823;GO:0071949;GO:0005576;GO:0048507;GO:0005773;GO:0019139;GO:0016491;GO:0009690;GO:0003824;GO:0050660	Cytokinin dehydrogenase 1 (EC 1.5.99.12) (Cytokinin oxidase 1) (AtCKX1) (CKO 1);cytokinin dehydrogenase (EC 1.5.99.12)
XP_048635458.1	462	AT2G41710.4	AT2G41710.4	orthologue	GO:0006355;GO:0005515;GO:0005634;GO:0003700;GO:0003677;GO:0009873	AP2-like ethylene-responsive transcription factor At2g41710;Integrase-type DNA-binding superfamily protein
XP_048635460.1	128	AT5G24640.1, AT2G41730.1	AT2G41730.1	orthologue	GO:0003674;GO:0005634;GO:0005737;GO:0042542;GO:0009061	Calcium-binding site protein;Gb|AAC02775.1
XP_048635461.1	130	AT5G24640.1, AT2G41730.1	AT2G41730.1	orthologue	GO:0003674;GO:0005634;GO:0005737;GO:0042542;GO:0009061	Calcium-binding site protein;Gb|AAC02775.1
XP_048635463.1	239	AT2G41750.1	AT2G41750.1	orthologue	GO:0005634;GO:0006400;GO:0016432;GO:0008033;GO:0046872	tRNA-uridine aminocarboxypropyltransferase A (EC 2.5.1.25) (DTW domain-containing protein 2 A)
XP_048635464.1	979	AT2G41830.1	AT2G41830.1	orthologue	GO:0009555;GO:0005886;GO:0003674;GO:0005634	ARM repeat superfamily protein
XP_048635470.1	336	AT2G41930.1	AT2G41930.1	orthologue	GO:0004672;GO:0005739;GO:0007165;GO:0048868;GO:0009846;GO:0016310;GO:0005524;GO:0006468	Protein kinase superfamily protein
XP_048635471.1	251	AT2G41940.1	AT2G41940.1	orthologue	GO:0010090;GO:0003700;GO:0009788;GO:0006355;GO:0000976;GO:0005634;GO:0010026;GO:0005515;GO:0008270;GO:0009736;GO:0009738;GO:0009740;GO:0009739	Zinc finger protein 8
XP_048635472.1	1131	AT2G41960.1	AT2G41960.1	orthologue	GO:0009506;GO:0003674;GO:0005737;GO:0005829	Uncharacterized protein At2g41960
XP_048635474.1	260	AT2G41950.1	AT2G41950.1	orthologue	GO:0008150;GO:0009507;GO:0009570;GO:0003674;GO:0000428	At2g41950/T6D20.26 (DNA-directed RNA polymerase subunit beta)
XP_048635476.1	454	AT2G47850.1	AT2G47850.1	orthologue	GO:0003729;GO:0005634;GO:0008150;GO:0003677;GO:0008270;GO:0046872	Zinc finger C-x8-C-x5-C-x3-H type family protein;Zinc finger CCCH domain-containing protein 32 (AtC3H32) (Zinc finger CCCH domain-containing protein ZFN-like 1)
XP_048635478.1	490	AT1G51310.1	AT1G51310.1	orthologue	GO:0009507;GO:0061708;GO:0000049;GO:0005524;GO:0008033;GO:0016740;GO:0016783	tRNA-5-taurinomethyluridine 2-sulfurtransferase (EC 2.8.1.14)
XP_048635485.1	440	AT1G32200.1	AT1G32200.1	orthologue	GO:0009507;GO:0004366;GO:0006655;GO:0016024;GO:0009570;GO:0009536;GO:0016746;GO:0006650	Glycerol-3-phosphate acyltransferase, chloroplastic (GPAT) (EC 2.3.1.15)
XP_048635486.1	115	AT1G32210.1	AT1G32210.1	orthologue	GO:0043069;GO:0008250;GO:0006486;GO:0005783;GO:0003674;GO:0005634;GO:0006487;GO:0016020	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 (Oligosaccharyl transferase subunit DAD1);Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 (Oligosaccharyl transferase subunit DAD1) (Defender against cell death 1) (AtDAD1) (DAD-1)
