Cardamine_glauca	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Cg006G230940	621	AT1G14910.1	AT1G14910.1	orthologue	GO:0005545;GO:0048268;GO:0072583;GO:0006900;GO:0030136;GO:0005546;GO:0000149;GO:0032050;GO:0030276;GO:0005576;GO:0005515;GO:0005905;GO:0005794;GO:0005543	ENTH/ANTH/VHS superfamily protein;Putative clathrin assembly protein At1g14910
Cg006G230950	210	AT1G14900.1	AT1G14900.1	orthologue	GO:0045910;GO:0005634;GO:0005730;GO:0005829;GO:0006334;GO:0003677;GO:0030261;GO:0003690;GO:0006355;GO:0031492;GO:0009507;GO:0000786;GO:0000785	HMG-Y-related protein A (AtHMGA) (High mobility group A protein)
Cg006G230960	201	AT1G14890.1	AT1G14890.1	orthologue	GO:0009827;GO:0005739;GO:0043086;GO:0004857;GO:0009505;GO:0046910;GO:0048046	Plant invertase/pectin methylesterase inhibitor superfamily protein
Cg006G230970	151	AT1G14870.1, AT1G14880.1, AT5G35525.1	AT1G14870.1	other	GO:0003729;GO:0000325;GO:0005576;GO:0005737;GO:0005886;GO:0003674;GO:0006979;GO:0008150;GO:0016020	PLANT CADMIUM RESISTANCE 2;Protein PLANT CADMIUM RESISTANCE 1 (AtPCR1);Protein PLANT CADMIUM RESISTANCE 2 (AtPCR2);Protein PLANT CADMIUM RESISTANCE 3 (AtPCR3)
Cg006G230980	151	AT1G14870.1, AT1G14880.1, AT5G35525.1	AT1G14870.1	orthologue	GO:0003729;GO:0000325;GO:0005576;GO:0005737;GO:0005886;GO:0003674;GO:0006979;GO:0008150;GO:0016020	PLANT CADMIUM RESISTANCE 2;Protein PLANT CADMIUM RESISTANCE 1 (AtPCR1);Protein PLANT CADMIUM RESISTANCE 2 (AtPCR2);Protein PLANT CADMIUM RESISTANCE 3 (AtPCR3)
Cg006G230990	174	AT1G14860.1	AT1G14860.1	orthologue	GO:0016462;GO:0005737;GO:0005634;GO:0005739;GO:0046872	Nudix hydrolase 18, mitochondrial (AtNUDT18) (EC 3.6.1.-)
Cg006G231000	1460	AT1G14850.1	AT1G14850.1	orthologue	GO:0044611;GO:0006606;GO:0005886;GO:0006405;GO:0006913;GO:0009506;GO:0000972;GO:0005643;GO:0005730;GO:0005515;GO:0005634;GO:0036228;GO:0017056;GO:0015031;GO:0051028	Nuclear pore complex protein NUP155 (Nucleoporin 155)
Cg006G231010	609	AT1G14840.1	AT1G14840.1	orthologue	GO:0007010;GO:0008017;GO:0005874;GO:0005737	Microtubule-associated protein 70-4 (AtMAP70-4) (70 kDa microtubule-associated protein 4);Microtubule-associated proteins 70-4
Cg006G231020	614	AT1G14830.1	AT1G14830.1	orthologue	GO:0005938;GO:0030136;GO:0008017;GO:0010152;GO:0005886;GO:0005737;GO:0005576;GO:0007005;GO:0009504;GO:0016020;GO:0005874;GO:0009506;GO:0003924;GO:0000266;GO:0005525;GO:0009524;GO:0051301	Phragmoplastin DRP1C (EC 3.6.5.-) (Dynamin-like protein 1C) (Dynamin-like protein 5) (Dynamin-like protein DLP1) (Dynamin-related protein 1C) (AtDRP1C)
Cg006G231030	249	AT1G14820.3	AT1G14820.3	other	GO:0005575;GO:0003674;GO:0016020	AT1G14820 protein (Sec14p-like phosphatidylinositol transfer family protein);Putative phosphatidylinositol/ phosphatidylcholine transfer protein (Sec14p-like phosphatidylinositol transfer family protein)
Cg006G231040	375	AT1G14810.1	AT1G14810.1	orthologue	GO:0051287;GO:0009570;GO:0009088;GO:0016620;GO:0009507;GO:0050661;GO:0009097;GO:0008652;GO:0046983;GO:0009536;GO:0009089;GO:0004073;GO:0005739;GO:0009086;GO:0019877;GO:1901607	Semialdehyde dehydrogenase family protein;aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)
Cg006G231050	1107	AT1G14790.1	AT1G14790.1	orthologue	GO:0009615;GO:0030422;GO:0003968;GO:0010025;GO:0060148;GO:0005634;GO:0031380;GO:0009751;GO:0003723;GO:0006952;GO:0003676	RNA-dependent RNA polymerase 1 (AtRDRP1) (EC 2.7.7.48) (RNA-directed RNA polymerase 1)
Cg006G231060	626	AT1G14780.1	AT1G14780.1	orthologue	GO:2000031;GO:0005634;GO:0009626;GO:0003674;GO:0005886;GO:0006952;GO:0012501	MACPF domain-containing protein At1g14780
Cg006G231070	389	AT1G14770.1	AT1G14770.1	orthologue	GO:0005634;GO:0005515;GO:0008270	F10B6.17 (Putative PhD-finger protein) (RING/FYVE/PHD zinc finger superfamily protein)
Cg006G231100	138	AT1G14760.1	AT1G14760.1	orthologue	GO:0045893;GO:0005634;GO:0005737;GO:0003677;GO:0010589	Protein KNATM (KNOX Arabidopsis thaliana MEINOX protein)
Cg006G231110	75	AT1G14755.1	AT1G14755.1	orthologue	GO:0005576;GO:0008150;GO:0003674;GO:0031640;GO:0050832	Defensin-like protein 201
Cg006G231120	584	AT1G14750.3	AT1G14750.3	orthologue	GO:0000082;GO:0005634;GO:0051026;GO:0000307;GO:0005737;GO:0000724;GO:0016538;GO:0051301;GO:0007129	Cyclin family protein;Cyclin-SDS (Protein SOLO DANCERS)
Cg006G231130	770	AT1G14740.1	AT1G14740.1	orthologue	GO:0010468;GO:0005634;GO:0005515;GO:0001708;GO:0010071;GO:0009880;GO:0090421;GO:0010078;GO:0010492;GO:0008270;GO:0098659	Protein OBERON 3 (Protein TITANIA 1) (Protein WUS ENHANCER 9)
Cg006G231140	224	AT1G14730.1	AT1G14730.1	orthologue	GO:0016491;GO:0005739;GO:0140571;GO:0016020;GO:0046872	Probable transmembrane ascorbate ferrireductase 3 (EC 7.2.1.3) (Artb561-3) (Protein b561A.tha14)
Cg006G231150	331	AT1G14720.1	AT1G14720.1	orthologue	GO:0005576;GO:0010411;GO:0080086;GO:0030247;GO:0016762;GO:0004553;GO:0042546;GO:0010154;GO:0048046;GO:0071555;GO:0005975;GO:0005618;GO:0044042	Probable xyloglucan endotransglucosylase/hydrolase protein 28 (At-XTH28) (XTH-28) (EC 2.4.1.207)
Cg006G231160	624	AT1G14710.1	AT1G14710.1	orthologue	GO:0032451;GO:0005634;GO:0006402;GO:0003729	Hydroxyproline-rich glycoprotein family protein
Cg006G231170	599	AT1G14690.1	AT1G14690.1	orthologue	GO:0000226;GO:0005819;GO:0008017;GO:0005634;GO:0005737;GO:0000922;GO:0005874	65-kDa microtubule-associated protein 7 (AtMAP65-7)
Cg006G231180	276	AT1G14688.1	AT1G14688.1	orthologue	GO:0016567;GO:0004842;GO:0009507;GO:0006996;GO:0008270;GO:0016020;GO:0061630	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
Cg006G231190	167	AT1G14687.1	AT1G14687.1	orthologue	GO:0005515;GO:0003677;GO:0005739;GO:0006355;GO:0005634;GO:0000976;GO:0042803;GO:0003700;GO:0008270;GO:0050793	Zinc-finger homeodomain protein 14 (AtZHD14) (Homeobox protein 32) (AtHB-32)
Cg006G231200	382	AT1G14686.1	AT1G14686.1	orthologue	GO:0005634;GO:0048268;GO:0006900;GO:0032050;GO:0005905;GO:0005545;GO:0030136;GO:0072583;GO:0005546;GO:0030276;GO:0000149;GO:0005794;GO:0005543	Putative clathrin assembly protein At1g14686
Cg006G231210	281	AT1G14685.1	AT1G14685.1	orthologue	GO:1901002;GO:0000987;GO:0003700;GO:0080157;GO:0005634;GO:0043565;GO:0005515;GO:0009723;GO:0050793;GO:0001222;GO:0003677;GO:1990837	Protein BASIC PENTACYSTEINE2 (AtBPC2) (GAGA-binding transcriptional activator BBR/BPC2)
Cg006G231220	290	AT1G14680.1	AT1G14680.1	orthologue	GO:0003674;GO:0005737	Early endosome antigen (F10B6.4) (T5E21.16)
Cg006G231230	592	AT1G14670.1	AT1G14670.1	orthologue	GO:0005794;GO:0005576;GO:0016020;GO:0005802;GO:0000138;GO:0005768;GO:0003674;GO:0072657;GO:0000139;GO:0010008	Transmembrane 9 superfamily member 2 (Endomembrane protein 8) (Transmembrane nine protein 2) (AtTMN2)
Cg006G231240	756	AT1G14660.1	AT1G14660.1	orthologue	GO:0005886;GO:0098719;GO:0051453;GO:0015385;GO:0010348;GO:1902600;GO:0010352;GO:0010351;GO:0071805;GO:0015386;GO:0009507;GO:0006813;GO:0016020;GO:0006812;GO:0009941;GO:0015297;GO:0055085	Na+/H+ exchanger 8;Sodium/hydrogen exchanger 8 (Na(+)/H(+) exchanger 8) (NHE-8) (Protein SALT OVERLY SENSITIVE 1B)
Cg006G231260	787	AT1G14650.1	AT1G14650.1	orthologue	GO:0005634;GO:0045292;GO:0000398;GO:0005686;GO:0005684;GO:0003723;GO:0071004;GO:0071013;GO:0005515;GO:0006396;GO:0000381	Probable splicing factor 3A subunit 1
Cg006G231270	227	AT1G14630.1	AT1G14630.1	orthologue	GO:0007140;GO:0005634;GO:0003674;GO:0007143	XRI1-like protein
Cg006G231280	232	AT1G14620.1	AT1G14620.1	orthologue	GO:0003735;GO:0005762;GO:0005739;GO:0005743	Decoy;Large ribosomal subunit protein mL46
Cg006G231290	1107	AT1G14610.1	AT1G14610.1	orthologue	GO:0006438;GO:0005829;GO:0002161;GO:0005739;GO:0004832;GO:0009793;GO:0005576;GO:0009507;GO:0005524;GO:0000166;GO:0004812;GO:0006418	Valine--tRNA ligase, mitochondrial 1 (EC 6.1.1.9) (AtSYV1) (Protein TWIN 2) (Valyl-tRNA synthetase) (ValRS)
Cg006G231300	257	AT1G14600.1	AT1G14600.1	orthologue	GO:0003700;GO:0006355;GO:0005634;GO:0003677	Putative Myb family transcription factor At1g14600
Cg006G231310	380	AT1G14590.1	AT1G14590.1	orthologue	GO:0003674;GO:0009507;GO:0016740	Glycosyltransferase (Nucleotide-diphospho-sugar transferase family protein) (T5E21.9)
Cg006G231330	461	AT1G14580.3	AT1G14580.3	orthologue	GO:0000976;GO:0048364;GO:0008356;GO:0005634;GO:0003700;GO:0008270;GO:0009507;GO:0003677;GO:0006355	C2H2-like zinc finger protein;Protein indeterminate-domain 6, chloroplastic
Cg006G231340	466	AT1G14570.1	AT1G14570.1	orthologue	GO:0043161;GO:0043130;GO:0005737;GO:0005634;GO:0030674;GO:0005515	Plant UBX domain-containing protein 7 (PUX7);UBX domain-containing protein
Cg006G231350	331	AT1G14560.1	AT1G14560.1	orthologue	GO:0055085;GO:0005743;GO:1990559;GO:0005739;GO:0009507;GO:0015228;GO:0005737;GO:0016020	Mitochondrial carrier protein CoAc1 (AtCoAc1) (Mitochondrial coenzyme A transporter CoAc1);Mitochondrial substrate carrier family protein
Cg006G231360	317	AT1G14540.1	AT1G14540.1	orthologue	GO:0020037;GO:0071456;GO:0004601;GO:0140825;GO:0005576;GO:0006979;GO:0042744;GO:0046872	Peroxidase 4 (Atperox P4) (EC 1.11.1.7) (ATP46)
Cg006G231370	303	AT1G14530.2	AT1G14530.2	orthologue	GO:0046790;GO:0009705;GO:0005739;GO:0005774	Protein TOM THREE HOMOLOG 1;Tobamovirus multiplication-like protein (DUF1084)
Cg006G231380	303	AT1G14520.3	AT1G14520.3	orthologue	GO:0005737;GO:0019310;GO:0050113;GO:0005506;GO:0006949;GO:0019853	Inositol oxygenase (EC 1.13.99.1) (Myo-inositol oxygenase);Inositol oxygenase 1 (EC 1.13.99.1) (Myo-inositol oxygenase 1) (AtMIOX1) (MI oxygenase 1)
Cg006G231390	248				GO:0004842;GO:0016567;GO:0006996	
Cg006G231400	345					
Cg006G231410	252	AT1G14510.1	AT1G14510.1	orthologue	GO:0005634;GO:0006355;GO:0003712;GO:0000976;GO:0035064;GO:0006325;GO:0008270;GO:0042393	PHD finger protein ALFIN-LIKE 7 (Protein AL7)
Cg006G231420	242	AT1G14490.2	AT1G14490.2	orthologue	GO:0005634;GO:0003680;GO:0009507;GO:0003700	AT-hook motif nuclear-localized protein;AT-hook motif nuclear-localized protein 28
Cg006G231430	440	AT1G14480.1	AT1G14480.1	other	GO:0005575;GO:0003674;GO:0008150;GO:0016020;GO:0005515	Ankyrin repeat family protein;Ankyrin repeat family protein (F14L17.26 protein)
Cg006G231440	543	AT1G14470.1	AT1G14470.1	orthologue	GO:0003723;GO:0009451;GO:0043231;GO:0005739;GO:0005515	Pentatricopeptide repeat-containing protein At1g14470
Cg006G231450	1146	AT1G14460.1	AT1G14460.1	orthologue	GO:0006281;GO:0005663;GO:0003887;GO:0009360;GO:0005886;GO:0006260;GO:0006261;GO:0016887;GO:0005634;GO:0003689;GO:0003677;GO:0005524;GO:0046872	Protein STICHEL-like 1
Cg006G231470	73	AT1G14450.2	AT1G14450.2	other	GO:0009853;GO:0003674;GO:0005739;GO:0031966;GO:0045271;GO:0005576;GO:0032981;GO:0022900;GO:0005743;GO:0005747	NADH dehydrogenase (Ubiquinone)s;NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3-B
Cg006G231480	314	AT1G14440.1	AT1G14440.1	orthologue	GO:0005515;GO:0048574;GO:0003700;GO:0006355;GO:0005634;GO:0042803;GO:0000976;GO:0003677;GO:0008270;GO:0050793	Zinc-finger homeodomain protein 4 (AtZHD4) (Homeobox protein 31) (AtHB-31) (Protein FLORAL TRANSITION AT THE MERISTEM 2)
Cg006G231490	562	AT1G14430.1	AT1G14430.1	orthologue	GO:0005576;GO:0003674;GO:0016020	F14L17.20 protein (Glyoxal oxidase-related protein)
Cg006G231500	459	AT1G14420.1	AT1G14420.1	orthologue	GO:0030570;GO:0045490;GO:0005737;GO:0016829;GO:0005576;GO:0009664;GO:0046872	Probable pectate lyase 3 (EC 4.2.2.2) (Pectate lyase A2)
Cg006G231510	268	AT1G14410.1	AT1G14410.1	orthologue	GO:0032211;GO:0006355;GO:0003729;GO:0005576;GO:0009507;GO:0003697;GO:0006952;GO:0003677;GO:0042644;GO:0006281;GO:0042162;GO:0000781;GO:0009627;GO:0009863;GO:0032204;GO:1990391	Single-stranded DNA-binding protein WHY1, chloroplastic (Protein PLASTID TRANSCRIPTIONALLY ACTIVE 1) (Protein WHIRLY 1) (AtWHY1)
Cg006G231520	152	AT1G14400.1	AT1G14400.1	orthologue	GO:0043161;GO:0004842;GO:0061631;GO:0005829;GO:0006511;GO:0000209;GO:0005634;GO:0016567;GO:0009910;GO:0010228;GO:0009965;GO:0006281;GO:0140936;GO:0005524	Ubiquitin-conjugating enzyme E2 1 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 1) (Ubiquitin carrier protein 1) (Ubiquitin-conjugating enzyme E2-17 kDa 1) (Ubiquitin-protein ligase 1)
Cg006G231530	729	AT1G14390.1	AT1G14390.1	orthologue	GO:0005515;GO:0045088;GO:0009507;GO:0004672;GO:0004674;GO:0005524;GO:0016020;GO:0106310;GO:0006468	Probable LRR receptor-like serine/threonine-protein kinase At1g14390 (EC 2.7.11.1)
Cg006G231540	677	AT1G14380.1	AT1G14380.1	orthologue	GO:0005737;GO:0005576;GO:0005875;GO:0003674;GO:0005516;GO:0005634;GO:0005515	IQ-domain 28;Protein IQ-DOMAIN 28 (AtIQD28)
Cg006G231550	426	AT1G14370.1	AT1G14370.1	orthologue	GO:0005515;GO:0044024;GO:0005886;GO:1900426;GO:0004674;GO:0006468;GO:0030957;GO:0005524;GO:0005634;GO:0006952;GO:0106310;GO:0004672	Probable serine/threonine-protein kinase PBL2 (EC 2.7.11.1) (PBS1-like protein 2) (Protein kinase 2A)
Cg006G231560	331	AT1G14360.1	AT1G14360.1	orthologue	GO:0072334;GO:0005789;GO:0005459;GO:0000139;GO:0030968;GO:0009555;GO:0009553;GO:0005460;GO:0015297;GO:0022857;GO:0055085	UDP-galactose/UDP-glucose transporter 3 (AtUTr3)
Cg006G231570	435	AT1G14350.1	AT1G14350.1	orthologue	GO:0080022;GO:0010444;GO:0032875;GO:0010235;GO:2000037;GO:0000978;GO:0006355;GO:0010052;GO:0003700;GO:0000976;GO:0009737;GO:1902584;GO:0009733;GO:0009554;GO:0005634;GO:0043565;GO:1902806;GO:0010376;GO:1901333;GO:1901002;GO:0009926;GO:0090436;GO:0000981;GO:0005515;GO:0009629;GO:0009553;GO:0050891;GO:0009734;GO:0003677	Duplicated homeodomain-like superfamily protein;Transcription factor MYB124 (Myb-related protein 124) (AtMYB124) (Protein FOUR LIPS)
Cg006G231580	194	AT1G14345.1	AT1G14345.1	orthologue	GO:0009535;GO:0009507;GO:0003674;GO:0009534;GO:0005576	NAD(P)-linked oxidoreductase superfamily protein
Cg006G231590	245	AT1G14340.1	AT1G14340.1	orthologue	GO:0005575;GO:0003674;GO:0003723;GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Cg006G231600	454	AT1G14330.1	AT1G14330.1	orthologue	GO:0005634;GO:0003674;GO:0005515	At1g14330/F14L17_7 (F14L17.10 protein) (Galactose oxidase/kelch repeat superfamily protein)
Cg006G231610	220	AT1G14320.1	AT1G14320.1	orthologue	GO:0005737;GO:0032502;GO:0022626;GO:0022625;GO:0003729;GO:0006412;GO:0071493;GO:0005576;GO:0005773;GO:0005515;GO:0003735;GO:0005634;GO:0000325;GO:0005730;GO:0005840;GO:0051607;GO:1990904	Large ribosomal subunit protein uL16z (60S ribosomal protein L10-1) (Ribosomal protein RPL10A) (Suppressor of ACAULIS 52);Ribosomal protein L16p/L10e family protein
Cg006G231630	371	AT1G14315.2	AT1G14315.2	orthologue	GO:0008150;GO:0003674;GO:0005634;;GO:0005515	F-box and associated interaction domains-containing protein;Probable F-box protein At1g14315
Cg006G231640	253	AT1G14310.1	AT1G14310.1	orthologue	GO:0008150;GO:0009507;GO:0003674;GO:0016787	F14L17.7 protein (Haloacid dehalogenase-like hydrolase (HAD) superfamily protein)
Cg006G231650	339	AT1G14300.2	AT1G14300.2	orthologue	GO:0003674;GO:0005634	Protein HGH1 homolog
Cg006G231660	260	AT1G14290.1	AT1G14290.1	orthologue	GO:0005794;GO:0016491;GO:0008610;GO:0102772;GO:0009640;GO:0005506;GO:0000170;GO:0046520;GO:0005789;GO:0005783;GO:0016020	Sphinganine C4-monooxygenase 2 (EC 1.14.18.5) (Sphingoid C4-hydroxylase 2) (Sphingoid base hydroxylase 2);Sphingoid base hydroxylase 2
Cg006G231670	451	AT1G14280.1	AT1G14280.1	orthologue	GO:0048366;GO:0009638;GO:0005515;GO:0005886;GO:0005634;GO:0009585	Protein PHYTOCHROME KINASE SUBSTRATE 2
Cg006G231680	337	AT1G14270.1	AT1G14270.1	orthologue	GO:0071586;GO:0004222;GO:0005886;GO:0004175;GO:0006508;GO:0016020;GO:0080120	CAAX amino terminal protease family protein
Cg006G231690	266	AT1G14260.1	AT1G14260.1	orthologue	GO:0016567;GO:0004842;GO:0016020;GO:0008270	At1g14260 (RING domain protein) (RING/FYVE/PHD zinc finger superfamily protein)
Cg006G231700	465	AT1G14250.1	AT1G14250.1	orthologue	GO:0004050;GO:0009134;GO:0000325;GO:0017110;GO:0005886;GO:0016020;GO:0005524;GO:0016787	Probable apyrase 5 (AtAPY5) (EC 3.6.1.5) (ATP-diphosphatase) (ATP-diphosphohydrolase) (Adenosine diphosphatase) (ADPase) (NTPDase) (Nucleoside triphosphate diphosphohydrolase 5)
Cg006G231710	505	AT1G14230.1	AT1G14230.1	orthologue	GO:0004050;GO:0009507;GO:0009134;GO:0017110;GO:0016020;GO:0005524;GO:0016787	Probable apyrase 4 (AtAPY4) (EC 3.6.1.5) (ATP-diphosphatase) (ATP-diphosphohydrolase) (Adenosine diphosphatase) (ADPase) (NTPDase) (Nucleoside triphosphate diphosphohydrolase 4)
Cg006G231720	481	AT1G14240.1	AT1G14240.1	orthologue	GO:0009134;GO:0016020;GO:0017110;GO:0004050;GO:0005524;GO:0016787	Probable apyrase 3 (AtAPY3) (EC 3.6.1.5) (ATP-diphosphatase) (ATP-diphosphohydrolase) (Adenosine diphosphatase) (ADPase) (NTPDase) (Nucleoside triphosphate diphosphohydrolase 3);apyrase (EC 3.6.1.5) (ATP-diphosphatase) (ATP-diphosphohydrolase) (Adenosine diphosphatase) (NTPDase)
Cg006G231740	226	AT1G14220.1	AT1G14220.1	orthologue	GO:0033897;GO:0003723;GO:0004521;GO:0006401;GO:0005576;GO:0016787	F7A19.32 protein (Ribonuclease T2 family protein)
Cg006G231750	249	AT1G14210.1	AT1G14210.1	orthologue	GO:0004521;GO:0099503;GO:0033897;GO:0006401;GO:0003723;GO:0005737;GO:0005576;GO:0016787	Ribonuclease T2 family protein
Cg006G231760	168	AT1G14205.1	AT1G14205.1	orthologue	GO:0003735;GO:0009507;GO:0008097;GO:0006412;GO:0005840;GO:1990904	Ribosomal L18p/L5e family protein
Cg006G231770	203	AT1G14200.1	AT1G14200.1	orthologue	GO:0098542;GO:0071456;GO:0061630;GO:0005634;GO:0016567;GO:0005737;GO:0008270	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
Cg006G231780	528	AT1G14190.2, AT1G14185.1	AT1G14190.2	orthologue	GO:0016614;GO:0009507;GO:0050660;GO:0008150;GO:0005634	At1g14180/F7A19_27 (F7A19.27 protein) (Glucose-methanol-choline (GMC) oxidoreductase family protein);F7A19.28 protein (Glucose-methanol-choline (GMC) oxidoreductase family protein);Glucose-methanol-choline (GMC) oxidoreductase family protein
Cg006G231790	97	AT1G08695.1	AT1G08695.1	other	GO:0007165;GO:0003674;GO:0005576;GO:0031640;GO:0050832	Putative defensin-like protein 228 (Putative S locus cysteine-rich-like protein 3) (Protein SCRL3) (SCR-like protein 3)
Cg006G231800	353	AT1G14180.1	AT1G14180.1	orthologue	GO:0005634;GO:0005576;GO:0003674;GO:0008270;GO:0016020;GO:0016829	Putative mandelonitrile lyase (RING/U-box superfamily protein);RING/U-box superfamily protein
Cg006G231810	451	AT1G14170.3	AT1G14170.3	orthologue	GO:0005737;GO:0005634;GO:0003729;GO:0009911;GO:0003723;GO:0003676	AT1G14170 protein (RNA-binding KH domain-containing protein);At1g14170 (RNA-binding KH domain-containing protein);F7A19.25 protein (RNA-binding KH domain-containing protein)
Cg006G231830	221	AT1G14160.1	AT1G14160.1	orthologue	GO:0007043;GO:0042545;GO:0005886;GO:0003674	CASP-like protein 1A1 (AtCASPL1A1)
Cg006G231840	194	AT1G14150.1	AT1G14150.1	orthologue	GO:0009535;GO:0009507;GO:0019898;GO:0009534;GO:0005509;GO:0009767;GO:0009543;GO:0009344;GO:0045156;GO:0009654;GO:0009523;GO:0015979	Photosynthetic NDH subunit of lumenal location 2, chloroplastic (PsbQ-like protein 1)
Cg006G231850	305	AT1G14140.1	AT1G14140.1	orthologue	GO:0009409;GO:0022857;GO:0005739;GO:0005743;GO:0055085	Mitochondrial uncoupling protein 3 (AtPUMP3)
Cg006G231860	303	AT1G14130.1	AT1G14130.1	orthologue	GO:0009852;GO:0005634;GO:0016706;GO:0050302;GO:0005737;GO:0140964;GO:0046872	2-oxoglutarate-dependent dioxygenase DAO (Protein DIOXYGENASE FOR AUXIN OXIDATION)
Cg006G231870	312	AT1G14120.1	AT1G14120.1	orthologue	GO:0005737;GO:0016706;GO:0050302;GO:0046872	2-oxoglutarate-dependent dioxygenase DAO (Protein DIOXYGENASE FOR AUXIN OXIDATION)
Cg006G231880	560	AT1G14100.1	AT1G14100.1	other	GO:0008417;GO:0005794;GO:0009969;GO:0006486;GO:0008107;GO:0042546;GO:0032580;GO:0071555;GO:0016020	Probable fucosyltransferase 8 (AtFUT8) (EC 2.4.1.-)
Cg006G231890	468	AT1G14110.1	AT1G14110.1	orthologue	GO:0042546;GO:0006486;GO:0036065;GO:0009969;GO:0008107;GO:0008417;GO:0005794;GO:0032580;GO:0071555;GO:0016020	Probable fucosyltransferase 9 (AtFUT9) (EC 2.4.1.-)
Cg006G231900	561	AT1G14080.1	AT1G14080.1	orthologue	GO:0009969;GO:0009651;GO:0006486;GO:0031127;GO:0042546;GO:0016757;GO:0008417;GO:0005794;GO:0008107;GO:0032580;GO:0071555;GO:0016020	Fucosyltransferase 6 (AtFUT6) (EC 2.4.1.-)
Cg006G231910	545	AT1G14080.1, AT1G14100.1, AT1G14110.1, AT2G15350.1, AT2G15360.1, AT2G15370.1, AT2G15390.2	AT1G14080.1	other	GO:0008150;GO:0005575;GO:0003674;GO:0008417;GO:0005794;GO:0009969;GO:0006486;GO:0008107;GO:0042546;GO:0009651;GO:0031127;GO:0016757;GO:0016020;GO:0036065;GO:0071555;GO:0032580	Fucosyltransferase;Fucosyltransferase 6 (AtFUT6) (EC 2.4.1.-);Probable fucosyltransferase 4 (AtFUT4) (EC 2.4.1.-);Probable fucosyltransferase 5 (AtFUT5) (EC 2.4.1.-);Probable fucosyltransferase 8 (AtFUT8) (EC 2.4.1.-);Probable fucosyltransferase 9 (AtFUT9) (EC 2.4.1.-);Putative fucosyltransferase 10 (AtFUT10) (EC 2.4.1.-)
Cg006G231920	174	AT1G14060.1	AT1G14060.1	orthologue	GO:0003674;GO:0005634	F7A19.14 protein (GCK domain-containing protein)
Cg006G231930	823	AT1G14040.1	AT1G14040.1	orthologue	GO:0005802;GO:0016036;GO:0005794;GO:0005886;GO:0055062;GO:0006817;GO:0006882;GO:0000822;GO:0005315;GO:0016020;GO:0005737;GO:0015114	Phosphate transporter PHO1 homolog 3 (Protein PHO1 homolog 3) (AtPHO1;H3)
Cg006G231940	485	AT1G14030.1	AT1G14030.1	orthologue	GO:0005515;GO:0016279;GO:0009570;GO:0018023;GO:0009507;GO:0030785;GO:0018026;GO:0018022	[Fructose-bisphosphate aldolase]-lysine N-methyltransferase, chloroplastic (EC 2.1.1.259) (Aldolases N-methyltransferase) ([Ribulose-bisphosphate carboxylase]-lysine N-methyltransferase-like) (AtLSMT-L) (LSMT-like enzyme)
Cg006G231950	500	AT1G14020.1	AT1G14020.1	orthologue	GO:0045489;GO:0016757;GO:0005737;GO:0005634;GO:0000139;GO:0006004;GO:0071555;GO:0009507	Rhamnogalacturonan I rhamnosyltransferase 1 (EC 2.4.1.351) (O-fucosyltransferase 3) (O-FucT-3) (O-fucosyltransferase family protein)
Cg006G231960	212	AT1G14010.1	AT1G14010.1	orthologue	GO:0005783;GO:0006886;GO:0030134;GO:0006888;GO:0003674;GO:0005793;GO:0005794;GO:0007030;GO:0005789;GO:0015031;GO:0016192;GO:0032580	Transmembrane emp24 domain-containing protein p24delta7 (p24 family protein delta2a) (p24delta2a) (p24 family protein delta7) (p24delta7)
Cg006G231970	438	AT1G14000.1	AT1G14000.1	orthologue	GO:0009742;GO:1902074;GO:0004674;GO:0071333;GO:0004709;GO:0010828;GO:0004712;GO:0009733;GO:0005576;GO:0009734;GO:0005515;GO:0010305;GO:0000325;GO:0007165;GO:0005634;GO:0005524;GO:0004672;GO:0006468	Serine/threonine-protein kinase VIK (EC 2.7.11.1) (VH1-interacting kinase)
Cg006G231980	209	AT4G26485.1	AT4G26485.1	orthologue	GO:0005634;GO:0070475;GO:0005737;GO:0070042	Uncharacterized protein At4g26485
Cg006G231990	278	AT1G13990.3	AT1G13990.3	orthologue	GO:0009507;GO:0003674	AT4g27310/M4I22_120 (At1g13990/F16A14.28) (Plant/protein);Plant/protein
Cg006G232000	1453	AT1G13980.1	AT1G13980.1	orthologue	GO:0009793;GO:0009942;GO:0070417;GO:0016192;GO:0005515;GO:0071555;GO:0048765;GO:0048209;GO:0042803;GO:0032012;GO:0005886;GO:0005737;GO:0006897;GO:0010087;GO:0009826;GO:0042802;GO:0010311;GO:0005768;GO:0001736;GO:0010540;GO:0032509;GO:0000911;GO:0009880;GO:0007155;GO:0005829;GO:0005085;GO:0010292;GO:0010008;GO:0010274;GO:0015031	ARF guanine-nucleotide exchange factor GNOM (Pattern formation protein EMB30) (Protein EMBRYO DEFECTIVE 30) (Protein MIZU-KUSSEI2) (Protein VASCULAR NETWORK 7)
