Aethionema_saxatile	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
As010G240570	413	AT1G73140.1	AT1G73140.1	orthologue	GO:0045492;GO:1990538;GO:0016413;GO:0005794;GO:0016020;GO:0016740	Protein trichome birefringence-like 31
As010G240580	348	AT1G73130.1	AT1G73130.1	orthologue	GO:0005776;GO:0005634;GO:0010286;GO:0005515;GO:0006950;GO:0061908	F3N23.33 protein (Mucin);Mucin
As010G240590	107	AT1G73120.1	AT1G73120.1	orthologue	GO:0003674;GO:0006979;GO:0005575	At1g73120 (F-box/RNI superfamily protein)
As010G240600	422	AT1G73110.1	AT1G73110.1	orthologue	GO:0005739;GO:0009535;GO:0009507;GO:0003674;GO:0008150;GO:0005524;GO:0009570;GO:0016887;GO:0046863	Ribulose bisphosphate carboxylase/oxygenase activase, chloroplastic (RA) (RuBisCO activase)
As010G240610	662	AT1G73100.1	AT1G73100.1	orthologue	GO:0005515;GO:0003690;GO:0005634;GO:0042054;GO:0010385;GO:0008270;GO:0040029;GO:0005694;GO:0000775;GO:0032259	Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH3 (EC 2.1.1.367) (Histone H3-K9 methyltransferase 3) (H3-K9-HMTase 3) (Protein SET DOMAIN GROUP 19) (Suppressor of variegation 3-9 homolog protein 3) (Su(var)3-9 homolog protein 3)
As010G240620	309	AT1G73090.2	AT1G73090.2	orthologue	GO:0003674;GO:0005575	At1g73090 (WD repeat protein);WD repeat protein
As010G240630	1116	AT1G73080.1	AT1G73080.1	orthologue	GO:0004674;GO:0004383;GO:0005515;GO:0005886;GO:0009611;GO:0045087;GO:0016301;GO:0009506;GO:0009753;GO:0001653;GO:0006955;GO:0005524;GO:0106310;GO:0004672;GO:0006468;GO:0033612	Leucine-rich repeat receptor-like protein kinase PEPR1 (EC 2.7.11.1) (Elicitor peptide 1 receptor 1) (PEP1 receptor 1)
As010G240650	109	AT5G60150.2	AT5G60150.2	other	GO:0008017;GO:0005634	Uncharacterized protein
As010G240660	485	AT1G73060.1	AT1G73060.1	orthologue	GO:0009507;GO:0010207;GO:0005739;GO:0005515;GO:0009571;GO:0009570	Protein LPA3 (Protein LOW PSII ACCUMULATION 3, chloroplastic)
As010G240670	177	AT1G73066.1	AT1G73066.1	orthologue	GO:0005886;GO:0003674;GO:0016301;GO:0005515	Highly similar to receptor-like protein kinase (Leucine-rich repeat family protein)
As010G240680	360	AT1G73060.1	AT1G73060.1	orthologue	GO:0009507;GO:0010207;GO:0005739;GO:0005515;GO:0009571;GO:0009570	Protein LPA3 (Protein LOW PSII ACCUMULATION 3, chloroplastic)
As010G240690	538	AT1G73050.1	AT1G73050.1	orthologue	GO:0016614;GO:0050660;GO:0005575;GO:0046202;GO:0046593;GO:0006952	(R)-mandelonitrile lyase-like (EC 4.1.2.10) (Hydroxynitrile lyase-like) ((R)-oxynitrilase-like)
As010G240700	174	AT1G73040.1	AT1G73040.1	orthologue	GO:0005575;GO:0008150;GO:0003674;GO:0030246	Jacalin-related lectin 19
As010G240710	93	AT1G73180.1	AT1G73180.1	other	GO:0003729;GO:0022627;GO:0003743;GO:0008150;GO:0005739;GO:0005737;GO:0000049;GO:0043022;GO:0006417;GO:0006413	Eukaryotic translation initiation factor 2A;Eukaryotic translation initiation factor 2A (eIF-2A)
As010G240720	20	AT1G73180.1	AT1G73180.1	other	GO:0003729;GO:0022627;GO:0003743;GO:0008150;GO:0005739;GO:0005737;GO:0000049;GO:0043022;GO:0006417	Eukaryotic translation initiation factor 2A;Eukaryotic translation initiation factor 2A (eIF-2A)
As010G240730	52					
As010G240740	203	AT1G73030.1	AT1G73030.1	orthologue	GO:0000815;GO:0005515;GO:0009793;GO:0032509;GO:0016192;GO:0000578;GO:0090351;GO:0005739;GO:0045324;GO:0007034;GO:0015031;GO:0005771;GO:0005737;GO:0010008	ESCRT-related protein CHMP1B (Protein CHARGED MULTIVESICULAR BODY PROTEIN 1B) (Protein CHROMATIN MODIFYING PROTEIN 1B) (Vacuolar protein-sorting-associated protein 46.2)
As010G240750	663	AT1G73020.1	AT1G73020.1	other	GO:1902476;GO:0005254;GO:0005575;GO:0034707	Anoctamin-like protein At1g73020
As010G240760	1327	AT2G48110.1	AT2G48110.1	orthologue	GO:0003674;GO:0016592;GO:2000762;GO:0016020;GO:0009698	Mediator of RNA polymerase II transcription subunit 33B (Protein REDUCED EPIDERMAL FLUORESCENCE 4) (AtREF4)
As010G240770	321	AT2G48120.1	AT2G48120.1	orthologue	GO:0003723;GO:0010239;GO:0016070;GO:0042644;GO:0071482;GO:0009507;GO:0009965;GO:0009501;GO:0009570;GO:0016117;GO:0009513;GO:0009658;GO:0009509;GO:0009537;GO:0019843;GO:0042254;GO:0009536;GO:0048366	Protein PALE CRESS, chloroplastic
As010G240780	497	AT1G17720.1	AT1G17720.1	orthologue	GO:0005515;GO:0005634;GO:0019888;GO:0000159;GO:0005829;GO:0005737;GO:0006470	Serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B beta isoform (AtB beta) (PP2A, subunit B, beta isoform)
As010G240790	292	AT1G73010.1	AT1G73010.1	orthologue	GO:0016036;GO:0004427;GO:0016791;GO:0071456;GO:0016462;GO:0005634;GO:0051262;GO:0005783;GO:0046872	Inorganic pyrophosphatase 1 (AtPPsPase1) (PPi phosphatase 1) (Pyrophosphate-specific phosphatase 1) (EC 3.6.1.1) (Protein PHOSPHATE STARVATION-INDUCED GENE 2) (AtPS2)
As010G240800	426					
As010G240810	227	AT1G73000.1	AT1G73000.1	orthologue	GO:0010427;GO:0009738;GO:0038023;GO:0005737;GO:0004864;GO:0005515;GO:0042802;GO:0042803;GO:0005634;GO:0005886;GO:0062049	Abscisic acid receptor PYL3 (PYR1-like protein 3) (Regulatory components of ABA receptor 13)
As010G240820	681	AT1G72990.1	AT1G72990.1	orthologue	GO:0019388;GO:0009507;GO:0004565;GO:0005773;GO:0005975;GO:0048046;GO:0004553	Beta-galactosidase (EC 3.2.1.23);Beta-galactosidase 17 (Lactase 17) (EC 3.2.1.23)
As010G240830	600	AT1G72970.1	AT1G72970.1	orthologue	GO:0007267;GO:0005576;GO:0010430;GO:0050660;GO:0016614;GO:0009553;GO:0046593	Glucose-methanol-choline (GMC) oxidoreductase family protein;Protein HOTHEAD (Protein ADHESION OF CALYX EDGES)
As010G240840	235	AT5G48770.1, AT1G72860.2, AT4G09360.1, AT5G40100.1, AT1G17600.1, AT1G72840.2, AT4G09430.1	AT4G09360.1	orthologue	GO:0007165;GO:0005575;GO:0006952;GO:0043531;GO:0034052;GO:0005737;GO:0005634;GO:0009941;GO:0009507;GO:0016887;GO:0045088;GO:0005515;GO:0016020;GO:0016787;GO:0051707	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6);Disease resistance protein (TIR-NBS-LRR class);Disease resistance protein (TIR-NBS-LRR class) family
As010G240850	405	AT5G48770.1, AT1G72860.2, AT4G09360.1, AT5G40100.1, AT1G17600.1, AT1G72840.2, AT4G09430.1	AT1G72840.2	orthologue	GO:0007165;GO:0005575;GO:0006952;GO:0043531;GO:0034052;GO:0005737;GO:0005634;GO:0009941;GO:0009507;GO:0016887;GO:0045088;GO:0005515;GO:0016020;GO:0016787;GO:0051707	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6);Disease resistance protein (TIR-NBS-LRR class);Disease resistance protein (TIR-NBS-LRR class) family
As010G240860	166	AT1G72840.2	AT1G72840.2	other	GO:0034052;GO:0009507;GO:0005737;GO:0043531;GO:0007165;GO:0006952;GO:0016787	Disease resistance protein (TIR-NBS-LRR class)
As010G240870	474	AT1G72850.1, AT4G09420.1	AT4G09420.1	orthologue	GO:0007165;GO:0009507;GO:0006952;GO:0043531	Disease resistance protein (TIR-NBS class);Disease resistance protein (TIR-NBS class) (Similar to part of downy mildew resistance protein RPP5)
As010G240880	789	AT1G72960.1	AT1G72960.1	orthologue	GO:0016320;GO:0003924;GO:0005634;GO:0005783;GO:0005525;GO:0005789	Protein ROOT HAIR DEFECTIVE 3 homolog (EC 3.6.5.-) (Protein SEY1 homolog);Protein ROOT HAIR DEFECTIVE 3 homolog 1 (EC 3.6.5.-) (Protein SEY1 homolog 2)
As010G240900	384	AT1G72880.1	AT1G72880.1	orthologue	GO:0005829;GO:0008252;GO:0009507;GO:0046872;GO:0016787	At1g72880 (Survival protein SurE-like phosphatase/nucleotidase)
As010G240910	162	AT1G72850.1, AT4G09420.1	AT4G09420.1	orthologue	GO:0007165;GO:0009507;GO:0006952;GO:0043531	Disease resistance protein (TIR-NBS class);Disease resistance protein (TIR-NBS class) (Similar to part of downy mildew resistance protein RPP5)
As010G240920	1236	AT5G48770.1, AT1G72860.2, AT4G09360.1, AT5G40100.1, AT1G17600.1, AT1G72840.2, AT4G09430.1	AT1G72840.2	orthologue	GO:0007165;GO:0005575;GO:0006952;GO:0043531;GO:0034052;GO:0005737;GO:0005634;GO:0009941;GO:0009507;GO:0016887;GO:0045088;GO:0005515;GO:0016020;GO:0016787;GO:0051707	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6);Disease resistance protein (TIR-NBS-LRR class);Disease resistance protein (TIR-NBS-LRR class) family
As010G240930	470	AT1G72850.1, AT4G09420.1	AT4G09420.1	orthologue	GO:0007165;GO:0009507;GO:0006952;GO:0043531	Disease resistance protein (TIR-NBS class);Disease resistance protein (TIR-NBS class) (Similar to part of downy mildew resistance protein RPP5)
As010G240940	1184	AT5G48770.1, AT1G72860.2, AT4G09360.1, AT5G40100.1, AT1G17600.1, AT1G72840.2, AT4G09430.1	AT1G72840.2	orthologue	GO:0007165;GO:0005575;GO:0006952;GO:0043531;GO:0034052;GO:0005737;GO:0005634;GO:0009941;GO:0009507;GO:0016887;GO:0045088;GO:0005515;GO:0016020;GO:0016787;GO:0051707	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6);Disease resistance protein (TIR-NBS-LRR class);Disease resistance protein (TIR-NBS-LRR class) family
As010G240950	322	AT1G72830.2	AT1G72830.2	orthologue	GO:0003700;GO:0006355;GO:0006357;GO:0016602;GO:0005634;GO:0000981;GO:0003677	Nuclear transcription factor Y subunit;Nuclear transcription factor Y subunit A-3 (AtNF-YA-3) (Transcriptional activator HAP2C)
As010G240960	352	AT1G72820.1	AT1G72820.1	orthologue	GO:0055085;GO:0005575;GO:0003674;GO:0016020	At1g72820/F3N23_2 (F3N23.2 protein) (Mitochondrial substrate carrier family protein)
As010G240980	522	AT1G72810.1	AT1G72810.1	orthologue	GO:0004795;GO:0019344;GO:0005737;GO:0009088;GO:0009507;GO:0030170;GO:0006520	Threonine synthase 2, chloroplastic (EC 4.2.3.1)
As010G240990	572	AT1G72790.1	AT1G72790.1	orthologue	GO:0003674;GO:0005634;GO:0016020	Hydroxyproline-rich glycoprotein family protein
As010G241000	522	AT1G72770.1	AT1G72770.1	other	GO:0005515;GO:1902531;GO:0004722;GO:0017018;GO:0009507;GO:0005634;GO:0005737;GO:0009738;GO:0046872;GO:0043169;GO:0006470	Protein phosphatase 2C 16 (AtPP2C16) (EC 3.1.3.16) (AtP2C-HA) (Protein HYPERSENSITIVE TO ABA 1) (Protein phosphatase 2C HAB1) (PP2C HAB1)
As010G241020	187	AT1G72750.1	AT1G72750.1	orthologue	GO:0005743;GO:0030150;GO:0005744;GO:0005739;GO:0008320;GO:0022857	Mitochondrial import inner membrane translocase subunit TIM23-2
As010G241030	297	AT1G72740.1	AT1G72740.1	orthologue	GO:0006334;GO:0000786;GO:0005634;GO:0003700;GO:0003691;GO:0000976;GO:0005730;GO:0003677	MYB transcription factor;Telomere repeat-binding factor 5 (MYB transcription factor)
As010G241040	414	AT1G72730.1	AT1G72730.1	orthologue	GO:0010494;GO:0003724;GO:0000325;GO:0005739;GO:0003743;GO:0003729;GO:0009505;GO:0002183;GO:0005737;GO:0005524;GO:0016887;GO:0003676	Eukaryotic initiation factor 4A-3 (eIF-4A-3) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-3) (DEAD-box ATP-dependent RNA helicase 23)
As010G241050	466	AT1G72710.1	AT1G72710.1	orthologue	GO:0006897;GO:0005737;GO:0006468;GO:0007165;GO:0004674;GO:0005634;GO:0005515;GO:0005524;GO:0106310;GO:0004672	Casein kinase 1-like protein 2 (EC 2.7.11.1) (Protein CASEIN KINASE I-LIKE 2)
As010G241060	1232	AT1G72700.1	AT1G72700.1	orthologue	GO:0000287;GO:1901703;GO:0005886;GO:0015662;GO:0140326;GO:0045332;GO:0005739;GO:0140327;GO:0016887;GO:0016049;GO:0015914;GO:0005524;GO:0016020;GO:0005215;GO:0000166	Probable phospholipid-transporting ATPase 5 (AtALA5) (EC 7.6.2.1) (Aminophospholipid flippase 5)
As010G241070	92	AT1G72690.1	AT1G72690.1	orthologue	GO:0005634;GO:0003674	At1g72690 (Neurofilament heavy protein)
As010G241080	350	AT1G72680.1	AT1G72680.1	orthologue	GO:0005829;GO:0009809;GO:0008270;GO:0045551;GO:0009507;GO:0016616;GO:0050268;GO:0016491	Probable cinnamyl alcohol dehydrogenase 1 (AtCAD1) (EC 1.1.1.195)
As010G241090	419	AT1G72670.1	AT1G72670.1	other	GO:0005737;GO:0009574;GO:2000073;GO:0009524;GO:0005515;GO:0005516;GO:0005635	Protein IQ-DOMAIN 8 (AtIQD8)
As010G241100	545	AT1G72650.2	AT1G72650.2	orthologue	GO:0003674;GO:0008150;GO:0005634;GO:0000976	At1g72650/F28P22_16 (MYB transcription factor) (TRF-like 6);TRF-like 6
As010G241110	312	AT1G72640.1	AT1G72640.1	orthologue	GO:0009507;GO:0008150;GO:0009535;GO:0003674	At1g72640 (NAD(P)-binding Rossmann-fold superfamily protein);NAD(P)-binding Rossmann-fold superfamily protein
As010G241120	115	AT1G72630.1	AT1G72630.1	orthologue	GO:0009648;GO:0005739;GO:0009649;GO:0042753;GO:0005634;GO:0042803;GO:0048511	Protein ELF4-LIKE 2
As010G241130	129	AT1G72630.1	AT1G72630.1	orthologue	GO:0009648;GO:0005739;GO:0009649;GO:0042753;GO:0005634;GO:0042803;GO:0048511	Protein ELF4-LIKE 2
As010G241140	703	AT1G17440.1	AT1G17440.1	orthologue	GO:0005515;GO:0006352;GO:0005634;GO:0005669;GO:0051123;GO:0009736;GO:0010104;GO:0000124;GO:0017025;GO:0003677;GO:0009867;GO:0046982;GO:0003743	Transcription initiation factor TFIID subunit 12b (Protein CYTOKININ-HYPERSENSITIVE 1) (Protein ENHANCED ETHYLENE RESPONSE 4) (TBP-associated factor 12b) (AtTAF12b)
As010G241150	377	AT1G30920.1, AT1G30925.1, AT1G30930.1, AT1G31080.1, AT1G31090.1, AT1G33010.1, AT1G33020.1, AT1G60370.1, AT1G67130.1, AT3G56890.1, AT3G57580.1, AT3G57590.1, AT5G38810.2, AT5G42430.1	AT1G33020.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0005515;GO:0048364	F-box and associated interaction domains-containing protein;F-box associated ubiquitination effector family protein;F-box protein At1g31080;F-box protein At1g67130;F-box protein At3g57580;F-box protein At3g57590;Putative F-box protein At1g30920;Putative F-box protein At1g30925;Putative F-box protein At1g30930;Putative F-box protein At1g31090;Putative F-box protein At1g33010;Putative F-box protein At1g33020;Putative F-box protein At1g60370;Putative F-box protein At5g38810;Putative F-box protein At5g42430
As010G241180	330	AT1G72620.1	AT1G72620.1	orthologue	GO:0003674;GO:0005739;GO:0008150;GO:0016020	Alpha/beta-Hydrolases superfamily protein
As010G241190	208	AT1G72610.1	AT1G72610.1	orthologue	GO:0031012;GO:0030145;GO:0005739;GO:0005576;GO:0048046	Germin-like protein subfamily 3 member 1 (At-GERM1) (AtGER1) (AtGLP1)
As010G241200	154	AT1G72600.1	AT1G72600.1	orthologue	GO:0003674;GO:0005575;GO:0016020	At1g72600 (Hydroxyproline-rich glycoprotein family protein)
As010G241210	988	AT1G72560.1	AT1G72560.1	orthologue	GO:0005643;GO:0006409;GO:0005049;GO:0071528;GO:0010014;GO:0016363;GO:0009908;GO:0000049;GO:0031267;GO:0005737;GO:0005634;GO:0008033	Exportin-T (Exportin(tRNA)) (Protein PAUSED) (tRNA exportin)
As010G241220	450	AT1G72540.1	AT1G72540.1	orthologue	GO:0009507;GO:0004674;GO:0016310;GO:0005524;GO:0106310;GO:0004672;GO:0006468	Putative receptor-like protein kinase At1g72540 (EC 2.7.11.1)
As010G241230	188	AT1G72530.2	AT1G72530.2	other	GO:0009507;GO:0005739;GO:0046983;GO:0080156;GO:0016554;GO:0006397	Multiple organellar RNA editing factor 7, mitochondrial (RNA editing-interacting protein 7);Plastid developmental protein DAG
As010G241240	905	AT1G72520.1	AT1G72520.1	orthologue	GO:0080086;GO:0009695;GO:0010193;GO:0031408;GO:0009617;GO:0009611;GO:0016165;GO:0006952;GO:0009901;GO:0016702;GO:0034440;GO:0048653;GO:0009507;GO:0009555;GO:0006633;GO:0046872;GO:0005515;GO:0016491	Lipoxygenase 4, chloroplastic (AtLOX4) (EC 1.13.11.12) (LOX3-like protein)
As010G241250	162	AT2G09970.1, AT1G72510.1	AT1G72510.1	orthologue	GO:0003674;GO:0005634;GO:0008150	At1g72510 (DUF1677 family protein (DUF1677));DUF1677 family protein (DUF1677)
As010G241260	759	AT1G72500.1	AT1G72500.1	orthologue	GO:0003674;GO:0005576	Inter alpha-trypsin inhibitor, heavy chain-like protein
As010G241270	289	AT1G72490.3	AT1G72490.3	orthologue	GO:0005634;GO:0080181;GO:0005886;GO:0009630;GO:0005515;GO:0009501;GO:0040008	Protein LAZY 4 (AtLAZY4) (Protein DEEPER ROOTING 1) (AtDRO1) (Protein LAZY1-LIKE 3) (Protein NEGATIVE GRAVITROPIC RESPONSE OF ROOTS 2) (AtNGR2);Uncharacterized protein
As010G241280	512	AT1G72480.1	AT1G72480.1	orthologue	GO:0000138;GO:0005794;GO:0016020;GO:0003674;GO:0006810	Lung seven transmembrane receptor family protein
As010G241290	640	AT1G72470.1	AT1G72470.1	orthologue	GO:0000145;GO:0006887;GO:0005546;GO:0005634;GO:0005829;GO:0015031	Exocyst subunit Exo70 family protein
As010G241300	670	AT1G72460.1	AT1G72460.1	orthologue	GO:0005515;GO:0009507;GO:0004672;GO:0005524;GO:0016310;GO:0016301;GO:0004674;GO:0005886;GO:0006468	Leucine-rich repeat protein kinase family protein (Leucine-rich repeat receptor-like protein kinase) (Putative receptor-like protein kinase; 33719-31696)
As010G241310	254	AT1G72450.1	AT1G72450.1	orthologue	GO:2000022;GO:0005515;GO:0009611;GO:0005634;GO:0031347;GO:0009753;GO:0009507;GO:0005886;GO:0006952	Protein TIFY (Jasmonate ZIM domain-containing protein);Protein TIFY 11B (Jasmonate ZIM domain-containing protein 6)
As010G241320	421	AT1G54080.2	AT1G54080.2	orthologue	GO:0003729;GO:0005515;GO:0005634;GO:0006397;GO:0003676;GO:0003723	Oligouridylate-binding protein 1A;Oligouridylate-binding protein 1A (AtUBP1a) (Polyuridylate-binding protein UBP1A) (Poly(U)-binding protein UBP1A)
As010G241330	1039	AT1G72440.1	AT1G72440.1	orthologue	GO:0005515;GO:0010197;GO:0009555;GO:0005730;GO:0005654;GO:0005634;GO:0009553;GO:0051302	Protein SLOW WALKER 2 (Protein EMBRYO SAC DEVELOPMENT ARREST 25)
As010G241340	144	AT1G72430.1, AT1G17345.1	AT1G72430.1	orthologue	GO:0009733;GO:0005575;GO:0003674;GO:0071456;GO:0005634;GO:0009873	Auxin-responsive protein SAUR77 (Protein SMALL AUXIN UP RNA 77);Auxin-responsive protein SAUR78 (Protein SMALL AUXIN UP RNA 78)
As010G241350	228	AT1G17350.2, AT1G72420.1	AT1G72420.1	orthologue	GO:0051082;GO:0005739;GO:0006120;GO:0032981;GO:0010257	NADH:ubiquinone oxidoreductase intermediate-associated protein 30;Probable complex I intermediate-associated protein 30
As010G241360	172	AT1G72416.3	AT1G72416.3	orthologue	GO:0005737;GO:0003674;GO:0016020	Chaperone DnaJ-domain superfamily protein
As010G241370	1169	AT1G72410.1	AT1G72410.1	orthologue	GO:0005634;GO:0003674	COP1-interacting protein-like protein
As010G241380	1332	AT1G72390.1	AT1G72390.1	orthologue	GO:0009416;GO:0048574;GO:0006357;GO:0005737;GO:0000124;GO:0005515;GO:0007623;GO:0048510;GO:0003712;GO:0016604;GO:0005886;GO:0005634;GO:0009908	Protein PHYTOCHROME-DEPENDENT LATE-FLOWERING
As010G241390	296	AT1G72370.1	AT1G72370.1	orthologue	GO:0015935;GO:0022627;GO:0000028;GO:0002181;GO:0006970;GO:0005737;GO:0022626;GO:0003735;GO:0009651;GO:0003729;GO:0005634;GO:0042256;GO:0009506;GO:0009507;GO:0006412;GO:0005840	Small ribosomal subunit protein uS2;Small ribosomal subunit protein uS2z (40S ribosomal protein Sa-1) (Laminin receptor homolog) (p40)
As010G241400	275	AT2G33730.1	AT2G33730.1	other	GO:0071013;GO:0000398;GO:0035196;GO:0005515;GO:0005634;GO:0003729;GO:0140223;GO:0003724;GO:0005737;GO:0003723;GO:0005524;GO:0016887;GO:1903800;GO:2000636	DEAD-box ATP-dependent RNA helicase 21 (EC 3.6.4.13)
As010G241410	192	AT1G72350.1	AT1G72350.1	orthologue	GO:0003700;GO:0006357;GO:0045944;GO:0005634;GO:0000981;GO:0006355;GO:0000978;GO:0046983;GO:0000977;GO:0003677	At1g72350 (MADS-box protein) (MADS-box transcription factor family protein) (Putative SRF-type transcription factor; 73282-73956)
As010G241420	382	AT1G72340.2	AT1G72340.2	orthologue	GO:0005515;GO:0005634;GO:0005851;GO:0003743;GO:0009507;GO:0005085;GO:0006413;GO:0005829;GO:0016740	Translation initiation factor eIF2B subunit alpha (eIF2B GDP-GTP exchange factor subunit alpha)
As010G241430	540	AT1G72330.3	AT1G72330.3	orthologue	GO:0005739;GO:0005524;GO:0030170;GO:0042853;GO:0001666;GO:0005507;GO:0004021;GO:0009058;GO:0008483	Alanine aminotransferase 2, mitochondrial (AtAlaAT2) (AtAlaATm) (EC 2.6.1.2) (Alanine-2-oxoglutarate aminotransferase 3) (EC 2.6.1.-)
As010G241440	753	AT1G72320.1	AT1G72320.1	orthologue	GO:0000472;GO:0009744;GO:0000447;GO:0030686;GO:0009749;GO:0000480;GO:0030688;GO:0000056;GO:0005634;GO:0005730;GO:0003723;GO:0006417	Pumilio homolog 23 (APUM-23) (AtPUM23)
As010G241450	99	AT1G17300.2	AT1G17300.2	orthologue	GO:0003674;GO:0008150;GO:0005634	Transmembrane protein;Uncharacterized protein
As010G241460	330	AT1G72310.1	AT1G72310.1	orthologue	GO:0003674;GO:0016567;GO:0005634;GO:0005886;GO:0008270;GO:0016020;GO:0016740	RING-H2 finger protein ATL3 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL3)
As010G241470	1090	AT1G72300.1	AT1G72300.1	orthologue	GO:0031347;GO:0004674;GO:0005515;GO:0009826;GO:0009611;GO:0016020;GO:0005886;GO:0001653;GO:0045851;GO:0004888;GO:0042802;GO:0005524;GO:0106310;GO:0033612;GO:0004672;GO:0006468	Tyrosine-sulfated glycopeptide receptor 1 (EC 2.7.11.1) (PSY1 receptor)
As010G241480	219				GO:0004866	
As010G241490	211				GO:0004866	
As010G241500	216				GO:0004866	
As010G241510	158				GO:0004866	
As010G241520	217				GO:0004866	
As010G241530	221				GO:0004866	
As010G241540	472	AT1G72280.1	AT1G72280.1	orthologue	GO:0034975;GO:0005515;GO:0005789;GO:0005634;GO:0015035;GO:0071949;GO:0005783;GO:0016972	Endoplasmic reticulum oxidoreductin-1 (EC 1.8.4.-)
As010G241550	1153	AT1G72250.3	AT1G72250.3	orthologue	GO:0008017;GO:0005634;GO:0007018;GO:0003777;GO:0005524;GO:0005874;GO:0007017;GO:0015630	Di-glucose binding protein with Kinesin motor domain-containing protein;Kinesin-like protein KIN-14Q
As010G241560	1032	AT1G17220.1	AT1G17220.1	orthologue	GO:0009941;GO:0005737;GO:0003743;GO:0009507;GO:0009570;GO:0006413;GO:0003729;GO:0003924;GO:0005634;GO:0005525	Translation initiation factor IF-2, chloroplastic
As010G241570	950	AT1G17210.1	AT1G17210.1	orthologue	GO:0005634;GO:0008270;GO:0009524	F20D23.9 protein (IAP-like protein 1)
As010G241580	191	AT1G17200.1	AT1G17200.1	orthologue	GO:0008150;GO:0005515;GO:0005575;GO:0005886	CASP-like protein;CASP-like protein 2A1 (AtCASPL2A1)
As010G241590	220	AT1G78320.1	AT1G78320.1	orthologue	GO:0004364;GO:0005739;GO:0006749;GO:0005737;GO:0009407;GO:0005829	Glutathione S-transferase U23 (AtGSTU23) (EC 2.5.1.18) (GST class-tau member 23);glutathione transferase (EC 2.5.1.18)
As010G241600	219	AT1G78360.1	AT1G78360.1	orthologue	GO:0005737;GO:0004364;GO:0009407;GO:0006749;GO:0005829	Glutathione S-transferase U21 (AtGSTU21) (EC 2.5.1.18) (GST class-tau member 21);glutathione transferase (EC 2.5.1.18)
As010G241610	219	AT1G78340.1	AT1G78340.1	orthologue	GO:0009407;GO:0004364;GO:0005737;GO:0006749;GO:0005829	Glutathione S-transferase U22 (AtGSTU22) (EC 2.5.1.18) (GST class-tau member 22)
As010G241620	223	AT1G78360.1	AT1G78360.1	orthologue	GO:0005737;GO:0004364;GO:0009407;GO:0006749;GO:0005829	Glutathione S-transferase U21 (AtGSTU21) (EC 2.5.1.18) (GST class-tau member 21);glutathione transferase (EC 2.5.1.18)
As010G241640	218	AT1G78380.1	AT1G78380.1	orthologue	GO:0006749;GO:0009407;GO:0006979;GO:0004364;GO:0005737;GO:0005886;GO:0042631;GO:0005739;GO:0009507;GO:0000325;GO:0005829;GO:0043295;GO:0009570;GO:0004601	Glutathione S-transferase U19 (AtGSTU19) (EC 2.5.1.18) (GST class-tau member 19) (Glutathione S-transferase 8)
As010G241650	586	AT1G78390.1	AT1G78390.1	orthologue	GO:0010162;GO:0045549;GO:0009570;GO:0010436;GO:0009688;GO:0009507;GO:0016121;GO:0046872;GO:0016702	9-cis-epoxycarotenoid dioxygenase NCED9, chloroplastic (AtNCED9) (EC 1.13.11.51)
As010G241660	106	AT1G78410.1	AT1G78410.1	orthologue	GO:0050832;GO:0006979;GO:0005515;GO:0005634	VQ motif-containing protein 10 (AtVQ10) (Tobacco rattle virus-induced protein variant 1)
As010G241670	371	AT1G78420.1	AT1G78420.1	orthologue	GO:0016567;GO:0080113;GO:0005515;GO:0046620;GO:0061630;GO:0005737;GO:0008270	E3 ubiquitin-protein ligase DA2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase DA2)
As010G241680	300	AT1G78430.1	AT1G78430.1	orthologue	GO:0003674;GO:0005576	Interactor of constitutive active ROPs 4 (ROP-interactive partner 4)
As010G241690	323	AT1G78440.1	AT1G78440.1	orthologue	GO:0045487;GO:0009686;GO:0009416;GO:0045543;GO:0005575;GO:0046872	Gibberellin 2-beta-dioxygenase 1 (EC 1.14.11.13) (GA 2-oxidase 1) (Gibberellin 2-beta-hydroxylase 1) (Gibberellin 2-oxidase 1)
As010G241700	176	AT1G72560.1	AT1G72560.1	other	GO:0005643;GO:0006409;GO:0005049;GO:0071528;GO:0010014;GO:0016363;GO:0009908;GO:0000049;GO:0031267;GO:0005737;GO:0005634;GO:0008033	Exportin-T (Exportin(tRNA)) (Protein PAUSED) (tRNA exportin)
As010G241710	110	AT1G78460.1	AT1G78460.1	orthologue	GO:0005737;GO:0003674	AT1G78460 protein (F3F9.3) (SOUL heme-binding family protein) (T30F21.20 protein)
As010G241720	90	AT1G78460.1	AT1G78460.1	other	GO:0005737;GO:0003674	AT1G78460 protein (F3F9.3) (SOUL heme-binding family protein) (T30F21.20 protein)
