Brassica_rapa	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_033131807.1	199	AT2G28700.1	AT2G28700.1	orthologue	GO:0006355;GO:0006357;GO:0000981;GO:0000987;GO:0045944;GO:0005634;GO:0003700;GO:0000978;GO:0046983;GO:0003677	AGAMOUS-like 46
XP_033131808.1	228	AT2G06105.1	AT2G06105.1	other	GO:0008150;GO:0005739;GO:0003674;GO:0006508;GO:0008233	Aspartyl protease gag-polyprotein
XP_033131809.1	341	AT2G06105.1	AT2G06105.1	orthologue	GO:0008150;GO:0005739;GO:0003674;GO:0006508;GO:0008233	Aspartyl protease gag-polyprotein
XP_033131810.1	161					
XP_033131811.1	831				GO:0006508;GO:0008234	
XP_033131812.1	157					
XP_033131813.1	326	AT2G06105.1	AT2G06105.1	other	GO:0008150;GO:0005739;GO:0003674;GO:0006508;GO:0008233	Aspartyl protease gag-polyprotein
XP_033131814.1	161					
XP_033131815.1	496					
XP_033131816.1	188	AT4G03728.1	AT4G03728.1	other	GO:0003674;GO:0008150;GO:0005575	Uncharacterized protein
XP_033131817.1	256				GO:0008270	
XP_033131818.1	219					
XP_033131819.1	247				GO:0008270	
XP_033131820.1	655				GO:0008270	
XP_033131821.1	428	AT2G04890.1	AT2G04890.1	orthologue	GO:0005634;GO:0005515;GO:0006355;GO:0043565;GO:0003700	Scarecrow-like protein 21 (AtSCL21) (GRAS family protein 11) (AtGRAS-11)
XP_033131822.1	314				GO:0008270	
XP_033131823.1	182	AT5G49020.1	AT5G49020.1	other	GO:0010228;GO:0009909;GO:0035242;GO:0035241;GO:0009507;GO:0035642;GO:0019919;GO:0046982;GO:0070611;GO:0016274;GO:0005634;GO:0006355;GO:0042803;GO:0140903;GO:0006338;GO:0005737;GO:0008469;GO:0018216;GO:0034969;GO:0042054	Probable histone-arginine methyltransferase 1.4 (AtPRMT14) (EC 2.1.1.319) (Coactivator-associated methyltransferase 1B) (Protein arginine N-methyltransferase 4A) (AtPRMT4A)
XP_033131824.1	152	AT5G15690.1	AT5G15690.1	other	GO:0008270;GO:0005575;GO:0008150	Zinc ion binding protein
XP_033131825.1	307				GO:0003676;GO:0008270	
XP_033131826.1	295	AT1G60720.1, AT1G33710.1, AT3G25720.1	AT1G60720.1	other	GO:0003674;GO:0008150;GO:0005575;GO:0005634;GO:0003964	RNA-directed DNA polymerase (Reverse transcriptase)-related family protein
XP_033131827.1	425	AT1G37020.1, AT5G45570.1, AT4G08430.1, AT5G28810.1, AT2G10260.1, AT3G31910.1	AT5G45570.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0005575;GO:0008234;GO:0006508;GO:0016929;GO:0016926;GO:0005886;GO:0008233	Cysteine proteinases superfamily protein;Ulp1 protease family protein;Ulp1 protease family protein (DUF1985)
XP_033131828.1	145					
XP_033131829.1	115	AT1G48285.1, AT2G37125.1, AT3G30165.1, AT4G07445.1	AT1G48285.1	other	GO:0005575;GO:0003674;GO:0008150;GO:0008270;GO:0005634;GO:0016020	GRF zinc finger protein;Uncharacterized protein;Zinc ion-binding protein
XP_033131830.1	183					
XP_033131831.1	149	AT3G24490.1	AT3G24490.1	other	GO:0005634;GO:0006355;GO:0005515;GO:0000976;GO:0003700	Alcohol dehydrogenase transcription factor Myb/SANT-like family protein
XP_033131832.1	158	AT3G24463.1	AT3G24463.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0003723;GO:0005737;GO:0003729;GO:0005829;GO:1990904	Nuclear transport factor 2 family protein
XP_033131833.1	173	AT5G33330.1	AT5G33330.1	orthologue	GO:0005634;GO:0004523;GO:0003676;GO:0008150;GO:0016740	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
XP_033131834.1	279	AT3G47680.1	AT3G47680.1	other	GO:0003674;GO:0008150;GO:0009507	At3g47680 (DNA binding protein);Ternary complex factor MIP1 leucine-zipper protein
XP_033131835.1	276					
XP_033131836.1	195	AT1G14250.1	AT1G14250.1	other	GO:0004050;GO:0009134;GO:0000325;GO:0017110;GO:0005886;GO:0016020;GO:0005524;GO:0016787	Probable apyrase 5 (AtAPY5) (EC 3.6.1.5) (ATP-diphosphatase) (ATP-diphosphohydrolase) (Adenosine diphosphatase) (ADPase) (NTPDase) (Nucleoside triphosphate diphosphohydrolase 5)
XP_033131837.1	485	AT3G47680.1	AT3G47680.1	other	GO:0003674;GO:0008150;GO:0009507	At3g47680 (DNA binding protein);Ternary complex factor MIP1 leucine-zipper protein
XP_033131838.1	457	AT5G28780.1, AT3G51700.1, AT3G51690.1	AT3G51690.1	other	GO:0005634;GO:0032508;GO:0005657;GO:0006260;GO:0003677;GO:0004386;GO:0005737;GO:0000723;GO:0003678;GO:0006281	PIF1 helicase
XP_033131839.1	457					
XP_033131840.1	318	AT3G30730.2	AT3G30730.2	orthologue	GO:0005575;GO:0003674	Uncharacterized protein
XP_033131841.1	259				GO:0005515	
XP_033131842.1	142	AT3G23260.1	AT3G23260.1	orthologue	GO:0005575;GO:0003674	Putative F-box protein At3g23260
XP_033131843.1	447	AT3G31925.1	AT3G31925.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0003677	Replication protein A 70 kDa DNA-binding subunit B-like protein
XP_033131844.1	850					
XP_033131845.1	240					
XP_033131846.1	288	AT3G12240.1	AT3G12240.1	other	GO:0004185;GO:0019748;GO:0005576;GO:0016747;GO:0006508	Serine carboxypeptidase-like 15 (EC 3.4.16.-)
XP_033131847.1	1061				GO:0006508;GO:0008234	
XP_033131848.1	422	AT1G32660.1	AT1G32660.1	orthologue	GO:0003674;GO:0008150;GO:0005634;;GO:0005515	Putative F-box protein At1g32660
XP_033131849.1	805				GO:0006508;GO:0008234	
XP_033131850.1	324	AT2G13770.1	AT2G13770.1	other	GO:0008150;GO:0005575;GO:0003674	Nuclease
XP_033131851.1	1037				GO:0006508;GO:0008234	
XP_033131852.1	424	AT1G29740.1	AT1G29740.1	orthologue	GO:0044024;GO:0004674;GO:0045088;GO:0016310;GO:0016301;GO:0004672;GO:0006468;GO:0009507;GO:0005886;GO:0005524;GO:0016020	non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_033131853.1	123					
XP_033131854.1	338					
XP_033131855.1	624	AT1G31740.1	AT1G31740.1	other	GO:0009505;GO:0009827;GO:0005773;GO:0019388;GO:0005576;GO:0005975;GO:0004565;GO:0030246;GO:0048046;GO:0004553	Beta-galactosidase 15 (Lactase 15) (EC 3.2.1.23)
XP_033131856.1	218	AT5G20710.1	AT5G20710.1	other	GO:0004565;GO:0009827;GO:0005975;GO:0019388;GO:0009505;GO:0030246;GO:0005576;GO:0005773;GO:0048046;GO:0004553	Beta-galactosidase 7 (Lactase 7) (EC 3.2.1.23);beta-galactosidase (EC 3.2.1.23)
XP_033131857.1	485	AT1G24485.3	AT1G24485.3	orthologue	GO:0008150;GO:0003674;GO:0005576;GO:0016020	ER protein carbohydrate-binding protein;Uncharacterized protein At1g24485 (Arabidopsis thaliana envelope membrane integrase) (Protein ARTEMIS) (Receptor without kinase 1)
XP_033131858.1	163					
XP_033131859.1	313	AT1G53945.1	AT1G53945.1	orthologue	GO:0016567;GO:0019941;GO:0005634;GO:0031386;GO:0031625;GO:0005737;GO:0003729;GO:0005515	F15I1.3 protein (Polyubiquitin-like protein)
XP_033131860.1	725	AT1G26680.4	AT1G26680.4	other	GO:0009507;GO:0003674;GO:0008150;GO:0003677;GO:0005634	B3 domain-containing protein REM17 (Protein REPRODUCTIVE MERISTEM 17);Transcriptional factor B3 family protein
XP_033131861.1	158	AT1G26799.1	AT1G26799.1	orthologue	GO:0005576;GO:0003674;GO:0008150;GO:0060320	S-protein homolog
XP_033131862.1	767				GO:0008270	
XP_033131863.1	395	AT1G60070.2	AT1G60070.2	orthologue	GO:0030121;GO:0016192;GO:0035615;GO:0006886;GO:0006896;GO:0030117	AP-1 complex subunit gamma;AP-1 complex subunit gamma-2 (Adaptor protein complex AP-1 large subunit gamma-2) (Adaptor-related protein complex 1 subunit gamma-2) (Clathrin assembly protein complex 1 gamma-2 large chain) (Gamma-adaptin 2)
XP_033131864.1	224	AT1G27100.1	AT1G27100.1	other	GO:0000325;GO:0003674;GO:0005634	Actin cross-linking protein (At1g27100)
XP_033131865.1	493	AT1G27110.1	AT1G27110.1	orthologue	GO:0005575;GO:0003674;;GO:0005515	Tetratricopeptide repeat protein 38
XP_033131866.1	287	AT5G50790.1	AT5G50790.1	other	GO:0005515;GO:0016020;GO:0051119;GO:0009507;GO:0008643;GO:0005886;GO:0008515;GO:0048571;GO:0015770	Bidirectional sugar transporter SWEET10 (AtSWEET10) (Protein SUGARS WILL EVENTUALLY BE EXPORTED TRANSPORTERS 10)
XP_033131867.1	387	AT4G38180.1	AT4G38180.1	other	GO:0005515;GO:0005634;GO:0006355;GO:0008270	Protein FAR1-RELATED SEQUENCE 5
XP_033131868.1	129	AT1G23960.1	AT1G23960.1	orthologue	GO:0003674;GO:0005575	UPF0725 protein At1g23960
XP_033131869.1	120	AT1G23890.2	AT1G23890.2	other	GO:0009507;GO:0003674;GO:0016020	At1g23890/T23E23_13 (NHL domain-containing protein);NHL domain-containing protein
XP_033131870.1	383	AT1G10000.1, AT2G06845.1, AT3G26855.1, AT3G27495.1, AT3G29791.1, AT4G09490.1, ATMG01250.1	AT1G10000.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0004523;GO:0003676;GO:0005739;GO:0009507;GO:0016740;GO:0003964	Beta-galactosidase related protein;Polynucleotidyl transferase, ribonuclease H-like superfamily protein;RNA-directed DNA polymerase (Reverse transcriptase)-related family protein;RNase H type-1 domain-containing protein;Ribonuclease H-like superfamily protein;Uncharacterized mitochondrial protein AtMg01250 (ORF102);Uncharacterized protein
XP_033131871.1	532					
XP_033131872.1	259	AT3G47680.1	AT3G47680.1	other	GO:0003674;GO:0008150;GO:0009507	At3g47680 (DNA binding protein);Ternary complex factor MIP1 leucine-zipper protein
XP_033131873.1	726	AT1G40390.1, AT1G43760.1	AT1G43760.1	other	GO:0005575;GO:0003674;GO:0008150;GO:0005634;;GO:0003824	DNAse I-like superfamily protein
XP_033131874.1	474	AT1G20260.1, AT1G76030.1, AT4G38510.5	AT1G20260.1	other	GO:0009506;GO:0005739;GO:0010255;GO:0046034;GO:0005524;GO:0005773;GO:0046961;GO:0051015;GO:0005794;GO:0000325;GO:0005886;GO:0051693;GO:0051017;GO:0030835;GO:0007035;GO:0033180;GO:0005829;GO:0005634;GO:0009941;GO:0005774;GO:0006357;GO:0032991;GO:1902600	V-type proton ATPase subunit B1 (V-ATPase subunit B1) (V-ATPase 57 kDa subunit) (Vacuolar H(+)-ATPase subunit B isoform 1) (Vacuolar proton pump subunit B1);V-type proton ATPase subunit B2 (V-ATPase subunit B2) (Vacuolar H(+)-ATPase subunit B isoform 2) (Vacuolar proton pump subunit B2);V-type proton ATPase subunit B3 (V-ATPase subunit B3) (Vacuolar H(+)-ATPase subunit B isoform 3) (Vacuolar proton pump subunit B3);Vacuolar proton pump subunit B (V-ATPase subunit B) (Vacuolar proton pump subunit B)
XP_033131875.1	118				GO:0003676;GO:0004523	
XP_033131876.1	269	AT3G47680.1	AT3G47680.1	other	GO:0003674;GO:0008150;GO:0009507	At3g47680 (DNA binding protein);Ternary complex factor MIP1 leucine-zipper protein
XP_033131877.1	344	AT2G13770.1	AT2G13770.1	other	GO:0008150;GO:0005575;GO:0003674	Nuclease
XP_033131878.1	104					
XP_033131879.1	357	AT5G67240.1	AT5G67240.1	orthologue	GO:0031125;GO:0005634;GO:0003676;GO:0004527;GO:0005737;GO:0016592;GO:0003723	Small RNA degrading nuclease 3;Small RNA degrading nuclease 3 (EC 3.1.-.-)
XP_033131880.1	391	AT5G67060.1	AT5G67060.1	orthologue	GO:0006355;GO:0010468;GO:0010500;GO:0048462;GO:0005515;GO:0005634;GO:2000012;GO:0043565;GO:0046983;GO:0048467;GO:0045893;GO:0003700;GO:0048480;GO:0009266;GO:0003677	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Transcription factor HEC1 (Basic helix-loop-helix protein 88) (AtbHLH88) (bHLH 88) (Protein HECATE 1) (Transcription factor EN 118) (bHLH transcription factor bHLH088)
XP_033131881.1	769	AT5G66810.1	AT5G66810.1	orthologue	GO:0005634;GO:0043161;GO:0005737;GO:0003674	Ran-binding protein in the microtubule-organising centre protein
XP_033131882.1	259	AT3G30730.2	AT3G30730.2	orthologue	GO:0005575;GO:0003674;;GO:0000724;GO:0003684;GO:0005662;GO:0006289;GO:0007004;GO:0043047;GO:0051321	Uncharacterized protein
XP_033131883.1	312	AT2G13770.1	AT2G13770.1	other	GO:0008150;GO:0005575;GO:0003674	Nuclease
XP_033131884.1	247	AT5G66310.1	AT5G66310.1	other	GO:0005634;GO:0007018;GO:0009506;GO:0008017;GO:0003777;GO:0005524;GO:0005874	Kinesin-like protein KIN-7H
XP_033131885.1	807				GO:0008270	
XP_033131886.1	283	AT3G60790.1	AT3G60790.1	orthologue	GO:0003674;GO:0009507;GO:0008150;;GO:0005515	F-box protein At3g60790
XP_033131887.1	638				GO:0003677	
XP_033131888.1	312	AT2G16520.1, AT2G22940.1, AT2G26130.1, AT2G26135.1, AT3G43750.1, AT3G45460.1, AT3G45480.1, AT3G45510.1, AT3G45525.1, AT3G45540.1, AT3G45555.1, AT3G45560.1, AT3G45570.1, AT3G45580.1	AT3G45540.1	other	GO:0000151;GO:0061630;GO:0006511;GO:0005634;GO:0016567;GO:0031624;GO:0004523;GO:0004842;GO:0003676;GO:0008270;GO:0005737;GO:0003674;GO:0005739;GO:0008150;GO:0005515;GO:0005829;GO:0009507;GO:0009788;GO:0010431;GO:0140547;GO:0010476;GO:0005886;GO:0009705;GO:0000209;GO:0016020;GO:0009738;GO:0009740;GO:0046872	E3 ubiquitin-protein ligase RSL1 (EC 2.3.2.31) (Protein RING FINGER OF SEED LONGEVITY 1) (RING-type E3 ubiquitin transferase RSL1);RBR-type E3 ubiquitin transferase (EC 2.3.2.31);RING/U-box protein with C6HC-type zinc finger protein;Uncharacterized protein At2g22940;Zinc finger (C3HC4-type RING finger) family protein
XP_033131889.1	1408				GO:0000723;GO:0003678;GO:0006281	
XP_033131890.1	479				GO:0008270	
XP_033131891.1	179				GO:0000822;GO:0005543;GO:0005643;GO:0005737;GO:0016973;GO:0031369;GO:0044614	
XP_033131892.1	536	AT3G45840.1	AT3G45840.1	orthologue	GO:0003674;GO:0005576;GO:0008270	Cysteine/Histidine-rich C1 domain family protein
XP_033131893.1	212	AT5G56060.1	AT5G56060.1	orthologue	GO:0070042;GO:0070475;GO:0005737;GO:0005634;GO:0005524	ATP-binding protein, putative (DUF2431)
XP_033131894.1	506	AT5G40720.1	AT5G40720.1	orthologue	GO:0005737;GO:0016757;GO:0070085;GO:0016020	Glycosyltransferase family 92 protein (EC 2.4.1.-)
XP_033131895.1	208				GO:0003676;GO:0008270	
XP_033131896.1	479	AT1G31740.1	AT1G31740.1	other	GO:0009505;GO:0009827;GO:0005773;GO:0019388;GO:0005576;GO:0005975;GO:0004565;GO:0030246;GO:0048046;GO:0004553	Beta-galactosidase 15 (Lactase 15) (EC 3.2.1.23)
XP_033131897.1	227	AT2G04062.1	AT2G04062.1	orthologue	GO:0004565;GO:0005975;GO:0005576;GO:0004553	beta-galactosidase (EC 3.2.1.23)
XP_033131898.1	164				GO:0003677;GO:0006355	
XP_033131899.1	151					
XP_033131900.1	549	AT3G56960.1	AT3G56960.1	other	GO:0009860;GO:0046854;GO:0010118;GO:0009846;GO:0005829;GO:0009827;GO:0016308;GO:0006897;GO:0016324;GO:0046488;GO:0005886;GO:0090406;GO:0007164;GO:0005524;GO:0052742	Phosphatidylinositol 4-phosphate 5-kinase 4 (AtPIP5K4) (EC 2.7.1.68) (1-phosphatidylinositol 4-phosphate kinase 4) (Diphosphoinositide kinase 4) (PtdIns(4)P-5-kinase 4)
XP_033131901.1	147	AT1G60500.1	AT1G60500.1	other	GO:0008017;GO:0005874;GO:0016020;GO:0005737;GO:0008150;GO:0003924;GO:0005525	Dynamin-related protein 4C
XP_033131902.1	249	AT3G56970.1	AT3G56970.1	other	GO:0005515;GO:0010106;GO:0006357;GO:0006355;GO:0000977;GO:0005634;GO:0090575;GO:0003700;GO:0046983;GO:0060586;GO:0000981;GO:0003677	Transcription factor ORG2 (Basic helix-loop-helix protein 38) (AtbHLH38) (bHLH 38) (OBP3-responsive gene 2) (Transcription factor EN 8) (bHLH transcription factor bHLH038)
XP_033131903.1	546				GO:0003824	
XP_033131904.1	181	AT3G58420.1	AT3G58420.1	orthologue	GO:0003674;GO:0008150;GO:0005575;GO:0016020;GO:0005515	TRAF-like superfamily protein
XP_033131905.1	522	AT1G31740.1	AT1G31740.1	other	GO:0009505;GO:0009827;GO:0005773;GO:0019388;GO:0005576;GO:0005975;GO:0004565;GO:0030246;GO:0048046;GO:0004553	Beta-galactosidase 15 (Lactase 15) (EC 3.2.1.23)
XP_033131906.1	740	AT1G31740.1	AT1G31740.1	other	GO:0009505;GO:0009827;GO:0005773;GO:0019388;GO:0005576;GO:0005975;GO:0004565;GO:0030246;GO:0048046;GO:0004553	Beta-galactosidase 15 (Lactase 15) (EC 3.2.1.23)
XP_033131907.1	726	AT1G31740.1	AT1G31740.1	other	GO:0009505;GO:0009827;GO:0005773;GO:0019388;GO:0005576;GO:0005975;GO:0004565;GO:0030246;GO:0048046;GO:0004553	Beta-galactosidase 15 (Lactase 15) (EC 3.2.1.23)
XP_033131908.1	676	AT4G37950.1	AT4G37950.1	orthologue	GO:0005576;GO:0102210;GO:0016829;GO:0030246;GO:0005975;GO:0003824	rhamnogalacturonan endolyase (EC 4.2.2.23)
XP_033131909.1	125	AT3G59220.1	AT3G59220.1	other	GO:0009738;GO:0010244;GO:0005515;GO:0009785;GO:0009737;GO:0005634	Pirin-1 (AtPirin1)
XP_033131910.1	1053	AT1G10000.1, AT2G06845.1, AT3G26855.1, AT3G27495.1, AT3G29791.1, AT4G09490.1, ATMG01250.1	AT1G10000.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0004523;GO:0003676;GO:0005739;GO:0009507;GO:0016740;GO:0003964	Beta-galactosidase related protein;Polynucleotidyl transferase, ribonuclease H-like superfamily protein;RNA-directed DNA polymerase (Reverse transcriptase)-related family protein;RNase H type-1 domain-containing protein;Ribonuclease H-like superfamily protein;Uncharacterized mitochondrial protein AtMg01250 (ORF102);Uncharacterized protein
XP_033131911.1	629	AT2G06420.1	AT2G06420.1	other	GO:0008150;GO:0003674;GO:0005739	En/Spm-like transposon, putative (DUF1985)
XP_033131912.1	353	AT2G42455.1	AT2G42455.1	other	GO:0008150;GO:0003674;GO:0005575;;GO:0005515	MATH domain/coiled-coil protein
XP_033131913.1	554	AT1G31740.1	AT1G31740.1	other	GO:0009505;GO:0009827;GO:0005773;GO:0019388;GO:0005576;GO:0005975;GO:0004565;GO:0030246;GO:0048046;GO:0004553	Beta-galactosidase 15 (Lactase 15) (EC 3.2.1.23)
XP_033131914.1	614	AT1G31740.1	AT1G31740.1	other	GO:0009505;GO:0009827;GO:0005773;GO:0019388;GO:0005576;GO:0005975;GO:0004565;GO:0030246;GO:0048046;GO:0004553	Beta-galactosidase 15 (Lactase 15) (EC 3.2.1.23)
XP_033131915.1	1036	AT1G10000.1, AT2G06845.1, AT3G26855.1, AT3G27495.1, AT3G29791.1, AT4G09490.1, ATMG01250.1	AT1G10000.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0004523;GO:0003676;GO:0005739;GO:0009507;GO:0016740;GO:0003964	Beta-galactosidase related protein;Polynucleotidyl transferase, ribonuclease H-like superfamily protein;RNA-directed DNA polymerase (Reverse transcriptase)-related family protein;RNase H type-1 domain-containing protein;Ribonuclease H-like superfamily protein;Uncharacterized mitochondrial protein AtMg01250 (ORF102);Uncharacterized protein
XP_033131916.1	107	AT1G79660.1	AT1G79660.1	other	GO:0003674;GO:0005739;GO:0016020	At1g79660/F20B17_9 (Ephrin-A3 protein) (F20B17.9)
XP_033131917.1	118				GO:0003676;GO:0004523	
XP_033131918.1	594				GO:0008270	
XP_033131919.1	194	AT1G77830.1	AT1G77830.1	other	GO:0061630;GO:0008150;GO:0005634;GO:0008270	F28K19.4 (RING/U-box superfamily protein)
XP_033131920.1	145	AT5G52190.1	AT5G52190.1	other	GO:1901135;GO:0005829;GO:0097367;GO:0016853	At5g52190 (Sugar isomerase (SIS) family protein)
XP_033131921.1	518					
XP_033131922.1	454				GO:0005515	
XP_033131923.1	25	AT1G74929.1	AT1G74929.1	other	GO:0003674;GO:0005575	Uncharacterized protein
XP_033131924.1	1107	AT1G72840.2, AT4G09430.1	AT1G72840.2	orthologue	GO:0034052;GO:0009507;GO:0005737;GO:0043531;GO:0007165;GO:0006952;GO:0016787;GO:0005515	Disease resistance protein (TIR-NBS-LRR class)
XP_033131925.1	191	AT1G72200.1	AT1G72200.1	other	GO:0016567;GO:0003674;GO:0005739;GO:0008270;GO:0016020;GO:0016740	RING-H2 finger protein ATL11 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL11)
XP_033131926.1	346	AT3G47680.1	AT3G47680.1	other	GO:0003674;GO:0008150;GO:0009507	At3g47680 (DNA binding protein);Ternary complex factor MIP1 leucine-zipper protein
XP_033131927.1	139	AT5G17090.1	AT5G17090.1	orthologue	GO:0005634;GO:0008150;GO:0003674	Cystatin/monellin superfamily protein
XP_033131928.1	175	AT5G18880.1	AT5G18880.1	other	GO:0008150;GO:0005575;GO:0003674;GO:0003964	RNA-directed DNA polymerase (Reverse transcriptase)-related family protein
XP_033131929.1	248	AT3G14000.1	AT3G14000.1	other	GO:0003674;GO:0010440;GO:0005634;GO:0005886	Protein Brevis radix-like 2 (AtBRXL2)
XP_033131930.1	208	AT3G60940.1, AT3G61028.2, AT3G62210.1, AT5G61180.1	AT3G62210.1	other	GO:0004540;GO:0010468;GO:0005777;GO:0009507;GO:0008270;GO:0005634;GO:0003676;GO:0010197;GO:0004519;GO:0016787;GO:0016020	Endonuclease or glycosyl hydrolase;Endonuclease or glycosyl hydrolase (Expressed protein)
XP_033131931.1	172	AT1G68190.2	AT1G68190.2	orthologue	GO:0006355;GO:0008270;GO:0005634;GO:0003700;GO:0016020	B-box zinc finger family protein;Putative zinc finger protein At1g68190
XP_033131932.1	620	AT1G68210.1	AT1G68210.1	orthologue	GO:0006355;GO:0003677;GO:0009507;GO:0000156;GO:0000160;GO:0005634	Putative two-component response regulator-like APRR6 (Pseudo-response regulator 6)
XP_033131933.1	437	AT1G68210.1	AT1G68210.1	other	GO:0006355;GO:0003677;GO:0009507;GO:0000156;GO:0000160;GO:0005634	Putative two-component response regulator-like APRR6 (Pseudo-response regulator 6)
XP_033131934.1	1506				GO:0003676;GO:0008270;GO:0015074;GO:0005515	
XP_033131935.1	184					
XP_033131936.1	115	AT1G73550.1	AT1G73550.1	orthologue	GO:0005575;GO:0003674;GO:0005886;GO:0098552	Non-specific lipid transfer protein GPI-anchored 8 (AtLTPG-8) (Protein LTP-GPI-ANCHORED 8)
XP_033131937.1	98	AT1G73820.2	AT1G73820.2	other	GO:0006369;GO:0009507;GO:0005847;GO:0017018;GO:0005515;GO:0008420;GO:0005634;GO:0031124;GO:0004721;GO:0006397	RNA polymerase II subunit A C-terminal domain phosphatase SSU72 (CTD phosphatase SSU72) (EC 3.1.3.16)
XP_033131938.1	221	AT1G74140.5, AT1G74130.1	AT1G74140.5	orthologue	GO:0004252;GO:0005886;GO:0008150;GO:0005739;GO:0006508;GO:0031969;GO:0016020	Rhomboid-like protein 16, chloroplastic (AtRBL16);Rhomboid-like protein 17, chloroplastic (AtRBL17)
XP_033131939.1	235	AT1G75030.1	AT1G75030.1	other	GO:0006952;GO:0003674;GO:0005576	At1g75030 (Thaumatin-like protein) (Thaumatin-like protein; 28949-28112)
XP_033131940.1	152	AT5G15690.1	AT5G15690.1	other	GO:0008270;GO:0005575;GO:0008150	Zinc ion binding protein
XP_033131941.1	758				GO:0008270	
XP_033131942.1	321	AT5G35695.1	AT5G35695.1	other	GO:0008150;GO:0003674;GO:0016020;GO:0005634;GO:0004518;GO:0016787;GO:0046872	Nuclease HARBI1-like protein
XP_033131943.1	162	AT1G76965.1	AT1G76965.1	orthologue	GO:0008150;GO:0003674;GO:0005576	Uncharacterized protein
XP_033131944.1	164	AT1G77765.4	AT1G77765.4	orthologue	GO:0003674;GO:0005739;GO:0016020	Transmembrane protein
XP_033131945.1	100	AT3G14420.1	AT3G14420.1	other	GO:0009506;GO:0005777;GO:0022626;GO:0005737;GO:0009570;GO:0003729;GO:0003973;GO:0005634;GO:0009507;GO:0050665;GO:0010181;GO:0048046;GO:0042742;GO:0005829;GO:0009854;GO:0016491	(S)-2-hydroxy-acid oxidase (EC 1.1.3.15);Glycolate oxidase 1 (AtGLO1) (GOX1) (EC 1.1.3.15) ((S)-2-hydroxy-acid oxidase GLO1) (Short chain alpha-hydroxy acid oxidase GLO1)
XP_033131946.1	186	AT5G65850.1	AT5G65850.1	other	GO:0005739;GO:0003674	F-box protein At5g65850
XP_033131947.1	209	AT1G25211.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G24800.1	AT1G25211.1	other	GO:0003674;GO:0005739;GO:0008150;;GO:0005515	F-box/kelch-repeat protein At1g24800;F-box/kelch-repeat protein At1g24881;F-box/kelch-repeat protein At1g25055;F-box/kelch-repeat protein At1g25150;F-box/kelch-repeat protein At1g25211
XP_033131948.1	373	AT2G11035.1	AT2G11035.1	other	GO:0003674;GO:0005634;GO:0003964	Reverse transcriptase zinc-binding protein
XP_033131949.1	397	AT1G61320.1, AT1G61330.1	AT1G61330.1	other	GO:0003674;GO:0005739;GO:0008150;GO:0005575	FBD-associated F-box protein At1g61320;Putative FBD-associated F-box protein At1g61330
XP_033131950.1	215	AT1G72530.2	AT1G72530.2	orthologue	GO:0009507;GO:0005739;GO:0046983;GO:0080156;GO:0016554;GO:0006397	Multiple organellar RNA editing factor 7, mitochondrial (RNA editing-interacting protein 7);Plastid developmental protein DAG
XP_033131954.1	525	AT2G27000.1, AT2G27010.1	AT2G27000.1	orthologue	GO:0016709;GO:0005506;GO:0005783;GO:0016705;GO:0016020;GO:0020037;GO:0005576;GO:0004497	Cytochrome P450, family 705, subfamily A, polypeptide 8 (Putative cytochrome P450);Cytochrome P450, family 705, subfamily A, polypeptide 9 (Putative cytochrome P450)
XP_033131955.1	533	AT1G27080.1	AT1G27080.1	orthologue	GO:0015706;GO:0010098;GO:0055085;GO:0048316;GO:0022857;GO:0009793;GO:0080054;GO:0006857;GO:0005886;GO:0043562;GO:0015293;GO:0042128;GO:0016020	Nitrate transporter 1.6;Protein NRT1/ PTR FAMILY 2.12 (AtNPF2.12) (Nitrate transporter 1.6)
XP_033131956.1	486	AT4G38510.5	AT4G38510.5	orthologue	GO:0051693;GO:0051017;GO:0000325;GO:0009941;GO:0046034;GO:0005794;GO:0051015;GO:0030835;GO:0005773;GO:0005886;GO:0033180;GO:0005524;GO:0046961;GO:0007035;GO:0005774;GO:1902600	V-type proton ATPase subunit B2 (V-ATPase subunit B2) (Vacuolar H(+)-ATPase subunit B isoform 2) (Vacuolar proton pump subunit B2);Vacuolar proton pump subunit B (V-ATPase subunit B) (Vacuolar proton pump subunit B)
XP_033131957.1	412	AT1G18610.1	AT1G18610.1	other	GO:0005575;GO:0003674	F25I16.5 protein (Galactose oxidase/kelch repeat superfamily protein)
XP_033131958.1	303				GO:0003676;GO:0008270	
XP_033131961.1	252					
XP_033131962.1	854	AT2G22440.1	AT2G22440.1	other	GO:0005575;GO:0008150;GO:0003674;GO:0003964;GO:0003676;GO:0004523	Non-LTR retroelement reverse transcriptase
