Brassica_oleracea	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_013621218.1	538	AT5G14540.1	AT5G14540.1	orthologue	GO:0042735;GO:0005634;GO:0043130;GO:0005515	AT5G14540 protein (Basic salivary proline-rich-like protein (DUF1421))
XP_013621220.1	736	AT4G11160.2	AT4G11160.2	orthologue	GO:0009507;GO:0006413;GO:0005737;GO:0003924;GO:0003743;GO:0005525;GO:0005739	Translation initiation factor IF-2, mitochondrial
XP_013621223.1	675	AT5G08650.1	AT5G08650.1	orthologue	GO:0045727;GO:0009507;GO:0003729;GO:0043022;GO:0005886;GO:0003924;GO:0005525;GO:0006412;GO:0019904;GO:0005743;GO:0005759	Translation factor GUF1 homolog, chloroplastic (EC 3.6.5.-) (Elongation factor 4 homolog) (EF-4) (GTPase GUF1 homolog) (Ribosomal back-translocase);Translation factor GUF1 homolog, mitochondrial (EC 3.6.5.n1) (Elongation factor 4 homolog) (EF-4) (GTPase GUF1 homolog) (Ribosomal back-translocase)
XP_013621224.1	381	AT5G13490.1	AT5G13490.1	orthologue	GO:0009941;GO:0005739;GO:0005471;GO:0140021;GO:0005507;GO:0005740;GO:0000325;GO:1990544;GO:0005515;GO:0015865;GO:0009536;GO:0005743;GO:0055085	ADP,ATP carrier protein 2, mitochondrial (ADP/ATP translocase 2) (Adenine nucleotide translocator 2) (ANT 2)
XP_013621225.1	113	AT4G34620.1	AT4G34620.1	orthologue	GO:0009941;GO:0009793;GO:0005840;GO:0003735;GO:0009536;GO:0005886;GO:0005739;GO:0009507;GO:0015935;GO:0003729;GO:0006412;GO:0019904;GO:1990904;GO:0032543	Small ribosomal subunit protein bS16cy (30S ribosomal protein S16-1, chloroplastic) (Small subunit ribosomal protein 16)
XP_013621226.1	887	AT1G65070.2	AT1G65070.2	orthologue	GO:0045910;GO:0030983;GO:0016887;GO:0004519;GO:0005634;GO:0006298;GO:0003690;GO:0005524;GO:0019843;GO:0140664	DNA mismatch repair protein MutS, type 2;DNA mismatch repair protein MutS, type 2 (F16G16.7 protein)
XP_013621228.1	590	AT2G02070.1	AT2G02070.1	other	GO:0045893;GO:0005515;GO:0003700;GO:0000976;GO:0005634;GO:0006355;GO:0043565;GO:0008270;GO:0009507	Protein indeterminate-domain 5, chloroplastic (ID1-like zinc finger protein 2)
XP_013621229.1	423	AT5G22060.1	AT5G22060.1	orthologue	GO:0042026;GO:0003729;GO:0030544;GO:0006457;GO:0005737;GO:0051082;GO:0009408;GO:0005524;GO:0051087;GO:0005829;GO:0009536;GO:0009506;GO:0008270;GO:0016020;GO:0031072	Chaperone protein dnaJ 2 (AtDjA2)
XP_013621230.1	724	AT5G10630.4	AT5G10630.4	orthologue	GO:0070481;GO:1902373;GO:0005737;GO:0005515;GO:0003924;GO:0003746;GO:0005525;GO:0046872	AT5G10630 protein (Translation elongation factor EF1A/initiation factor IF2gamma family protein);Translation elongation factor EF1A/initiation factor IF2gamma family protein
XP_013621237.1	189	AT5G10650.1	AT5G10650.1	other	GO:0051865;GO:0005515;GO:0005634;GO:0061630;GO:0097427;GO:0008017;GO:0008270	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
XP_013621238.1	466	AT1G78880.1	AT1G78880.1	orthologue	GO:2001007;GO:0005886;GO:0003674;GO:0006508;GO:0008233	F9K20.7 protein (Ubiquitin-specific protease family C19-related protein)
XP_013621240.1	153	AT1G78870.2	AT1G78870.2	orthologue	GO:0009507;GO:0006511;GO:0005515;GO:0006301;GO:0005739;GO:0061631;GO:0005634;GO:0010053;GO:0070534;GO:0016567;GO:0004842;GO:0031372;GO:0010039;GO:0005524;GO:0016740	Ubiquitin-conjugating enzyme 35;Ubiquitin-conjugating enzyme E2 35 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 35) (Ubiquitin carrier protein 35)
XP_013621241.1	725	AT3G06860.1	AT3G06860.1	orthologue	GO:0008692;GO:0006635;GO:0004300;GO:0005730;GO:0070403;GO:0009505;GO:0004165;GO:0003857;GO:0005777;GO:0009506;GO:0005829;GO:0018812;GO:0005737;GO:0009514;GO:0006631;GO:0016491;GO:0016616;GO:0003824	Peroxisomal fatty acid beta-oxidation multifunctional protein MFP2 (AtMPF2) [Includes: Enoyl-CoA hydratase/3-2-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]
XP_013621242.1	484	AT5G25510.1	AT5G25510.1	orthologue	GO:0005737;GO:0005515;GO:0000159;GO:0007165;GO:0019888	Serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' kappa isoform (AtB' kappa) (PP2A, B' subunit, kappa isoform)
XP_013621243.1	592	AT1G75730.1	AT1G75730.1	orthologue	GO:0003674;GO:0005634;GO:0008150	At1g75730
XP_013621246.1	334	AT5G10740.1	AT5G10740.1	orthologue	GO:1902531;GO:0004722;GO:0017018;GO:0005886;GO:0046872;GO:0043169;GO:0006470	Probable protein phosphatase 2C 69 (AtPP2C69) (EC 3.1.3.16)
XP_013621247.1	386	AT5G57180.2	AT5G57180.2	orthologue	GO:0005634;GO:0006355;GO:0005515;GO:0045036;GO:0009507	Chloroplast import apparatus 2;Protein CHLOROPLAST IMPORT APPARATUS 2
XP_013621249.1	447	AT2G02870.1	AT2G02870.1	orthologue	GO:0016567;GO:0003674;GO:0005634;GO:0005515	F-box/kelch-repeat protein SKIP11 (SKP1-interacting partner 11)
XP_013621253.1	128	AT4G22380.1	AT4G22380.1	other	GO:0030490;GO:0000398;GO:0005730;GO:0046540;GO:0071011;GO:0042254;GO:0003723;GO:0005829;GO:0005634;GO:0032040;GO:0031428;GO:0005840;GO:1990904	At4g22380 (Ribosomal protein L7Ae-like) (Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein)
XP_013621254.1	587	AT5G51280.1, AT4G33370.1	AT5G51280.1	orthologue	GO:0000398;GO:0005634;GO:0003729;GO:0005515;GO:0005681;GO:0003724;GO:0005737;GO:0003723;GO:0005524;GO:0008270;GO:0016887;GO:0003676	DEAD-box ATP-dependent RNA helicase 35 (EC 3.6.4.13);Putative DEAD-box ATP-dependent RNA helicase 43 (EC 3.6.4.13)
XP_013621255.1	561	AT5G11710.1	AT5G11710.1	other	GO:0005634;GO:0006897;GO:0005515;GO:0005802;GO:0002020;GO:0030276;GO:0005886;GO:0005768;GO:0072659;GO:0006623;GO:0030125;GO:0009579;GO:0005794;GO:0005884;GO:0005543;GO:0030136	Clathrin interactor EPSIN 1 (EPSIN-related 1)
XP_013621256.1	267					
XP_013621259.1	409	AT5G13730.1	AT5G13730.1	orthologue	GO:0006352;GO:2001141;GO:0071482;GO:0016987;GO:0009507;GO:0003677;GO:0003700;GO:0006355	RNA polymerase sigma factor sigD, chloroplastic (Sigma factor D) (Sigma-D) (RNA polymerase sigma factor sig4) (Atsig4) (Sigma factor 4)
XP_013621260.1	269	AT5G13720.1	AT5G13720.1	orthologue	GO:0009706;GO:0009941;GO:0003674;GO:0009507;GO:0009536	Uncharacterized protein At5g13720 (Uncharacterized protein family (UPF0114))
XP_013621261.1	589	AT5G60640.1	AT5G60640.1	orthologue	GO:0006457;GO:0005783;GO:0099503;GO:0003756;GO:0009507;GO:0005739;GO:0034976;GO:0000325;GO:0009536;GO:0005576;GO:0005634;GO:0005788	Protein disulfide isomerase-like 1-4 (AtPDIL1-4) (EC 5.3.4.1) (Protein disulfide isomerase 2) (AtPDI2) (Protein disulfide isomerase-like 2-2) (AtPDIL2-2);Protein disulfide isomerase-like 1-4 (EC 5.3.4.1);Protein disulfide-isomerase (EC 5.3.4.1)
XP_013621262.1	476	AT5G60580.2	AT5G60580.2	other	GO:0005737;GO:0008270;GO:0016020	Emb|CAB86085.1 (RING/U-box superfamily protein);RING/U-box superfamily protein
XP_013621272.1	257	AT5G60440.1	AT5G60440.1	orthologue	GO:0005515;GO:0006357;GO:0045944;GO:0003700;GO:0005634;GO:0000977;GO:0046983;GO:0009960;GO:2000012;GO:0000978;GO:0000981;GO:0003677	Agamous-like MADS-box protein AGL62
XP_013621273.1	596	AT1G70570.2	AT1G70570.2	other	GO:0006177;GO:0003921;GO:0005829;GO:0009507;GO:0009570;GO:0016757	Anthranilate phosphoribosyltransferase
XP_013621274.1	560	AT4G17300.2	AT4G17300.2	orthologue	GO:0006421;GO:0009507;GO:0005737;GO:0009570;GO:0048481;GO:0004816;GO:0005739;GO:0003677;GO:0005524;GO:0003676;GO:0000166;GO:0004812;GO:0006418	Asparagine--tRNA ligase, chloroplastic/mitochondrial (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS) (AtNS1) (Protein OVULE ABORTION 8);asparagine--tRNA ligase (EC 6.1.1.22)
XP_013621275.1	215	AT5G11500.1	AT5G11500.1	orthologue	GO:0010227;GO:0005634;GO:0005886;GO:0005515	Coiled-coil protein
XP_013621277.1	381	AT5G11520.1	AT5G11520.1	orthologue	GO:0009536;GO:0004069;GO:0030170;GO:0006536;GO:0009507;GO:0005886;GO:0005777;GO:0005829;GO:0006531;GO:0006103;GO:0010150;GO:0005739;GO:0009058;GO:0006520;GO:0008483	Aspartate aminotransferase 3, chloroplastic (EC 2.6.1.1) (Protein YELLOW-LEAF-SPECIFIC GENE 4) (Transaminase A)
XP_013621278.1	879	AT4G02260.1	AT4G02260.1	orthologue	GO:0005886;GO:0015979;GO:0008893;GO:0008728;GO:0005515;GO:0010150;GO:0015969;GO:0009611;GO:0009507;GO:0005524;GO:0005525;GO:0016301	Putative GTP diphosphokinase RSH1, chloroplastic (EC 2.7.6.5) (RelA/SpoT homolog 1) (AtRSH1) (ppGpp synthetase RSH1);Putative GTP diphosphokinase RSH1, chloroplastic (EC 2.7.6.5) (RelA/SpoT homolog 1) (ppGpp synthetase RSH1)
XP_013621282.1	996	AT5G26860.1	AT5G26860.1	orthologue	GO:0006515;GO:0005515;GO:0051131;GO:0005759;GO:0005739;GO:0003697;GO:0007005;GO:0004176;GO:0005524;GO:0004252;GO:0016887;GO:0034599;GO:0043565;GO:0070407;GO:0006508;GO:0030163	Lon protease homolog 1, mitochondrial (EC 3.4.21.53);Lon protease homolog, mitochondrial (EC 3.4.21.53)
XP_013621283.1	455	AT5G22400.1	AT5G22400.1	orthologue	GO:0003674;GO:0009507;GO:0007165;GO:0005096	Rho GTPase-activating protein 1 (Rho-type GTPase-activating protein 1)
XP_013621285.1	231	AT4G11650.1	AT4G11650.1	other	GO:0042742;GO:0006952;GO:0099503;GO:0005576;GO:0005515;GO:0050832	Osmotin-like protein OSM34
XP_013621286.1	205	AT5G22390.1	AT5G22390.1	orthologue	GO:0005634;GO:0003674	FANTASTIC four-like protein (DUF3049)
XP_013621287.1	544	AT5G27150.1	AT5G27150.1	orthologue	GO:0090333;GO:0015386;GO:0015385;GO:0005576;GO:0035725;GO:0005886;GO:0055075;GO:0098719;GO:0071805;GO:0005774;GO:0006814;GO:1902600;GO:0015081;GO:0048366;GO:0006885;GO:0009651;GO:0010351;GO:0009536;GO:0005773;GO:0000325;GO:0051453;GO:0005515;GO:0000139;GO:0005516;GO:0005789;GO:0006813;GO:0016020;GO:0055085;GO:0006812;GO:0015297	Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1)
XP_013621291.1	829	AT5G20840.1	AT5G20840.1	orthologue	GO:0046856;GO:0009506;GO:0005634;GO:0043231;GO:0043813;GO:0005774;GO:0016791	Phosphoinositide phosphatase SAC4 (AtSAC4) (EC 3.1.3.-) (Phosphatidylinositol 3,5-bisphosphate 5-phosphatase SAC4) (Protein SUPPRESSOR OF ACTIN 4) (SAC domain protein 4)
XP_013621292.1	885	AT1G09995.1, AT1G79890.1	AT1G79890.1	orthologue	GO:0003674;GO:0005739;GO:0032508;GO:0003678;GO:0005634;GO:0034085;GO:0005829;GO:0006139;GO:0016818;GO:0003677;GO:0005524;GO:0006974;GO:0046872;GO:0051536;GO:0004386;GO:0016020;GO:0003676	At1g09995 (DNA repair DEAD helicase RAD3/XP-D subfamily protein);DNA repair DEAD helicase RAD3/XP-D subfamily protein;Putative helicase; 55525-51977 (RAD3-like DNA-binding helicase protein);RAD3-like DNA-binding helicase protein
XP_013621295.1	275	AT2G02250.1	AT2G02250.1	orthologue	GO:0030246;GO:0008150;GO:0005634;GO:0005515	Putative F-box protein PP2-B2 (Protein PHLOEM PROTEIN 2-LIKE B2) (AtPP2-B2)
XP_013621296.1	528	AT5G55700.1	AT5G55700.1	orthologue	GO:0005983;GO:0009507;GO:0016161;GO:0005576;GO:0000272	Beta-amylase (EC 3.2.1.2);Inactive beta-amylase 4, chloroplastic (Inactive beta-amylase 6)
XP_013621297.1	211	AT5G55710.1	AT5G55710.1	orthologue	GO:0009507;GO:0009535;GO:0009579;GO:0003674;GO:0009706;GO:0015031	Protein TIC 20-v, chloroplastic (Translocon at the inner envelope membrane of chloroplasts 20-V) (AtTIC20-v)
XP_013621298.1	502	AT3G15095.1	AT3G15095.1	orthologue	GO:0010207;GO:0003674;GO:0005634;GO:0009507	Chloroplast protein HCF243 (Serine/Threonine-kinase pakA-like protein);Serine/Threonine-kinase pakA-like protein
XP_013621299.1	448	AT5G61020.1	AT5G61020.1	orthologue	GO:0003729;GO:0061157;GO:0009737;GO:0048255;GO:0055062;GO:0009615;GO:0005634;GO:0005737;GO:0003723	YTH domain-containing protein ECT3 (Protein EVOLUTIONARILY CONSERVED C-TERMINAL REGION 3)
XP_013621300.1	75	AT5G45010.1	AT5G45010.1	other	GO:0000502;GO:0006406;GO:0042542;GO:0000724;GO:0043248;GO:0005634;GO:0008541;GO:0005515	Protein DSS1 HOMOLOG ON CHROMOSOME V (AtDSS1(V)) (Probable 26S proteasome complex subunit sem1-2)
XP_013621301.1	496	AT1G72160.1	AT1G72160.1	orthologue	GO:0005886;GO:0003674;GO:0005737;GO:0008289;GO:0051301	Patellin-3
XP_013621302.1	438	AT5G64020.1	AT5G64020.1	orthologue	GO:0016407;GO:1990937;GO:0045492;GO:0016740;GO:0008374;GO:0010411;GO:0009834;GO:0005794;GO:0016020;GO:0005975	Protein trichome birefringence-like 14
XP_013621303.1	349	AT5G64000.1	AT5G64000.1	orthologue	GO:0008441;GO:0016312;GO:0000103;GO:0016311;GO:0006790;GO:0009507;GO:0004441;GO:0005737;GO:0046872;GO:0043647;GO:0042578	3'(2'),5'-bisphosphate nucleotidase (EC 3.1.3.7);3',5'-bisphosphate nucleotidase 2 (EC 3.1.3.7) (3',5'-bisphosphonucleoside 3'-phosphohydrolase 2) (3'-phosphoadenosine-5'-phosphate phosphatase 2) (PAP phosphatase 2) (PAPase 2) (DPNPase 2) (Inositol polyphosphate 1-phosphatase 2) (IPPase 2) (Inositol-1,4-bisphosphate 1-phosphatase 2) (EC 3.1.3.57) (Phosphatase SAL2)
XP_013621305.1	451	AT5G03040.1	AT5G03040.1	orthologue	GO:0005634;GO:0005886;GO:0005874;GO:0003674;GO:0005516;GO:0005737;GO:0005856;GO:0005515	Protein IQ-DOMAIN 2 (AtIQD2)
XP_013621313.1	135	AT5G03050.1	AT5G03050.1	orthologue	GO:0005634;GO:0005515	At5g03050 (Knotted 1-binding protein)
XP_013621314.1	158					
XP_013621317.1	1052	AT5G20280.1	AT5G20280.1	orthologue	GO:0005886;GO:0005634;GO:0005986;GO:0016757;GO:0009506;GO:0071836;GO:0046524;GO:0016157;GO:0005985	Sucrose-phosphate synthase 1 (EC 2.4.1.14) (Sucrose-phosphate synthase 1F) (AtSPS1F) (Sucrose-phosphate synthase 5.1) (AtSPS5.1) (UDP-glucose-fructose-phosphate glucosyltransferase)
XP_013621319.1	435	AT5G01010.2	AT5G01010.2	orthologue	GO:0005739;GO:0003674	AT5G01010 protein (Retinal-binding protein);Retinal-binding protein
XP_013621320.1	959	AT5G01890.1	AT5G01890.1	orthologue	GO:0005515;GO:0016301;GO:0004672;GO:0005886;GO:0005524;GO:0006468	Leucine-rich repeat receptor-like protein kinase PXC2 (Protein PXY/TDR-CORRELATED 2)
XP_013621321.1	676	AT1G80870.1	AT1G80870.1	orthologue	GO:0004674;GO:0009507;GO:0005524;GO:0005886;GO:0106310;GO:0004672;GO:0006468	Putative receptor-like protein kinase At1g80870 (EC 2.7.11.1)
XP_013621322.1	567	AT4G12400.2	AT4G12400.2	orthologue	GO:0051879;GO:0005829;GO:0010286;GO:0070678;GO:0051131;GO:0005634;GO:0005515	Hsp70-Hsp90 organizing protein 3 (AtHop3)
XP_013621323.1	684	AT5G28530.1	AT5G28530.1	orthologue	GO:0006355;GO:0005575;GO:0008270;GO:0005634	Protein FAR1-RELATED SEQUENCE;Putative protein FAR1-RELATED SEQUENCE 10
XP_013621326.1	586	AT4G12420.1	AT4G12420.1	orthologue	GO:0009932;GO:0005886;GO:0009505;GO:0016491;GO:0000325;GO:0005576;GO:0048046;GO:0016020;GO:0005829;GO:0005507;GO:0009506;GO:0098552	Monocopper oxidase-like protein SKU5 (Skewed roots)
XP_013621327.1	334	AT2G03750.1	AT2G03750.1	orthologue	GO:0051923;GO:0009507;GO:0008146;GO:0005737	Cytosolic sulfotransferase 11 (AtSOT11) (EC 2.8.2.-)
XP_013621328.1	323	AT2G03760.1	AT2G03760.1	other	GO:0080118;GO:0051923;GO:0006952;GO:0005737;GO:0016131;GO:1990135;GO:0009651;GO:0008146;GO:0009751;GO:0005794	Cytosolic sulfotransferase 12 (AtSOT12) (EC 2.8.2.-) (Sulfotransferase 1) (AtST1)
XP_013621329.1	504	AT3G26020.4	AT3G26020.4	orthologue	GO:0005737;GO:0034605;GO:0005634;GO:0005829;GO:0005515;GO:0000159;GO:0000398;GO:0019888;GO:0007165;GO:0005730;GO:0006952;GO:0009742	Serine/threonine protein phosphatase 2A 59 kDa regulatory subunit B' eta isoform (AtB' eta) (PP2A, B' subunit, eta isoform);Serine/threonine protein phosphatase 2A regulatory subunit
XP_013621330.1	392	AT5G16120.4	AT5G16120.4	other	GO:0005829;GO:0009536;GO:0005737;GO:0016020;GO:0016298;GO:0009506;GO:0047372	Alpha/beta-Hydrolases superfamily protein;Alpha/beta-Hydrolases superfamily protein (Putative lipase)
XP_013621331.1	135	AT5G16160.1	AT5G16160.1	orthologue	GO:0005634;GO:0003674	At5g16160
XP_013621332.1	190	AT5G16130.1	AT5G16130.1	orthologue	GO:0022626;GO:0022627;GO:0009536;GO:0006364;GO:0032040;GO:0006412;GO:0009506;GO:0042274;GO:0003729;GO:0005730;GO:0003735;GO:0005840;GO:0030686	Small ribosomal subunit protein eS7x (40S ribosomal protein S7-3)
XP_013621333.1	498	AT3G30775.1	AT3G30775.1	orthologue	GO:0004657;GO:0071949;GO:0005739;GO:0010133;GO:0071456;GO:0042742;GO:0006979;GO:0009414;GO:0006562	Proline dehydrogenase 1, mitochondrial (EC 1.5.5.2) (Osmotic stress-induced proline dehydrogenase) (Proline oxidase) (Protein EARLY RESPONSIVE TO DEHYDRATION 5)
XP_013621334.1	515	AT1G69270.1	AT1G69270.1	orthologue	GO:0048508;GO:0004674;GO:0004672;GO:0009738;GO:0005515;GO:0005886;GO:0009942;GO:0009737;GO:0009409;GO:0009945;GO:0009651;GO:0009414;GO:0042802;GO:0005777;GO:0005576;GO:0016020;GO:0016301;GO:0005524;GO:0106310;GO:0006468	Probable LRR receptor-like serine/threonine-protein kinase RPK1 (EC 2.7.11.1) (Protein TOADSTOOL 1) (Receptor-like protein kinase 1)
XP_013621335.1	555	AT5G08690.1, AT5G08670.1	AT5G08670.1	orthologue	GO:0005524;GO:0005739;GO:0050897;GO:0005507;GO:0005886;GO:0008150;GO:0045259;GO:0009507;GO:0045271;GO:0045261;GO:0000325;GO:0008270;GO:0046961;GO:0009941;GO:0046933;GO:0015986;GO:0005730;GO:0042776;GO:0016887;GO:0008266;GO:0005743;GO:0046034;GO:1902600;GO:0006754;GO:0005753	ATP synthase subunit beta-1, mitochondrial (EC 7.1.2.2);ATP synthase subunit beta-2, mitochondrial (EC 7.1.2.2)
XP_013621336.1	443	AT1G80900.1	AT1G80900.1	orthologue	GO:0005739;GO:0015693;GO:1903830;GO:0015095;GO:0005886	Magnesium transporter MRS2-10 (Magnesium Transporter 1) (AtMGT1)
XP_013621338.1	751	AT5G58050.1, AT5G58170.1	AT5G58170.1	orthologue	GO:0008889;GO:0009860;GO:0006629;GO:0048868;GO:0016020;GO:0016301;GO:0009507;GO:0006071;GO:0008081	Glycerophosphodiester phosphodiesterase GDPDL6 (EC 3.1.4.46) (Glycerophosphodiester phosphodiesterase-like 6) (ATGDPDL6) (Glycerophosphodiesterase-like 5) (Protein SHV3-LIKE 4);Glycerophosphodiester phosphodiesterase GDPDL7 (EC 3.1.4.46) (Glycerophosphodiester phosphodiesterase-like 7) (ATGDPDL7) (Glycerophosphodiesterase-like 6) (Protein SHV3-LIKE 5)
XP_013621339.1	573	AT5G21100.1	AT5G21100.1	orthologue	GO:0050687;GO:0009651;GO:0042542;GO:0009615;GO:0008447;GO:0019854;GO:0005576;GO:0006979;GO:1901001;GO:0016491;GO:0005507;GO:0009536;GO:0006952;GO:0009506	L-ascorbate oxidase (AAO) (AO) (ASO) (Ascorbase) (EC 1.10.3.3)
XP_013621340.1	740	AT5G19520.1	AT5G19520.1	other	GO:0006820;GO:0005634;GO:0050982;GO:0005886;GO:0008381;GO:0016020;GO:0055085	Mechanosensitive ion channel protein 9 (Mechanosensitive channel of small conductance-like 9) (MscS-Like protein 9) (AtMSL9)
XP_013621341.1	497	AT5G19500.1	AT5G19500.1	orthologue	GO:0003333;GO:0009706;GO:0009507;GO:0003674;GO:0005886	At5g19500 (Tryptophan/tyrosine permease)
XP_013621342.1	223	AT5G19510.1	AT5G19510.1	other	GO:0006414;GO:0005829;GO:0009506;GO:0009536;GO:0005773;GO:0005085;GO:0010494;GO:0005737;GO:0048046;GO:0005853;GO:0003746	Elongation factor 1-beta 2 (EF-1-beta 2) (Elongation factor 1-beta' 2) (EF-1-beta' 2) (Elongation factor 1B-alpha 2) (eEF-1B alpha 2)
XP_013621343.1	342	AT5G16030.3	AT5G16030.3	orthologue	GO:0005634;GO:0003674;GO:0005739	Mental retardation GTPase activating protein
XP_013621346.1	1200	AT5G43310.1	AT5G43310.1	orthologue	GO:0005634;GO:0003674;GO:0005886	COP1-interacting protein-like protein
XP_013621347.1	366	AT5G25460.1	AT5G25460.1	orthologue	GO:1902066;GO:0009505;GO:0030234;GO:0003674;GO:0010015;GO:0009536;GO:0009506;GO:0005576	Protein DUF642 L-GALACTONO-1,4-LACTONE-RESPONSIVE GENE 2 (DUF642 L-GalL-RESPONSIVE GENE 2)
XP_013621348.1	390	AT3G04030.3	AT3G04030.3	orthologue	GO:0003700;GO:0006355;GO:0005739;GO:0003677;GO:0005634	Homeodomain-like superfamily protein;Myb-related protein 2 (Myb family transcription factor PHL9) (Protein NITROGEN STARVATION RESPONSE 1) (AtNSR1) (Protein PHR1-LIKE 9)
XP_013621349.1	271	AT5G25470.1, AT5G25475.4	AT5G25470.1	orthologue	GO:0003674;GO:0005575;GO:0005634;GO:0008150;GO:0003677;GO:0016020	AP2/B3-like transcriptional factor family protein;B3 domain-containing protein At5g25470;B3 domain-containing protein At5g25475
XP_013621350.1	916	AT3G27530.1	AT3G27530.1	orthologue	GO:0006886;GO:0005783;GO:0005794;GO:0006888;GO:0032527;GO:0005634;GO:0012507;GO:0048280;GO:0003674;GO:0048211;GO:0061025;GO:0005795;GO:0009791;GO:0000139;GO:0005829;GO:0016192;GO:0048193;GO:0005737	Golgin candidate 6 (AtGC6) (Protein MAIGO 4)
XP_013621352.1	151	AT3G23805.1	AT3G23805.1	orthologue	GO:0048046;GO:0007267;GO:0019722;GO:0005179;GO:0005576;GO:0040008;GO:0009506	Protein RALF-like 24
XP_013621353.1	858	AT3G06670.2	AT3G06670.2	other	GO:0070918;GO:0030289;GO:0072542;GO:0004722;GO:0005634;GO:0005829;GO:0005654;GO:0070878;GO:0016604;GO:0005515;GO:0019888;GO:0006470	At3g06670/T8E24.10 (Binding protein);Binding protein
XP_013621354.1	359	AT5G60360.3	AT5G60360.3	orthologue	GO:2001235;GO:0008656;GO:0005615;GO:0005576;GO:0051603;GO:0000325;GO:0006508;GO:0009723;GO:0006955;GO:0009536;GO:0005764;GO:0004197;GO:0008234;GO:0099503;GO:0005773;GO:0009699;GO:0050547	Thiol protease aleurain (AtALEU) (EC 3.4.22.16) (Senescence-associated gene product 2);cathepsin H (EC 3.4.22.16)
XP_013621355.1	147					
XP_013621356.1	785	AT1G67530.1	AT1G67530.1	other	GO:0005737;GO:0016567;GO:0005634;GO:0004842;GO:0061630;GO:0070696;GO:0005515	RING-type E3 ubiquitin transferase (EC 2.3.2.27);U-box domain-containing protein 7 (EC 2.3.2.27) (Plant U-box protein 7) (RING-type E3 ubiquitin transferase PUB7)
XP_013621359.1	371	AT1G68670.1, AT1G25550.1	AT1G68670.1	other	GO:0005515;GO:0003700;GO:0055062;GO:0001217;GO:0071456;GO:0006355;GO:0000976;GO:0009737;GO:0005634;GO:0016036;GO:0003677;GO:0005739	Myb-like transcription factor family protein;Transcription factor HHO2 (MYB-domain transcription factor HHO2) (Protein HRS1 HOMOLOG 2);Transcription factor HHO3 (MYB-domain transcription factor HHO3) (Protein HRS1 HOMOLOG 3)
XP_013621360.1	217				GO:0006508;GO:0030163	
XP_013621362.1	461	AT5G48880.2	AT5G48880.2	orthologue	GO:0006635;GO:0005777;GO:0010124;GO:0019395;GO:0009507;GO:0003988;GO:0005737;GO:0006633;GO:0031408;GO:0016747;GO:0016746	3-ketoacyl-CoA thiolase 5, peroxisomal (EC 2.3.1.16) (Acetyl-CoA acyltransferase 5) (Beta-ketothiolase 5) (Peroxisomal 3-oxoacyl-CoA thiolase 5)
XP_013621364.1	89	AT5G48870.1	AT5G48870.1	orthologue	GO:0003723;GO:0046540;GO:0000398;GO:0009414;GO:1990726;GO:0005515;GO:0009737;GO:0005688;GO:0005634;GO:0009536;GO:0000290;GO:0000932;GO:0005681;GO:0120115	Sm-like protein LSM5 (AtLSM5) (Protein SUPERSENSITIVE TO ABA AND DROUGHT 1) (AtSAD1) (U6 snRNA-associated Sm-like protein LSM5)
XP_013621365.1	907	AT4G03080.1	AT4G03080.1	orthologue	GO:0005515;GO:0009742;GO:0017018;GO:0005634;GO:0005829;GO:0004722;GO:0046872;GO:0016787;GO:0004721	Serine/threonine-protein phosphatase BSL1 (EC 3.1.3.16) (BSU1-like protein 1)
XP_013621367.1	580	AT5G52920.1	AT5G52920.1	orthologue	GO:0010431;GO:0006096;GO:0009507;GO:0009570;GO:0006633;GO:0005737;GO:0048316;GO:0004743;GO:0000287;GO:0005739;GO:0006629;GO:0030955;GO:0005524;GO:0016301;GO:0003824	Plastidial pyruvate kinase 2 (PKp2) (EC 2.7.1.40) (Plastidial pyruvate kinase 1) (PKP1) (Pyruvate kinase III) (Pyruvate kinase isozyme B1, chloroplastic) (PKP-BETA1) (Plastidic pyruvate kinase beta subunit 1)
XP_013621368.1	414	AT5G59830.1	AT5G59830.1	orthologue	GO:0045944;GO:0000977;GO:0005634;GO:0042393;GO:0003682;GO:0003916;GO:0042742	DNA-binding protein
XP_013621370.1	208	AT3G06035.1	AT3G06035.1	orthologue	GO:0003674;GO:0016020;GO:0005829;GO:0005886;GO:0098552	Uncharacterized GPI-anchored protein At3g06035
XP_013621371.1	216	AT5G59840.1	AT5G59840.1	orthologue	GO:0006887;GO:0005525;GO:0003924;GO:0005886;GO:0009536;GO:0016020;GO:0009506;GO:0000139;GO:0015031	Putative GTP-binding protein ara-3 (Rab-type small GTP-binding protein-like) (Ras-related small GTP-binding family protein)
