"Cardamine_amara"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"evm.model.RL_6.2321"	"AT2G41945.3"	"AT2G41945.3"	"AT2G41945.3"	"N0.HOG0013885"	"AT2G41945.3"	"OG0007794"	"AT2G41945.3"	"AT2G41945.3"	159	204	99	96	196	77.041	271	"AT2G41945.3"	77.041	196	7	1	1	158	1	196	1.49e-94	271	99	159	204
"evm.model.RL_6.2322"	"AT2G41950.1"	"AT2G41950.1"	"AT2G41950.1"	"N0.HOG0021909"	"AT2G41950.1"	"OG0015344"	"AT2G41950.1"	"AT2G41950.1"	267	266	93	100	248	90.226	452	"AT2G41950.1"	90.726	248	23	0	19	266	19	266	2.65e-163	452	93	267	266
"evm.model.RL_6.2323"	"AT2G41960.1"	"AT2G41960.1"	NA	"N0.HOG0007296"	"AT2G41960.1, AT3G58050.2"	"OG0002683"	"AT2G41960.1, AT3G58050.2"	"AT2G41960.1"	1063	1215	64	55	686	79.883	1005	"AT2G41960.1"	79.883	686	122	6	1	684	1	672	0	1019	64	1063	1215
"evm.model.RL_6.2324"	"AT2G41970.1"	"AT2G41970.1"	"AT2G41970.1"	"N0.HOG0011079"	"AT2G41970.1"	"OG0005319"	"AT2G41970.1"	"AT2G41970.1"	366	365	99	100	365	98.356	745	"AT2G41970.1"	98.356	365	6	0	1	365	1	365	0	745	99	366	365
"evm.model.RL_6.2325"	"AT2G41980.1"	"AT2G41980.1"	"AT2G41980.1"	"N0.HOG0004172"	"AT2G41980.1"	"OG0001096"	"AT2G41980.1, AT3G58040.1"	"AT2G41980.1"	308	305	99	100	307	96.091	620	"AT2G41980.1"	96.091	307	10	1	1	307	1	305	0	620	99	308	305
"evm.model.RL_6.2326"	"AT2G42010.2"	"AT2G42010.2"	"AT2G42010.2"	"N0.HOG0020528"	"AT2G42010.2"	"OG0013995"	"AT2G42010.2"	"AT2G42010.2"	1089	1108	94	94	1053	91.383	1957	"AT2G42010.2"	91.453	1053	52	8	64	1088	66	1108	0	1957	94	1089	1108
"evm.model.RL_6.2327"	"AT2G42030.1"	"AT2G42030.1"	"AT2G42030.1"	"N0.HOG0024222"	"AT2G42030.1"	"OG0017596"	"AT2G42030.1"	"AT2G42030.1"	359	425	97	85	358	74.022	483	"AT2G42030.1"	74.022	358	76	6	1	349	66	415	3.79e-171	483	97	359	425
"evm.model.RL_6.2328"	"AT2G42040.1"	"AT2G42040.1"	"AT2G42040.1"	"N0.HOG0011080"	"AT2G42040.1"	"OG0005320"	"AT2G42040.1"	"AT2G42040.1"	275	269	99	100	284	72.535	323	"AT2G42040.1"	74.386	285	46	8	1	274	1	269	5.14e-114	328	99	275	269
"evm.model.RL_6.2329"	"AT2G42060.1"	"AT2G42060.1"	"AT2G42060.1"	"N0.HOG0024565"	"AT2G42060.1"	"OG0017916"	"AT2G42060.1"	"AT2G42060.1"	270	268	99	100	269	89.591	474	"AT2G42060.1"	89.591	269	27	1	1	269	1	268	1.66e-171	474	99	270	268
"evm.model.RL_6.233"	"AT2G23380.1"	"AT2G23380.1"	"AT2G23380.1"	"N0.HOG0022330"	"AT2G23380.1"	"OG0015758"	"AT2G23380.1"	"AT2G23380.1"	910	902	99	100	898	88.229	1577	"AT2G23380.1"	88.307	898	98	2	12	909	12	902	0	1579	99	910	902
"evm.model.RL_6.2330"	"AT2G42070.1"	"AT2G42070.1"	"AT2G42070.1"	"N0.HOG0016262"	"AT2G42070.1"	"OG0010019"	"AT2G42070.1"	"AT2G42070.1"	285	280	99	100	284	93.662	521	"AT2G42070.1"	93.662	284	14	2	1	284	1	280	0	521	99	285	280
"evm.model.RL_6.2331"	"AT2G42065.1"	"AT2G42065.1"	"AT2G42065.1"	"N0.HOG0026542"	"AT2G42065.1"	"OG0019734"	"AT2G42065.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G42080.1"	49.643	280	104	11	1	261	1	262	4.55e-62	196	99	263	263
"evm.model.RL_6.2332"	"AT2G42080.1"	"AT2G42080.1"	"AT2G42080.1"	"N0.HOG0006276"	"AT2G42080.1"	"OG0002145"	"AT2G42080.1, AT3G58020.1"	"AT2G42080.1"	263	263	99	100	266	85.714	387	"AT2G42080.1"	86.09	266	30	2	1	262	1	263	6.74e-157	436	99	263	263
"evm.model.RL_6.2333"	"AT2G42090.1, AT2G42170.1, AT2G42100.1"	"AT2G42100.1"	"AT2G42090.1, AT2G42170.1, AT2G42100.1"	"N0.HOG0000792"	"AT1G49240.1, AT3G18780.2, AT2G42090.1, AT2G42170.1, AT2G42100.1, AT3G12110.1, AT2G37620.1, AT3G53750.1, AT5G59370.1, AT3G46520.1"	"OG0000089"	"AT1G49240.1, AT2G37620.1, AT2G42090.1, AT2G42100.1, AT2G42170.1, AT3G12110.1, AT3G18780.2, AT3G46520.1, AT3G53750.1, AT5G09810.1, AT5G59370.1"	"AT2G42100.1"	381	378	98	99	373	89.544	707	"AT2G42100.1"	89.544	373	39	0	8	380	6	378	0	707	98	381	378
"evm.model.RL_6.2334"	"AT2G42110.1"	"AT2G42110.1"	"AT2G42110.1"	"N0.HOG0020016"	"AT2G42110.1"	"OG0013506"	"AT2G42110.1"	"AT2G42110.1"	135	137	99	100	138	87.681	220	"AT2G42110.1"	87.681	138	12	5	1	134	1	137	1.29e-75	220	99	135	137
"evm.model.RL_6.2335"	"AT2G42120.1"	"AT2G42120.1"	"AT2G42120.1"	"N0.HOG0016263"	"AT2G42120.1"	"OG0010020"	"AT2G42120.1"	"AT2G42120.1"	437	441	99	99	439	92.938	848	"AT2G42120.1"	92.938	439	28	1	1	436	1	439	0	848	99	437	441
"evm.model.RL_6.2336"	"AT2G42130.4"	"AT2G42130.4"	"AT2G42130.4"	"N0.HOG0018451"	"AT2G42130.4"	"OG0012030"	"AT2G42130.4"	"AT2G42130.4"	308	299	97	100	299	89.967	538	"AT2G42130.4"	89.967	299	29	1	10	307	1	299	0	538	97	308	299
"evm.model.RL_6.2337"	"AT2G42140.1"	"AT2G42140.1"	"AT2G42140.1"	"N0.HOG0026072"	"AT2G42140.1"	"OG0019327"	"AT2G42140.1"	"AT2G42140.1"	179	172	99	100	178	76.966	222	"AT2G42140.1"	76.966	178	35	2	1	178	1	172	2.84e-96	276	99	179	172
"evm.model.RL_6.2338"	"AT3G57990.1"	"AT3G57990.1"	NA	NA	NA	"OG0003730"	"AT3G57990.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G57990.1"	69.973	373	79	8	1	351	1	362	8.7e-179	499	99	352	367
"evm.model.RL_6.2339"	"AT2G42150.1"	"AT2G42150.1"	"AT2G42150.1"	"N0.HOG0009775"	"AT3G57980.2, AT2G42150.1"	"OG0004252"	"AT2G42150.1, AT3G57980.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G42150.1"	66.667	660	163	21	1	632	1	631	0	703	99	633	631
"evm.model.RL_6.234"	"AT2G23390.1"	"AT2G23390.1"	"AT2G23390.1"	"N0.HOG0017084"	"AT2G23390.1"	"OG0010783"	"AT2G23390.1"	"AT2G23390.1"	466	469	99	100	469	89.979	879	"AT2G23390.1"	89.979	469	43	1	1	465	1	469	0	879	99	466	469
"evm.model.RL_6.2340"	"AT2G42190.1"	"AT2G42190.1"	"AT2G42190.1"	"N0.HOG0004714"	"AT3G57930.1, AT2G42190.1"	"OG0001357"	"AT2G42190.1, AT3G57930.1"	"AT2G42190.1"	135	141	99	100	142	73.239	163	"AT2G42190.1"	73.239	142	29	3	1	134	1	141	6.03e-53	163	99	135	141
"evm.model.RL_6.2341"	"AT2G42200.1"	"AT2G42200.1"	"AT2G42200.1"	"N0.HOG0013886"	"AT2G42200.1"	"OG0007795"	"AT2G42200.1"	"AT2G42200.1"	372	375	99	100	381	85.564	553	"AT2G42200.1"	86.877	381	34	8	1	371	1	375	0	570	99	372	375
"evm.model.RL_6.2342"	"AT2G42210.2"	"AT2G42210.2"	"AT2G42210.2"	"N0.HOG0010619"	"AT2G42210.2"	"OG0004934"	"AT2G42210.2"	"AT2G42210.2"	160	173	99	92	159	96.855	315	"AT2G42210.2"	96.855	159	5	0	1	159	15	173	2.31e-112	315	99	160	173
"evm.model.RL_6.2343"	"AT2G42220.1"	"AT2G42220.1"	"AT2G42220.1"	"N0.HOG0020017"	"AT2G42220.1"	"OG0013507"	"AT2G42220.1"	"AT2G42220.1"	235	234	99	100	234	93.162	450	"AT2G42220.1"	93.162	234	16	0	1	234	1	234	2.95e-163	450	99	235	234
"evm.model.RL_6.2344"	"AT2G42230.2"	"AT2G42230.2"	"AT2G42230.2"	"N0.HOG0004598"	"AT2G42230.2"	"OG0001301"	"AT2G42230.2, AT3G57890.2"	"AT2G42230.2"	564	568	99	100	574	88.328	1024	"AT2G42230.2"	88.328	574	50	2	1	563	1	568	0	1024	99	564	568
"evm.model.RL_6.2345"	"AT2G42240.4"	"AT2G42240.4"	"AT2G42240.4"	"N0.HOG0024566"	"AT2G42240.4"	"OG0017917"	"AT2G42240.4"	"AT2G42240.4"	293	302	96	93	280	89.286	487	"AT2G42240.4"	89.286	280	30	0	1	280	1	280	3.24e-176	488	96	293	302
"evm.model.RL_6.2346"	"AT2G42250.1"	"AT2G42250.1"	"AT2G42250.1"	"N0.HOG0021910"	"AT2G42250.1"	"OG0015345"	"AT2G42250.1"	"AT2G42250.1"	514	514	99	100	514	92.802	967	"AT2G42250.1"	92.802	514	36	1	1	513	1	514	0	967	99	514	514
"evm.model.RL_6.2347"	"AT2G42260.1"	"AT2G42260.1"	"AT2G42260.1"	"N0.HOG0006508"	"AT2G42260.1"	"OG0002277"	"AT2G42260.1, AT3G57860.1"	"AT2G42260.1"	261	259	99	100	261	91.571	447	"AT2G42260.1"	91.571	261	19	2	1	260	1	259	1.88e-163	452	99	261	259
"evm.model.RL_6.2348"	"AT2G42280.3"	"AT2G42280.3"	"AT2G42280.3"	"N0.HOG0012855"	"AT2G42280.3"	"OG0006851"	"AT2G42280.3"	"AT2G42280.3"	367	360	95	95	350	90	590	"AT2G42280.3"	90	350	26	4	1	350	1	341	0	606	95	367	360
"evm.model.RL_6.2349"	"AT2G42290.1"	"AT2G42290.1"	"AT2G42290.1"	"N0.HOG0025312"	"AT2G42290.1"	"OG0018629"	"AT2G42290.1"	"AT2G42290.1"	647	646	99	98	631	87.481	1090	"AT2G42290.1"	87.481	647	77	4	1	644	1	646	0	1137	99	647	646
"evm.model.RL_6.235"	"AT2G23420.1"	"AT2G23420.1"	"AT2G23420.1"	"N0.HOG0007002"	"AT2G23420.1"	"OG0002529"	"AT2G23420.1, AT4G36940.1"	"AT2G23420.1"	557	557	99	100	557	95.871	1111	"AT2G23420.1"	95.871	557	22	1	1	556	1	557	0	1111	99	557	557
"evm.model.RL_6.2350"	"AT2G42300.1"	"AT2G42300.1"	"AT2G42300.1"	"N0.HOG0005145"	"AT2G42300.1"	"OG0001583"	"AT2G42300.1, AT3G57800.1"	"AT2G42300.1"	464	327	70	99	335	78.507	503	"AT2G42300.1"	82.985	335	35	7	1	323	1	325	3.44e-179	503	70	464	327
"evm.model.RL_6.2351"	"AT2G42320.1"	"AT2G42320.1"	"AT2G42320.1"	"N0.HOG0017324"	"AT2G42320.1"	"OG0011003"	"AT2G42320.1"	"AT2G42320.1"	668	669	99	100	679	87.482	1198	"AT2G42320.1"	87.482	679	62	6	2	667	1	669	0	1198	99	668	669
"evm.model.RL_6.2352"	"AT3G57750.1"	"AT3G57750.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G57750.1"	50	100	50	0	1	100	146	245	1.29e-31	114	73	137	334
"evm.model.RL_6.2353"	"AT3G57760.1"	"AT3G57760.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G57760.1"	46.667	60	29	2	24	83	47	103	2.32e-10	54.7	70	86	378
"evm.model.RL_6.2354"	"AT2G42330.1"	"AT2G42330.1"	"AT2G42330.1"	"N0.HOG0027178"	"AT2G42330.1"	"OG0020311"	"AT2G42330.1"	"AT2G42330.1"	751	752	99	99	752	75.931	1130	"AT2G42330.1"	76.729	752	165	5	1	746	1	748	0	1147	99	751	752
"evm.model.RL_6.2355"	"AT2G41910.1"	"AT2G41910.1"	"AT2G41910.1"	"N0.HOG0002818"	"AT2G41910.1, AT2G41920.1, AT2G34290.1, AT5G27790.1, AT2G05060.1"	"OG0000558"	"AT2G05060.1, AT2G34290.1, AT2G41910.1, AT2G41920.1, AT5G27790.1"	"AT2G41910.1"	354	373	99	96	366	73.224	523	"AT2G41910.1"	73.224	366	78	6	1	353	1	359	0	523	99	354	373
"evm.model.RL_6.2356"	"AT2G42550.1"	"AT2G42550.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G42550.1"	56.497	354	135	7	1	345	1	344	7.43e-125	362	99	346	344
"evm.model.RL_6.2357"	"AT2G42350.1"	"AT2G42350.1"	"AT2G42350.1"	"N0.HOG0011358"	"AT2G42350.1"	"OG0005562"	"AT2G42350.1"	"AT2G42350.1"	209	217	99	97	216	77.315	301	"AT2G42350.1"	77.315	216	34	5	1	206	1	211	2.27e-105	301	99	209	217
"evm.model.RL_6.2358"	"AT2G42360.1"	"AT2G42360.1"	"AT2G42360.1"	"N0.HOG0015027"	"AT2G42360.1"	"OG0008871"	"AT2G42360.1"	"AT2G42360.1"	233	236	99	100	240	79.583	378	"AT2G42360.1"	79.583	240	37	4	1	232	1	236	7.55e-135	378	99	233	236
"evm.model.RL_6.2359"	"AT2G42370.1"	"AT2G42370.1"	"AT2G42370.1"	"N0.HOG0009904"	"AT3G58110.1, AT2G42370.1"	"OG0004349"	"AT2G42370.1, AT3G58110.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G42370.1"	67.79	742	199	15	1	729	1	715	0	900	99	730	715
"evm.model.RL_6.236"	"AT2G23430.1"	"AT2G23430.1"	"AT2G23430.1"	"N0.HOG0025129"	"AT2G23430.1"	"OG0018458"	"AT2G23430.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G23430.1"	69.271	192	45	4	1	179	1	191	9.85e-64	194	99	180	191
"evm.model.RL_6.2360"	"AT2G42380.2"	"AT2G42380.2"	"AT2G42380.2"	"N0.HOG0004596"	"AT2G42380.2"	"OG0001300"	"AT2G42380.2, AT3G58120.1"	"AT2G42380.2"	308	321	99	99	325	82.462	470	"AT2G42380.2"	82.462	325	34	5	1	307	1	320	1.03e-168	470	99	308	321
"evm.model.RL_6.2361"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G20050.1"	47.541	61	32	0	5	65	20	80	1.37e-08	53.9	27	223	545
"evm.model.RL_6.2362"	"AT2G42390.1"	"AT2G42390.1"	"AT2G42390.1"	"N0.HOG0015026"	"AT2G42390.1"	"OG0008870"	"AT2G42390.1"	"AT2G42390.1"	210	212	99	100	212	83.491	312	"AT2G42390.1"	83.962	212	31	3	1	209	1	212	1.94e-120	340	99	210	212
"evm.model.RL_6.2363"	"AT2G42400.1"	"AT2G42400.1"	"AT2G42400.1"	"N0.HOG0012854"	"AT2G42400.1"	"OG0006850"	"AT2G42400.1"	"AT2G42400.1"	452	450	99	99	455	86.593	789	"AT2G42400.1"	86.593	455	48	6	1	449	1	448	0	789	99	452	450
"evm.model.RL_6.2364"	"AT2G42410.3"	"AT2G42410.3"	"AT2G42410.3"	"N0.HOG0015025"	"AT2G42410.3"	"OG0008869"	"AT2G42410.3"	"AT2G42410.3"	213	240	99	89	214	87.85	373	"AT2G42410.3"	87.85	214	24	1	1	212	27	240	4.5e-133	373	99	213	240
"evm.model.RL_6.2365"	"AT2G42430.1"	"AT2G42430.1"	"AT2G42430.1"	"N0.HOG0010618"	"AT2G42430.1"	"OG0004933"	"AT2G42430.1"	"AT2G42430.1"	245	245	99	100	245	92.245	468	"AT2G42430.1"	92.245	245	18	1	1	244	1	245	4.66e-170	468	99	245	245
"evm.model.RL_6.2366"	"AT2G42450.1"	"AT2G42450.1"	"AT2G42450.1"	"N0.HOG0021908"	"AT2G42450.1"	"OG0015343"	"AT2G42450.1"	"AT2G42450.1"	549	546	99	100	546	92.308	990	"AT2G42450.1"	92.308	546	41	1	1	545	1	546	0	1020	99	549	546
"evm.model.RL_6.2367"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G42465.1"	35.986	289	165	4	1	270	1	288	3.49e-48	164	98	276	415
"evm.model.RL_6.2368"	"AT2G42480.1"	"AT2G42480.1"	"AT2G42480.1"	"N0.HOG0000491"	"AT2G42480.1"	"OG0000052"	"AT2G42455.1, AT2G42460.1, AT2G42470.1, AT2G42480.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G42480.1"	49.114	395	166	11	1	389	1	366	1.53e-104	312	99	390	370
"evm.model.RL_6.2369"	"AT2G42490.1"	"AT2G42490.1"	NA	NA	NA	"OG0005735"	"AT2G42490.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G42490.1"	89.623	106	11	0	67	172	511	616	1.61e-59	197	59	179	776
"evm.model.RL_6.237"	"AT2G23440.1"	"AT2G23440.1"	"AT2G23440.1"	"N0.HOG0024351"	"AT2G23440.1"	"OG0017714"	"AT2G23440.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G23440.1"	68.182	88	21	2	1	87	1	82	4.88e-35	114	99	88	82
"evm.model.RL_6.2370"	"AT2G42490.1"	"AT2G42490.1"	NA	NA	NA	"OG0005735"	"AT2G42490.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G42490.1"	78.462	195	42	0	190	384	563	757	2.42e-99	313	45	437	776
"evm.model.RL_6.2371"	"AT2G42490.1"	"AT2G42490.1"	"AT2G42490.1"	"N0.HOG0011559"	"AT2G42490.1"	"OG0005735"	"AT2G42490.1"	"AT2G42490.1"	776	776	99	100	776	96.649	1552	"AT2G42490.1"	96.649	776	25	1	1	775	1	776	0	1552	99	776	776
"evm.model.RL_6.2372"	"AT2G42500.1"	"AT2G42500.1"	"AT2G42500.1"	"N0.HOG0003698"	"AT2G42500.1"	"OG0000888"	"AT2G42500.1, AT3G58500.1"	"AT2G42500.1"	314	313	99	100	313	99.681	657	"AT2G42500.1"	99.681	313	1	0	1	313	1	313	0	657	99	314	313
"evm.model.RL_6.2373"	"AT2G42510.2"	"AT2G42510.2"	"AT2G42510.2"	"N0.HOG0009836"	"AT1G54380.1, AT2G42510.2"	"OG0004294"	"AT1G54380.1, AT2G42510.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G42510.2"	55.95	479	97	14	1	414	1	430	6.05e-144	424	98	421	653
"evm.model.RL_6.2374"	"AT1G54380.1, AT2G42510.2"	"AT1G54380.1"	NA	"N0.HOG0009836"	"AT1G54380.1, AT2G42510.2"	"OG0004294"	"AT1G54380.1, AT2G42510.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G54380.1"	81.034	116	19	1	1	113	398	513	3.15e-62	197	98	115	515
"evm.model.RL_6.2375"	"AT2G42520.1"	"AT2G42520.1"	"AT2G42520.1"	"N0.HOG0005342"	"AT2G42520.1"	"OG0001679"	"AT2G42520.1, AT3G58510.1"	"AT2G42520.1"	629	633	92	92	580	94.31	1054	"AT2G42520.1"	94.31	580	28	2	1	578	1	577	0	1054	92	629	633
"evm.model.RL_6.2376"	"AT3G58580.1"	"AT3G58580.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G58580.1"	49.172	604	235	9	1	535	1	601	0	545	99	536	603
"evm.model.RL_6.2377"	"AT3G58580.1"	"AT3G58580.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G58580.1"	46.094	512	209	12	1	456	7	507	6.22e-140	414	99	461	603
"evm.model.RL_6.2378"	"AT2G42530.1, AT2G42540.2"	"AT2G42530.1"	"AT2G42530.1, AT2G42540.2"	"N0.HOG0006275"	"AT2G42530.1, AT2G42540.2"	"OG0002144"	"AT2G42530.1, AT2G42540.2"	"AT2G42530.1"	142	141	99	100	141	80.142	223	"AT2G42530.1"	80.142	141	28	0	1	141	1	141	1.15e-76	223	99	142	141
"evm.model.RL_6.2379"	"AT2G42530.1, AT2G42540.2"	"AT2G42530.1"	"AT2G42530.1, AT2G42540.2"	"N0.HOG0006275"	"AT2G42530.1, AT2G42540.2"	"OG0002144"	"AT2G42530.1, AT2G42540.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G42530.1"	78.723	141	30	0	1	141	1	141	7.83e-74	216	99	142	141
"evm.model.RL_6.238"	"AT2G23450.1"	"AT2G23450.1"	"AT2G23450.1"	"N0.HOG0013782"	"AT2G23450.1"	"OG0007695"	"AT2G23450.1"	"AT2G23450.1"	703	708	99	98	702	79.915	1051	"AT2G23450.1"	79.915	702	129	5	1	699	15	707	0	1100	99	703	708
"evm.model.RL_6.2380"	"AT2G41930.1"	"AT2G41930.1"	NA	"N0.HOG0008279"	"AT2G41930.1"	"OG0003254"	"AT2G41930.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G41930.1"	57.679	293	108	7	7	288	63	350	7.37e-101	298	97	290	351
"evm.model.RL_6.2381"	"AT2G42550.1"	"AT2G42550.1"	"AT2G42550.1"	"N0.HOG0002354"	"AT5G27510.1, AT2G42550.1"	"OG0000415"	"AT2G42550.1, AT5G12090.1, AT5G27510.1"	"AT2G42550.1"	350	344	99	100	350	80.286	556	"AT2G42550.1"	80.286	350	62	3	1	349	1	344	0	556	99	350	344
"evm.model.RL_6.2382"	"AT2G42560.1"	"AT2G42560.1"	"AT2G42560.1"	"N0.HOG0018450"	"AT2G42560.1"	"OG0012029"	"AT2G42560.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G42560.1"	68.611	720	125	14	1	704	1	635	0	776	99	705	635
"evm.model.RL_6.2383"	"AT2G42570.1"	"AT2G42570.1"	"AT2G42570.1"	"N0.HOG0013884"	"AT2G42570.1"	"OG0007793"	"AT2G42570.1"	"AT2G42570.1"	365	367	99	94	345	89.646	674	"AT2G42570.1"	89.646	367	35	1	1	364	1	367	0	684	99	365	367
"evm.model.RL_6.2384"	"AT2G42580.1"	"AT2G42580.1"	"AT2G42580.1"	"N0.HOG0012127"	"AT2G42580.1"	"OG0006219"	"AT2G42580.1"	"AT2G42580.1"	682	691	99	100	692	89.884	1206	"AT2G42580.1"	89.884	692	58	6	1	681	1	691	0	1206	99	682	691
"evm.model.RL_6.2385"	"AT2G42590.3"	"AT2G42590.3"	"AT2G42590.3"	"N0.HOG0021907"	"AT2G42590.3"	"OG0015342"	"AT2G42590.3"	"AT2G42590.3"	264	276	99	95	263	96.578	528	"AT2G42590.3"	96.578	263	9	0	1	263	1	263	0	528	99	264	276
"evm.model.RL_6.2386"	"AT2G42600.1"	"AT2G42600.1"	"AT2G42600.1"	"N0.HOG0002912"	"AT2G42600.1"	"OG0000588"	"AT1G53310.1, AT2G42600.1, AT3G14940.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G42600.1"	97.426	777	20	0	1	777	1	777	0	1565	99	779	963
"evm.model.RL_6.2387"	"AT2G42610.1"	"AT2G42610.1"	"AT2G42610.1"	"N0.HOG0011077"	"AT2G42610.1"	"OG0005317"	"AT2G42610.1"	"AT2G42610.1"	178	177	99	100	177	98.305	360	"AT2G42610.1"	98.305	177	3	0	1	177	1	177	9.83e-130	360	99	178	177
"evm.model.RL_6.2388"	"AT2G42620.1"	"AT2G42620.1"	"AT2G42620.1"	"N0.HOG0017323"	"AT2G42620.1"	"OG0011002"	"AT2G42620.1"	"AT2G42620.1"	685	693	99	99	686	88.873	1245	"AT2G42620.1"	88.873	692	64	3	6	684	2	693	0	1255	99	685	693
"evm.model.RL_6.2389"	"AT2G42650.1, AT3G58660.1"	"AT2G42650.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G42650.1, AT3G58660.1"	47.458	118	31	2	50	136	142	259	2.14e-27	104	53	164	372
"evm.model.RL_6.239"	"AT2G23460.1"	"AT2G23460.1"	"AT2G23460.1"	"N0.HOG0022329"	"AT2G23460.1"	"OG0015757"	"AT2G23460.1"	"AT2G23460.1"	904	888	99	99	897	89.704	1598	"AT2G23460.1"	89.704	913	59	11	1	903	1	888	0	1626	99	904	888
"evm.model.RL_6.2390"	"AT2G42660.1"	"AT2G42660.1"	"AT2G42660.1"	"N0.HOG0024223"	"AT2G42660.1"	"OG0017597"	"AT2G42660.1"	"AT2G42660.1"	259	255	91	95	249	76.305	358	"AT2G42660.1"	76.305	249	39	5	1	235	1	243	4.41e-126	358	91	259	255
"evm.model.RL_6.2391"	"AT2G42670.2"	"AT2G42670.2"	"AT2G42670.2"	"N0.HOG0021906"	"AT2G42670.2"	"OG0015341"	"AT2G42670.2"	"AT2G42670.2"	244	242	99	100	243	85.597	445	"AT2G42670.2"	85.597	243	34	1	1	243	1	242	5.62e-161	445	99	244	242
"evm.model.RL_6.2392"	"AT2G42680.1"	"AT2G42680.1"	NA	"N0.HOG0004713"	"AT3G58680.1"	"OG0001356"	"AT2G42680.1, AT3G58680.1"	"AT2G42680.1"	143	142	99	100	142	92.958	270	"AT2G42680.1"	92.958	142	10	0	1	142	1	142	5.94e-95	270	99	143	142
"evm.model.RL_6.2393"	"AT2G42690.1"	"AT2G42690.1"	"AT2G42690.1"	"N0.HOG0015024"	"AT2G42690.1"	"OG0008868"	"AT2G42690.1"	"AT2G42690.1"	412	412	99	97	399	92.683	781	"AT2G42690.1"	92.683	410	30	0	2	411	3	412	0	793	99	412	412
"evm.model.RL_6.2394"	"AT2G42690.1"	"AT2G42690.1"	NA	"N0.HOG0015024"	"AT2G42690.1"	"OG0008868"	"AT2G42690.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G42690.1"	62.963	54	20	0	1	54	357	410	2.62e-19	80.1	58	93	412
"evm.model.RL_6.2395"	"AT2G42690.1"	"AT2G42690.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G42690.1"	69.88	83	25	0	34	116	59	141	7.45e-36	125	71	117	412
"evm.model.RL_6.2396"	"AT1G63640.3"	"AT1G63640.3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G63640.3"	88.05	159	19	0	4	162	627	785	5.57e-93	290	97	164	1072
"evm.model.RL_6.2397"	"AT2G42700.2"	"AT2G42700.2"	"AT2G42700.2"	"N0.HOG0020014"	"AT2G42700.2"	"OG0013504"	"AT2G42700.2"	"AT2G42700.2"	841	867	99	100	869	91.139	1580	"AT2G42700.2"	91.139	869	46	3	1	840	1	867	0	1580	99	841	867
"evm.model.RL_6.2398"	"AT2G42710.1"	"AT2G42710.1"	"AT2G42710.1"	"N0.HOG0019202"	"AT2G42710.1"	"OG0012728"	"AT2G42710.1"	"AT2G42710.1"	411	415	99	100	421	89.311	728	"AT2G42710.1"	89.311	421	28	3	1	410	1	415	0	728	99	411	415
