"Euclidium_syriacum"	"prot_length"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"homologue_type"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"ESY7_g17711_DN3_SP5_c0.t1"	264	"AT5G13720.1"	"AT5G13720.1"	"orthologue"	"AT5G13720.1"	"N0.HOG0015682"	"AT5G13720.1"	"OG0009499"	"AT5G13720.1"	"AT5G13720.1"	264	262	99	99	264	86.742	443	"AT5G13720.1"	"86.742"	"264"	"31"	"2"	"1"	"263"	"1"	"261"	"2.03e-161"	"447"	"99"	"264"	"262"
"ESY7_g17712_DN3_SP0_c0.t1"	325	"AT1G47480.1"	"AT1G47480.1"	"orthologue"	"AT1G47480.1"	"N0.HOG0021632"	"AT1G47480.1"	"OG0015069"	"AT1G47480.1"	"AT1G47480.1"	326	314	99	100	325	78.462	529	"AT1G47480.1"	"78.462"	"325"	"59"	"2"	"1"	"325"	"1"	"314"	"0"	"529"	"99"	"326"	"314"
"ESY7_g17713_DN3_SP8_c0.t1"	342	"AT5G13710.1"	"AT5G13710.1"	"orthologue"	"AT5G13710.1"	"N0.HOG0011154"	"AT5G13710.1"	"OG0005383"	"AT5G13710.1"	"AT5G13710.1"	343	336	98	100	336	96.726	688	"AT5G13710.1"	"96.726"	"336"	"11"	"0"	"7"	"342"	"1"	"336"	"0"	"688"	"98"	"343"	"336"
"ESY7_g17714_DN3_SP8_c0.t1"	475	"AT5G13700.1"	"AT5G13700.1"	"orthologue"	"AT5G13700.1"	"N0.HOG0021142"	"AT5G13700.1"	"OG0014589"	"AT5G13700.1"	"AT5G13700.1"	476	472	99	100	476	90.546	864	"AT5G13700.1"	"90.546"	"476"	"40"	"2"	"1"	"475"	"1"	"472"	"0"	"864"	"99"	"476"	"472"
"ESY7_g17715_DN3_SP4_c0.t1"	802	"AT5G13690.1"	"AT5G13690.1"	"orthologue"	"AT5G13690.1"	"N0.HOG0024923"	"AT5G13690.1"	"OG0018266"	"AT5G13690.1"	"AT5G13690.1"	802	806	100	98	789	89.095	1450	"AT5G13690.1"	"89.095"	"807"	"82"	"2"	"1"	"802"	"1"	"806"	"0"	"1484"	"100"	"802"	"806"
"ESY7_g17716_DN3_SP0_c0.t1"	479	"AT3G20420.1"	"AT3G20420.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G20420.1"	"47.942"	"413"	"131"	"7"	"1"	"410"	"57"	"388"	"2.03e-122"	"362"	"86"	"479"	"391"
"ESY7_g17717_DN3_SP0_c0.t1"	1316	"AT5G13680.1"	"AT5G13680.1"	"orthologue"	"AT5G13680.1"	"N0.HOG0023908"	"AT5G13680.1"	"OG0017293"	"AT5G13680.1"	"AT5G13680.1"	1317	1319	99	100	1319	87.794	2373	"AT5G13680.1"	"87.794"	"1319"	"158"	"1"	"1"	"1316"	"1"	"1319"	"0"	"2380"	"99"	"1317"	"1319"
"ESY7_g17718_DN3_SP0_c0.t1"	383	"AT5G13670.1"	"AT5G13670.1"	"orthologue"	"AT5G13670.1"	"N0.HOG0016575"	"AT5G13670.1"	"OG0010315"	"AT5G13670.1"	"AT5G13670.1"	384	377	99	100	381	77.428	577	"AT5G13670.1"	"77.428"	"381"	"82"	"2"	"1"	"381"	"1"	"377"	"0"	"602"	"99"	"384"	"377"
"ESY7_g17719_DN3_SP1_c0.t1"	527	"AT5G13660.2"	"AT5G13660.2"	"orthologue"	"AT5G13660.2"	"N0.HOG0024718"	"AT5G13660.2"	"OG0018066"	"AT5G13660.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G13660.2"	"66.132"	"561"	"131"	"16"	"1"	"527"	"2"	"537"	"0"	"681"	"100"	"527"	"537"
"ESY7_g17720_DN3_SP8_c0.t1"	674	"AT5G13650.2"	"AT5G13650.2"	"orthologue"	"AT5G13650.2"	"N0.HOG0014287"	"AT5G13650.2"	"OG0008172"	"AT5G13650.2"	"AT5G13650.2"	674	676	99	99	675	94.519	1310	"AT5G13650.2"	"94.519"	"675"	"34"	"3"	"1"	"672"	"1"	"675"	"0"	"1310"	"99"	"674"	"676"
"ESY7_g17721_DN3_SP8_c0.t1"	668	"AT5G13640.1"	"AT5G13640.1"	"orthologue"	"AT5G13640.1"	"N0.HOG0015427"	"AT5G13640.1"	"OG0009262"	"AT5G13640.1"	"AT5G13640.1"	668	671	100	100	673	91.382	1265	"AT5G13640.1"	"91.382"	"673"	"51"	"3"	"1"	"668"	"1"	"671"	"0"	"1265"	"100"	"668"	"671"
"ESY7_g17722_DN1_SP0_c0.t1"	61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY7_g17723_DN3_SP8_c0.t1"	1382	"AT5G13630.1"	"AT5G13630.1"	"orthologue"	"AT5G13630.1"	"N0.HOG0023909"	"AT5G13630.1"	"OG0017294"	"AT5G13630.1"	"AT5G13630.1"	1383	1381	99	100	1382	95.731	2750	"AT5G13630.1"	"95.731"	"1382"	"58"	"1"	"1"	"1382"	"1"	"1381"	"0"	"2750"	"99"	"1383"	"1381"
"ESY7_g17724_DN1_SP0_c0.t1"	72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY7_g17726_DN3_SP3_c0.t1"	410	"AT5G13610.1"	"AT5G13610.1"	"orthologue"	"AT5G13610.1"	"N0.HOG0018480"	"AT5G13610.1"	"OG0012056"	"AT5G13610.1"	"AT5G13610.1"	411	402	99	100	411	74.453	597	"AT5G13610.1"	"76.087"	"414"	"83"	"4"	"1"	"410"	"1"	"402"	"0"	"598"	"99"	"411"	"402"
"ESY7_g17729_DN3_SP0_c0.t1"	1136	"AT5G13590.5"	"AT5G13590.5"	"orthologue"	"AT5G13590.5"	"N0.HOG0015785"	"AT5G13590.5"	"OG0009591"	"AT5G13590.5"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G13590.5"	"58.65"	"1289"	"284"	"35"	"1"	"1136"	"1"	"1193"	"0"	"1241"	"99"	"1137"	"1193"
"ESY7_g17731_DN3_SP5_c0.t1"	334	"AT5G13570.2"	"AT5G13570.2"	"orthologue"	"AT5G13570.2"	"N0.HOG0014288"	"AT5G13570.2"	"OG0008173"	"AT5G13570.2"	"AT5G13570.2"	334	386	99	99	381	72.441	538	"AT5G13570.2"	"73.228"	"381"	"51"	"3"	"1"	"330"	"1"	"381"	"0"	"546"	"99"	"334"	"386"
"ESY7_g17732_DN3_SP7_c0.t1"	674	"AT5G13560.1"	"AT5G13560.1"	"orthologue"	"AT5G13560.1"	"N0.HOG0015428"	"AT5G13560.1"	"OG0009263"	"AT5G13560.1"	"AT5G13560.1"	675	679	99	100	682	87.116	1137	"AT5G13560.1"	"87.116"	"683"	"75"	"5"	"1"	"674"	"1"	"679"	"0"	"1165"	"99"	"675"	"679"
"ESY7_g17733_DN3_SP8_c0.t1"	693	"AT5G13550.1"	"AT5G13550.1"	"orthologue"	"AT5G13550.1"	"N0.HOG0006590"	"AT5G13550.1"	"OG0002321"	"AT3G12520.1, AT5G13550.1"	"AT5G13550.1"	694	685	99	100	693	92.208	1246	"AT5G13550.1"	"92.208"	"693"	"46"	"1"	"1"	"693"	"1"	"685"	"0"	"1246"	"99"	"694"	"685"
"ESY7_g17734_DN3_SP0_c0.t1"	208	"AT5G51990.1"	"AT5G51990.1"	"orthologue"	"AT5G51990.1"	"N0.HOG0018152"	"AT5G51990.1"	"OG0011749"	"AT5G51990.1"	"AT5G51990.1"	209	224	99	99	222	76.126	325	"AT5G51990.1"	"76.577"	"222"	"38"	"4"	"1"	"208"	"1"	"222"	"5.01e-118"	"334"	"99"	"209"	"224"
"ESY7_g17735_DN3_SP0_c0.t1"	102	"AT3G12600.1"	"AT3G12600.1"	"other"	NA	NA	NA	"OG0004527"	"AT3G12600.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G12600.1"	"69"	"100"	"26"	"1"	"8"	"102"	"25"	"124"	"1.86e-32"	"111"	"92"	"103"	"180"
"ESY7_g17736_DN3_SP0_c0.t1"	208	"AT5G51990.1"	"AT5G51990.1"	"orthologue"	"AT5G51990.1"	"N0.HOG0018152"	"AT5G51990.1"	"OG0011749"	"AT5G51990.1"	"AT5G51990.1"	209	224	99	99	222	76.126	325	"AT5G51990.1"	"76.577"	"222"	"38"	"4"	"1"	"208"	"1"	"222"	"5.01e-118"	"334"	"99"	"209"	"224"
"ESY7_g17737_DN3_SP8_c0.t1"	1627	"AT5G13530.1"	"AT5G13530.1"	"orthologue"	"AT5G13530.1"	"N0.HOG0020585"	"AT5G13530.1"	"OG0014052"	"AT5G13530.1"	"AT5G13530.1"	1628	1625	99	100	1629	94.721	3059	"AT5G13530.1"	"94.721"	"1629"	"80"	"3"	"1"	"1627"	"1"	"1625"	"0"	"3059"	"99"	"1628"	"1625"
"ESY7_g17738_DN3_SP0_c0.t1"	618	"AT5G13520.1"	"AT5G13520.1"	"orthologue"	"AT5G13520.1"	"N0.HOG0017633"	"AT5G13520.1"	"OG0011277"	"AT5G13520.1"	"AT5G13520.1"	619	616	99	100	618	87.54	1112	"AT5G13520.1"	"87.54"	"618"	"75"	"1"	"1"	"618"	"1"	"616"	"0"	"1133"	"99"	"619"	"616"
"ESY7_g17739_DN3_SP0_c0.t1"	217	"AT5G13510.1"	"AT5G13510.1"	"orthologue"	"AT5G13510.1"	"N0.HOG0014289"	"AT5G13510.1"	"OG0008174"	"AT5G13510.1"	"AT5G13510.1"	218	220	99	100	220	88.182	372	"AT5G13510.1"	"88.182"	"220"	"23"	"1"	"1"	"217"	"1"	"220"	"2.27e-133"	"373"	"99"	"218"	"220"
"ESY7_g17740_DN3_SP8_c0.t1"	358	"AT5G13500.1"	"AT5G13500.1"	"orthologue"	"AT5G13500.1"	"N0.HOG0013162"	"AT5G13500.1"	"OG0007135"	"AT5G13500.1"	"AT5G13500.1"	359	358	99	100	358	95.81	714	"AT5G13500.1"	"95.81"	"358"	"15"	"0"	"1"	"358"	"1"	"358"	"0"	"714"	"99"	"359"	"358"
"ESY7_g17741_DN3_SP0_c0.t1"	378	"AT5G13490.1, AT3G08580.1"	"AT3G08580.1"	"orthologue"	"AT5G13490.1, AT3G08580.1"	"N0.HOG0006313"	"AT5G13490.1, AT3G08580.1"	"OG0002165"	"AT3G08580.1, AT5G13490.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G08580.1"	"90.314"	"382"	"32"	"3"	"1"	"378"	"1"	"381"	"0"	"654"	"99"	"379"	"381"
"ESY7_g17742_DN1_SP0_c0.t1"	72	"AT5G53670.1"	"AT5G53670.1"	"orthologue"	"AT5G53670.1"	"N0.HOG0011378"	"AT5G53670.1"	"OG0005573"	"AT5G53670.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G53670.1"	"73.239"	"71"	"19"	"0"	"1"	"71"	"40"	"110"	"1.81e-23"	"88.6"	"97"	"73"	"244"
"ESY7_g17743_DN1_SP0_c0.t1"	87	"AT5G53670.1"	"AT5G53670.1"	"other"	NA	NA	NA	"OG0005573"	"AT5G53670.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G53670.1"	"34.615"	"78"	"35"	"2"	"1"	"62"	"157"	"234"	"0.000183"	"37.7"	"70"	"88"	"244"
"ESY7_g17744_DN3_SP0_c0.t1"	111	"AT5G53710.2"	"AT5G53710.2"	"orthologue"	"AT5G53710.2"	"N0.HOG0025972"	"AT5G53710.2"	"OG0019233"	"AT5G53710.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G53710.2"	"69.912"	"113"	"31"	"2"	"1"	"111"	"1"	"112"	"3.39e-47"	"148"	"99"	"112"	"151"
"ESY7_g17745_DN3_SP7_c0.t1"	663	"AT5G13480.2"	"AT5G13480.2"	"orthologue"	"AT5G13480.2"	"N0.HOG0013166"	"AT5G13480.2"	"OG0007139"	"AT5G13480.2"	"AT5G13480.2"	664	657	92	95	633	82.938	998	"AT5G13480.2"	"84.688"	"640"	"60"	"11"	"30"	"638"	"1"	"633"	"0"	"998"	"92"	"664"	"657"
"ESY7_g17746_DN3_SP0_c0.t1"	165	"AT5G13470.1"	"AT5G13470.1"	"orthologue"	"AT5G13470.1"	"N0.HOG0013167"	"AT5G13470.1"	"OG0007140"	"AT5G13470.1"	"AT5G13470.1"	165	159	87	79	128	76.552	203	"AT5G13470.1"	"76.552"	"145"	"31"	"2"	"22"	"165"	"17"	"159"	"1.26e-70"	"209"	"87"	"165"	"159"
"ESY7_g17747_DN3_SP0_c0.t1"	447	"AT5G13460.1"	"AT5G13460.1"	"orthologue"	"AT5G13460.1"	"N0.HOG0018876"	"AT5G13460.1"	"OG0012422"	"AT5G13460.1"	"AT5G13460.1"	448	443	99	100	452	83.85	728	"AT5G13460.1"	"83.85"	"452"	"59"	"8"	"1"	"447"	"1"	"443"	"0"	"728"	"99"	"448"	"443"
"ESY7_g17752_DN3_SP0_c0.t1"	77	"AT4G19710.2"	"AT4G19710.2"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G19710.2"	"74.627"	"67"	"16"	"1"	"4"	"70"	"729"	"794"	"3.27e-28"	"105"	"86"	"78"	"916"
"ESY7_g17753_DN3_SP0_c0.t1"	238	"AT5G13450.1"	"AT5G13450.1"	"orthologue"	"AT5G13450.1"	"N0.HOG0009852"	"AT5G13450.1"	"OG0004306"	"AT5G13450.1"	"AT5G13450.1"	239	238	99	100	239	81.59	393	"AT5G13450.1"	"81.59"	"239"	"40"	"2"	"3"	"238"	"1"	"238"	"1.03e-140"	"393"	"99"	"239"	"238"
"ESY7_g17754_DN1_SP7_c0.t1"	274	"AT5G13430.1, AT5G13440.1"	"AT5G13430.1"	"orthologue"	"AT5G13430.1, AT5G13440.1"	"N0.HOG0004245"	"AT5G13430.1, AT5G13440.1"	"OG0001134"	"AT5G13430.1, AT5G13440.1"	"AT5G13430.1"	275	272	99	100	274	91.241	490	"AT5G13430.1"	"92.364"	"275"	"17"	"2"	"1"	"274"	"1"	"272"	"0"	"516"	"99"	"275"	"272"
"ESY7_g17755_DN3_SP1_c0.t1"	274	"AT5G13430.1, AT5G13440.1"	"AT5G13440.1"	"orthologue"	"AT5G13430.1, AT5G13440.1"	"N0.HOG0004245"	"AT5G13430.1, AT5G13440.1"	"OG0001134"	"AT5G13430.1, AT5G13440.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G13440.1"	"91.241"	"274"	"24"	"0"	"1"	"274"	"1"	"274"	"0"	"510"	"99"	"275"	"274"
"ESY7_g17756_DN3_SP8_c0.t1"	444	"AT5G13420.1"	"AT5G13420.1"	"orthologue"	"AT5G13420.1"	"N0.HOG0011005"	"AT5G13420.1"	"OG0005254"	"AT5G13420.1"	"AT5G13420.1"	445	438	99	100	444	92.342	797	"AT5G13420.1"	"92.342"	"444"	"28"	"2"	"1"	"444"	"1"	"438"	"0"	"799"	"99"	"445"	"438"
"ESY7_g17757_DN3_SP0_c0.t1"	263	"AT5G13410.1"	"AT5G13410.1"	"orthologue"	"AT5G13410.1"	"N0.HOG0021519"	"AT5G13410.1"	"OG0014956"	"AT5G13410.1"	"AT5G13410.1"	264	256	99	100	263	84.03	429	"AT5G13410.1"	"84.03"	"263"	"35"	"2"	"1"	"263"	"1"	"256"	"3.71e-154"	"429"	"99"	"264"	"256"
"ESY7_g17758_DN3_SP0_c0.t1"	710	"AT1G30010.1"	"AT1G30010.1"	"orthologue"	"AT1G30010.1"	"N0.HOG0021651"	"AT1G30010.1"	"OG0015088"	"AT1G30010.1"	"AT1G30010.1"	711	711	99	99	711	90.436	1310	"AT1G30010.1"	"90.436"	"711"	"63"	"3"	"1"	"708"	"1"	"709"	"0"	"1330"	"99"	"711"	"711"
"ESY7_g17761_DN2_SP2_c0.t1"	338	"AT1G30040.1"	"AT1G30040.1"	"orthologue"	"AT1G30040.1"	"N0.HOG0011036"	"AT1G30040.1"	"OG0005283"	"AT1G30040.1"	"AT1G30040.1"	339	341	99	99	339	86.136	617	"AT1G30040.1"	"86.136"	"339"	"43"	"1"	"1"	"335"	"1"	"339"	"0"	"617"	"99"	"339"	"341"
"ESY7_g17764_DN3_SP8_c0.t1"	628	"AT5G13400.1"	"AT5G13400.1"	"orthologue"	"AT5G13400.1"	"N0.HOG0021518"	"AT5G13400.1"	"OG0014955"	"AT5G13400.1"	"AT5G13400.1"	629	624	99	99	624	93.75	1187	"AT5G13400.1"	"93.75"	"624"	"36"	"1"	"1"	"624"	"1"	"621"	"0"	"1209"	"99"	"629"	"624"
"ESY7_g17765_DN3_SP8_c0.t1"	1124	"AT5G13390.2"	"AT5G13390.2"	"orthologue"	"AT5G13390.2"	"N0.HOG0013686"	"AT5G13390.2"	"OG0007606"	"AT5G13390.2"	"AT5G13390.2"	1125	1126	99	100	1127	92.369	2003	"AT5G13390.2"	"92.369"	"1127"	"82"	"2"	"1"	"1124"	"1"	"1126"	"0"	"2003"	"99"	"1125"	"1126"
"ESY7_g17766_DN3_SP3_c0.t1"	351	"AT5G08540.1"	"AT5G08540.1"	"orthologue"	"AT5G08540.1"	"N0.HOG0013705"	"AT5G08540.1"	"OG0007624"	"AT5G08540.1"	"AT5G08540.1"	352	346	99	95	335	82.571	540	"AT5G08540.1"	"82.571"	"350"	"51"	"5"	"1"	"348"	"1"	"342"	"0"	"555"	"99"	"352"	"346"
"ESY7_g17767_DN3_SP0_c0.t1"	919	"AT5G08550.1"	"AT5G08550.1"	"orthologue"	"AT5G08550.1"	"N0.HOG0018200"	"AT5G08550.1"	"OG0011795"	"AT5G08550.1"	"AT5G08550.1"	919	908	100	100	922	85.033	1467	"AT5G08550.1"	"85.033"	"922"	"121"	"7"	"1"	"919"	"1"	"908"	"0"	"1467"	"100"	"919"	"908"
"ESY7_g17768_DN3_SP0_c0.t1"	587	"AT5G08560.1"	"AT5G08560.1"	"orthologue"	"AT5G08560.1"	"N0.HOG0004966"	"AT5G08560.1"	"OG0001486"	"AT5G08560.1"	"AT5G08560.1"	588	589	99	100	589	87.267	1067	"AT5G08560.1"	"87.267"	"589"	"73"	"2"	"1"	"587"	"1"	"589"	"0"	"1067"	"99"	"588"	"589"
"ESY7_g17769_DN3_SP7_c0.t1"	105	"AT5G08565.1"	"AT5G08565.1"	"orthologue"	"AT5G08565.1"	"N0.HOG0007946"	"AT5G08565.1"	"OG0003048"	"AT5G08565.1, AT5G63670.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G08565.1"	"99"	"100"	"1"	"0"	"1"	"100"	"1"	"100"	"2.91e-73"	"212"	"94"	"106"	"116"
"ESY7_g17770_DN3_SP8_c17.t1"	510	"AT5G08570.1"	"AT5G08570.1"	"orthologue"	"AT5G08570.1"	"N0.HOG0004817"	"AT5G08570.1"	"OG0001409"	"AT5G08570.1, AT5G63680.1"	"AT5G08570.1"	511	510	99	100	510	95.49	1009	"AT5G08570.1"	"95.49"	"510"	"23"	"0"	"1"	"510"	"1"	"510"	"0"	"1009"	"99"	"511"	"510"
"ESY7_g17771_DN3_SP8_c0.t1"	391	"AT5G08580.1"	"AT5G08580.1"	"orthologue"	"AT5G08580.1"	"N0.HOG0014856"	"AT5G08580.1"	"OG0008708"	"AT5G08580.1"	"AT5G08580.1"	392	391	99	100	391	93.095	716	"AT5G08580.1"	"93.095"	"391"	"27"	"0"	"1"	"391"	"1"	"391"	"0"	"716"	"99"	"392"	"391"
"ESY7_g17772_DN2_SP0_c0.t1"	118	"AT4G09490.1"	"AT4G09490.1"	"orthologue"	"AT4G09490.1"	"N0.HOG0000031"	"AT4G09490.1"	"OG0000005"	"AT1G10000.1, AT2G06845.1, AT3G26855.1, AT3G27495.1, AT3G29791.1, AT4G09490.1, ATMG01250.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G09490.1"	"37.079"	"89"	"56"	"0"	"25"	"113"	"73"	"161"	"4.85e-15"	"67"	"75"	"119"	"170"
"ESY7_g17773_DN3_SP0_c0.t1"	305	"AT5G46915.1, AT2G16210.1, AT2G35310.1, AT5G09780.1"	"AT2G35310.1"	"orthologue"	"AT5G46915.1, AT2G16210.1, AT2G35310.1, AT5G09780.1"	"N0.HOG0008238"	"AT5G46915.1, AT2G16210.1, AT2G35310.1, AT5G09780.1"	"OG0003229"	"AT2G16210.1, AT2G35310.1, AT5G09780.1, AT5G46915.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G35310.1"	"46.865"	"303"	"141"	"7"	"3"	"304"	"2"	"285"	"2.41e-75"	"232"	"99"	"306"	"288"
"ESY7_g17776_DN3_SP8_c0.t1"	358	"AT5G08590.1"	"AT5G08590.1"	"orthologue"	"AT5G08590.1"	"N0.HOG0006712"	"AT5G08590.1"	"OG0002381"	"AT5G08590.1, AT5G63650.1"	"AT5G08590.1"	359	353	99	100	358	91.62	628	"AT5G08590.1"	"92.458"	"358"	"22"	"3"	"1"	"358"	"1"	"353"	"0"	"642"	"99"	"359"	"353"
"ESY7_g17777_DN3_SP3_c0.t1"	793	"AT5G08610.1"	"AT5G08610.1"	"orthologue"	"AT5G08610.1"	"N0.HOG0024321"	"AT5G08610.1"	"OG0017685"	"AT5G08610.1"	"AT5G08610.1"	794	850	99	100	853	77.491	1237	"AT5G08610.1"	"77.491"	"853"	"129"	"12"	"1"	"793"	"1"	"850"	"0"	"1244"	"99"	"794"	"850"
"ESY7_g17778_DN3_SP0_c17.t1"	542	"AT5G51640.1"	"AT5G51640.1"	"orthologue"	"AT5G51640.1"	"N0.HOG0026224"	"AT5G51640.1"	"OG0019456"	"AT5G51640.1"	"AT5G51640.1"	543	501	99	99	552	76.036	816	"AT5G51640.1"	"76.812"	"552"	"65"	"11"	"1"	"542"	"1"	"499"	"0"	"816"	"99"	"543"	"501"
"ESY7_g17779_DN3_SP0_c0.t1"	506	"AT5G08620.1"	"AT5G08620.1"	"orthologue"	"AT5G08620.1"	"N0.HOG0014855"	"AT5G08620.1"	"OG0008707"	"AT5G08620.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G08610.1"	"85.4"	"500"	"60"	"1"	"20"	"506"	"351"	"850"	"0"	"878"	"96"	"507"	"850"
"ESY7_g17780_DN2_SP0_c0.t1"	148	"AT2G04032.1"	"AT2G04032.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G04032.1"	"78.03"	"132"	"29"	"0"	"5"	"136"	"4"	"135"	"3.65e-68"	"209"	"89"	"149"	"365"
"ESY7_g17781_DN3_SP0_c0.t1"	168	"AT2G04032.1"	"AT2G04032.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G04032.1"	"70.946"	"148"	"39"	"1"	"1"	"144"	"152"	"299"	"8.71e-72"	"220"	"85"	"169"	"365"
"ESY7_g17782_DN3_SP1_c0.t1"	126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G08630.1"	"93.651"	"126"	"8"	"0"	"1"	"126"	"598"	"723"	"8.2e-82"	"253"	"100"	"126"	"723"
"ESY7_g17783_DN3_SP0_c0.t1"	608	"AT5G08630.1"	"AT5G08630.1"	"orthologue"	"AT5G08630.1"	"N0.HOG0013704"	"AT5G08630.1"	"OG0007623"	"AT5G08630.1"	"AT5G08630.1"	608	723	99	82	603	82.753	961	"AT5G08630.1"	"82.753"	"603"	"91"	"3"	"1"	"603"	"1"	"590"	"0"	"961"	"99"	"608"	"723"
"ESY7_g17784_DN3_SP8_c0.t1"	336	"AT5G08640.1"	"AT5G08640.1"	"orthologue"	"AT5G08640.1"	"N0.HOG0018199"	"AT5G08640.1"	"OG0011794"	"AT5G08640.1"	"AT5G08640.1"	337	336	99	100	336	93.75	648	"AT5G08640.1"	"93.75"	"336"	"21"	"0"	"1"	"336"	"1"	"336"	"0"	"648"	"99"	"337"	"336"
"ESY7_g17785_DN3_SP8_c0.t1"	681	"AT5G08650.1"	"AT5G08650.1"	"orthologue"	"AT5G08650.1"	"N0.HOG0019663"	"AT5G08650.1"	"OG0013170"	"AT5G08650.1"	"AT5G08650.1"	682	681	99	100	681	92.364	1243	"AT5G08650.1"	"93.402"	"682"	"43"	"2"	"1"	"681"	"1"	"681"	"0"	"1267"	"99"	"682"	"681"
"ESY7_g17786_DN3_SP8_c0.t1"	645	"AT5G08660.1"	"AT5G08660.1"	"orthologue"	"AT5G08660.1"	"N0.HOG0012004"	"AT5G08660.1"	"OG0006112"	"AT5G08660.1"	"AT5G08660.1"	646	649	99	100	653	89.127	1140	"AT5G08660.1"	"89.127"	"653"	"59"	"7"	"1"	"645"	"1"	"649"	"0"	"1140"	"99"	"646"	"649"
"ESY7_g17787_DN3_SP2_c0.t1"	556	"AT5G08690.1, AT5G08670.1"	"AT5G08670.1"	"orthologue"	"AT5G08690.1, AT5G08670.1"	"N0.HOG0002980"	"AT5G08690.1, AT5G08670.1"	"OG0000614"	"AT5G08670.1, AT5G08680.1, AT5G08690.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G08670.1"	"97.302"	"556"	"15"	"0"	"1"	"556"	"1"	"556"	"0"	"1097"	"99"	"557"	"556"
"ESY7_g17788_DN3_SP7_c0.t1"	559	"AT5G08680.1"	"AT5G08680.1"	"orthologue"	"AT5G08680.1"	"N0.HOG0002979"	"AT5G08680.1"	"OG0000614"	"AT5G08670.1, AT5G08680.1, AT5G08690.1"	"AT5G08680.1"	560	559	99	100	559	98.032	1111	"AT5G08680.1"	"98.032"	"559"	"11"	"0"	"1"	"559"	"1"	"559"	"0"	"1111"	"99"	"560"	"559"
"ESY7_g17789_DN1_SP0_c0.t1"	377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G08730.1"	"34.93"	"355"	"156"	"10"	"87"	"376"	"151"	"495"	"5.05e-54"	"185"	"77"	"377"	"500"
"ESY7_g17790_DN3_SP7_c0.t1"	556	"AT5G08690.1, AT5G08670.1"	"AT5G08670.1"	"orthologue"	"AT5G08690.1, AT5G08670.1"	"N0.HOG0002980"	"AT5G08690.1, AT5G08670.1"	"OG0000614"	"AT5G08670.1, AT5G08680.1, AT5G08690.1"	"AT5G08670.1"	557	556	99	100	556	97.842	1102	"AT5G08670.1"	"97.842"	"556"	"12"	"0"	"1"	"556"	"1"	"556"	"0"	"1102"	"99"	"557"	"556"
"ESY7_g17791_DN3_SP5_c0.t1"	434	"AT5G08710.1"	"AT5G08710.1"	"orthologue"	"AT5G08710.1"	"N0.HOG0019662"	"AT5G08710.1"	"OG0013169"	"AT5G08710.1"	"AT5G08710.1"	435	434	99	100	434	89.631	761	"AT5G08710.1"	"89.631"	"434"	"45"	"0"	"1"	"434"	"1"	"434"	"0"	"762"	"99"	"435"	"434"
