"Arabidopsis_lyrata_Rawat"	"prot_length"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"homologue_type"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"AL8G29780"	349	"AT5G54450.1"	"AT5G54450.1"	"orthologue"	"AT5G54450.1"	"N0.HOG0000229"	"AT5G54450.1"	"OG0000025"	"AT4G13680.1, AT5G52930.1, AT5G52940.1, AT5G53230.1, AT5G53240.1, AT5G54320.1, AT5G54330.1, AT5G54450.1, AT5G54550.1, AT5G54560.1, AT5G55270.1, AT5G55870.1, AT5G55880.1, AT5G55890.1"	"AT5G54450.1"	350	368	99	100	374	88.77	664	"AT5G54450.1"	"88.77"	"374"	"11"	"2"	"1"	"349"	"1"	"368"	"0"	"664"	"99"	"350"	"368"
"AL8G29790"	1031	"AT5G54440.1"	"AT5G54440.1"	"orthologue"	"AT5G54440.1"	"N0.HOG0012663"	"AT5G54440.1"	"OG0006678"	"AT5G54440.1"	"AT5G54440.1"	1032	1259	99	82	1031	97.866	2085	"AT5G54440.1"	"97.866"	"1031"	"22"	"0"	"1"	"1031"	"229"	"1259"	"0"	"2085"	"99"	"1032"	"1259"
"AL8G29800"	242	"AT5G54430.3"	"AT5G54430.3"	"orthologue"	"AT5G54430.3"	"N0.HOG0004567"	"AT5G54430.3"	"OG0001285"	"AT4G27320.1, AT5G54430.3"	"AT5G54430.3"	243	258	99	93	242	96.694	463	"AT5G54430.3"	"96.694"	"242"	"4"	"3"	"1"	"240"	"1"	"240"	"3.82e-168"	"463"	"99"	"243"	"258"
"AL8G29810"	55	"AT5G54460.1"	"AT5G54460.1"	"orthologue"	"AT5G54460.1"	"N0.HOG0039412"	"AT5G54460.1"	"OG0032223"	"AT5G54460.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G54460.1"	"52.941"	"34"	"16"	"0"	"21"	"54"	"9"	"42"	"3.1e-06"	"40.8"	"61"	"56"	"141"
"AL8G29820"	209	"AT5G54470.1"	"AT5G54470.1"	"orthologue"	"AT5G54470.1"	"N0.HOG0013402"	"AT5G54470.1"	"OG0007358"	"AT5G54470.1"	"AT5G54470.1"	210	215	99	100	215	83.721	314	"AT5G54470.1"	"83.721"	"215"	"29"	"3"	"1"	"209"	"1"	"215"	"3.02e-110"	"314"	"99"	"210"	"215"
"AL8G29830"	731	"AT5G54480.1"	"AT5G54480.1"	"orthologue"	"AT5G54480.1"	"N0.HOG0012664"	"AT5G54480.1"	"OG0006679"	"AT5G54480.1"	"AT5G54480.1"	732	720	99	100	732	84.426	1144	"AT5G54480.1"	"84.426"	"732"	"93"	"4"	"1"	"723"	"1"	"720"	"0"	"1147"	"99"	"732"	"720"
"AL8G29840"	131	"AT5G54490.1"	"AT5G54490.1"	"orthologue"	"AT5G54490.1"	"N0.HOG0007715"	"AT5G54490.1"	"OG0002913"	"AT4G27280.1, AT5G54490.1"	"AT5G54490.1"	132	127	98	100	129	94.574	245	"AT5G54490.1"	"94.574"	"129"	"5"	"1"	"1"	"129"	"1"	"127"	"1.09e-85"	"245"	"98"	"132"	"127"
"AL8G29850"	63	"AT3G61760.1"	"AT3G61760.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G61760.1"	"87.179"	"39"	"5"	"0"	"1"	"39"	"1"	"39"	"7.17e-18"	"74.7"	"61"	"64"	"610"
"AL8G29860"	204	"AT4G27270.1"	"AT4G27270.1"	"other"	NA	"N0.HOG0005712"	"AT4G27270.1"	"OG0001864"	"AT4G27270.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G27270.1"	"91.667"	"204"	"17"	"0"	"1"	"204"	"1"	"204"	"5.85e-139"	"386"	"99"	"205"	"205"
"AL8G29870"	612	"AT5G54510.1"	"AT5G54510.1"	"orthologue"	"AT5G54510.1"	"N0.HOG0006459"	"AT5G54510.1"	"OG0002248"	"AT4G27260.1, AT5G54510.1"	"AT5G54510.1"	613	612	99	100	612	98.039	1251	"AT5G54510.1"	"98.039"	"612"	"12"	"0"	"1"	"612"	"1"	"612"	"0"	"1251"	"99"	"613"	"612"
"AL8G29880"	92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AL8G29890"	455	"AT5G54520.1"	"AT5G54520.1"	"orthologue"	"AT5G54520.1"	"N0.HOG0019595"	"AT5G54520.1"	"OG0013104"	"AT5G54520.1"	"AT5G54520.1"	456	457	99	100	457	91.904	808	"AT5G54520.1"	"91.904"	"457"	"35"	"1"	"1"	"455"	"1"	"457"	"0"	"808"	"99"	"456"	"457"
"AL8G29900"	161	"AT5G54530.1"	"AT5G54530.1"	"orthologue"	"AT5G54530.1"	"N0.HOG0018164"	"AT5G54530.1"	"OG0011760"	"AT5G54530.1"	"AT5G54530.1"	162	161	99	99	160	93.125	282	"AT5G54530.1"	"93.125"	"160"	"11"	"0"	"1"	"160"	"1"	"160"	"2.47e-99"	"282"	"99"	"162"	"161"
"AL8G29910"	297	"AT5G54540.1"	"AT5G54540.1"	"orthologue"	"AT5G54540.1"	"N0.HOG0011986"	"AT5G54540.1"	"OG0006094"	"AT5G54540.1"	"AT5G54540.1"	298	297	99	100	298	95.638	573	"AT5G54540.1"	"95.638"	"298"	"11"	"2"	"1"	"297"	"1"	"297"	"0"	"573"	"99"	"298"	"297"
"AL8G29920"	365	"AT5G54560.1, AT5G54550.1"	"AT5G54550.1"	"orthologue"	"AT5G54560.1, AT5G54550.1"	"N0.HOG0000235"	"AT5G54560.1, AT5G54550.1"	"OG0000025"	"AT4G13680.1, AT5G52930.1, AT5G52940.1, AT5G53230.1, AT5G53240.1, AT5G54320.1, AT5G54330.1, AT5G54450.1, AT5G54550.1, AT5G54560.1, AT5G55270.1, AT5G55870.1, AT5G55880.1, AT5G55890.1"	"AT5G54550.1"	366	359	89	91	325	85.538	572	"AT5G54550.1"	"85.538"	"325"	"46"	"1"	"34"	"357"	"25"	"349"	"0"	"572"	"89"	"366"	"359"
"AL8G29930"	85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AL8G29940"	190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G54450.1"	"59.341"	"91"	"20"	"1"	"37"	"110"	"248"	"338"	"1.08e-25"	"101"	"39"	"191"	"368"
"AL8G29950"	356	"AT5G52940.1, AT5G52930.1"	"AT5G52940.1"	"other"	NA	"N0.HOG0000236"	"AT5G52940.1, AT5G52930.1"	"OG0000025"	"AT4G13680.1, AT5G52930.1, AT5G52940.1, AT5G53230.1, AT5G53240.1, AT5G54320.1, AT5G54330.1, AT5G54450.1, AT5G54550.1, AT5G54560.1, AT5G55270.1, AT5G55870.1, AT5G55880.1, AT5G55890.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G54550.1"	"71.594"	"345"	"95"	"3"	"14"	"355"	"14"	"358"	"3.46e-177"	"495"	"96"	"357"	"359"
"AL8G29960"	187	"AT5G54570.1"	"AT5G54570.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G54570.1"	"93.333"	"180"	"12"	"0"	"7"	"186"	"115"	"294"	"1.39e-124"	"361"	"96"	"188"	"535"
"AL8G29970"	663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G32010.1"	"27.751"	"209"	"130"	"6"	"189"	"396"	"407"	"595"	"4.21e-09"	"59.3"	"31"	"664"	"835"
"AL8G29980"	134	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AL8G29990"	322	"AT5G51830.1"	"AT5G51830.1"	"orthologue"	"AT5G51830.1"	"N0.HOG0011456"	"AT5G51830.1"	"OG0005642"	"AT5G51830.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G51830.1"	"83.815"	"346"	"29"	"3"	"1"	"322"	"1"	"343"	"0"	"558"	"99"	"323"	"343"
"AL8G30000"	108	"AT5G51840.1"	"AT5G51840.1"	"other"	NA	"N0.HOG0017100"	"AT5G51840.1"	"OG0010796"	"AT5G51840.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G51840.1"	"89.815"	"108"	"11"	"0"	"1"	"108"	"1"	"108"	"4.86e-65"	"196"	"99"	"109"	"245"
"AL8G30010"	155	"AT5G54100.1"	"AT5G54100.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G54100.1"	"82.292"	"96"	"16"	"1"	"32"	"126"	"49"	"144"	"4.13e-50"	"164"	"61"	"156"	"401"
"AL8G30020"	529	"AT5G54570.1"	"AT5G54570.1"	"orthologue"	"AT5G54570.1"	"N0.HOG0018165"	"AT5G54570.1"	"OG0011761"	"AT5G54570.1"	"AT5G54570.1"	530	535	99	100	535	93.084	989	"AT5G54570.1"	"93.084"	"535"	"31"	"3"	"1"	"529"	"1"	"535"	"0"	"989"	"99"	"530"	"535"
"AL8G30030"	156	"AT5G54580.1"	"AT5G54580.1"	"orthologue"	"AT5G54580.1"	"N0.HOG0012665"	"AT5G54580.1"	"OG0006680"	"AT5G54580.1"	"AT5G54580.1"	157	156	99	100	156	99.359	316	"AT5G54580.1"	"99.359"	"156"	"1"	"0"	"1"	"156"	"1"	"156"	"5.85e-113"	"316"	"99"	"157"	"156"
"AL8G30040"	131	"AT5G54585.1"	"AT5G54585.1"	"orthologue"	"AT5G54585.1"	"N0.HOG0013663"	"AT5G54585.1"	"OG0007589"	"AT5G54585.1"	"AT5G54585.1"	132	132	99	100	132	94.697	252	"AT5G54585.1"	"94.697"	"132"	"6"	"1"	"1"	"131"	"1"	"132"	"2.02e-88"	"252"	"99"	"132"	"132"
"AL8G30050"	437	"AT5G54590.2"	"AT5G54590.2"	"orthologue"	"AT5G54590.2"	"N0.HOG0012617"	"AT5G54590.2"	"OG0006635"	"AT5G54590.2"	"AT5G54590.2"	438	440	99	99	438	97.489	881	"AT5G54590.2"	"97.489"	"438"	"10"	"1"	"1"	"437"	"1"	"438"	"0"	"881"	"99"	"438"	"440"
"AL8G30060"	198	"AT5G54600.1"	"AT5G54600.1"	"orthologue"	"AT5G54600.1"	"N0.HOG0016027"	"AT5G54600.1"	"OG0009796"	"AT5G54600.1"	"AT5G54600.1"	199	198	99	100	198	97.98	392	"AT5G54600.1"	"97.98"	"198"	"4"	"0"	"1"	"198"	"1"	"198"	"1.78e-141"	"392"	"99"	"199"	"198"
"AL8G30070"	428	"AT5G54610.1"	"AT5G54610.1"	"orthologue"	"AT5G54610.1"	NA	NA	"OG0001322"	"AT5G54610.1, AT5G54620.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G54620.1"	"61.343"	"432"	"161"	"4"	"1"	"427"	"1"	"431"	"0"	"539"	"99"	"429"	"431"
"AL8G30080"	474	"AT5G54630.1"	"AT5G54630.1"	"orthologue"	"AT5G54630.1"	"N0.HOG0007239"	"AT5G54630.1"	"OG0002651"	"AT4G27240.1, AT5G54630.1"	"AT5G54630.1"	475	472	99	100	477	96.855	929	"AT5G54630.1"	"96.855"	"477"	"7"	"4"	"1"	"474"	"1"	"472"	"0"	"929"	"99"	"475"	"472"
"AL8G30090"	130	"AT5G54640.1"	"AT5G54640.1"	"orthologue"	"AT5G54640.1"	"N0.HOG0002341"	"AT5G54640.1"	"OG0000412"	"AT1G51060.1, AT3G20670.1, AT4G27230.1, AT5G54640.1"	"AT5G54640.1"	131	130	99	100	130	99.231	256	"AT5G54640.1"	"99.231"	"130"	"1"	"0"	"1"	"130"	"1"	"130"	"5.64e-90"	"256"	"99"	"131"	"130"
"AL8G30100"	902	"AT5G54650.1"	"AT5G54650.1"	"orthologue"	"AT5G54650.1"	"N0.HOG0011987"	"AT5G54650.1"	"OG0006095"	"AT5G54650.1"	"AT5G54650.1"	903	900	99	100	902	95.455	1746	"AT5G54650.1"	"95.455"	"902"	"39"	"1"	"1"	"902"	"1"	"900"	"0"	"1746"	"99"	"903"	"900"
"AL8G30110"	193	"AT5G54660.1"	"AT5G54660.1"	"orthologue"	"AT5G54660.1"	"N0.HOG0012666"	"AT5G54660.1"	"OG0006681"	"AT5G54660.1"	"AT5G54660.1"	194	192	99	100	193	94.819	373	"AT5G54660.1"	"94.819"	"193"	"9"	"1"	"1"	"193"	"1"	"192"	"4.1e-134"	"373"	"99"	"194"	"192"
"AL8G30120"	754	"AT5G54670.1"	"AT5G54670.1"	"orthologue"	"AT5G54670.1"	"N0.HOG0005713"	"AT5G54670.1"	"OG0001865"	"AT4G27180.1, AT5G54670.1"	"AT5G54670.1"	755	754	99	100	754	98.939	1537	"AT5G54670.1"	"98.939"	"754"	"8"	"0"	"1"	"754"	"1"	"754"	"0"	"1537"	"99"	"755"	"754"
"AL8G30130"	234	"AT5G54680.1"	"AT5G54680.1"	"orthologue"	"AT5G54680.1"	"N0.HOG0010523"	"AT5G54680.1"	"OG0004858"	"AT5G54680.1"	"AT5G54680.1"	235	234	99	100	234	100	480	"AT5G54680.1"	"100"	"234"	"0"	"0"	"1"	"234"	"1"	"234"	"3.1e-175"	"480"	"99"	"235"	"234"
"AL8G30140"	535	"AT5G54690.1"	"AT5G54690.1"	"orthologue"	"AT5G54690.1"	"N0.HOG0017109"	"AT5G54690.1"	"OG0010805"	"AT5G54690.1"	"AT5G54690.1"	536	535	99	100	535	98.879	1105	"AT5G54690.1"	"98.879"	"535"	"6"	"0"	"1"	"535"	"1"	"535"	"0"	"1105"	"99"	"536"	"535"
"AL8G30150"	767	"AT5G54730.1"	"AT5G54730.1"	"orthologue"	"AT5G54730.1"	"N0.HOG0011988"	"AT5G54730.1"	"OG0006096"	"AT5G54730.1"	"AT5G54730.1"	768	763	99	100	770	91.169	1353	"AT5G54730.1"	"91.558"	"770"	"55"	"5"	"1"	"767"	"1"	"763"	"0"	"1385"	"99"	"768"	"763"
"AL8G30160"	165	"AT5G54740.1"	"AT5G54740.1"	"orthologue"	"AT5G54740.1"	"N0.HOG0026764"	"AT5G54740.1"	"OG0019937"	"AT5G54740.1"	"AT5G54740.1"	166	165	99	100	165	87.879	306	"AT5G54740.1"	"87.879"	"165"	"20"	"0"	"1"	"165"	"1"	"165"	"1.27e-108"	"306"	"99"	"166"	"165"
"AL8G30170"	1034	"AT5G54745.1, AT1G51150.1"	"AT1G51150.1"	"orthologue"	"AT5G54745.1, AT1G51150.1"	"N0.HOG0026012"	"AT5G54745.1, AT1G51150.1"	"OG0019270"	"AT1G51150.1, AT5G54745.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G65640.2"	"56.298"	"524"	"203"	"6"	"1"	"504"	"1"	"518"	"0"	"563"	"49"	"1035"	"518"
"AL8G30180"	186	"AT5G54750.2"	"AT5G54750.2"	"orthologue"	"AT5G54750.2"	"N0.HOG0016028"	"AT5G54750.2"	"OG0009797"	"AT5G54750.2"	"AT5G54750.2"	187	199	99	100	199	92.462	370	"AT5G54750.2"	"92.462"	"199"	"2"	"1"	"1"	"186"	"1"	"199"	"4.18e-133"	"370"	"99"	"187"	"199"
"AL8G30190"	113	"AT5G54760.1"	"AT5G54760.1"	"orthologue"	"AT5G54760.1"	"N0.HOG0003395"	"AT4G27130.1, AT5G54760.1"	"OG0000777"	"AT1G54290.1, AT4G27130.1, AT5G54760.1"	"AT5G54760.1"	114	113	99	100	113	100	233	"AT5G54760.1"	"100"	"113"	"0"	"0"	"1"	"113"	"1"	"113"	"2.42e-81"	"233"	"99"	"114"	"113"
"AL8G30200"	352	"AT5G54770.1"	"AT5G54770.1"	"orthologue"	"AT5G54770.1"	"N0.HOG0009588"	"AT5G54770.1"	"OG0004106"	"AT5G54770.1"	"AT5G54770.1"	353	349	99	100	352	97.443	692	"AT5G54770.1"	"97.443"	"352"	"6"	"1"	"1"	"352"	"1"	"349"	"0"	"692"	"99"	"353"	"349"
"AL8G30210"	432	"AT5G54780.1"	"AT5G54780.1"	"orthologue"	"AT5G54780.1"	"N0.HOG0006707"	"AT5G54780.1"	"OG0002378"	"AT4G27100.1, AT5G54780.1"	"AT5G54780.1"	433	432	99	100	432	98.611	887	"AT5G54780.1"	"98.611"	"432"	"6"	"0"	"1"	"432"	"1"	"432"	"0"	"887"	"99"	"433"	"432"
"AL8G30220"	168	"AT5G54790.1"	"AT5G54790.1"	"orthologue"	"AT5G54790.1"	"N0.HOG0019597"	"AT5G54790.1"	"OG0013106"	"AT5G54790.1"	"AT5G54790.1"	169	165	99	100	168	91.667	279	"AT5G54790.1"	"91.667"	"168"	"11"	"1"	"1"	"168"	"1"	"165"	"8.19e-98"	"279"	"99"	"169"	"165"
"AL8G30230"	386	"AT5G54800.1"	"AT5G54800.1"	"orthologue"	"AT5G54800.1"	"N0.HOG0011459"	"AT5G54800.1"	"OG0005645"	"AT5G54800.1"	"AT5G54800.1"	387	388	99	100	388	97.68	759	"AT5G54800.1"	"97.68"	"388"	"7"	"2"	"1"	"386"	"1"	"388"	"0"	"759"	"99"	"387"	"388"
"AL8G30240"	471	"AT5G54810.1"	"AT5G54810.1"	"orthologue"	"AT5G54810.1"	"N0.HOG0006793"	"AT5G54810.1"	"OG0002422"	"AT4G27070.1, AT5G54810.1"	"AT5G54810.1"	472	470	99	100	472	97.669	945	"AT5G54810.1"	"97.669"	"472"	"8"	"3"	"1"	"471"	"1"	"470"	"0"	"945"	"99"	"472"	"470"
"AL8G30250"	476	"AT5G54820.1, AT1G56400.1, AT3G29830.1"	"AT1G56400.1"	"other"	NA	"N0.HOG0004222"	"AT5G54820.1, AT1G56400.1, AT3G29830.1"	"OG0001121"	"AT1G56400.1, AT3G29830.1, AT5G54820.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G56400.1"	"73.069"	"479"	"124"	"2"	"1"	"475"	"1"	"478"	"0"	"707"	"99"	"477"	"479"
"AL8G30260"	476	"AT5G54820.1"	"AT5G54820.1"	"orthologue"	"AT5G54820.1"	"N0.HOG0004222"	"AT5G54820.1, AT1G56400.1, AT3G29830.1"	"OG0001121"	"AT1G56400.1, AT3G29830.1, AT5G54820.1"	"AT5G54820.1"	477	472	99	99	476	78.571	759	"AT5G54820.1"	"78.571"	"476"	"96"	"2"	"1"	"475"	"1"	"471"	"0"	"759"	"99"	"477"	"472"
"AL8G30270"	900	"AT5G54830.1"	"AT5G54830.1"	"orthologue"	"AT5G54830.1"	"N0.HOG0023934"	"AT5G54830.1"	"OG0017319"	"AT5G54830.1"	"AT5G54830.1"	901	907	99	100	907	97.464	1832	"AT5G54830.1"	"97.464"	"907"	"16"	"1"	"1"	"900"	"1"	"907"	"0"	"1832"	"99"	"901"	"907"
"AL8G30280"	288	"AT5G54840.1"	"AT5G54840.1"	"orthologue"	"AT5G54840.1"	"N0.HOG0021490"	"AT5G54840.1"	"OG0014929"	"AT5G54840.1"	"AT5G54840.1"	289	288	99	100	288	95.486	566	"AT5G54840.1"	"95.486"	"288"	"13"	"0"	"1"	"288"	"1"	"288"	"0"	"566"	"99"	"289"	"288"
"AL8G30290"	202	"AT5G54850.1"	"AT5G54850.1"	"orthologue"	"AT5G54850.1"	"N0.HOG0019598"	"AT5G54850.1"	"OG0013107"	"AT5G54850.1"	"AT5G54850.1"	203	202	99	100	202	96.535	391	"AT5G54850.1"	"96.535"	"202"	"7"	"0"	"1"	"202"	"1"	"202"	"3.55e-141"	"391"	"99"	"203"	"202"
"AL8G30300"	146	"AT5G54855.1"	"AT5G54855.1"	"orthologue"	"AT5G54855.1"	"N0.HOG0019599"	"AT5G54855.1"	"OG0013108"	"AT5G54855.1"	"AT5G54855.1"	147	146	99	100	146	97.26	300	"AT5G54855.1"	"97.26"	"146"	"4"	"0"	"1"	"146"	"1"	"146"	"6.78e-107"	"300"	"99"	"147"	"146"
"AL8G30310"	491	"AT5G54860.1"	"AT5G54860.1"	"orthologue"	"AT5G54860.1"	"N0.HOG0019600"	"AT5G54860.1"	"OG0013109"	"AT5G54860.1"	"AT5G54860.1"	492	491	99	100	491	96.741	963	"AT5G54860.1"	"96.741"	"491"	"16"	"0"	"1"	"491"	"1"	"491"	"0"	"963"	"99"	"492"	"491"
"AL8G30330"	529	"AT5G54870.1"	"AT5G54870.1"	"orthologue"	"AT5G54870.1"	"N0.HOG0005715"	"AT5G54870.1"	"OG0001866"	"AT4G27020.1, AT5G54870.1"	"AT5G54870.1"	530	531	99	99	529	96.975	1068	"AT5G54870.1"	"96.975"	"529"	"15"	"1"	"2"	"529"	"3"	"531"	"0"	"1068"	"99"	"530"	"531"
"AL8G30340"	402	"AT5G54880.1"	"AT5G54880.1"	"orthologue"	"AT5G54880.1"	"N0.HOG0019601"	"AT5G54880.1"	"OG0013110"	"AT5G54880.1"	"AT5G54880.1"	403	394	98	99	396	88.636	709	"AT5G54880.1"	"88.636"	"396"	"40"	"2"	"7"	"402"	"4"	"394"	"0"	"709"	"98"	"403"	"394"
"AL8G30350"	362	"AT5G54890.1"	"AT5G54890.1"	"orthologue"	"AT5G54890.1"	"N0.HOG0019602"	"AT5G54890.1"	"OG0013111"	"AT5G54890.1"	"AT5G54890.1"	363	358	98	100	359	91.086	620	"AT5G54890.1"	"91.922"	"359"	"23"	"3"	"1"	"354"	"1"	"358"	"0"	"639"	"98"	"363"	"358"
"AL8G30360"	393	"AT5G54900.1"	"AT5G54900.1"	"orthologue"	"AT5G54900.1"	"N0.HOG0005298"	"AT5G54900.1"	"OG0001657"	"AT4G27000.1, AT5G54900.1"	"AT5G54900.1"	394	387	99	100	396	90.657	662	"AT5G54900.1"	"90.657"	"396"	"25"	"4"	"1"	"393"	"1"	"387"	"0"	"674"	"99"	"394"	"387"
"AL8G30370"	52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AL8G30380"	741	"AT5G54910.1"	"AT5G54910.1"	"orthologue"	"AT5G54910.1"	"N0.HOG0018166"	"AT5G54910.1"	"OG0011762"	"AT5G54910.1"	"AT5G54910.1"	742	739	99	100	741	94.872	1407	"AT5G54910.1"	"95.007"	"741"	"35"	"1"	"1"	"741"	"1"	"739"	"0"	"1407"	"99"	"742"	"739"
"AL8G30390"	535	"AT5G54920.2"	"AT5G54920.2"	"orthologue"	"AT5G54920.2"	"N0.HOG0008707"	"AT5G54920.2"	"OG0003529"	"AT4G26990.1, AT5G54920.2"	"AT5G54920.2"	536	522	99	99	535	88.411	876	"AT5G54920.2"	"88.598"	"535"	"46"	"4"	"1"	"534"	"1"	"521"	"0"	"876"	"99"	"536"	"522"
"AL8G30400"	286	"AT5G54930.1"	"AT5G54930.1"	"orthologue"	"AT5G54930.1"	"N0.HOG0013664"	"AT5G54930.1"	"OG0007590"	"AT5G54930.1"	"AT5G54930.1"	287	286	99	100	286	90.909	515	"AT5G54930.1"	"90.909"	"286"	"26"	"0"	"1"	"286"	"1"	"286"	"0"	"515"	"99"	"287"	"286"
"AL8G30410"	112	"AT5G54940.1"	"AT5G54940.1"	"orthologue"	"AT5G54940.1"	"N0.HOG0017111"	"AT5G54940.1"	"OG0010807"	"AT5G54940.1"	"AT5G54940.1"	113	112	99	100	112	99.107	226	"AT5G54940.1"	"99.107"	"112"	"1"	"0"	"1"	"112"	"1"	"112"	"1.23e-78"	"226"	"99"	"113"	"112"
"AL8G30420"	216	"AT5G54950.1"	"AT5G54950.1"	"orthologue"	"AT5G54950.1"	"N0.HOG0030062"	"AT5G54950.1"	"OG0022971"	"AT5G54950.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G26970.1"	"69.295"	"241"	"47"	"1"	"1"	"214"	"753"	"993"	"6.93e-116"	"352"	"99"	"217"	"995"
"AL8G30430"	607	"AT5G54960.1"	"AT5G54960.1"	"orthologue"	"AT5G54960.1"	"N0.HOG0003549"	"AT5G54960.1"	"OG0000827"	"AT4G33070.1, AT5G01320.1, AT5G01330.1, AT5G54960.1"	"AT5G54960.1"	608	607	99	100	607	97.035	1225	"AT5G54960.1"	"97.035"	"607"	"18"	"0"	"1"	"607"	"1"	"607"	"0"	"1225"	"99"	"608"	"607"
"AL8G30440"	133	"AT5G54970.1"	"AT5G54970.1"	"orthologue"	"AT5G54970.1"	"N0.HOG0008295"	"AT5G54970.1"	"OG0003263"	"AT4G26960.1, AT5G54970.1"	"AT5G54970.1"	134	125	99	100	134	90.299	223	"AT5G54970.1"	"90.299"	"134"	"3"	"3"	"1"	"133"	"1"	"125"	"5e-79"	"228"	"99"	"134"	"125"
"AL8G30450"	193	"AT5G54980.1"	"AT5G54980.1"	"orthologue"	"AT5G54980.1"	"N0.HOG0014809"	"AT5G54980.1"	"OG0008662"	"AT5G54980.1"	"AT5G54980.1"	194	194	98	98	190	96.842	380	"AT5G54980.1"	"96.842"	"190"	"6"	"0"	"4"	"193"	"5"	"194"	"3.6e-137"	"380"	"98"	"194"	"194"
"AL8G30480"	185	"AT5G20020.1, AT5G20010.1"	"AT5G20020.1"	"other"	NA	"N0.HOG0002930"	"AT5G20020.1, AT5G20010.1"	"OG0000596"	"AT5G20010.1, AT5G20020.1, AT5G55080.1, AT5G55190.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G20020.1"	"96.61"	"177"	"6"	"0"	"9"	"185"	"45"	"221"	"2.81e-130"	"364"	"95"	"186"	"221"
"AL8G30490"	140	"AT5G10010.1"	"AT5G10010.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G10010.1"	"63.333"	"120"	"36"	"2"	"28"	"140"	"100"	"218"	"4.34e-41"	"141"	"80"	"141"	"434"
"AL8G30500"	1336	"AT2G22440.1"	"AT2G22440.1"	"other"	NA	"N0.HOG0000027"	"AT2G22440.1"	"OG0000004"	"AT2G22440.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G29090.1"	"32.671"	"554"	"277"	"9"	"858"	"1319"	"2"	"551"	"2.3e-83"	"284"	"35"	"1337"	"575"
"AL8G30510"	584	"AT5G55020.1"	"AT5G55020.1"	"orthologue"	"AT5G55020.1"	"N0.HOG0012667"	"AT5G55020.1"	"OG0006682"	"AT5G55020.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G55020.1"	"82.271"	"502"	"74"	"7"	"1"	"496"	"1"	"493"	"0"	"587"	"85"	"585"	"523"
"AL8G30520"	915	"AT5G55040.1"	"AT5G55040.1"	"orthologue"	"AT5G55040.1"	"N0.HOG0025869"	"AT5G55040.1"	"OG0019135"	"AT5G55040.1"	"AT5G55040.1"	916	916	99	100	919	90.642	1591	"AT5G55040.1"	"90.86"	"919"	"77"	"2"	"1"	"915"	"1"	"916"	"0"	"1591"	"99"	"916"	"916"
