Orthogroup	Arabidopsis_lyrata_Rawat	Rorippa_islandica
OG0013430	AL1G49920	Roisl.0048s0006.1.p
OG0013431	AL1G48930	Roisl.0056s0058.1.p
OG0013432	AL1G48860	Roisl.0056s0021.1.p
OG0013433	AL1G48650	Roisl.0082s0529.1.p
OG0013434	AL1G48620	Roisl.0082s0532.1.p
OG0013435	AL1G64680	Roisl.0194s0070.1.p
OG0013436	AL1G48260	Roisl.0040s0050.1.p
OG0013437	AL1G47890	Roisl.0040s0068.1.p
OG0013438	AL1G47860	Roisl.0040s0071.1.p
OG0013439	AL1G47850	Roisl.0040s0072.1.p
OG0013440	AL1G47740	Roisl.0040s0087.1.p
OG0013441	AL1G47720	Roisl.0040s0089.1.p
OG0013442	AL6G43340	Roisl.0184s0144.1.p
OG0013443	AL6G41470	Roisl.0032s0076.1.p
OG0013444	nbis-gene-1618	Roisl.0020s0064.1.p
OG0013445	AL6G43920	Roisl.0020s0079.1.p
OG0013446	AL6G43940	Roisl.0020s0084.1.p
OG0013447	AL6G44270	Roisl.0020s0123.1.p
OG0013448	AL6G44850	Roisl.0057s0036.1.p
OG0013449	AL6G45100	Roisl.0213s0636.1.p
OG0013450	AL6G45200	Roisl.0213s0633.1.p
OG0013451	AL6G45240	Roisl.0213s0627.1.p, Roisl.0115s0449.1.p
OG0013452	AL6G45650	Roisl.0213s0603.1.p
OG0013453	AL6G45680	Roisl.0213s0599.1.p
OG0013454	AL6G45730	Roisl.0213s0567.1.p
OG0013455	AL6G30550	Roisl.0210s1632.1.p
OG0013456	AL6G30580	Roisl.0210s1635.1.p
OG0013457	AL6G30670	Roisl.0210s1641.1.p
OG0013458	AL6G38510	Roisl.0046s0321.1.p
OG0013459	AL6G38590	Roisl.0046s0327.1.p
OG0013460	AL6G38610	Roisl.0046s0330.1.p
OG0013461	AL6G38630	Roisl.0046s0333.1.p
OG0013462	nbis-gene-1586	Roisl.0046s0372.1.p
OG0013463	AL6G39220	Roisl.0046s0383.1.p
OG0013464	AL6G39340	Roisl.0046s0388.1.p
OG0013465	AL6G39370	Roisl.0046s0392.1.p
OG0013466	AL6G39440	Roisl.0046s0397.1.p
OG0013467	AL3G44210, nbis-gene-2013	Roisl.0214s0135.1.p
OG0013468	AL3G47945	Roisl.0011s0546.1.p, Roisl.0214s0419.1.p, Roisl.0214s0418.1.p
OG0013469	AL3G47850	Roisl.0214s0426.1.p
OG0013470	AL3G53650	Roisl.0214s0481.1.p
OG0013471	nbis-gene-912	Roisl.0214s0513.1.p
OG0013472	AL5G25280	Roisl.0209s0344.1.p
OG0013473	AL5G24520	Roisl.0209s0288.1.p
OG0013474	AL4G47500	Roisl.0067s0026.1.p
OG0013475	AL4G47440, AL39U10020	Roisl.0067s0032.1.p
OG0013476	AL4G47390	Roisl.0067s0037.1.p
OG0013477	AL4G47360	Roisl.0067s0041.1.p
OG0013478	AL4G47270	Roisl.0067s0048.1.p
OG0013479	AL4G47170	Roisl.0067s0058.1.p
OG0013480	AL4G47150	Roisl.0067s0059.1.p
OG0013481	AL4G38910	Roisl.0067s0065.1.p
OG0013482	AL4G47060	Roisl.0067s0068.1.p
OG0013483	AL4G46890	Roisl.0067s0086.1.p
OG0013484	AL4G46880	Roisl.0067s0087.1.p
OG0013485	AL4G46870	Roisl.0035s0004.1.p
OG0013486	AL4G46510	Roisl.0035s0036.1.p
OG0013487	AL4G46500	Roisl.0035s0037.1.p
OG0013488	AL4G46400	Roisl.0035s0046.1.p
OG0013489	AL4G46190	Roisl.0035s0067.1.p
OG0013490	AL4G46100	Roisl.0035s0074.1.p
OG0013491	AL4G46010	Roisl.0035s0081.1.p
OG0013492	AL4G46000	Roisl.0035s0082.1.p
OG0013493	AL4G45990	Roisl.0035s0083.1.p
OG0013494	AL4G45780	Roisl.0035s0096.1.p
OG0013495	AL4G45680	Roisl.0035s0111.1.p
OG0013496	AL4G45640	Roisl.0035s0115.1.p
OG0013497	AL4G45620	Roisl.0035s0117.1.p
OG0013498	AL4G45550	Roisl.0035s0122.1.p
OG0013499	AL4G45470	Roisl.0035s0131.1.p
OG0013500	AL4G45220	Roisl.0035s0149.1.p
OG0013501	AL4G45190	Roisl.0035s0151.1.p
OG0013502	AL4G45070	Roisl.0035s0161.1.p
OG0013503	AL4G45060	Roisl.0035s0162.1.p
OG0013504	AL4G44770	Roisl.0035s0194.1.p
OG0013505	AL4G44700	Roisl.0028s0026.1.p
OG0013506	AL4G44420	Roisl.0028s0053.1.p
OG0013507	AL4G44380	Roisl.0028s0057.1.p
OG0013508	AL4G44100	Roisl.0028s0084.1.p
OG0013509	AL4G44030	Roisl.0091s0586.1.p, Roisl.0028s0091.1.p
OG0013510	AL4G43710	Roisl.0028s0122.1.p
OG0013511	AL4G43640	Roisl.0028s0127.1.p
OG0013512	AL4G43620	Roisl.0028s0129.1.p
OG0013513	AL4G43520	Roisl.0028s0138.1.p
OG0013514	AL4G43430	Roisl.0028s0146.1.p
OG0013515	AL4G43400	Roisl.0028s0148.1.p
OG0013516	AL4G43270	Roisl.0028s0158.1.p
OG0013517	AL4G43190	Roisl.0028s0166.1.p, Roisl.0204s0144.1.p
OG0013518	AL4G42900	Roisl.0028s0187.1.p
OG0013519	AL4G42470	Roisl.0028s0230.1.p, Roisl.0028s0234.1.p
OG0013520	AL5G24570	Roisl.0209s0293.1.p
OG0013521	AL4G42340	Roisl.0028s0252.1.p
OG0013522	AL4G42160	Roisl.0028s0265.1.p
OG0013523	AL4G41910	Roisl.0028s0287.1.p
OG0013524	AL4G41850	Roisl.0028s0293.1.p
OG0013525	AL4G41670	Roisl.0028s0310.1.p
OG0013526	AL4G41650	Roisl.0028s0313.1.p
OG0013527	AL4G41610	Roisl.0028s0317.1.p
OG0013528	AL4G41390	Roisl.0028s0337.1.p
OG0013529	AL4G41260	Roisl.0028s0345.1.p
OG0013530	AL4G41240	Roisl.0028s0347.1.p
OG0013531	AL4G40900	Roisl.0028s0370.1.p
OG0013532	AL8G22050	Roisl.0036s0029.1.p
OG0013533	AL4G40620	Roisl.0028s0394.1.p
OG0013534	AL4G40580	Roisl.0028s0398.1.p
OG0013535	AL4G40480	Roisl.0028s0407.1.p
OG0013536	AL4G39820, AL4G39970	Roisl.0028s0451.1.p
OG0013537	AL4G39980	Roisl.0028s0450.1.p
OG0013538	AL4G39990	Roisl.0028s0449.1.p
OG0013539	AL4G40000	Roisl.0028s0448.1.p
OG0013540	AL4G40010	Roisl.0028s0447.1.p
OG0013541	AL4G39410	Roisl.0028s0484.1.p
OG0013542	AL4G39320	Roisl.0028s0489.1.p
OG0013543	AL3G10840	Roisl.0016s0081.1.p
OG0013544	AL3G10850	Roisl.0016s0082.1.p
OG0013545	AL3G10910	Roisl.0016s0088.1.p
OG0013546	AL3G11080	Roisl.0016s0106.1.p
OG0013547	AL6G41290	Roisl.0189s0201.1.p
OG0013548	AL3G11470	Roisl.0016s0147.1.p
OG0013549	AL5G13640	Roisl.0016s0169.1.p
OG0013550	AL3G12030	Roisl.0016s0197.1.p
OG0013551	AL3G12150	Roisl.0016s0205.1.p
OG0013552	AL3G12400	Roisl.0016s0228.1.p
OG0013553	AL3G12890	Roisl.0016s0264.1.p
OG0013554	AL3G12950	Roisl.0016s0269.1.p
OG0013555	AL3G13320	Roisl.0039s0152.1.p, Roisl.0016s0291.1.p
OG0013556	AL3G13410	Roisl.0016s0300.1.p
OG0013557	AL3G13480	Roisl.0016s0306.1.p
OG0013558	AL3G13490	Roisl.0016s0307.1.p
OG0013559	AL3G13500	Roisl.0016s0308.1.p
OG0013560	AL3G13620	Roisl.0016s0318.1.p
OG0013561	AL3G13760	Roisl.0016s0326.1.p
OG0013562	AL3G13780	Roisl.0016s0328.1.p
OG0013563	AL3G14300	Roisl.0016s0371.1.p
OG0013564	AL3G14350	Roisl.0016s0378.1.p
OG0013565	AL3G14570	Roisl.0016s0396.1.p
OG0013566	AL3G14580	Roisl.0016s0397.1.p
OG0013571	AL3G15060, AL3G15160	Roisl.0039s0003.1.p
OG0013572	AL3G15180	Roisl.0039s0005.1.p
OG0013573	AL3G15290	Roisl.0039s0014.1.p
OG0013574	AL3G15370	Roisl.0039s0021.1.p
OG0013575	AL3G15690	Roisl.0039s0048.1.p
OG0013576	AL3G15850, AL3G15830	Roisl.0039s0060.1.p
OG0013577	AL3G15950	Roisl.0039s0064.1.p
OG0013578	AL3G16270	Roisl.0039s0093.1.p
OG0013579	AL3G16420	Roisl.0039s0106.1.p
OG0013580	AL3G16670	Roisl.0039s0126.1.p
OG0013581	AL3G16710	Roisl.0039s0130.1.p
OG0013582	AL3G16730	Roisl.0039s0132.1.p
OG0013583	AL3G16940	Roisl.0039s0157.1.p
OG0013584	AL3G17030	Roisl.0039s0165.1.p
OG0013585	AL962U10010, AL3G17340	Roisl.0079s0017.1.p
OG0013586	AL3G17500	Roisl.0079s0028.1.p
OG0013587	AL3G17550	Roisl.0079s0035.1.p
OG0013588	AL3G17620	Roisl.0079s0040.1.p
OG0013589	AL3G17750	Roisl.0079s0050.1.p
OG0013590	AL3G17890	Roisl.0079s0066.1.p
OG0013591	AL3G18310	Roisl.0079s0094.1.p
OG0013592	AL3G18380	Roisl.0079s0100.1.p
OG0013593	AL3G18390	Roisl.0079s0101.1.p
OG0013594	AL384U10020, AL3G18430	Roisl.0079s0105.1.p
OG0013595	AL3G18700	Roisl.0079s0132.1.p
OG0013596	AL3G18770	Roisl.0079s0138.1.p
OG0013597	AL3G19080	Roisl.0079s0171.1.p
OG0013598	AL3G19100	Roisl.0079s0175.1.p
OG0013599	AL3G19450	Roisl.0079s0205.1.p
OG0013600	AL3G19510	Roisl.0079s0211.1.p
OG0013601	AL3G19680	Roisl.0079s0224.1.p
OG0013602	AL3G19920	Roisl.0079s0249.1.p
OG0013603	AL3G19980	Roisl.0079s0254.1.p
OG0013604	AL7G28980	Roisl.0008s0244.1.p
OG0013605	AL3G20040	Roisl.0079s0259.1.p
OG0013606	AL3G20060	Roisl.0079s0261.1.p
OG0013607	AL3G20180	Roisl.0079s0271.1.p
OG0013609	AL3G20720	Roisl.0079s0309.1.p
OG0013610	AL3G20860	Roisl.0079s0319.1.p
OG0013611	AL3G21180	Roisl.0074s1032.1.p
OG0013612	AL3G21210	Roisl.0074s1030.1.p
OG0013613	AL3G21410	Roisl.0074s1016.1.p
OG0013614	AL3G21480	Roisl.0074s1011.1.p
OG0013615	AL3G21510	Roisl.0074s1008.1.p
OG0013616	AL3G21790	Roisl.0074s0981.1.p
OG0013617	AL3G22060	Roisl.0074s0954.1.p
OG0013618	AL3G22100	Roisl.0074s0949.1.p
OG0013619	AL3G22300	Roisl.0074s0933.1.p
OG0013620	AL3G22310	Roisl.0074s0932.1.p
OG0013621	AL3G22320	Roisl.0074s0931.1.p
OG0013622	AL3G22370	Roisl.0074s0927.1.p
OG0013625	AL3G22630	Roisl.0074s0898.1.p
OG0013626	AL3G22710	Roisl.0074s0889.1.p
OG0013627	AL3G22740	Roisl.0074s0885.1.p
OG0013628	AL3G23110	Roisl.0074s0852.1.p
OG0013629	AL3G23190	Roisl.0074s0844.1.p
OG0013630	AL3G23620	Roisl.0074s0801.1.p
OG0013631	AL3G23710	Roisl.0074s0795.1.p
OG0013632	AL3G23750	Roisl.0074s0791.1.p
OG0013633	AL3G23860	Roisl.0074s0783.1.p
OG0013634	AL3G24020	Roisl.0074s0769.1.p
OG0013635	AL3G24060	Roisl.0074s0766.1.p
OG0013636	nbis-gene-698	Roisl.0074s0753.1.p
OG0013637	AL3G24350	Roisl.0074s0739.1.p
OG0013638	AL3G24460	Roisl.0074s0728.1.p
OG0013639	AL3G24620	Roisl.0074s0707.1.p
OG0013640	AL3G24870	Roisl.0074s0684.1.p
OG0013641	AL3G24980	Roisl.0074s0673.1.p
OG0013643	AL3G26040	Roisl.0074s0592.1.p
OG0013644	AL5G25490	Roisl.0209s0360.1.p
OG0013645	AL3G26260	Roisl.0074s0570.1.p
OG0013646	AL3G26760	Roisl.0074s0523.1.p
OG0013647	AL3G26920	Roisl.0074s0506.1.p
OG0013648	AL3G27060	Roisl.0074s0491.1.p
OG0013649	AL3G27190	Roisl.0074s0480.1.p
OG0013650	AL3G27250	Roisl.0074s0474.1.p
OG0013651	AL3G27540	Roisl.0074s0450.1.p
OG0013652	AL3G27590	Roisl.0074s0445.1.p
OG0013653	AL3G27630	Roisl.0074s0442.1.p
OG0013654	AL3G27670	Roisl.0074s0438.1.p
OG0013655	AL3G27760	Roisl.0074s0431.1.p
OG0013656	AL3G27860	Roisl.0074s0421.1.p
OG0013657	AL3G28220	Roisl.0074s0392.1.p
OG0013658	AL3G28260	Roisl.0074s0387.1.p
OG0013659	AL7G50400	Roisl.0009s0289.1.p
OG0013660	AL3G28370	Roisl.0074s0379.1.p
OG0013661	AL3G28450	Roisl.0074s0372.1.p
OG0013662	AL3G28620	Roisl.0074s0350.1.p
OG0013663	AL3G28660	Roisl.0074s0346.1.p
OG0013664	AL3G28740	Roisl.0074s0337.1.p
OG0013665	AL7G41090	Roisl.0008s0285.1.p
OG0013666	AL3G29110	Roisl.0074s0311.1.p
OG0013667	AL3G29120	Roisl.0074s0310.1.p
OG0013668	AL3G29720	Roisl.0074s0264.1.p
OG0013669	AL3G29730	Roisl.0074s0263.1.p
OG0013670	AL3G29870	Roisl.0074s0253.1.p
OG0013671	AL3G29920	Roisl.0074s0250.1.p
OG0013672	nbis-gene-716	Roisl.0074s0245.1.p
OG0013673	AL3G30020	Roisl.0074s0239.1.p
OG0013674	AL3G30050	Roisl.0074s0234.1.p
OG0013675	AL3G30070	Roisl.0074s0232.1.p
OG0013676	AL3G30170	Roisl.0074s0223.1.p
OG0013677	AL3G30360	Roisl.0074s0211.1.p
OG0013679	AL3G30400	Roisl.0074s0207.1.p
OG0013680	AL3G30450	Roisl.0074s0204.1.p
OG0013682	AL3G30710	Roisl.0074s0180.1.p
OG0013683	AL3G30740	Roisl.0074s0179.1.p
OG0013684	AL3G30770	Roisl.0074s0176.1.p
OG0013685	AL3G30780	Roisl.0074s0175.1.p
OG0013686	AL3G30790	Roisl.0074s0174.1.p
OG0013687	AL3G30860	Roisl.0074s0169.1.p
OG0013688	AL3G30880	Roisl.0074s0164.1.p
OG0013689	AL3G31080	Roisl.0074s0146.1.p
OG0013690	AL3G31090	Roisl.0074s0145.1.p
OG0013691	AL3G31800	Roisl.0074s0082.1.p
OG0013692	AL3G32100	Roisl.0074s0058.1.p
OG0013693	AL3G32640	Roisl.0074s0009.1.p
OG0013694	AL3G32770	Roisl.0028s0002.1.p
OG0013695	AL3G32780	Roisl.0028s0001.1.p
OG0013696	AL3G32880	Roisl.0028s0014.1.p
OG0013697	AL3G33180	Roisl.0115s0285.1.p
OG0013698	AL3G33350	Roisl.0115s0297.1.p
OG0013699	AL3G33450	Roisl.0115s0304.1.p
OG0013700	AL3G33840	Roisl.0115s0329.1.p
OG0013701	AL3G33930	Roisl.0115s0340.1.p
OG0013702	AL3G33980, AL880U10020	Roisl.0115s0345.1.p
OG0013703	AL3G34140	Roisl.0115s0366.1.p
OG0013704	AL3G34150	Roisl.0115s0367.1.p, Roisl.0006s0548.1.p
OG0013705	AL3G34160	Roisl.0115s0368.1.p
OG0013706	AL219U10020, AL3G34170	Roisl.0115s0369.1.p
OG0013707	AL3G34270	Roisl.0115s0376.1.p
OG0013708	AL3G34410	Roisl.0115s0384.1.p
OG0013709	AL2G16570	Roisl.0214s0625.1.p
OG0013710	AL3G34650	Roisl.0115s0400.1.p
OG0013711	AL3G34730	Roisl.0115s0411.1.p
OG0013712	AL3G34800	Roisl.0115s0419.1.p
OG0013713	AL3G34890	Roisl.0115s0428.1.p
OG0013714	AL7G50940	Roisl.0070s0020.1.p
OG0013715	AL7G51250	Roisl.0022s0070.1.p
OG0013716	AL7G28590	Roisl.0022s0106.1.p
OG0013717	AL7G51690	Roisl.0213s0815.1.p
OG0013718	AL7G51910	Roisl.0213s0800.1.p
OG0013719	AL7G51930	Roisl.0213s0798.1.p
OG0013720	AL7G52230	Roisl.0046s0008.1.p
OG0013721	AL7G52610	Roisl.0046s0038.1.p
OG0013722	AL7G52870	Roisl.0032s0006.1.p
OG0013723	AL7G46750	Roisl.0032s0027.1.p
OG0013724	AL7G46550	Roisl.0064s0030.1.p
OG0013725	AL7G46500	Roisl.0064s0028.1.p
OG0013726	AL1G64630	Roisl.0204s0179.1.p
OG0013727	AL7G46400	Roisl.0064s0020.1.p
OG0013728	AL7G46330	Roisl.0064s0017.1.p
OG0013729	AL7G45990	Roisl.0002s0172.1.p, Roisl.0210s2196.1.p
OG0013730	AL7G45580	Roisl.0008s0111.1.p
OG0013731	AL7G45260	Roisl.0053s0132.1.p
OG0013732	AL8G19850	Roisl.0085s0001.1.p
OG0013733	AL3G38770	Roisl.0053s0302.1.p
OG0013734	AL3G38570	Roisl.0053s0314.1.p
OG0013735	AL3G38250	Roisl.0053s0330.1.p
OG0013736	AL3G38060	Roisl.0053s0347.1.p
OG0013737	AL3G37930	Roisl.0053s0362.1.p
OG0013738	AL3G37910	Roisl.0053s0366.1.p
OG0013739	AL3G37510	Roisl.0053s0395.1.p
OG0013740	AL3G37400	Roisl.0053s0403.1.p
OG0013741	AL3G36970	Roisl.0115s0617.1.p
OG0013742	AL3G36860	Roisl.0115s0605.1.p
OG0013743	AL3G36740	Roisl.0115s0596.1.p
OG0013744	AL2G20400	Roisl.0022s0031.1.p
OG0013745	AL1017U10010	Roisl.0115s0576.1.p
OG0013745	AL3G36510	Roisl.0115s0575.1.p
OG0013746	AL3G36030	Roisl.0115s0541.1.p
OG0013747	AL3G35910	Roisl.0115s0533.1.p
OG0013748	AL3G35800	Roisl.0115s0522.1.p
OG0013749	AL3G35740	Roisl.0115s0515.1.p
OG0013750	AL3G35620	Roisl.0115s0500.1.p
OG0013751	AL3G35330	Roisl.0115s0472.1.p
OG0013752	AL7G21790	Roisl.0003s0043.1.p
OG0013753	AL1G65300	Roisl.0189s0063.1.p
OG0013754	AL2G23990	Roisl.0055s0010.1.p
OG0013755	AL2G23780	Roisl.0209s0092.1.p
OG0013756	AL2G22160	Roisl.0022s0046.1.p
OG0013757	AL2G20230	Roisl.0022s0013.1.p
OG0013758	AL2G21140	Roisl.0022s0038.1.p
OG0013759	AL2G22040	Roisl.0022s0039.1.p
OG0013760	AL1G64700	Roisl.0204s0177.1.p
OG0013761	AL1G65000	Roisl.0194s0038.1.p
OG0013762	AL1G65040	Roisl.0194s0019.1.p
OG0013763	AL6G30290	Roisl.0210s1604.1.p
OG0013764	AL6G29860	Roisl.0210s1568.1.p
OG0013765	AL6G29810	Roisl.0210s1563.1.p
OG0013766	AL6G29750	Roisl.0210s1559.1.p
OG0013767	AL6G29680	Roisl.0210s1549.1.p
OG0013768	AL6G29660	Roisl.0210s1547.1.p
OG0013769	AL4G18220	Roisl.0082s0504.1.p
OG0013770	AL4G13980	Roisl.0021s0576.1.p
OG0013771	AL6G29400	Roisl.0210s1528.1.p
OG0013772	AL8G22990	Roisl.0198s0047.1.p
OG0013773	AL8G23130	Roisl.0036s0085.1.p
OG0013774	AL8G21120	Roisl.0014s0033.1.p
OG0013775	AL8G21110	Roisl.0014s0032.1.p
OG0013776	AL5G33190	Roisl.0046s1219.1.p
OG0013777	AL5G32920	Roisl.0046s1198.1.p
OG0013778	AL5G32840	Roisl.0046s1190.1.p
OG0013779	AL5G32830	Roisl.0046s1189.1.p
OG0013780	AL5G32820	Roisl.0046s1188.1.p
OG0013781	AL5G32810	Roisl.0046s1187.1.p
OG0013782	AL5G32800	Roisl.0046s1186.1.p
OG0013783	AL5G32500	Roisl.0046s1163.1.p
OG0013784	AL5G32490	Roisl.0046s1161.1.p
OG0013785	AL5G32440	Roisl.0046s1156.1.p
OG0013786	AL5G32360, AL1G42920	Roisl.0046s1149.1.p
OG0013787	AL5G32290	Roisl.0046s1144.1.p
OG0013788	AL5G32220	Roisl.0046s1136.1.p
OG0013789	AL5G32060	Roisl.0046s1110.1.p
OG0013790	AL5G31920	Roisl.0046s1097.1.p
OG0013791	AL5G31790	Roisl.0046s1085.1.p
OG0013792	AL5G10280	Roisl.0011s0025.1.p
OG0013793	AL1G10040	Roisl.0210s0004.1.p
OG0013794	AL5G27440	Roisl.0046s0722.1.p
OG0013795	AL1G10410	Roisl.0210s0042.1.p
OG0013796	AL1G10490	Roisl.0210s0048.1.p
OG0013797	AL1G10610	Roisl.0210s0059.1.p
OG0013799	AL1G10850	Roisl.0210s0083.1.p
OG0013800	AL1G11230	Roisl.0210s0115.1.p
OG0013801	AL1G11250	Roisl.0210s0116.1.p
OG0013802	AL1G11320	Roisl.0210s0122.1.p
OG0013803	AL1G11410	Roisl.0210s0127.1.p
OG0013804	AL1G11480	Roisl.0210s0137.1.p
OG0013805	AL4G39680	Roisl.0210s0153.1.p
OG0013806	AL3G28100	Roisl.0074s0402.1.p
OG0013807	AL1G11820	Roisl.0210s0178.1.p
OG0013808	AL1G11890	Roisl.0210s0185.1.p
OG0013809	AL1G11930	Roisl.0210s0188.1.p
OG0013810	AL1G12000	Roisl.0210s0193.1.p
OG0013811	AL1G12280	Roisl.0210s0216.1.p
OG0013812	AL1G12350	Roisl.0210s0237.1.p
OG0013813	AL1G12480	Roisl.0210s0241.1.p
OG0013814	AL1G12510	Roisl.0210s0245.1.p
OG0013815	AL1G12650	Roisl.0210s0255.1.p
OG0013816	AL1G12960	Roisl.0210s0282.1.p
OG0013817	AL1G13310	Roisl.0210s0310.1.p
OG0013818	AL1G13590	Roisl.0210s0333.1.p
OG0013819	AL1G13630	Roisl.0210s0338.1.p
OG0013820	AL1G14180	Roisl.0210s0390.1.p
OG0013822	AL1G14450	Roisl.0091s0716.1.p
OG0013823	AL1G14650	Roisl.0091s0740.1.p
OG0013824	AL1G14660	Roisl.0091s0741.1.p
OG0013825	AL1G15900	Roisl.0091s0860.1.p
OG0013826	AL1G15920	Roisl.0091s0862.1.p
OG0013827	AL1G16280	Roisl.0091s0897.1.p
OG0013828	AL1G16520	Roisl.0091s0917.1.p
OG0013829	AL1G16950	Roisl.0091s0957.1.p
OG0013830	AL1G16960	Roisl.0091s0959.1.p
OG0013831	AL1G17080	Roisl.0091s0969.1.p
OG0013832	AL1G17240	Roisl.0091s0978.1.p
OG0013833	AL1G17430	Roisl.0091s0999.1.p
OG0013834	AL1G17530	Roisl.0091s1009.1.p
OG0013835	AL7G46260	Roisl.0064s0006.1.p
OG0013836	AL1G18300	Roisl.0091s1076.1.p
OG0013837	AL1G18590	Roisl.0091s1101.1.p
OG0013839	AL1G18800	Roisl.0091s1123.1.p
OG0013840	AL2G19190	Roisl.0083s0010.1.p
OG0013841	AL1G18820	Roisl.0091s1127.1.p
OG0013842	AL1G19290	Roisl.0091s1172.1.p
OG0013843	AL1G19420	Roisl.0091s1182.1.p
OG0013844	AL1G19540	Roisl.0091s1191.1.p
OG0013845	AL1G19670	Roisl.0091s1202.1.p
OG0013846	AL1G19750	Roisl.0091s1209.1.p
OG0013847	AL1G19780	Roisl.0091s1212.1.p
OG0013848	AL1G19830	Roisl.0091s1217.1.p
OG0013849	AL1G19950	Roisl.0091s1226.1.p
OG0013850	AL1G19990	Roisl.0091s1230.1.p
OG0013851	AL1G20100	Roisl.0091s1240.1.p
OG0013852	AL1G20270	Roisl.0021s0009.1.p
OG0013853	AL1G20380	Roisl.0021s0022.1.p
OG0013854	AL1G20460	Roisl.0021s0031.1.p
OG0013855	AL1G20840	Roisl.0021s0067.1.p
OG0013856	AL1G21120	Roisl.0021s0092.1.p
OG0013857	AL1G21230	Roisl.0021s0108.1.p
OG0013858	AL1G21280	Roisl.0021s0111.1.p
OG0013859	AL1G21320	Roisl.0021s0116.1.p
OG0013860	AL1G39730	Roisl.0191s0410.1.p
OG0013861	AL1G21570	Roisl.0021s0140.1.p
OG0013862	AL1G21710	Roisl.0021s0153.1.p
OG0013863	AL1G21890	Roisl.0021s0168.1.p
OG0013864	AL1G21980	Roisl.0021s0176.1.p
OG0013865	AL1G22030	Roisl.0021s0179.1.p
OG0013866	AL1G22070	Roisl.0021s0184.1.p
OG0013867	AL1G22100	Roisl.0021s0187.1.p
OG0013868	AL1G22250	Roisl.0021s0199.1.p
OG0013871	AL4G12520	Roisl.0046s0539.1.p
OG0013872	AL1G22840	Roisl.0021s0252.1.p
OG0013873	AL1G22880	Roisl.0021s0256.1.p
OG0013874	AL1G22920	Roisl.0021s0260.1.p
OG0013875	AL1G22970	Roisl.0021s0265.1.p
OG0013876	AL1G23070	Roisl.0021s0276.1.p
OG0013877	AL1G23080	Roisl.0021s0277.1.p
OG0013879	AL1G23200	Roisl.0021s0287.1.p
OG0013880	AL1G23210	Roisl.0021s0288.1.p
OG0013881	AL1G24340	Roisl.0021s0365.1.p
OG0013882	AL1G24230, AL1G24400	Roisl.0021s0370.1.p
OG0013883	AL1G24490	Roisl.0021s0377.1.p
OG0013884	AL1G24510	Roisl.0021s0379.1.p
OG0013885	AL1G24570	Roisl.0021s0386.1.p
OG0013886	AL1G24650	Roisl.0021s0392.1.p
OG0013887	AL1G40240	Roisl.0191s0466.1.p
OG0013888	AL1G24860	Roisl.0021s0415.1.p
OG0013889	AL1G25000	Roisl.0021s0428.1.p
OG0013890	AL8G26570	Roisl.0189s0141.1.p, Roisl.0189s0143.1.p
OG0013891	AL1G25170	Roisl.0021s0439.1.p
OG0013892	AL1G25480	Roisl.0021s0471.1.p
OG0013893	AL1G25520	Roisl.0021s0477.1.p
OG0013894	AL1G26020	Roisl.0007s0736.1.p
OG0013895	AL1G26100	Roisl.0007s0728.1.p
OG0013896	AL1G26140	Roisl.0007s0724.1.p
OG0013897	AL1G26170	Roisl.0007s0721.1.p
OG0013898	AL1G26220	Roisl.0007s0715.1.p
OG0013899	AL1G26230	Roisl.0007s0714.1.p
OG0013900	AL1G26330	Roisl.0007s0702.1.p
OG0013901	nbis-gene-84	Roisl.0007s0671.1.p
OG0013902	AL1G26700	Roisl.0007s0669.1.p
OG0013903	AL1G27140	Roisl.0007s0625.1.p
OG0013904	AL1G27320	Roisl.0007s0610.1.p
OG0013905	AL8G22020	Roisl.0036s0019.1.p
OG0013906	AL1G27820	Roisl.0007s0564.1.p
OG0013907	AL1G28110	Roisl.0007s0537.1.p
OG0013908	AL1G28240	Roisl.0007s0524.1.p
OG0013910	AL1G28410	Roisl.0007s0505.1.p
OG0013911	AL1G28500	Roisl.0007s0496.1.p
OG0013912	AL1G28640	Roisl.0007s0486.1.p
OG0013913	AL2G39600, AL1G28690	Roisl.0007s0482.1.p
OG0013914	AL6G51080, nbis-gene-1666, AL1G28710	Roisl.0007s0479.1.p
OG0013915	AL1G28900	Roisl.0007s0462.1.p
OG0013916	AL1G28920	Roisl.0007s0460.1.p
OG0013917	AL1G29000	Roisl.0007s0450.1.p
OG0013918	AL1G29390	Roisl.0007s0412.1.p
OG0013919	AL1G29570	Roisl.0007s0398.1.p
OG0013920	nbis-gene-2115	Roisl.0031s0063.1.p
OG0013921	AL1G29670	Roisl.0007s0388.1.p
OG0013922	AL1G29680	Roisl.0007s0387.1.p
OG0013923	AL1G29690	Roisl.0007s0386.1.p
OG0013924	AL1G29800	Roisl.0007s0377.1.p
OG0013925	AL1G29870	Roisl.0007s0372.1.p
OG0013926	AL1G30230	Roisl.0007s0343.1.p
OG0013927	AL1G30330	Roisl.0007s0336.1.p
OG0013928	AL1G30350	Roisl.0007s0334.1.p
OG0013929	AL1G30480	Roisl.0007s0323.1.p
OG0013930	AL1G30620	Roisl.0007s0313.1.p
OG0013931	AL1G30650	Roisl.0007s0310.1.p
OG0013932	AL1G30810	Roisl.0007s0297.1.p
OG0013933	AL1G31040	Roisl.0007s0275.1.p
OG0013934	AL1G31570	Roisl.0007s0233.1.p
