Orthogroup	Arabidopsis_lyrata_Rawat	Eutrema_salsugineum
OG0015170	AL7G23240	XP_024005256.1
OG0015171	AL8G27830	XP_006401735.1
OG0015172	AL2G11550	XP_006391729.1
OG0015173	AL2G11320	XP_006391712.1
OG0015174	AL2G11180	XP_006391693.1
OG0015175	nbis-gene-1935	XP_006405583.1
OG0015176	AL7G49970	XP_006405560.1
OG0015177	AL7G49670	XP_006405513.1
OG0015178	AL7G49630	XP_006405509.1
OG0015179	AL7G49610	XP_006405506.1
OG0015180	AL5G21020	XP_006419138.1
OG0015181	AL5G21370	XP_006419134.1
OG0015182	AL5G19980	XP_006395254.1
OG0015183	AL5G18100	XP_006395361.1
OG0015184	nbis-gene-1244	XP_024007126.1
OG0015185	AL5G17490	XP_006395386.1
OG0015186	AL5G17220	XP_024007359.1
OG0015187	AL5G17010	XP_006395417.1
OG0015188	AL5G16850	XP_006395440.1
OG0015189	AL5G16780	XP_006395444.1
OG0015190	AL5G16690	XP_024007510.1
OG0015191	AL5G16450	XP_006395463.1
OG0015192	AL5G16290	XP_024006895.1
OG0015193	AL5G16250	XP_006395481.1
OG0015194	AL5G16240	XP_006395480.1
OG0015196	AL5G16160	XP_006395488.1
OG0015197	AL5G15980	XP_006395499.1
OG0015198	AL5G15880	XP_006395507.1
OG0015199	AL5G15610	XP_006395526.1
OG0015200	AL5G15580	XP_006395529.1
OG0015201	AL5G15570	XP_006395530.1
OG0015202	AL5G15370	XP_006395544.1
OG0015203	AL5G15260	XP_006395552.1
OG0015204	AL5G14870	XP_006395582.1
OG0015205	AL5G14780	XP_006395596.1
OG0015206	AL5G14730	XP_024007497.1
OG0015207	AL5G14720	XP_006395599.1
OG0015208	AL1G30820	XP_024008260.1
OG0015209	AL5G14350	XP_006395626.1
OG0015210	AL5G14300	XP_006395629.2
OG0015211	AL5G14220	XP_006395635.1
OG0015212	AL2G29180	XP_006390943.1
OG0015213	AL22U10120	XP_024010909.1
OG0015214	AL2G28640	XP_006391006.1
OG0015215	AL2G28630	XP_006391008.1
OG0015216	AL2G28590	XP_006391011.1
OG0015217	AL7G40860	XP_006414614.1
OG0015218	AL2G28490	XP_006391025.1
OG0015219	AL8G12570	XP_006398279.1
OG0015220	AL8G12590	XP_006398278.1
OG0015221	AL8G12780	XP_006398265.1
OG0015222	AL8G12850	XP_024011024.1
OG0015223	AL8G13070	XP_024010937.1
OG0015224	AL8G13510	XP_006398198.2
OG0015225	AL8G13520	XP_006398197.1
OG0015226	AL8G13530	XP_006398195.1
OG0015227	AL3G50090	XP_006409335.1
OG0015228	AL8G14030	XP_006398170.1
OG0015229	AL1G57240	XP_006393215.1
OG0015230	AL1G57300	XP_006393212.1
OG0015231	AL1G57410	XP_024006214.1
OG0015232	AL1G57500	XP_006393201.1
OG0015233	AL1G57510	XP_006393199.1
OG0015234	AL1G57530	XP_006393197.1
OG0015235	AL1G57540	XP_006393196.2
OG0015236	AL1G57570	XP_024006252.1
OG0015237	AL1G57780	XP_006393179.1
OG0015238	nbis-gene-272	XP_006393166.1
OG0015239	AL1G58080	XP_006393150.1
OG0015240	AL1G58090	XP_006393152.1
OG0015241	AL1G58210	XP_006393139.1
OG0015242	AL1G58220	XP_006393138.1
OG0015243	AL1G58320	XP_006393126.1
OG0015244	AL1G58660	XP_006393095.1
OG0015245	AL1G58900	XP_006393080.1
OG0015246	AL1G58910	XP_006393079.1
OG0015247	AL4G11910	XP_024006139.1
OG0015248	AL1G59320	XP_006393053.1
OG0015249	AL1G59340	XP_006393052.1
OG0015250	AL1G59350	XP_006393051.1
OG0015251	AL2G40920	XP_006389809.1
OG0015252	AL4G15160	XP_024014093.1
OG0015253	AL1G59660	XP_006393003.1
OG0015254	AL1G59800	XP_006392994.2
OG0015255	AL1G60390	XP_006404736.1
OG0015256	AL1G60470	XP_006392935.1
OG0015257	AL1G60490	XP_006392932.1
OG0015258	AL7G27210	XP_006413266.1
OG0015259	AL1G60740	XP_006392913.1
OG0015260	AL1G60760	XP_006392914.1
OG0015261	AL1G60870	XP_006392902.1
OG0015262	AL1G60900	XP_006392899.1
OG0015263	AL1G60920	XP_006392896.1
OG0015264	AL1G61040	XP_024005951.1
OG0015265	AL1G61090	XP_006392871.1
OG0015266	AL1G61100	XP_006392869.2
OG0015268	AL1G61170	XP_006392859.1
OG0015269	AL1G61210	XP_006392855.1
OG0015270	AL8G18380	XP_006403355.1
OG0015271	AL8G18360	XP_006403354.1
OG0015272	AL8G18070	XP_006403335.1
OG0015273	AL8G17880	XP_006403322.1
OG0015274	AL8G17520	XP_006403290.1
OG0015276	AL4G29270	XP_024003744.1
OG0015277	AL4G29360	XP_006410512.2
OG0015278	AL4G29420	XP_006410516.1
OG0015279	AL4G29430	XP_006410517.1
OG0015280	AL4G29590	XP_006410529.1
OG0015281	AL4G30000	XP_006410553.1
OG0015282	AL4G30050	XP_006410556.1
OG0015283	AL4G30070	XP_006410559.1
OG0015284	AL4G30090	XP_006410561.1
OG0015285	AL4G30260	XP_006410576.1
OG0015286	AL4G30430	XP_006410591.1
OG0015287	AL4G30630	XP_006410612.1
OG0015288	AL5G18670	XP_024006856.1
OG0015289	AL4G31030	XP_006410657.1
OG0015290	AL4G31060	XP_006410660.1
OG0015291	AL4G31070	XP_006410662.1
OG0015292	AL4G31120	XP_006410668.1
OG0015293	AL4G31140	XP_024003831.1
OG0015294	AL4G31150	XP_024003991.1
OG0015295	AL4G31450	XP_006410699.1
OG0015296	AL4G31500	XP_006410702.2
OG0015297	AL4G31550	XP_024016803.1
OG0015298	AL4G31620	XP_006410717.1
OG0015299	AL8G19260	XP_006400487.1
OG0015300	AL4G31890	XP_006410747.1
OG0015301	AL4G32020	XP_006410762.2
OG0015302	AL7G34670	XP_006413978.1
OG0015303	AL7G34770	XP_006413982.1
OG0015304	AL7G34800	XP_024004747.1
OG0015305	AL7G31850, AL7G31780, AL7G34860	XP_006413991.1
OG0015306	AL7G34910	XP_006413999.1
OG0015307	AL7G34940	XP_006414003.1
OG0015308	AL7G34990	XP_006414010.1
OG0015309	AL7G35190	XP_006414031.2
OG0015310	AL7G35420	XP_006414051.1
OG0015311	AL7G35440	XP_006414054.1
OG0015312	AL7G35610	XP_006414073.1
OG0015313	AL7G35660	XP_024004344.1
OG0015314	AL7G35810	XP_006414097.1
OG0015315	AL7G36030	XP_006414116.1
OG0015316	AL7G36120	XP_024005912.1
OG0015317	nbis-gene-1819	XP_024005776.1
OG0015318	AL7G36250	XP_024004759.1
OG0015320	AL7G36310	XP_006414145.2
OG0015321	AL4G16310	XP_006405110.1
OG0015322	AL7G36540	XP_006414167.1
OG0015323	AL7G36810	XP_006414191.1
OG0015324	AL7G36830	XP_024004724.1
OG0015325	AL7G36840	XP_006414193.1
OG0015326	AL7G36960	XP_006414208.1
OG0015327	AL7G37330	XP_006414236.1
OG0015328	AL7G37550	XP_024004457.1
OG0015329	AL7G37580	XP_006414266.1
OG0015330	AL7G44670	XP_024007533.1
OG0015331	AL8G12090	XP_006398328.1
OG0015333	AL5G31400	XP_006403968.1
OG0015334	nbis-gene-1344	XP_006404001.1
OG0015335	AL5G30990	XP_006404003.1
OG0015336	AL5G30840	XP_006404011.1
OG0015337	AL5G30550	XP_006404033.2
OG0015338	AL5G30510	XP_024014609.1
OG0015339	AL5G30490	XP_006415032.1
OG0015340	AL5G30370	XP_006404047.1
OG0015341	AL5G30360	XP_006404048.1
OG0015342	AL5G30230	XP_006404056.1
OG0015343	AL8G26790	XP_006401831.1
OG0015344	AL8G26610	XP_006401848.1
OG0015345	AL8G26560	XP_006401856.1
OG0015346	AL8G26480	XP_006401865.1
OG0015347	AL8G26470	XP_024012063.1
OG0015348	AL8G26330	XP_006401878.1
OG0015349	AL8G26300	XP_006401880.1
OG0015350	AL8G26110	XP_006401906.1
OG0015351	AL8G25880	XP_006401934.1
OG0015352	AL8G25940	XP_024011619.1
OG0015353	AL8G25970	XP_006391903.1
OG0015354	AL64U10010	XP_024012599.1
OG0015355	AL8G25220	XP_006402036.1
OG0015356	AL8G25300	XP_006402027.1
OG0015357	AL8G25280	XP_024012397.1
OG0015358	AL3G44130	XP_024012257.1
OG0015359	AL3G45670	XP_006409673.1
OG0015360	AL3G45720	XP_024016501.1
OG0015361	AL3G45790	XP_006409669.2
OG0015362	AL3G45800	XP_006409668.1
OG0015363	AL3G45650	XP_024016608.1
OG0015364	AL3G45910	XP_024016512.1
OG0015365	AL3G45940	XP_006409660.1
OG0015366	AL3G46080	XP_006409653.1
OG0015367	AL3G46180	XP_006409649.1
OG0015368	AL3G46380	XP_006409644.1
OG0015369	AL3G46560	XP_006409633.1
OG0015370	AL3G46940	XP_006409584.1
OG0015371	AL3G47070	XP_006409563.1
OG0015372	AL3G47080	XP_006409562.1
OG0015373	AL3G47790	XP_024016593.1
OG0015374	AL5G20540	XP_024006708.1
OG0015375	AL3G52530	XP_006409442.1
OG0015376	AL3G52620	XP_006409434.1
OG0015377	AL3G49540	XP_006409387.1
OG0015378	AL3G49570	XP_006409384.1
OG0015379	AL7G29360	XP_024005496.1
OG0015380	AL7G29560	XP_006413518.1
OG0015381	AL7G29570, AL7G29580	XP_024004505.1
OG0015382	AL7G30560	XP_024004511.1
OG0015383	AL7G30580	XP_024005523.1
OG0015384	AL7G30620	XP_006413603.1
OG0015386	AL7G31030	XP_006413646.1
OG0015387	AL7G31080	XP_006413651.1
OG0015388	AL7G31530	XP_006413686.2
OG0015389	AL7G34160	XP_024004589.1
OG0015390	AL7G33790	XP_006413905.1
OG0015391	AL7G33600	XP_006413884.1
OG0015392	AL7G33390	XP_006413860.1
OG0015393	AL7G33330	XP_006413853.1
OG0015394	AL7G33280	XP_006413844.1
OG0015395	AL7G33220	XP_024005176.1
OG0015396	AL7G33190	XP_006413824.1
OG0015397	AL7G32950	XP_006413812.1
OG0015398	AL7G32940	XP_006413810.1
OG0015399	AL7G32900	XP_006413803.1
OG0015400	AL7G32820	XP_006413798.1
OG0015401	AL7G32790	XP_006413795.2
OG0015402	AL7G32760	XP_006413790.1
OG0015403	AL7G32750	XP_006413788.1
OG0015404	AL6G32210	XP_006414447.1
OG0015405	AL7G32540	XP_006413772.1
OG0015406	AL7G32530	XP_006413771.1
OG0015408	AL7G32300	XP_006413749.1
OG0015409	AL5G10310	XP_024011022.1
OG0015410	AL7G32150	XP_006413733.1
OG0015411	AL7G32110	XP_024005159.1
OG0015412	AL1G52140	XP_006393748.1
OG0015413	AL7G32020	XP_006413724.1
OG0015414	AL7G34380	XP_024005651.1
OG0015415	AL7G34470	XP_006413956.2
OG0015417	AL6G39820	XP_006405268.1
OG0015419	AL8G19290	XP_006405260.1
OG0015420	AL8G19100	XP_006403394.1
OG0015421	AL7G38710	XP_006414365.1
OG0015422	AL7G38470	XP_006414341.1
OG0015423	AL7G38200	XP_006414329.1
OG0015424	AL7G38670	XP_006414361.1
OG0015425	AL7G38170	XP_006414326.1
OG0015426	AL7G38030	XP_024004679.1
OG0015427	AL7G37880	XP_006414304.1
OG0015428	AL7G37850	XP_024005861.1
OG0015429	AL7G37700	XP_006414285.1
OG0015430	AL3G10140	XP_006408558.1
OG0015431	AL3G10270	XP_006408554.1
OG0015432	AL3G10290	XP_006408552.1
OG0015433	AL3G10310	XP_006408551.1
OG0015434	AL3G10430	XP_006408540.1
OG0015435	AL3G10580	XP_006408525.1
OG0015436	AL3G10660	XP_006408516.2
OG0015437	AL8G44920	XP_024007377.1
OG0015438	AL8G45000	XP_006393846.1
OG0015439	AL8G45110	XP_006393835.1
OG0015440	AL2G37570	XP_024007178.1
OG0015441	AL8G45220	XP_006393830.1
OG0015442	AL5G14740	XP_006406769.1
OG0015443	AL8G45350	XP_024006689.1
OG0015444	AL8G45430	XP_006393803.2
OG0015445	AL8G45500	XP_024007481.1
OG0015446	AL8G45560	XP_006393792.1
OG0015447	AL5G46410	XP_006403739.1
OG0015448	AL5G46400	XP_024012771.1
OG0015449	AL5G46390	XP_024012795.1
OG0015450	AL5G46350	XP_006402267.1
OG0015451	AL5G46330	XP_006402270.1
OG0015452	AL5G46280	XP_006402277.1
OG0015453	AL5G46260	XP_024012808.1
OG0015454	AL5G46170	XP_006402289.1
OG0015455	AL5G46160	XP_006402288.1
OG0015456	AL5G45960	XP_006402307.2
OG0015457	AL5G45920	XP_006402309.1
OG0015458	AL5G45750	XP_006402321.1
OG0015459	AL5G45650	XP_006402332.1
OG0015460	AL5G45600	XP_006402338.1
OG0015461	AL5G45560	XP_006402342.2
OG0015462	AL5G45480	XP_006402348.2
OG0015463	AL5G45370	XP_024012886.1
OG0015464	AL5G45130	XP_006402381.1
OG0015465	AL5G45120	XP_024012784.1
OG0015466	AL5G44980	XP_006402397.1
OG0015467	AL5G44950	XP_024012798.1
OG0015468	AL5G44640	XP_006402421.1
OG0015470	AL5G44450	XP_006402434.1
OG0015471	AL5G44420	XP_006402436.2
OG0015472	AL8G26180	XP_006401900.2
OG0015473	AL5G44060	XP_006402460.2
OG0015474	AL5G43920	XP_006402471.2
OG0015475	AL5G43850	XP_006402475.1
OG0015476	AL5G43700	XP_006402485.2
OG0015477	AL5G43410	XP_024012888.1
OG0015478	AL5G43390	XP_006402516.1
OG0015479	AL5G43240	XP_024012912.1
OG0015480	AL5G43180	XP_006402534.1
OG0015481	AL5G43170	XP_006402535.1
OG0015482	AL4G17840	XP_024016084.1
OG0015483	AL5G42810	XP_006402575.1
OG0015484	AL5G42700	XP_006402581.1
OG0015485	AL5G42580	XP_006402591.1
OG0015486	AL1G39910	XP_006415870.1
OG0015487	nbis-gene-1401	XP_006402597.1
OG0015488	AL5G42450	XP_024012832.1
OG0015489	AL5G42370	XP_006402616.1
OG0015490	AL5G42160	XP_006402631.1
OG0015491	AL5G42120	XP_006402638.1
OG0015492	AL5G41820	XP_006402657.1
OG0015493	AL5G41440	XP_006402680.1
OG0015494	AL5G41290	XP_006402693.1
OG0015495	AL5G41280	XP_006414489.1
OG0015496	AL3G43300	XP_006396136.1
OG0015497	AL5G41030	XP_024012987.1
OG0015498	AL5G40630	XP_006402745.2
OG0015500	AL5G40410	XP_006402763.1
OG0015501	AL5G40320	XP_006402774.1
OG0015502	AL5G40300	XP_006402778.1
OG0015503	AL5G40260	XP_006402782.1
OG0015504	AL5G40230	XP_006402785.1
OG0015505	AL5G40220	XP_024012846.1
OG0015506	AL5G39660	XP_006402816.1
OG0015507	AL5G39500	XP_024013031.1
OG0015508	AL5G39480	XP_006402838.1
OG0015509	AL5G39410	XP_024012964.1
OG0015510	AL5G39210	XP_006402860.1
OG0015511	AL5G39150	XP_024012799.1
OG0015512	AL5G39120	XP_006402867.1
OG0015513	AL5G38940	XP_006402881.1
OG0015514	AL7G22700	XP_024008045.1
OG0015515	AL4G17520	XP_006408799.1
OG0015516	AL5G38530	XP_006402917.1
OG0015517	AL5G38090	XP_006402957.1
OG0015518	AL5G38020	XP_006402963.1
OG0015519	AL5G37980	XP_006402970.1
OG0015520	AL5G23470	XP_006419082.2
OG0015521	AL5G37770	XP_006402985.1
OG0015522	AL5G37740	XP_006402989.1
OG0015523	AL5G37550	XP_024013004.1
OG0015524	AL5G37490	XP_006403015.1
OG0015525	nbis-gene-1376	XP_006403020.1
OG0015526	AL5G37310	XP_006403032.1
OG0015527	AL5G37280	XP_006403035.1
OG0015528	AL5G37200	XP_006403401.1
OG0015529	AL5G37130	XP_006403414.1
OG0015530	AL5G37120	XP_006403413.1
OG0015531	AL5G36850	XP_006403434.1
OG0015532	AL2G11760	XP_006391742.1
OG0015533	AL5G36540	XP_006403464.1
OG0015534	AL5G36500	XP_006403467.1
OG0015535	AL5G36450	XP_006403471.1
OG0015536	AL5G36400	XP_006403480.1
OG0015537	AL5G36350	XP_006403483.1
OG0015538	AL5G36280	XP_006395332.1
OG0015539	AL5G36260	XP_006403487.1
OG0015540	AL5G36180	XP_006403496.1
OG0015541	AL5G36080	XP_006403510.1
OG0015542	AL5G36040	XP_006403514.1
OG0015543	AL5G35990	XP_006403521.1
OG0015544	AL5G35980	XP_006403524.2
OG0015545	AL5G35920	XP_006403529.1
OG0015546	AL2G26830	XP_006391187.1
OG0015547	AL5G35720	XP_006403552.1
OG0015548	AL5G35680	XP_006403557.1
OG0015549	AL5G35550	XP_024013429.1
OG0015550	AL5G35510	XP_006403573.1
OG0015551	AL5G35470	XP_006403578.1
OG0015552	AL5G35440	XP_006403581.1
OG0015553	AL5G35430	XP_006403582.1
OG0015554	AL5G35280	XP_006391874.1, XP_006403600.1
OG0015555	AL2G20450	XP_024007003.1
OG0015556	AL3G42810	XP_024014709.1
OG0015557	AL5G34970	XP_006403633.1
OG0015558	AL5G34920	XP_006403637.1
OG0015559	AL5G34860	XP_006403644.1
OG0015560	AL5G34820	XP_024013832.1
OG0015561	AL5G34490	XP_006403675.1
OG0015562	AL3G53840	XP_006409010.1
OG0015563	AL5G33970	XP_024013439.1
OG0015564	AL5G33860	XP_006403735.1
OG0015565	AL5G33780	XP_024013547.1
OG0015566	AL5G33600	XP_024013698.1
OG0015567	AL5G33470	XP_006403780.1
OG0015568	AL5G33420	XP_024013521.1
OG0015569	AL5G33390	XP_006403785.1
OG0015570	AL5G33230	XP_006403797.1
OG0015571	AL8G28920	XP_006401652.1
OG0015572	AL8G28700	XP_006401666.1
OG0015573	AL8G28170	XP_006401702.1
OG0015574	AL8G28150	XP_006401705.1
OG0015575	AL8G28030	XP_006401720.1
OG0015576	AL8G28010	XP_006401721.1
OG0015577	AL7G39120	XP_006414396.1
OG0015578	AL3G39950	XP_006418742.1
OG0015579	AL3G39960	XP_006418741.2
OG0015580	AL3G40070	XP_006418731.1
OG0015581	AL3G40100	XP_006418721.1
OG0015582	AL3G40160	XP_006418716.1
OG0015583	AL3G40450	XP_006418701.1
OG0015584	AL3G40480	XP_006418697.2
OG0015585	AL3G40590	XP_006418686.1
OG0015586	AL3G40820	XP_024009649.1
OG0015587	AL26U10020	XP_006418656.1
OG0015588	AL3G41110	XP_006418648.1
OG0015589	AL3G41120	XP_024009561.1
OG0015590	AL3G41300	XP_006418630.2
OG0015591	AL3G41310	XP_024009714.1
OG0015592	AL3G42020	XP_006418578.1
OG0015593	AL3G42030	XP_006418576.1
OG0015594	AL3G42170	XP_006418568.1
OG0015595	AL3G42200	XP_006418561.1
OG0015596	AL3G42220	XP_006418560.1
OG0015597	AL3G42370	XP_006418554.1
OG0015598	AL3G42430	XP_006418545.1
OG0015599	AL3G42700	XP_006418528.1
OG0015600	AL3G42730	XP_006395112.1
OG0015601	AL3G42830	XP_006396162.1
OG0015602	AL3G43280	XP_006396141.1
OG0015603	AL5G21490	XP_006419140.2
OG0015604	AL3G43430	XP_006396130.1
OG0015605	AL3G39770	XP_006418760.1
OG0015606	AL2G25040	XP_006391437.1
OG0015607	AL2G25390	XP_024012409.1
OG0015608	AL2G25490	XP_006391474.1
OG0015609	AL2G25720	XP_024010550.1
OG0015610	AL2G25820	XP_006391295.1
OG0015611	AL2G25960	XP_006391284.1
OG0015612	AL2G26080	XP_024007952.1
OG0015613	AL2G26100	XP_024014016.1
OG0015614	AL2G26580	XP_006391214.1
OG0015615	AL2G26700	XP_006391205.1
OG0015616	AL2G26890	XP_006391192.2
OG0015617	AL2G26820	XP_006391186.1
OG0015618	AL2G27020	XP_006391174.1
OG0015619	AL2G27060	XP_006391167.1
OG0015620	AL6G41260	XP_006397362.1
OG0015621	AL8G20910	XP_006395206.1
OG0015622	AL8G21970	XP_024007372.1
OG0015623	AL8G21880	XP_006395116.1
OG0015624	AL8G21670	XP_006395153.2
OG0015625	AL8G21580, AL43U10050	XP_006395162.1
OG0015626	AL3G51270	XP_006409198.1
OG0015627	AL7G43720	XP_006403052.1
OG0015628	AL3G51500	XP_006409176.1
OG0015629	AL3G51550	XP_006409172.1
OG0015630	AL3G51640	XP_006409161.1
OG0015631	AL3G51690	XP_006409156.1
OG0015632	AL3G51750	XP_024016552.1
OG0015633	AL3G51880	XP_024016566.1
OG0015634	AL3G53050	XP_006409110.1
OG0015635	AL3G53020	XP_006409106.1
OG0015636	AL3G52940	XP_006409093.1
OG0015637	AL3G48980	XP_006409066.1
OG0015638	AL3G48940	XP_006409062.1
OG0015640	AL4G39170	XP_006411386.1
OG0015641	AL4G39090	XP_006411377.1
OG0015642	AL4G39020	XP_024003860.1
OG0015643	AL4G38940	XP_006411362.1
OG0015644	AL4G38890	XP_024003784.1
OG0015645	AL5G12790	XP_006400215.1
OG0015646	AL4G38790	XP_024016762.1
OG0015647	AL4G38570	XP_006411337.1
OG0015648	AL4G38530	XP_024016724.1
OG0015649	AL4G38210	XP_006411295.1
OG0015650	AL7G47170	XP_024014809.1
OG0015651	AL4G38070	XP_006411284.1
OG0015652	AL4G38010, AL4G38040	XP_006411282.1
OG0015653	AL4G37760	XP_006411259.1
OG0015654	AL4G37530	XP_024016813.1
OG0015655	AL4G37500	XP_006411236.1
OG0015656	AL4G37490	XP_006411235.1
OG0015657	AL4G37450	XP_006411228.1
OG0015658	AL4G37080	XP_006411194.1
OG0015659	AL4G37060	XP_006411191.1
OG0015660	AL4G36960	XP_006411183.1
OG0015661	AL4G36800	XP_006411168.1
OG0015662	AL4G36390	XP_006411133.2
OG0015663	AL4G36270	XP_006411120.1
OG0015664	AL4G36200	XP_024004243.1
OG0015665	AL3G24000	XP_006397356.1
OG0015666	AL4G36160	XP_006411110.2
OG0015668	AL4G36020	XP_024003963.1
OG0015669	AL4G35940	XP_006411084.1
OG0015670	AL4G35860	XP_024004292.1
OG0015671	AL5G10740	XP_024007534.1
OG0015672	AL4G35830	XP_006411070.1
OG0015673	AL4G35630	XP_006411053.1
OG0015674	AL4G35570	XP_006411048.1
OG0015676	AL4G35140	XP_024003827.1
OG0015677	AL4G35130	XP_006411015.1
OG0015678	AL6G42610	XP_006397260.1
OG0015679	AL4G35050	XP_006411006.1
OG0015681	AL4G34690	XP_024004201.1
OG0015682	AL5G22060	XP_006408048.1
OG0015684	AL4G34220	XP_006410954.1
OG0015685	AL4G33720	XP_006410917.1
OG0015686	AL4G33620	XP_006410904.1
OG0015687	AL4G33600	XP_006410903.1
OG0015688	AL4G33560	XP_006410899.1
OG0015689	AL4G33450	XP_006410890.1
OG0015690	AL4G33440	XP_006410889.1
OG0015691	AL4G33340	XP_024003969.1
OG0015692	nbis-gene-1093	XP_006410878.1
OG0015693	AL4G33200	XP_024003914.1
OG0015694	AL4G33100	XP_006410861.1
OG0015695	AL6G47510	XP_006396744.1
OG0015696	AL6G47860	XP_024010117.1
OG0015697	AL6G47870	XP_006396703.1
OG0015698	AL6G47890	XP_006396696.1
OG0015699	AL6G47940	XP_006396691.1
OG0015700	AL6G48080	XP_006396680.1
OG0015701	AL8G17570	XP_006403300.1
OG0015702	AL7G21570	XP_006408596.2, XP_006412681.1
OG0015703	AL6G46930	XP_006396797.1
OG0015704	AL8G17460	XP_006403278.1
OG0015705	AL6G46600	XP_006396837.1
OG0015706	AL6G47340	XP_024010108.1
OG0015707	nbis-gene-929	XP_006404568.1
OG0015708	AL4G10540	XP_024014333.1
OG0015709	AL4G10560	XP_024014166.1
OG0015710	AL4G10710	XP_006404603.1
OG0015711	AL4G10820	XP_006404617.1
OG0015712	nbis-gene-444, AL4G10840	XP_024014298.1
OG0015713	AL4G11280	XP_006404650.1
OG0015714	AL4G11290	XP_006404649.1
OG0015715	AL4G11390	XP_006404659.2
OG0015716	AL4G11740	XP_024014192.1
OG0015717	AL4G11950	XP_006404701.1
OG0015718	AL4G12110	XP_006404720.1
OG0015719	AL4G12420	XP_006404750.1
OG0015720	AL4G12930	XP_006404778.1
OG0015721	AL4G13210	XP_006404816.1
OG0015722	AL4G13280	XP_024014120.1
OG0015723	AL4G13290	XP_006404822.1
OG0015724	AL4G13450	XP_006404835.1
OG0015725	AL4G13910	XP_006404871.1
OG0015726	AL4G16960	XP_024014201.1
OG0015727	AL4G16910	XP_006405190.1
OG0015728	AL4G18030	XP_006408836.1
OG0015729	AL4G18250	XP_006408850.1
OG0015730	nbis-gene-980	XP_006405055.2
OG0015731	AL4G18760	XP_024016089.1
OG0015732	AL4G18920	XP_006408736.1
OG0015733	nbis-gene-1005	XP_006408793.1
OG0015734	AL4G15870	XP_006405048.1
OG0015735	nbis-gene-1006	XP_006408783.1
OG0015736	AL4G19270	XP_006398022.1
OG0015737	AL4G14740	XP_024013864.1
OG0015738	AL4G17090	XP_006405226.1
OG0015739	AL1G51640	XP_024007634.1
OG0015740	AL1G51590	XP_006395995.1
OG0015741	AL1G51810	XP_006393775.1
OG0015742	AL1G52110	XP_006393751.1
OG0015743	AL1G52180	XP_006393744.1
OG0015744	AL1G52280	XP_006393728.2
OG0015745	AL1G51120	XP_006396015.1
OG0015746	AL1G51010	XP_006396020.1
OG0015747	AL1G50950	XP_006396024.1
OG0015748	AL1G50830	XP_024013098.1
OG0015749	AL1G50570	XP_024010627.1
OG0015750	AL1G50360	XP_006397450.1
OG0015751	AL1G50350	XP_006397449.1
OG0015752	AL1G50230	XP_006397442.1
OG0015754	nbis-gene-211	XP_006397416.1
OG0015755	AL1G48990	XP_006396047.1
OG0015756	AL1G48980	XP_006396048.1
OG0015757	AL1G48940	XP_006396063.2
OG0015758	AL1G48870	XP_006396070.1
OG0015759	AL1G48770	XP_006396075.1
OG0015760	AL1G48700	XP_006396079.1
OG0015761	AL1G47820	XP_006415086.1
OG0015762	AL6G42470	XP_006397272.1
OG0015763	AL6G42360	XP_024010404.1
OG0015764	AL6G42630	XP_006397254.1
OG0015765	AL6G43830	XP_006397108.1
OG0015766	AL6G43870	XP_006397107.1
OG0015767	AL6G43930	XP_006397097.1
OG0015768	AL6G43950	XP_006397094.1
OG0015769	AL6G44020	XP_006397091.1
OG0015770	AL6G44030	XP_006397090.1
OG0015771	AL6G44070	XP_006397088.1
OG0015772	AL6G44130	XP_006397082.1
OG0015773	AL6G44200	XP_006397076.1
OG0015774	AL6G44500	XP_006397061.1
OG0015775	AL6G44700	XP_006397027.1
OG0015776	AL6G45010	XP_006396990.1
OG0015777	AL6G45030	XP_024009870.1
OG0015778	AL6G45070	XP_006396982.1
OG0015779	AL6G45290	XP_006396954.1
OG0015780	AL6G45360	XP_006396937.1
OG0015781	AL6G45450	XP_006396931.1
OG0015782	AL6G45660	XP_006396926.1
OG0015783	AL6G45880	XP_006396904.2
OG0015784	AL6G45890	XP_006396903.1
OG0015785	AL6G46090	XP_024010533.1
OG0015786	AL6G46250	XP_006396869.1
OG0015787	AL6G46270	XP_024009824.1
OG0015788	AL6G46280	XP_006396865.1
OG0015789	AL6G30590	XP_006400475.1
OG0015790	AL6G38250	XP_024006970.1
OG0015791	AL4G19470	XP_006398040.1
OG0015792	AL8G21270	XP_006395183.1
OG0015793	AL6G38600	XP_006394903.1
OG0015794	AL6G38690	XP_024007177.1
OG0015795	AL6G38700	XP_024007175.1
OG0015796	AL6G38830	XP_024006906.1
OG0015797	AL6G39250	XP_006394945.1
OG0015798	AL6G39620	XP_024007122.1
OG0015799	AL6G39630	XP_024007166.1
OG0015800	AL6G40390	XP_024007208.1
OG0015801	AL3G48180	XP_006408912.1
OG0015802	AL3G48120	XP_024014296.1, XP_006408914.1
OG0015803	AL3G48100	XP_006408915.1
OG0015804	AL3G47970	XP_006408925.1
OG0015805	AL3G47960	XP_006408926.1
OG0015806	AL3G47820	XP_006408941.1
OG0015807	AL3G53890	XP_006395993.1
OG0015808	nbis-gene-908	XP_024015998.1
OG0015809	AL5G30500	XP_024013491.1
OG0015810	AL7G21060	XP_024005570.1
OG0015811	AL5G24580	XP_006418985.1
OG0015812	AL5G24530	XP_006418989.1
OG0015813	AL5G24480	XP_024009638.1
OG0015814	AL4G47660	XP_006397998.1
OG0015815	AL4G47610	XP_024016697.1
